date,open,high,low,close,volume
2017-06-08,204.6629,205.099,202.4922,204.0186,1975236
2017-06-09,204.0682,205.2774,203.1365,204.5737,1511814
2017-06-12,204.316,207.4926,203.4438,207.2696,1841333
2017-06-13,208.0427,208.7861,206.6055,207.5669,1211143
2017-06-14,208.2607,208.2607,205.8523,207.0515,1110276
2017-06-15,206.0009,208.9546,205.9216,208.5878,1281066
2017-06-16,208.9843,210.0052,207.7156,208.6374,1842197
2017-06-19,209.3609,209.5492,206.7542,209.0834,2317989
2017-06-20,209.0734,209.6298,207.5931,207.5931,2344637
2017-06-21,206.6493,212.4712,204.1655,210.9213,3534252
2017-06-22,208.4376,211.2889,207.2553,210.2557,2027303
2017-06-23,210.0173,215.5511,209.885,213.9515,2547216
2017-06-26,214.9848,215.8779,213.6038,213.9615,1246586
2017-06-27,213.6336,214.7265,212.8984,212.9382,1542135
2017-06-28,214.7861,215.9187,213.887,215.7398,1463268
2017-06-29,215.5908,215.5908,213.6038,213.8323,1574027
2017-06-30,215.0742,216.941,214.6569,215.9187,1412775
2017-07-03,217.0711,217.856,215.9684,215.9684,991703
2017-07-05,215.9882,217.9355,215.6206,216.8923,1169979
2017-07-06,215.8889,216.5843,213.2461,213.6336,1501064
2017-07-07,214.8656,217.5679,213.9913,217.091,1069156
2017-07-10,216.5843,218.5614,216.2962,217.4487,1018246
2017-07-11,217.6672,217.8312,214.955,216.1273,1165375
2017-07-12,217.4487,217.8262,216.4552,216.9022,1031575
2017-07-13,216.942,217.1208,215.7995,216.5545,977773
2017-07-14,215.8392,218.0249,215.4815,217.6374,1000064
2017-07-17,213.8522,215.0643,210.1563,214.0807,2838896
2017-07-18,213.7628,213.7628,209.5801,209.6695,2231049
2017-07-19,209.7589,211.5671,208.7356,211.4976,2616155
2017-07-20,211.8155,212.0837,209.9676,210.5041,1975904
2017-07-21,209.4311,211.2293,208.3482,211.13,1235665
2017-07-24,210.7127,212.0142,210.2557,211.2989,1035931
2017-07-25,212.3917,214.19,212.2626,212.9779,898328
2017-07-26,213.415,213.4548,212.0738,212.2427,669206
2017-07-27,211.8652,212.3818,204.8808,206.1923,2374129
2017-07-28,206.3115,207.5931,205.3478,206.689,1076359
2017-07-31,207.0169,207.4639,206.3611,206.6791,834105
2017-08-01,207.6428,207.6428,206.2419,207.0169,987974
2017-08-02,205.6558,208.3184,204.9603,208.1395,1359941
2017-08-03,207.7719,208.3581,206.9274,208.0004,1091014
2017-08-04,207.8613,209.1122,205.0795,207.9607,1450103
2017-08-07,207.6428,207.6428,206.2419,207.0169,988585
2017-08-08,207.1957,208.0899,205.3776,205.6558,1255802
2017-08-09,205.2385,205.308,203.321,204.8411,1018730
2017-08-10,204.4636,204.6623,202.2083,202.2282,1110182
2017-08-11,202.0692,205.467,201.8119,203.5396,1136569
2017-08-14,204.6126,206.6791,204.6126,206.5102,1105207
2017-08-15,207.156,208.8946,206.6791,207.7123,723019
2017-08-16,208.07,209.6198,207.9806,208.2687,709690
2017-08-17,207.6428,208.0799,204.0363,204.0363,1028645
2017-08-18,203.8873,206.2221,203.3608,204.6623,930437
2017-08-21,204.6623,205.2584,203.5413,204.9901,980770
2017-08-22,205.6558,208.2389,205.467,207.921,701472
2017-08-23,206.9672,207.4837,204.6623,205.7253,1015822
2017-08-24,206.6691,206.7089,204.3046,205.3279,598170
2017-08-25,206.381,207.6527,205.8446,206.4108,614224
2017-08-28,207.0765,207.88,206.4772,207.4838,640079
2017-08-29,206.1128,210.2756,205.8743,209.9278,824346
2017-08-30,210.8021,213.0971,210.1861,212.3917,1010673
2017-08-31,213.3554,213.7528,211.9844,212.9878,1088535
2017-09-01,213.723,215.3027,213.1071,213.6535,825644
2017-09-05,212.809,213.5243,211.0207,211.8751,1044610
2017-09-06,212.6103,213.3356,210.5339,210.5339,1134826
2017-09-07,211.3187,212.6103,210.7326,212.2725,881562
2017-09-08,211.8044,211.8044,208.797,209.6036,1600975
2017-09-11,211.2268,212.1131,210.1314,211.5156,1491949
2017-09-12,212.4219,216.3903,212.2227,214.6426,1580910
2017-09-13,214.2243,214.6326,212.7216,214.1048,800868
2017-09-14,213.2683,215.2899,213.1389,213.6268,968227
2017-09-15,211.9837,216.0965,210.8584,213.9355,1811568
2017-09-18,214.1048,215.4392,213.2185,214.1845,1125771
2017-09-19,214.2343,216.0467,214.1048,215.1007,2127029
2017-09-20,215.4691,221.7796,214.6724,219.5819,4275855
2017-09-21,219.084,219.8558,217.0933,217.9189,2092330
2017-09-22,217.9388,220.03,216.933,219.084,1607598
2017-09-25,219.2135,220.0002,216.694,218.2873,1277544
2017-09-26,217.8292,219.4027,217.6301,218.8948,1404650
2017-09-27,219.8607,220.0599,219.084,219.084,1262255
2017-09-28,218.7056,223.5653,218.2077,223.3263,1467926
2017-09-29,223.3263,225.3976,222.5612,224.6408,1290160
2017-10-02,224.5711,226.0548,223.6648,225.3876,1168849
2017-10-03,225.2482,225.9553,221.6533,222.0715,1291343
2017-10-04,221.942,222.5395,220.289,220.3985,1004799
2017-10-05,217.4807,220.7371,216.8633,220.6873,2072759
2017-10-06,220.5877,221.3147,219.3031,219.8807,783041
2017-10-09,220.1894,220.8466,219.1238,219.7213,1024874
2017-10-10,220.4284,221.2948,219.7313,219.8607,710193
2017-10-11,220.5379,222.0715,220.3288,221.7528,1318576
2017-10-12,221.6433,224.8897,221.3844,224.1229,1172373
2017-10-13,224.5511,225.1418,221.0757,221.2948,1088184
2017-10-16,221.7927,221.952,219.3628,220.4284,763268
2017-10-17,220.0898,220.5905,218.8948,219.1836,1034006
2017-10-18,219.5421,222.3378,219.2941,221.3744,851914
2017-10-19,220.5578,223.0673,219.6915,223.0375,1486982
2017-10-20,224.0034,224.9047,223.0673,224.1329,1297895
2017-10-23,225.059,225.6366,223.7545,224.4018,1192404
2017-10-24,224.8001,225.776,224.3022,224.8997,1107132
2017-10-25,224.4516,225.4673,224.0831,224.5611,975513
2017-10-26,225.3777,229.122,224.9594,228.0864,1430408
2017-10-27,228.0366,230.3867,227.6581,229.5104,1242145
2017-10-30,229.1121,229.4905,226.2241,226.7719,742804
2017-10-31,227.1702,227.3594,224.8399,224.8698,949188
2017-11-01,226.0548,226.4283,223.7346,224.5213,1149867
2017-11-02,224.7603,225.5569,221.9321,224.3619,1318386
2017-11-03,224.2225,224.9744,222.8084,223.3063,810558
2017-11-06,222.6989,223.2018,219.6018,220.03,1103689
2017-11-07,220.6375,221.9122,219.8807,220.2392,855601
2017-11-08,219.5122,220.986,218.9109,219.5819,972879
2017-11-09,218.4865,218.8349,214.5729,216.5347,994805
2017-11-10,215.9869,217.5412,215.3695,217.2417,936281
2017-11-13,218.5861,220.8466,217.7434,220.508,1209455
