date,open,high,low,close,volume
2017-06-20,62.385,62.975,62.195,62.31,1924778
2017-06-21,62.37,62.879,62.155,62.69,2306388
2017-06-22,62.61,62.81,61.975,62.455,1367202
2017-06-23,62.485,62.73,62.32,62.4,2779470
2017-06-26,62.53,63.5486,62.07,62.165,1292314
2017-06-27,61.93,62.04,61.405,61.425,1336230
2017-06-28,61.58,62.125,61.15,62.03,1564250
2017-06-29,61.81,61.82,60.1861,60.805,2320286
2017-06-30,61.07,61.385,60.685,61.17,2035562
2017-07-03,61.38,61.7375,60.62,60.655,922992
2017-07-05,60.745,61.36,60.6375,61.175,1738996
2017-07-06,60.805,61.05,60.365,60.895,1668710
2017-07-07,61.0,61.735,61.0,61.385,1408700
2017-07-10,61.445,61.55,61.235,61.4,1013224
2017-07-11,61.37,61.445,60.885,61.015,2213780
2017-07-12,61.39,61.77,61.345,61.72,1289554
2017-07-13,61.73,61.965,61.44,61.635,1419294
2017-07-14,61.835,61.93,61.655,61.805,1028510
2017-07-17,62.035,62.75,61.995,62.625,1673596
2017-07-18,62.56,62.72,62.24,62.53,1289284
2017-07-19,62.705,63.015,62.5,62.88,1116934
2017-07-20,62.915,63.24,62.73,63.115,1021398
2017-07-21,62.89,63.63,62.89,63.355,1172080
2017-07-24,63.255,63.465,62.975,63.24,1535120
2017-07-25,63.25,63.595,63.035,63.195,797638
2017-07-26,63.315,63.605,63.175,63.505,747436
2017-07-27,63.445,63.73,63.18,63.485,1245966
2017-07-28,63.32,63.65,62.905,63.115,923298
2017-07-31,63.41,64.285,63.3125,64.25,2804002
2017-08-01,64.285,64.675,64.03,64.635,2220872
2017-08-02,62.27,64.4225,61.96,61.985,4454900
2017-08-03,62.085,62.235,61.39,61.985,2251740
2017-08-04,62.2,62.2,61.43,61.54,1943470
2017-08-07,61.545,62.135,61.445,62.04,1625958
2017-08-08,61.725,62.06,61.655,61.79,1021346
2017-08-09,61.635,61.825,61.32,61.65,1098670
2017-08-10,61.305,61.79,61.135,61.245,1286508
2017-08-11,61.44,61.715,61.37,61.42,898860
2017-08-14,61.485,62.135,61.485,62.025,1137366
2017-08-15,62.015,62.46,61.875,62.35,1114466
2017-08-16,62.49,62.735,61.99,62.415,1218156
2017-08-17,62.05,62.17,60.5005,60.545,2350568
2017-08-18,60.47,60.86,59.85,60.18,1858060
2017-08-21,60.32,60.575,60.045,60.385,1651010
2017-08-22,60.575,61.38,60.51,61.31,1275016
2017-08-23,61.11,61.245,60.765,61.075,973650
2017-08-24,61.025,61.15,60.67,60.755,897482
2017-08-25,60.995,61.47,60.835,61.16,1739698
2017-08-28,61.33,61.55,61.25,61.415,891640
2017-08-29,61.095,61.595,61.085,61.51,1153326
2017-08-30,61.52,61.855,61.32,61.605,1145824
2017-08-31,61.87,62.025,61.615,61.855,1688980
2017-09-01,62.095,62.31,61.33,61.5,956074
2017-09-05,61.29,61.355,60.66,60.93,1737260
2017-09-06,61.185,61.33,60.585,61.205,2338346
2017-09-07,61.465,61.785,61.085,61.415,1207166
2017-09-08,61.335,61.73,61.015,61.33,1418032
2017-09-11,61.7,62.235,61.4,62.16,1179384
2017-09-12,62.155,62.49,61.96,62.29,1050200
2017-09-13,62.03,62.17,61.795,61.995,978100
2017-09-14,61.8,62.05,61.58,61.775,1304752
2017-09-15,61.81,62.155,61.51,62.025,2969020
2017-09-18,61.955,62.785,61.885,62.765,1524420
2017-09-19,62.825,63.13,62.515,62.585,1132904
2017-09-20,62.705,62.92,62.195,62.55,1041056
2017-09-21,62.545,62.635,62.145,62.38,1167388
2017-09-22,62.28,63.145,62.235,63.115,1638926
2017-09-25,62.895,63.575,62.75,63.555,2289928
2017-09-26,63.805,63.955,63.5,63.74,1895614
2017-09-27,63.995,64.315,63.93,64.18,1809316
2017-09-28,63.875,64.32,63.835,64.105,1888242
2017-09-29,64.06,64.805,63.9325,64.48,2443916
2017-10-02,64.61,64.905,64.165,64.435,1350080
2017-10-03,64.575,64.76,64.38,64.415,1093504
2017-10-04,64.295,64.385,63.84,64.29,967098
2017-10-05,64.48,64.62,64.075,64.455,1382962
2017-10-06,64.45,64.45,63.585,63.74,2666394
2017-10-09,63.78,63.9275,63.605,63.755,1903560
2017-10-10,63.97,64.3225,63.865,63.935,1401654
2017-10-11,63.855,63.965,63.225,63.37,1669284
2017-10-12,63.365,63.795,63.35,63.585,2821338
2017-10-13,63.385,64.0,63.385,63.54,1405554
2017-10-16,63.52,63.75,63.375,63.6,1252434
2017-10-17,63.54,63.705,63.155,63.315,931186
2017-10-18,63.25,63.755,63.25,63.535,1193666
2017-10-19,63.475,63.885,63.3201,63.775,957288
