date,open,high,low,close,volume
2017-06-20,35.0463,35.3423,35.0463,35.0759,758075
2017-06-21,35.1351,35.2535,34.7996,34.8391,699276
2017-06-22,34.7404,34.8983,34.4839,34.77,1137171
2017-06-23,34.8292,35.0068,33.9905,34.5628,3009711
2017-06-26,34.7404,34.9377,34.6417,34.7009,1682604
2017-06-27,34.6812,34.7995,34.4839,34.5036,757255
2017-06-28,34.622,34.7108,34.4543,34.5036,822002
2017-06-29,34.6121,34.7305,34.0596,34.2767,639309
2017-06-30,34.4345,34.5924,33.9905,34.1977,1360423
2017-07-03,34.5431,34.6417,34.0991,34.1188,513878
2017-07-05,34.2076,34.2915,33.5169,33.8228,1385523
2017-07-06,33.6551,33.8031,33.4972,33.6452,1558316
2017-07-07,33.8425,34.2569,33.8425,34.2372,1232453
2017-07-10,34.7799,35.7024,34.77,35.2633,2001654
2017-07-11,35.2337,36.0625,35.1252,36.0625,1978767
2017-07-12,36.1217,36.7728,36.1119,36.7532,1550683
2017-07-13,36.8025,37.2416,36.4868,37.1873,1598019
2017-07-14,37.3156,37.4143,37.0196,37.2564,975810
2017-07-17,37.2663,37.6609,37.1972,37.6412,1167698
2017-07-18,37.6412,37.8879,37.3847,37.7399,1115649
2017-07-19,37.9076,37.9767,37.6609,37.7596,1537913
2017-07-20,37.8385,38.0655,37.7053,37.8977,719363
2017-07-21,37.7497,37.9569,37.5919,37.6116,627184
2017-07-24,37.6313,37.8484,37.4833,37.7793,790760
2017-07-25,37.9372,38.2825,37.73,38.2628,1039002
2017-07-26,38.1839,38.2628,36.8617,37.8583,2343836
2017-07-27,37.9175,37.9175,36.5065,36.7433,1612729
2017-07-28,36.7137,36.9209,35.9688,36.0132,1134452
2017-07-31,35.9441,37.286,35.9441,36.8223,1490392
2017-08-01,36.8913,37.2663,36.4572,36.5855,1059595
2017-08-02,36.5756,36.9012,36.4473,36.8025,1054873
2017-08-03,36.8617,37.1281,36.6644,37.1084,798482
2017-08-04,37.1577,37.2663,36.9505,37.0492,769235
2017-08-07,37.0788,37.1479,36.8321,37.0985,802757
2017-08-08,36.9801,37.3156,36.9209,37.2071,718965
2017-08-09,37.1479,37.2761,36.9308,37.1577,500148
2017-08-10,37.0887,37.2959,36.7335,36.7828,815267
2017-08-11,36.9801,37.0591,36.7976,36.9111,639431
2017-08-14,37.138,37.3748,36.9407,37.2071,587845
2017-08-15,37.2367,37.5425,37.1479,37.3847,736133
2017-08-16,37.3649,37.8484,37.3649,37.8089,852430
2017-08-17,37.7201,37.8484,37.286,37.2959,1050700
2017-08-18,37.3452,37.878,37.1577,37.3255,760860
2017-08-21,37.1972,37.3551,36.7236,36.8716,722922
2017-08-22,36.9308,37.4439,36.9111,37.3945,684900
2017-08-23,37.3747,37.5133,37.0974,37.1865,852828
2017-08-24,37.2459,37.3549,36.9983,37.1469,998225
2017-08-25,37.3351,37.8205,37.3252,37.5728,736457
2017-08-28,37.6224,37.6521,36.9488,37.1271,1955945
2017-08-29,36.9091,37.4044,36.8282,37.3549,613441
2017-08-30,37.3846,38.1672,37.3846,38.1078,919306
2017-08-31,38.1672,38.187,37.6125,37.6422,968683
2017-09-01,37.662,38.4049,37.6422,37.8898,991619
2017-09-05,37.9096,38.0978,37.6323,37.8205,788005
2017-09-06,37.9889,37.9889,37.4441,37.7809,1380923
2017-09-07,37.8007,37.8007,37.3351,37.5629,635877
2017-09-08,37.4837,37.7115,37.3054,37.7016,917511
2017-09-11,37.87,38.6625,37.6521,38.613,1136753
2017-09-12,38.6526,39.1281,38.6328,38.9696,758728
2017-09-13,38.7913,38.9002,38.4842,38.7714,811961
2017-09-14,38.7516,38.8705,38.5931,38.8705,463168
2017-09-15,38.7318,39.5441,38.4247,39.4649,1574175
2017-09-18,39.554,40.3514,39.2667,40.2771,2763428
2017-09-19,40.3762,40.3762,39.1082,39.3955,2580652
2017-09-20,39.4549,39.4549,39.1578,39.3361,828444
2017-09-21,39.3658,39.4252,38.7714,39.138,1163509
2017-09-22,39.138,39.138,38.8012,38.8408,989860
2017-09-25,38.8804,39.2172,38.603,38.9299,1932840
2017-09-26,39.0488,39.0686,38.613,38.6229,1044496
2017-09-27,38.7417,38.9993,38.6625,38.712,1153130
2017-09-28,38.5634,38.8606,38.3059,38.6328,2057131
2017-09-29,38.7021,38.92,38.4842,38.5436,1052635
2017-10-02,38.712,40.6139,38.5832,40.6139,1393720
2017-10-03,40.6139,40.8814,40.2078,40.6635,960255
2017-10-04,40.7229,41.0696,40.4059,40.6238,542259
2017-10-05,40.7031,40.8319,40.4951,40.6833,476621
2017-10-06,40.5545,41.0201,40.4554,40.9012,807737
2017-10-09,40.7922,40.9012,40.5347,40.7229,930913
2017-10-10,40.8517,41.1588,40.7328,41.1191,706765
2017-10-11,41.2182,42.5951,41.1588,42.1791,1988658
2017-10-12,42.2385,42.5654,42.189,42.2781,1830812
2017-10-13,42.4267,43.0012,42.2682,42.3772,1111243
