date,open,high,low,close,volume
2017-06-20,44.2319,44.281,43.7112,43.9961,854377
2017-06-21,44.2122,44.2122,42.8859,43.0038,988626
2017-06-22,42.9645,43.6031,42.9645,43.2199,1170262
2017-06-23,43.2494,43.3968,42.9448,43.2297,1937908
2017-06-26,43.328,43.9764,43.2101,43.7603,767591
2017-06-27,43.8192,44.6347,43.721,44.2024,910113
2017-06-28,44.6052,45.1257,44.448,44.5758,1079947
2017-06-29,44.7821,44.9295,43.7947,44.281,831029
2017-06-30,44.5463,45.3716,44.3203,44.9786,1052878
2017-07-03,45.3028,45.9611,45.1849,45.7351,691838
2017-07-05,45.7056,45.8825,45.2144,45.4404,2729279
2017-07-06,45.293,45.7155,44.3203,44.4186,1224224
2017-07-07,44.4186,44.6838,43.8389,44.5463,1255985
2017-07-10,44.3498,45.1112,44.1729,44.5758,919336
2017-07-11,44.5758,44.5856,43.9961,44.4775,1108060
2017-07-12,44.8705,45.1751,44.3203,44.6838,1020350
2017-07-13,44.5463,44.7035,43.8684,44.4284,1674774
2017-07-14,44.5561,44.9491,44.3498,44.3694,894959
2017-07-17,44.2417,45.0474,44.1336,44.6249,1397295
2017-07-18,44.5954,44.5954,43.5048,44.0157,1148169
2017-07-19,44.1336,44.9786,44.0649,44.674,2649047
2017-07-20,44.7035,44.954,44.1336,44.3694,881577
2017-07-21,44.2417,44.507,43.7013,44.2221,1570034
2017-07-24,44.2515,44.2515,43.6424,43.9371,916292
2017-07-25,44.4873,45.3716,44.2417,44.8803,1513254
2017-07-26,44.9098,44.9295,44.3301,44.5659,864491
2017-07-27,44.5856,44.8607,44.3891,44.7231,997786
2017-07-28,44.5659,44.6544,43.5245,43.7996,1395576
2017-07-31,43.8487,43.9568,41.0486,42.6697,4408406
2017-08-01,43.0234,43.3673,42.8269,43.0725,1468351
2017-08-02,43.0234,43.3673,42.8269,43.0725,1468383
2017-08-03,42.8466,43.3869,42.4144,43.0922,1856152
2017-08-04,39.958,40.4395,38.1011,39.3587,8168038
2017-08-07,39.2113,39.4471,38.4843,38.4941,3167398
2017-08-08,38.445,39.1622,38.386,38.504,2721634
2017-08-09,38.4843,38.8183,37.9538,38.4647,2792670
2017-08-10,38.0913,38.5423,37.7474,38.1306,2595619
2017-08-11,37.9636,38.6808,37.9145,38.386,1663589
2017-08-14,38.6317,38.9166,38.4647,38.5924,1632901
2017-08-15,38.5727,38.7987,37.8752,37.9734,2243704
2017-08-16,38.2878,38.445,37.7278,37.7671,1512311
2017-08-17,37.6492,37.9439,37.0793,37.1088,1532061
2017-08-18,37.0007,37.3839,36.7453,37.0106,1722442
2017-08-21,37.0302,37.1579,36.3868,36.5783,2317197
2017-08-22,36.7453,37.1186,36.5586,36.9614,1994727
2017-08-23,36.7944,37.1481,36.5979,36.9221,903097
2017-08-24,36.932,37.04,36.7158,36.7846,1483752
2017-08-25,37.0007,37.3544,36.8534,37.1088,1071178
2017-08-28,37.3937,37.5313,36.8779,37.04,1997038
2017-08-29,36.7649,37.6492,36.7305,37.5804,1606572
2017-08-30,37.4527,38.8969,36.9516,37.9538,2182816
2017-08-31,38.26,38.4872,37.6475,38.1019,2484837
2017-09-01,38.2303,38.6551,38.0427,38.1414,1640269
2017-09-05,38.1316,38.2699,37.5784,37.8846,1147997
