date,open,high,low,close,volume
2017-06-20,143.55,143.55,140.6,140.83,588073
2017-06-21,141.91,142.515,139.545,139.98,728404
2017-06-22,140.0,141.54,139.635,141.01,805185
2017-06-23,141.5,144.51,140.19,144.08,919350
2017-06-26,144.6,145.75,142.905,143.48,729129
2017-06-27,143.34,144.44,143.03,143.13,819952
2017-06-28,144.34,147.94,143.28,147.28,1068603
2017-06-29,147.11,147.98,145.27,146.0,658466
2017-06-30,146.71,147.36,144.12,144.21,852264
2017-07-03,144.88,145.64,143.29,145.37,568444
2017-07-05,145.22,146.285,144.89,145.38,590273
2017-07-06,143.92,145.44,143.77,144.16,729362
2017-07-07,144.94,146.67,144.31,145.1,567910
2017-07-10,144.91,145.15,143.57,144.78,652536
2017-07-11,144.89,148.0,144.885,146.04,753967
2017-07-12,147.04,148.44,146.07,146.46,759467
2017-07-13,147.6,150.75,146.8,149.5,1193135
2017-07-14,149.9,150.08,148.63,149.03,595171
2017-07-17,149.66,149.66,145.66,147.68,1130527
2017-07-18,147.7,150.19,147.53,149.14,548963
2017-07-19,149.43,149.92,148.36,149.58,542439
2017-07-20,149.9,150.0,148.53,149.0,873347
2017-07-21,148.92,149.64,147.15,148.25,568189
2017-07-24,148.2,148.57,147.21,148.36,380790
2017-07-25,149.0,151.34,146.98,150.5,877295
2017-07-26,150.6,154.37,150.18,153.75,1046460
2017-07-27,154.13,154.265,149.51,151.79,1224606
2017-07-28,150.96,153.4246,150.96,152.05,415755
2017-07-31,152.57,153.305,150.93,152.06,619965
2017-08-01,152.79,154.62,152.71,154.2,539639
2017-08-02,154.47,155.29,152.98,154.18,818335
2017-08-03,153.87,157.395,150.03,154.18,1373661
2017-08-04,155.31,155.31,143.82,145.26,2365179
2017-08-07,145.38,146.1,141.88,142.46,1528975
2017-08-08,141.96,144.23,140.0,142.41,1578266
2017-08-09,142.18,142.4,139.7106,140.23,1353944
2017-08-10,139.73,141.09,138.43,138.74,1055728
2017-08-11,138.82,140.27,138.47,139.32,735453
2017-08-14,140.11,143.375,139.898,141.78,931638
2017-08-15,141.57,144.345,141.57,143.22,788404
2017-08-16,143.46,145.0,142.52,143.41,1320968
2017-08-17,143.09,144.8677,141.86,142.02,612825
2017-08-18,141.44,143.46,141.13,142.69,668203
2017-08-21,142.5,144.03,141.98,143.25,970203
2017-08-22,144.18,144.32,142.3,142.31,796200
2017-08-23,142.0,142.65,141.07,142.15,1164995
2017-08-24,142.42,142.78,141.44,142.45,569618
2017-08-25,142.86,143.89,142.325,142.43,568006
2017-08-28,142.73,143.75,142.25,143.06,389274
2017-08-29,142.17,143.21,141.2,142.75,680667
2017-08-30,142.69,144.0,142.3,143.17,627558
2017-08-31,143.65,144.835,143.42,143.77,903415
2017-09-01,143.8,145.07,143.58,143.92,898953
2017-09-05,143.06,143.8,139.8,141.29,859107
2017-09-06,141.67,141.92,139.471,140.36,800957
2017-09-07,140.5,143.19,140.39,142.01,580031
2017-09-08,141.82,145.55,141.82,144.35,917214
2017-09-11,145.44,147.7,144.35,146.1,1644411
2017-09-12,146.04,146.9,144.27,144.93,1422639
2017-09-13,143.9,145.51,143.16,144.76,1266085
2017-09-14,144.37,145.379,143.01,144.01,897124
2017-09-15,144.52,146.07,144.115,145.02,1299394
2017-09-18,145.31,151.27,145.2726,151.21,1467151
2017-09-19,151.29,154.58,151.175,153.26,1947653
2017-09-20,153.03,153.2852,150.49,151.0,1404905
2017-09-21,151.86,152.31,150.13,150.64,767628
2017-09-22,150.33,153.87,149.72,153.67,781736
2017-09-25,153.41,155.58,152.44,155.33,1367271
2017-09-26,155.67,155.67,154.16,154.72,629981
2017-09-27,155.21,155.465,152.13,154.29,666663
2017-09-28,154.25,155.09,153.68,154.7,365099
2017-09-29,155.0,155.589,154.54,154.77,475148
2017-10-02,155.39,155.8,153.45,154.76,677546
2017-10-03,154.86,156.0,154.66,155.0,671600
2017-10-04,155.37,158.53,154.84,158.39,537528
2017-10-05,158.32,158.94,156.35,157.74,762116
2017-10-06,158.18,160.875,157.505,160.76,656681
2017-10-09,160.79,163.51,159.91,162.16,529807
2017-10-10,163.07,164.68,160.8,161.55,818683
2017-10-11,162.01,162.22,160.15,161.57,455073
2017-10-12,160.92,161.555,160.0,160.35,587022
2017-10-13,160.46,161.81,159.855,160.62,615877
2017-10-16,161.03,161.21,160.005,160.69,653466
2017-10-17,160.72,162.775,160.36,162.64,503432
2017-10-18,163.87,166.23,163.87,165.96,1118356
2017-10-19,165.21,165.21,162.83,164.04,651631
2017-10-20,165.0,165.78,162.78,164.68,539772
2017-10-23,164.69,165.05,164.1,164.67,414487
2017-10-24,164.72,166.27,163.47,163.83,640022
