date,open,high,low,close,volume
2017-06-08,26.8203,26.8895,26.3954,26.682,1481304
2017-06-09,26.7017,27.3836,26.514,27.3737,4006353
2017-06-12,27.2453,28.2236,27.2453,27.8382,4661740
2017-06-13,27.5911,27.8135,27.2749,27.3342,2346315
2017-06-14,27.4726,27.4726,26.6622,26.8105,2260375
2017-06-15,26.7512,27.102,26.682,27.0872,1958560
2017-06-16,26.6128,27.0377,26.514,26.8006,3581799
2017-06-19,26.8302,27.2453,26.6128,27.1069,1876178
2017-06-20,26.9883,26.9883,26.3855,26.425,2114386
2017-06-21,26.4448,26.7907,26.1878,26.5436,2711817
2017-06-22,26.5041,26.5634,26.3065,26.3163,1450228
2017-06-23,26.2768,26.6326,26.1088,26.6128,7486806
2017-06-26,26.682,27.4973,26.6622,27.2947,2868109
2017-06-27,27.186,27.4528,26.8697,26.8994,3217318
2017-06-28,27.0081,27.6653,27.0081,27.4429,2153319
2017-06-29,27.3144,28.0754,27.2848,27.4133,3071269
2017-06-30,27.5813,27.6208,27.0773,27.5417,2325446
2017-07-03,27.769,28.0951,27.6109,27.7987,1568031
2017-07-05,27.7888,27.8481,27.4726,27.6109,1810812
2017-07-06,27.433,27.5121,27.1464,27.1959,2027786
2017-07-07,27.2156,27.3836,26.9883,27.2354,1503073
2017-07-10,27.1464,27.5714,27.1168,27.5121,1201836
2017-07-11,27.5516,27.5516,27.3144,27.3935,1188764
2017-07-12,27.6208,28.0161,27.6109,27.9766,2353927
2017-07-13,27.7493,28.2533,26.9093,27.0773,3087274
2017-07-14,27.265,27.5022,26.9992,27.2156,1774510
2017-07-17,27.2552,27.3935,26.8302,26.9093,2652339
2017-07-18,26.9389,26.9488,26.4053,26.8796,2185677
2017-07-19,26.9785,27.186,26.8697,27.1366,1699584
2017-07-20,27.2354,27.5319,26.8697,27.2848,1350013
2017-07-21,27.2156,27.522,27.2156,27.3243,1581410
2017-07-24,27.4232,27.4232,27.0081,27.1761,1640217
2017-07-25,27.2255,27.5121,27.0377,27.3836,1464047
2017-07-26,27.3836,27.7147,27.3144,27.5911,1205288
2017-07-27,27.8184,28.8857,27.6406,28.8758,3242563
2017-07-28,28.7177,28.9252,28.4213,28.5695,3994434
2017-07-31,28.6782,28.6782,28.1544,28.3521,2481475
2017-08-01,28.4707,28.866,28.4213,28.5794,2254227
2017-08-02,28.3323,28.3718,27.8283,27.9469,2360583
2017-08-03,27.937,28.362,27.8184,28.1841,2152361
2017-08-04,27.9963,28.1446,27.4429,27.7295,2232238
2017-08-07,27.7097,27.7789,27.4726,27.5121,1274440
2017-08-08,27.4824,27.7295,27.2749,27.3836,1526203
2017-08-09,27.1069,27.2354,26.6425,27.186,2518231
2017-08-10,28.1643,28.8165,27.1267,27.1464,3576560
2017-08-11,27.3935,27.601,27.1464,27.5121,1706121
2017-08-14,27.6702,27.8382,27.4232,27.4429,2058021
2017-08-15,27.3836,27.5022,27.097,27.1168,1705322
2017-08-16,27.2552,27.3836,27.0674,27.2354,1643023
2017-08-17,27.1959,27.2848,26.5436,26.5733,2569397
2017-08-18,26.425,26.7709,26.4053,26.4745,2456525
2017-08-21,26.5239,26.593,26.2472,26.5733,2001432
2017-08-22,26.6721,26.7413,26.4942,26.6622,1595015
2017-08-23,26.5535,26.593,26.3262,26.346,2834178
2017-08-24,26.3559,26.4843,26.257,26.2966,1574354
2017-08-25,26.346,26.6523,26.2669,26.4053,2628485
2017-08-28,26.5436,26.7017,26.3954,26.4448,1549647
2017-08-29,26.2472,26.7017,26.2472,26.593,1749741
2017-08-30,26.5832,26.9093,26.5338,26.6919,2059699
2017-08-31,26.7017,26.9337,26.6721,26.7808,2528483
2017-09-01,26.8401,26.9883,26.6375,26.6622,1632517
2017-09-05,26.6523,26.7017,25.6048,25.7827,3232006
2017-09-06,25.8321,25.8963,25.4467,25.6641,2661611
2017-09-07,25.7333,25.7827,24.4881,25.0811,4478770
2017-09-08,25.0712,25.1008,24.7747,25.0811,2543777
2017-09-11,25.2589,25.3775,25.0909,25.3677,3121164
2017-09-12,25.3577,25.4174,25.0691,25.3378,2721550
2017-09-13,25.298,26.0344,25.2582,26.0245,3250905
2017-09-14,25.925,26.0046,25.6712,25.8752,2354231
2017-09-15,25.9051,26.532,25.7558,26.5221,11345072
2017-09-18,26.532,26.532,25.7309,25.9051,2662400
2017-09-19,25.9747,26.1837,25.7956,26.1439,2295230
2017-09-20,26.1937,26.4027,26.134,26.2534,2350730
2017-09-21,26.1439,26.333,26.0643,26.2036,1729639
2017-09-22,26.114,26.3429,26.0842,26.3031,1373912
2017-09-25,26.2036,26.7012,26.2036,26.4823,2500203
2017-09-26,26.5022,26.5718,26.2733,26.2932,1932815
2017-09-27,26.3429,26.6813,26.0046,26.6415,2856004
2017-09-28,26.4823,26.5519,25.8254,25.8852,2810043
2017-09-29,25.925,25.9747,25.5816,25.6662,5002672
2017-10-02,25.7259,26.1688,25.6662,25.925,3421529
2017-10-03,25.8752,26.0344,25.7259,25.8951,3849198
2017-10-04,25.8354,26.5022,25.7956,26.333,3659046
2017-10-05,26.4524,26.5221,26.114,26.1937,1590277
2017-10-06,26.2136,26.3628,25.9648,26.3429,2355450
2017-10-09,26.2832,26.3529,25.8453,25.8453,1225426
2017-10-10,25.9051,26.4126,25.8652,26.0245,1591372
2017-10-11,25.925,25.925,25.1188,25.3577,3020237
2017-10-12,25.1786,25.6563,25.079,25.3676,4765116
2017-10-13,25.4871,25.7906,25.3278,25.706,4758444
2017-10-16,25.7956,26.0742,25.6762,25.9747,1885432
2017-10-17,25.8752,26.124,25.8055,26.0941,1305642
2017-10-18,26.0842,26.5917,26.0643,26.4624,2593110
2017-10-19,26.4624,26.5987,26.1837,26.5718,1461659
2017-10-20,26.751,26.8107,26.5121,26.7112,1428129
2017-10-23,26.8007,26.8007,25.8453,25.8852,1921703
2017-10-24,25.7657,25.8453,25.4174,25.4373,2118190
2017-10-25,25.3278,25.5269,25.1885,25.3079,1910491
2017-10-26,25.6364,25.8752,25.298,25.5766,1800681
2017-10-27,25.4373,25.6364,24.7904,25.6264,2326395
2017-10-30,25.5269,25.9051,25.3975,25.6264,2160971
2017-10-31,25.6563,25.6563,25.2283,25.3278,1665763
2017-11-01,25.4871,25.706,25.2283,25.2582,1451170
2017-11-02,25.2582,25.4075,24.7904,25.0293,2960779
2017-11-03,24.9298,25.079,24.2779,24.3127,3298298
2017-11-06,24.2132,26.7211,24.1834,26.4922,12144055
2017-11-07,26.5718,27.6367,26.5718,26.9102,6640868
2017-11-08,26.7112,27.2585,26.6116,27.2187,5692463
2017-11-09,26.6316,28.821,26.4425,27.995,5278905
2017-11-10,28.0547,29.03,27.8457,27.9353,4557631
2017-11-13,27.7064,27.9054,27.3481,27.6865,1492557
2017-11-14,27.5272,27.6367,26.96,27.1789,2402953
2017-11-15,27.1292,27.8756,26.7311,27.8158,2968127
2017-11-16,27.4277,28.602,27.4277,28.4627,3400750
2017-11-17,30.3038,30.5825,29.433,30.3337,5811020
2017-11-20,30.3038,30.7716,29.5525,29.7565,3265077
2017-11-21,29.7863,30.1347,29.4977,29.9555,2645452
2017-11-22,29.8759,30.0152,29.6868,29.7963,2721883
2017-11-24,29.5375,29.9456,29.5375,29.6371,732234
2017-11-27,29.5773,29.7465,29.5276,29.5574,2922052
2017-11-28,29.6769,30.0849,29.4878,30.0252,2079277
2017-11-29,30.0749,31.4384,30.0749,31.1498,3983740
2017-11-30,30.8512,31.309,30.3934,31.0005,3597541
2017-12-01,30.4929,31.4483,30.3685,31.3189,5138016
2017-12-04,31.6374,33.0307,31.6374,32.1549,4307175
2017-12-05,31.8663,33.5283,31.8663,32.3241,6398246
2017-12-06,32.3938,33.0772,31.9247,32.543,4247152
2017-12-07,32.6127,34.1752,32.4137,33.6079,10985604
2017-12-08,33.8567,33.9463,32.7421,32.8117,5690348
2017-12-11,32.8814,33.1899,32.6028,33.1103,3701853
2017-12-12,33.2994,33.5382,32.7819,33.4387,6034429
2017-12-13,33.4188,33.4188,31.9061,32.1848,7502713
2017-12-14,32.0952,34.21,31.926,34.0557,18216439
2017-12-15,34.1553,35.1704,33.9861,34.0557,10334066
2017-12-18,34.1851,34.6628,33.9463,34.3344,6663465
2017-12-19,34.4837,34.6529,34.1055,34.205,5553810
2017-12-20,34.1354,34.3941,33.6577,33.6975,5637073
2017-12-21,33.6278,34.6429,33.4984,34.3643,3657716
2017-12-22,34.1951,34.6628,34.1951,34.5533,1566131
2017-12-26,34.6728,34.7623,33.9861,34.006,1503736
2017-12-27,34.0956,34.1453,33.8766,33.9761,1521887
2017-12-28,34.0159,34.0856,33.8268,33.9164,1370102
2017-12-29,33.7671,34.0956,33.7671,33.9562,1735967
2018-01-02,34.215,35.2102,34.1055,35.1903,3088713
2018-01-03,35.2002,36.066,35.2002,35.7575,3250406
2018-01-04,35.9864,36.0461,35.6083,35.9964,2673266
2018-01-05,36.2253,36.2651,35.6879,36.1755,4678681
2018-01-08,35.9566,36.0163,35.3396,35.6779,4451293
2018-01-09,35.6481,36.1954,35.6481,36.0063,4054009
2018-01-10,36.0163,36.1158,34.9017,35.1505,6894965
2018-01-11,35.1306,35.7476,35.1306,35.6282,2711937
2018-01-12,35.6282,36.3049,35.5485,36.1954,2243903
2018-01-16,36.3248,36.3547,35.5784,35.6182,3145805
2018-01-17,35.9466,36.3646,35.6779,36.3148,3030892
2018-01-18,36.2651,36.2651,35.4789,35.5585,3525922
2018-01-19,35.4391,36.086,35.3993,36.086,5556944
2018-01-22,36.275,36.8921,35.8172,36.7826,3586021
2018-01-23,36.4442,37.1409,36.4144,37.0115,3866089
2018-01-24,37.1707,37.7877,37.0413,37.31,2569173
2018-01-25,37.33,37.6584,37.2105,37.5489,2565785
