date,open,high,low,close,volume
2017-06-20,27.4178,27.4574,26.6963,26.8644,9371765
2017-06-21,26.9335,27.2202,26.5876,26.9335,7272672
2017-06-22,26.9731,26.9731,26.6271,26.6568,5505599
2017-06-23,26.6173,26.9138,26.4542,26.8742,16882016
2017-06-26,27.0027,27.9318,26.9434,27.7144,9363226
2017-06-27,27.6649,27.9022,27.2894,27.2894,8720797
2017-06-28,27.3981,28.1147,27.3981,27.7836,7582346
2017-06-29,27.7341,28.4754,27.6254,27.8626,8845759
2017-06-30,27.9219,28.0405,27.5365,28.0109,7829902
2017-07-03,28.1394,28.4754,28.0208,28.1888,4520062
2017-07-05,28.2876,28.2876,27.917,28.0306,8387009
2017-07-06,27.8923,27.9022,27.576,27.6254,6921734
2017-07-07,27.5958,27.8231,27.4277,27.576,6742543
2017-07-10,27.5463,28.0158,27.5068,27.9516,7097138
2017-07-11,27.8725,27.9516,27.7045,27.7737,7429470
2017-07-12,28.0702,28.342,27.9911,28.3173,8781754
2017-07-13,28.1888,28.4754,27.0818,27.2498,17142738
2017-07-14,27.4178,27.7341,27.1955,27.4178,9286927
2017-07-17,27.4178,27.4969,26.9731,27.062,11717242
2017-07-18,27.0521,27.1708,26.5283,27.0521,8103108
2017-07-19,27.2004,27.3981,27.0324,27.319,8578338
2017-07-20,27.4376,27.7341,27.0324,27.4673,7152625
2017-07-21,27.4475,27.7638,27.3882,27.5167,6389315
2017-07-24,27.4772,27.5365,27.1708,27.3585,6784630
2017-07-25,27.3585,27.7242,27.2004,27.6056,9689373
2017-07-26,27.6847,27.9763,27.5661,27.8527,6546388
2017-07-27,28.1493,29.2859,28.0405,29.2859,16568167
2017-07-28,29.2068,29.2859,28.8609,29.0289,9035353
2017-07-31,29.0586,29.0586,28.5644,28.7621,9228622
2017-08-01,28.8807,29.2068,28.7917,28.8905,11035180
2017-08-02,28.4754,28.7522,28.2129,28.3568,9244878
2017-08-03,28.3964,28.7423,28.3272,28.4853,8589838
2017-08-04,28.1196,28.3469,27.7391,28.1295,6273246
2017-08-07,28.1295,28.1937,27.8527,27.8725,5113948
2017-08-08,27.8429,28.0504,27.5859,27.7045,6737580
2017-08-09,27.3783,27.6254,26.8446,27.576,11202385
2017-08-10,28.7621,29.2562,27.5414,27.5562,12579760
2017-08-11,27.8231,28.0109,27.5661,27.8824,6813863
2017-08-14,28.0405,28.2679,27.8429,27.8824,5854697
2017-08-15,27.8923,27.9417,27.5167,27.5266,8194435
2017-08-16,27.5167,27.8083,27.487,27.6649,4835374
2017-08-17,27.5859,27.7242,26.983,27.0324,4823454
2017-08-18,26.8545,27.2498,26.8545,26.9434,4691214
2017-08-21,26.9731,27.0719,26.7013,27.0521,4779544
2017-08-22,27.1411,27.2004,26.9681,27.1114,3124161
2017-08-23,27.062,27.0769,26.81,26.8347,5528372
2017-08-24,26.8644,26.9533,26.7359,26.7853,4017921
2017-08-25,26.8841,27.151,26.7655,26.9335,3987863
2017-08-28,26.9928,27.2202,26.8841,26.9335,5471216
2017-08-29,26.805,27.2301,26.7655,27.0324,4241898
2017-08-30,26.9731,27.3981,26.9632,27.1312,3726457
2017-08-31,27.1806,27.4574,27.1411,27.2696,6287742
2017-09-01,27.3289,27.4772,27.1708,27.1708,3590694
2017-09-05,27.1708,27.2301,26.1033,26.2713,7869886
2017-09-06,26.3702,26.3899,25.876,26.1231,8354892
2017-09-07,26.1922,26.2664,24.8431,25.4905,13011105
2017-09-08,25.451,25.5696,25.194,25.4905,7757968
2017-09-11,25.6388,25.7672,25.5103,25.7574,6601011
2017-09-12,25.7076,25.7972,25.4687,25.7773,6045791
2017-09-13,25.7872,26.4739,25.6579,26.464,10226250
2017-09-14,26.3446,26.454,26.1057,26.3744,8250264
2017-09-15,26.2848,26.9815,26.2152,26.9218,9069023
2017-09-18,26.872,27.0014,26.1903,26.3744,6101221
2017-09-19,26.4441,26.6033,26.2152,26.5735,8031979
2017-09-20,26.6133,26.8223,26.4875,26.7427,4043929
2017-09-21,26.7725,26.8223,26.5337,26.6332,3559569
2017-09-22,26.5436,26.8024,26.5337,26.7526,2312099
2017-09-25,26.7526,27.1905,26.6829,26.9915,7626216
2017-09-26,27.091,27.091,26.7725,26.8223,5256845
2017-09-27,26.9616,27.2204,26.5337,27.1905,7966616
2017-09-28,26.9915,27.091,26.3744,26.4341,8141870
2017-09-29,26.4441,26.5386,26.1156,26.255,8903601
2017-10-02,26.3844,26.7327,26.2251,26.4739,6693691
2017-10-03,26.5237,26.6431,26.3247,26.5038,5030468
2017-10-04,26.5038,27.1756,26.3893,26.9716,10967619
2017-10-05,27.0711,27.1706,26.7178,26.8223,8622541
2017-10-06,26.8322,26.892,26.6033,26.8621,6363379
2017-10-09,26.872,26.882,26.4441,26.454,3955643
2017-10-10,26.5138,27.0512,26.464,26.6431,8585522
2017-10-11,26.5038,26.5038,25.6777,25.9863,15001790
2017-10-12,25.6777,26.2848,25.6578,26.0161,13160657
2017-10-13,26.1654,26.454,25.9564,26.3943,9834312
2017-10-16,26.4142,26.7427,26.2948,26.5635,5916967
2017-10-17,26.4341,26.7924,26.4242,26.7526,4726561
2017-10-18,26.8322,27.2602,26.7128,27.0512,8363299
2017-10-19,26.9417,27.2751,26.8273,27.2403,5743185
2017-10-20,27.4194,27.504,27.1756,27.3697,8879892
2017-10-23,27.3796,27.4393,26.5138,26.5635,5644300
2017-10-24,26.4938,26.5735,26.0858,26.1057,5339512
2017-10-25,26.0559,26.2251,25.8768,26.0062,4141297
2017-10-26,26.1953,26.5585,25.9265,26.1853,5177392
2017-10-27,25.9066,26.3147,25.4389,26.2848,8691272
