date,open,high,low,close,volume
2017-06-08,196.0891,196.5514,194.3481,196.3645,996454
2017-06-09,196.3645,197.4478,195.1842,196.1973,1056493
2017-06-12,196.1973,196.7776,193.7973,195.1448,1859034
2017-06-13,195.1448,197.6333,194.8694,197.2596,1263991
2017-06-14,197.2596,199.1284,197.0628,197.9776,934567
2017-06-15,196.4924,198.9513,195.971,198.7153,827543
2017-06-16,199.0497,199.9644,198.3513,199.3448,1391515
2017-06-19,200.0726,201.3808,199.6694,201.1644,1066076
2017-06-20,200.4169,201.8038,200.4169,200.5152,838427
2017-06-21,201.0464,201.5185,200.1612,200.5448,669719
2017-06-22,200.4464,200.6345,197.8891,197.9579,907821
2017-06-23,197.9284,199.0989,197.5154,198.0169,1203322
2017-06-26,198.4595,199.0103,196.8464,196.9153,676873
2017-06-27,196.8268,197.0709,195.5678,195.5776,714035
2017-06-28,196.5415,198.1104,196.0596,197.535,787327
2017-06-29,197.6923,197.771,192.9121,193.7285,1423016
2017-06-30,194.5055,195.9415,193.0399,194.8498,944651
2017-07-03,196.1481,197.2596,194.8891,196.3842,750575
2017-07-05,196.5916,198.7448,196.5125,198.2806,1152298
2017-07-06,198.2411,198.6066,196.3545,196.5817,799711
2017-07-07,197.0558,199.703,196.6755,198.7942,1300643
2017-07-10,198.7547,199.7622,197.7571,198.6066,1028703
2017-07-11,198.3399,198.5473,196.315,197.4608,1140144
2017-07-12,198.8535,199.9894,197.4213,198.6461,1404118
2017-07-13,198.7251,199.0017,197.52,197.6978,778944
2017-07-14,197.8262,199.2091,197.6089,198.6856,1032699
2017-07-17,198.6164,198.9523,197.0558,197.688,1151343
2017-07-18,197.7966,199.1992,196.8385,198.9523,1128913
2017-07-19,199.5252,199.9794,198.7844,199.861,739801
2017-07-20,200.0289,200.7006,199.5202,199.9203,1064418
2017-07-21,199.6338,202.0439,199.3572,202.0439,992890
2017-07-24,202.0439,202.9922,201.6291,202.4193,1073777
2017-07-25,203.1403,203.3774,200.4191,201.0661,1209052
2017-07-26,196.6607,196.9274,191.1984,192.2751,4079716
