date,open,high,low,close,volume
2017-06-20,29.1192,29.2853,28.9824,28.9921,3877429
2017-06-21,29.1387,29.168,28.9335,29.0801,4996943
2017-06-22,29.0801,29.1192,28.8798,29.0312,4039699
2017-06-23,29.0605,29.3146,29.0215,29.3048,7550260
2017-06-26,29.3048,29.7103,29.2951,29.5393,5814525
2017-06-27,29.4905,29.6468,29.3048,29.3048,6225388
2017-06-28,29.5784,29.896,29.3439,29.8032,5936922
2017-06-29,29.852,29.8814,29.2657,29.6761,8850444
2017-06-30,29.725,29.725,29.2755,29.3635,8881441
2017-07-03,29.5589,29.6175,29.383,29.4416,3348203
2017-07-05,29.5589,29.9204,29.4221,29.7934,5984114
2017-07-06,29.6175,29.7348,29.0801,29.1289,6236459
2017-07-07,29.1973,29.681,29.168,29.5882,4356755
2017-07-10,29.4807,29.9009,29.4319,29.8423,3462488
2017-07-11,29.8618,29.9791,29.5498,29.6371,4863474
2017-07-12,29.8227,30.2429,29.8227,30.1452,5353117
2017-07-13,30.1159,30.2576,29.9888,30.1159,4187090
2017-07-14,30.1159,30.4676,30.1159,30.3602,3921064
2017-07-17,30.4774,30.7022,30.409,30.6044,4361791
2017-07-18,30.5849,30.6924,30.4188,30.6924,3867247
2017-07-19,30.7022,31.0246,30.7022,31.0051,5470964
2017-07-20,30.7022,31.0393,30.2722,30.9855,11737282
2017-07-21,30.9367,31.3275,30.9074,31.1223,12130159
2017-07-24,31.1223,31.3373,30.9269,31.1223,8120094
2017-07-25,31.1712,31.435,30.9758,31.3959,9552285
2017-07-26,30.8194,31.0148,29.3244,29.725,16073342
2017-07-27,29.725,29.8716,28.5036,28.8163,15722354
2017-07-28,28.8065,28.8407,28.484,28.5817,9132054
2017-07-31,28.7576,28.9042,28.357,28.4743,9434710
2017-08-01,28.5915,28.9531,28.4791,28.8456,8018196
2017-08-02,28.9921,29.4319,28.8788,29.0899,9899818
2017-08-03,29.0605,29.1192,28.4401,28.6111,10426863
2017-08-04,28.699,28.826,28.5329,28.5817,4879974
2017-08-07,28.6306,28.6697,28.4645,28.572,4967568
2017-08-08,28.4938,28.9482,28.4547,28.6306,5799701
2017-08-09,28.5036,28.7772,28.4743,28.6892,4786487
2017-08-10,28.5231,28.6892,27.9075,27.9173,6846788
2017-08-11,28.015,28.4547,28.015,28.3179,3743820
2017-08-14,28.6306,28.8358,28.5524,28.7381,3735146
2017-08-15,27.8684,28.23,27.6241,27.8391,12248730
2017-08-16,27.9466,28.1029,27.673,27.8,7186021
2017-08-17,27.6437,27.8538,27.2137,27.2333,7107004
2017-08-18,27.1844,27.4922,27.0769,27.243,5178017
2017-08-21,27.2626,27.6046,27.1551,27.546,5138372
2017-08-22,27.6241,27.9417,27.6241,27.8489,5140645
2017-08-23,27.5948,27.9368,27.5557,27.8293,4000838
2017-08-24,27.8782,27.9954,27.7805,27.9075,6384493
2017-08-25,27.9564,28.1902,27.9368,28.0052,3299854
2017-08-28,28.0834,28.2446,28.015,28.1029,4009158
2017-08-29,27.872,28.1471,27.764,28.0685,4724061
2017-08-30,28.0489,28.1963,27.9163,28.1373,4876736
2017-08-31,28.2748,28.3927,28.2257,28.2552,4451425
2017-09-01,28.3141,28.5892,28.3043,28.4026,6641303
2017-09-05,28.3436,28.3927,27.7836,28.1177,5837425
2017-09-06,28.2159,28.3043,28.0489,28.0784,4860170
2017-09-07,28.1373,28.3141,28.098,28.2257,5741960
2017-09-08,28.0685,28.2159,27.8524,28.0391,4572011
2017-09-11,28.3141,28.5106,28.2356,28.4124,4120945
2017-09-12,28.4615,28.6678,28.4517,28.6384,3645155
2017-09-13,28.6482,28.7955,28.4812,28.6875,3881843
2017-09-14,28.5892,28.825,28.5892,28.7366,3852736
2017-09-15,28.6678,28.9085,28.6285,28.8348,7749101
2017-09-18,28.9429,29.1689,28.8938,29.0215,3317559
2017-09-19,29.0215,29.5913,29.0117,29.385,4612880
2017-09-20,29.4636,29.6208,29.2819,29.5029,4264006
2017-09-21,29.5029,29.611,29.444,29.5717,4502975
2017-09-22,29.5127,29.719,29.385,29.5226,4278858
2017-09-25,29.5422,29.8369,29.2917,29.4833,7358092
2017-09-26,29.6306,29.6306,29.2278,29.2868,5232663
2017-09-27,29.385,29.6552,29.2769,29.5127,3584939
2017-09-28,29.444,29.5226,29.2769,29.4243,4452160
2017-09-29,29.385,29.4833,29.2082,29.3948,4064508
2017-10-02,29.4145,29.6503,29.3654,29.6306,4085523
2017-10-03,29.6797,29.8075,29.5324,29.778,2915401
2017-10-04,29.7387,29.9941,29.6994,29.9352,3678991
2017-10-05,30.004,30.0629,29.8664,29.9155,4882666
2017-10-06,29.8369,29.8566,29.4833,29.5619,4632920
2017-10-09,29.5815,29.6699,29.4931,29.5913,3133738
2017-10-10,29.5815,29.611,29.1296,29.5029,5119060
2017-10-11,29.5029,29.5619,29.272,29.3654,3829929
2017-10-12,29.1198,29.4833,29.0019,29.4145,6266873
2017-10-13,29.4341,29.4636,29.051,29.218,5989516
2017-10-16,29.3457,29.5422,29.2671,29.3654,3405316
2017-10-17,29.2573,29.2769,29.1296,29.1492,3728933
2017-10-18,29.218,29.444,29.1394,29.3948,4052250
2017-10-19,29.2769,29.5422,29.1836,29.5324,3484214
2017-10-20,29.6405,29.8468,29.4734,29.5324,6756555
2017-10-23,29.6208,29.8861,29.4341,29.4833,12616210
2017-10-24,30.0629,31.7429,29.7682,31.3794,24151112
2017-10-25,31.0945,31.2713,30.5345,30.9864,9850429
2017-10-26,30.9864,31.3794,30.9766,31.1436,5888889
2017-10-27,31.1927,31.399,30.9471,30.9569,5726683
2017-10-30,30.9471,31.0454,30.6376,30.7113,4669108
2017-10-31,30.9471,30.9962,30.7015,30.7604,5235054
2017-11-01,30.9962,31.1927,30.8194,31.0748,5162999
2017-11-02,31.0748,31.1239,30.839,31.0257,3699162
2017-11-03,31.065,31.3303,31.0552,31.1141,3251932
2017-11-06,31.0355,31.3204,31.0257,31.2811,4119855
2017-11-07,31.2517,31.6839,31.2222,31.6839,6206912
2017-11-08,31.625,31.7576,31.4383,31.6545,4537019
2017-11-09,31.4383,31.4383,30.9864,31.232,5571803
2017-11-10,31.0355,31.3106,31.0159,31.1731,3346279
