date,open,high,low,close,volume
2017-06-20,33.0595,33.2328,32.8766,33.1172,8296631
2017-06-21,33.1942,33.2135,32.684,32.8573,9127703
2017-06-22,32.7803,33.0595,32.5974,32.9151,8937541
2017-06-23,32.8669,32.9921,32.6936,32.9247,10238774
2017-06-26,32.9921,33.3579,32.9054,33.2328,11836595
2017-06-27,33.0498,33.2135,32.7466,32.9343,11679720
2017-06-28,33.2809,33.4542,33.175,33.2905,11025333
2017-06-29,33.3675,33.6275,33.2424,33.5601,10209730
2017-06-30,33.666,33.743,33.4734,33.6275,7679741
2017-07-03,33.2328,34.6576,33.1654,34.2436,10915736
2017-07-05,34.2436,34.2532,33.5793,33.7045,10819330
2017-07-06,33.5697,33.8489,33.4349,33.5697,8567239
2017-07-07,33.6949,33.7382,33.4734,33.6371,8623491
2017-07-10,33.6949,34.0318,33.5697,33.8778,10546395
2017-07-11,33.8778,34.1377,33.8296,34.0799,10124169
2017-07-12,34.1762,34.5613,34.1473,34.1762,7529406
2017-07-13,34.1762,34.7731,34.1281,34.5228,13828374
2017-07-14,34.6865,35.0763,34.6383,34.9945,10241272
2017-07-17,35.0234,35.1774,34.8501,35.0234,10631762
2017-07-18,34.956,35.1245,34.8694,35.0715,7768950
2017-07-19,35.0234,35.1774,34.9464,35.11,7816787
2017-07-20,35.1389,35.2641,34.9368,35.0523,10159176
2017-07-21,34.7057,34.7635,34.3784,34.725,8831775
2017-07-24,34.6479,34.7442,34.3909,34.4843,11699821
2017-07-25,34.5998,34.8212,34.1762,34.2436,14540098
2017-07-26,34.2244,34.5709,34.0799,34.2917,10814204
2017-07-27,34.1955,34.6479,34.0607,34.5998,10006533
2017-07-28,34.4843,34.5324,34.157,34.4361,7531936
2017-07-31,34.4843,34.9464,34.4554,34.6383,13855521
2017-08-01,33.8489,34.0751,33.8104,33.9837,7991646
2017-08-02,33.3483,33.6852,33.329,33.5216,9325622
2017-08-03,33.6178,33.8778,33.4542,33.4734,10367559
2017-08-04,33.666,34.1281,33.4638,33.9548,9160776
2017-08-07,33.8489,34.0751,33.8104,33.9837,8254997
2017-08-08,33.9837,34.4939,33.9163,34.0703,9024204
2017-08-09,33.8393,34.1136,33.7622,33.9644,8260469
2017-08-10,33.8874,33.9837,33.5697,33.5793,9628305
2017-08-11,33.666,33.8922,33.5628,33.6275,6821396
2017-08-14,33.8489,34.234,33.743,34.1473,7366842
2017-08-15,34.234,34.5228,34.0992,34.2147,6017059
2017-08-16,34.3206,34.4361,34.1955,34.4169,6927272
2017-08-17,34.2821,34.3254,33.666,33.6949,7274658
2017-08-18,33.5986,33.7526,33.3194,33.5312,7193463
2017-08-21,33.5986,33.7526,33.4879,33.6082,6010367
2017-08-22,33.6949,34.0992,33.666,33.9837,7815068
