date,open,high,low,close,volume
2017-06-08,1004.23,1005.6,996.62,1004.28,1687925
2017-06-09,1005.49,1005.5,953.37,970.12,3647857
2017-06-12,958.72,968.0,936.795,961.81,4202109
2017-06-13,972.04,977.91,962.01,970.5,2005356
2017-06-14,975.5,979.7,959.5103,967.93,1505486
2017-06-15,948.02,960.6775,940.37,960.18,2427639
2017-06-16,957.91,959.95,948.7,958.62,2559207
2017-06-19,969.65,979.3,968.2,975.22,1468837
2017-06-20,975.31,980.79,968.2,968.99,1297287
2017-06-21,970.79,979.67,969.16,978.59,1161607
2017-06-22,976.87,980.5,973.3148,976.62,1009476
2017-06-23,975.5,986.62,974.46,986.09,1563985
2017-06-26,990.0,993.99,970.33,972.09,1517912
2017-06-27,961.6,967.22,947.09,948.09,2443602
2017-06-28,950.66,963.24,936.16,961.01,2745568
2017-06-29,951.35,951.66,929.6,937.82,3206674
2017-06-30,943.99,944.9995,929.61,929.68,2287662
2017-07-03,933.22,934.24,915.31,919.46,1694811
2017-07-05,924.2,936.29,918.6305,932.26,2094055
2017-07-06,925.0,936.14,919.85,927.69,2014855
2017-07-07,930.985,944.66,929.79,940.81,1663302
2017-07-10,941.95,953.13,941.95,951.0,1451460
2017-07-11,950.52,954.89,945.12,953.53,1461247
2017-07-12,960.86,969.63,957.04,967.66,1602115
2017-07-13,970.8,978.7,964.8,968.85,1524571
2017-07-14,974.0,977.54,970.15,976.91,1079608
2017-07-17,976.32,983.35,970.8,975.96,1660464
2017-07-18,973.36,990.85,972.04,986.95,1413335
2017-07-19,990.01,995.6,987.01,992.77,1412148
2017-07-20,997.0,998.68,984.62,992.19,1418385
2017-07-21,989.0,995.11,984.17,993.84,1463322
2017-07-24,994.1,1006.19,990.2728,998.31,3984532
2017-07-25,970.7,976.73,963.8,969.03,5933602
2017-07-26,972.78,973.95,960.23,965.31,2221625
2017-07-27,969.18,969.52,937.06,952.51,3717900
2017-07-28,947.99,961.79,945.31,958.33,1813794
2017-07-31,960.0,961.1925,941.725,945.5,2293389
2017-08-01,947.81,954.49,944.96,946.56,1332456
2017-08-02,948.37,949.1,932.521,947.64,2039418
2017-08-03,949.1,950.0,939.44,940.3,1123921
2017-08-04,943.95,947.54,939.795,945.79,1254574
2017-08-07,947.52,948.96,943.5,945.75,1445754
2017-08-08,944.29,952.49,942.48,944.19,1505064
2017-08-09,938.45,943.76,933.92,940.08,1400852
2017-08-10,935.0,936.3,921.7768,923.59,2707393
