date,open,high,low,close,volume
2017-06-08,49.6466,49.6466,49.1693,49.5416,756348
2017-06-09,49.5989,49.6514,49.2361,49.5416,989629
2017-06-12,49.6371,49.6848,49.1884,49.5607,756606
2017-06-13,49.5894,49.8233,49.1693,49.2743,526002
2017-06-14,49.4652,49.5034,49.007,49.3793,1835506
2017-06-15,48.9454,49.9868,48.9454,49.8518,901714
2017-06-16,49.4854,50.0157,49.3879,49.5047,950266
2017-06-19,49.6493,50.0254,49.5529,49.9386,751098
2017-06-20,49.765,50.0447,49.1479,49.524,817005
2017-06-21,49.6782,49.7747,49.1768,49.3407,521466
2017-06-22,49.4661,49.8132,49.1767,49.5529,571301
2017-06-23,49.8422,49.9193,49.389,49.4468,1158393
2017-06-26,49.5529,49.8614,49.3407,49.4661,845756
2017-06-27,49.5336,49.5722,48.7043,48.7622,735035
2017-06-28,48.9647,49.4468,48.955,49.1286,906872
2017-06-29,49.1961,49.63,48.6851,49.119,950115
2017-06-30,48.9936,49.4179,48.8586,49.2058,852581
2017-07-03,49.4179,50.0157,49.3311,49.9675,721219
2017-07-05,49.9386,50.3436,49.7457,50.2086,1345219
2017-07-06,49.9964,50.1218,49.1286,49.1575,1132568
2017-07-07,49.4082,49.5432,49.1575,49.3407,931190
2017-07-10,49.1575,49.5529,48.444,48.4633,3086739
2017-07-11,48.5983,48.7815,48.2029,48.5019,1223035
2017-07-12,48.7043,48.9936,48.0294,48.5019,2249061
2017-07-13,48.4536,48.7622,48.1161,48.444,1330349
2017-07-14,48.6658,48.6851,48.3186,48.5019,867881
2017-07-17,48.7429,49.0418,48.5838,48.7911,806399
2017-07-18,48.6079,48.849,48.2126,48.4151,1288532
2017-07-19,49.225,49.8422,48.9261,49.8132,2027064
2017-07-20,49.9386,49.9386,49.3118,49.495,954990
2017-07-21,49.4372,49.8904,49.4275,49.7457,713600
2017-07-24,49.6011,50.0832,49.4372,49.8325,774128
2017-07-25,49.8036,50.8257,49.6686,50.6811,1557396
2017-07-26,50.8353,50.8353,50.1989,50.3821,749952
2017-07-27,50.3629,50.3629,49.5336,50.0254,1061337
2017-07-28,50.0254,50.1796,49.4179,49.4854,773323
2017-07-31,49.659,49.6975,48.3669,48.3958,1401994
2017-08-01,48.6851,48.9647,48.0197,48.2029,1606303
2017-08-02,49.2443,50.8836,49.1286,50.3532,3343113
2017-08-03,50.2279,50.5461,49.8904,49.9675,1426152
2017-08-04,50.0543,50.2086,49.6782,50.0254,1104238
2017-08-07,49.2058,50.3243,49.2058,50.2375,986658
2017-08-08,50.2664,50.3532,49.7747,49.9097,1030657
2017-08-09,49.8036,50.4786,49.7843,50.4111,1453402
2017-08-10,50.1604,50.5461,49.3022,49.4565,1583637
2017-08-11,49.7843,49.9289,49.09,49.3793,918377
2017-08-14,49.63,50.17,49.4275,49.9482,651250
2017-08-15,49.9193,50.1121,49.5432,49.5625,733815
2017-08-16,49.7843,50.2857,49.5432,50.0254,689311
2017-08-17,49.9675,50.1796,49.3504,49.3697,612463
2017-08-18,49.3986,49.524,49.0708,49.3407,717034
2017-08-21,49.2733,49.5047,49.037,49.1575,770194
2017-08-22,49.3215,49.8904,49.1383,49.8518,917405
2017-08-23,49.7168,50.6907,49.6397,50.1796,1512254
2017-08-24,50.2086,50.8431,50.0736,50.3146,1297821
2017-08-25,50.5364,50.9125,50.4496,50.6521,627709
2017-08-28,50.7003,50.9125,50.0736,50.1893,654662
2017-08-29,49.8904,50.0929,49.5047,49.6493,870113
2017-08-30,49.5529,49.9964,49.4468,49.8807,743241
2017-08-31,49.9772,50.1411,49.4565,49.659,957043
2017-09-01,49.8614,50.2954,49.7361,49.9675,796270
2017-09-05,49.8422,50.1121,49.1575,49.6204,937583
2017-09-06,49.7554,50.3918,49.5047,50.2471,1030142
2017-09-07,50.3629,50.4593,49.9097,50.1025,677296
2017-09-08,49.8325,50.6907,49.8132,50.3918,740497
2017-09-11,50.6714,50.6714,50.1314,50.2857,989376
2017-09-12,50.5846,50.7775,49.8132,50.1507,1622202
2017-09-13,50.2578,51.2901,50.2189,51.1635,1185324
2017-09-14,51.0553,51.5863,50.898,51.4388,927320
2017-09-15,51.3897,51.665,51.134,51.606,1152737
2017-09-18,51.8125,51.8125,51.3897,51.6158,678563
2017-09-19,51.6355,51.6601,50.9767,51.075,870337
2017-09-20,50.7603,51.3503,50.7603,51.311,639396
2017-09-21,51.3307,51.5077,50.9373,51.134,649583
2017-09-22,51.2127,51.6158,51.1832,51.5372,461826
2017-09-25,51.6257,52.8548,51.5568,52.314,1045671
2017-09-26,52.5598,52.9532,52.4468,52.786,1058679
2017-09-27,52.904,53.2482,52.609,53.1302,736541
2017-09-28,53.0515,53.2088,52.7743,53.14,476892
2017-09-29,53.0515,53.2482,52.5598,53.0712,780394
2017-10-02,53.1597,53.2973,52.6975,53.258,717945
2017-10-03,53.4252,53.5825,53.1302,53.5137,722646
2017-10-04,53.5235,53.9562,53.3563,53.8579,782716
2017-10-05,53.9464,53.9857,53.5039,53.8775,874691
2017-10-06,53.8579,53.8775,52.7565,52.9335,1213366
2017-10-09,52.963,53.3072,52.7663,53.022,843170
2017-10-10,52.9728,53.4444,52.9716,53.3563,659191
2017-10-11,53.3662,53.6612,53.1892,53.4744,619678
2017-10-12,53.4842,53.8382,53.3563,53.789,865171
2017-10-13,53.8087,54.5757,53.7399,54.2512,1343044
2017-10-16,54.2315,54.497,53.9955,54.2315,839460
2017-10-17,54.4282,54.7035,54.2315,54.2807,592472
2017-10-18,54.2217,54.4085,53.9562,54.1627,759045
2017-10-19,54.0054,54.6642,53.6612,54.5265,801860
2017-10-20,54.6445,54.9395,54.5954,54.8707,743326
2017-10-23,54.9887,55.0477,54.733,54.8707,785393
2017-10-24,55.0575,55.4902,54.7822,55.4705,1007051
2017-10-25,55.4017,55.7459,55.1362,55.6082,1229517
2017-10-26,55.7655,55.8049,55.205,55.5295,653483
2017-10-27,55.5394,55.795,54.3004,55.3525,821594
2017-10-30,55.2739,55.6574,54.9789,55.5492,773643
2017-10-31,55.7852,56.1392,55.2739,55.6672,1574011
2017-11-01,56.6604,59.4334,56.6506,58.8041,3488834
2017-11-02,58.7058,58.7156,57.3094,57.8797,2388274
2017-11-03,57.9781,58.5877,57.6437,58.5583,1112177
2017-11-06,58.6566,59.0499,58.0567,58.3124,1071071
2017-11-07,58.0961,58.4402,57.8306,58.2239,832275
2017-11-08,58.3026,58.8041,57.9291,58.6566,828090
2017-11-09,58.2141,58.7844,58.0174,58.7254,1233898
2017-11-10,58.5484,60.0234,58.4796,59.8169,1644887
2017-11-13,59.7973,59.7973,59.0499,59.5711,1404378
2017-11-14,59.5121,60.2593,59.2269,59.7383,1099288
2017-11-15,59.5023,59.7776,59.1089,59.2859,937499
2017-11-16,59.4924,59.9054,59.2171,59.7383,859137
2017-11-17,59.6694,60.7216,59.6031,60.4266,1060027
2017-11-20,60.4069,60.7708,60.1218,60.4954,957447
2017-11-21,60.8593,61.5673,60.7216,61.4493,1125236
2017-11-22,61.3313,61.3313,60.2201,60.5053,1030725
2017-11-24,60.6626,61.2428,60.1906,60.7609,317233
2017-11-27,60.8101,61.0461,60.6429,60.6724,562648
2017-11-28,60.8789,61.941,60.8789,61.8721,808198
2017-11-29,61.8033,62.0983,61.2625,61.3608,959648
2017-11-30,61.469,61.6361,60.9871,61.0461,1354069
2017-12-01,61.1543,61.292,59.3548,60.2103,1120291
2017-12-04,60.5151,60.8199,59.8169,59.8366,1090745
2017-12-05,60.0923,61.0559,59.7678,60.4954,1348580
2017-12-06,60.5938,60.8494,60.1906,60.4364,1011157
2017-12-07,60.3381,60.5544,60.0529,60.2496,902312
2017-12-08,60.2988,61.2723,60.2988,61.233,968077
2017-12-11,61.0264,61.292,60.5938,60.9281,1080963
2017-12-12,60.9674,61.0461,59.9104,60.1119,892269
2017-12-13,60.0726,60.1709,59.7481,59.8169,1188775
2017-12-14,60.0252,60.2037,58.9542,58.9641,1261364
2017-12-15,58.1509,58.4782,56.9114,57.8733,5300609
2017-12-18,58.0121,58.6468,57.7939,58.141,1650484
2017-12-19,58.3889,58.7162,58.0319,58.0914,1190487
2017-12-20,58.4683,58.4782,58.1212,58.3096,988441
2017-12-21,58.6567,59.0434,58.26,58.6765,1240552
2017-12-22,58.7261,58.9641,58.5873,58.6864,494054
2017-12-26,58.6269,59.2517,58.5278,58.7757,356007
2017-12-27,58.8451,59.2418,58.7856,58.9641,403798
2017-12-28,58.974,59.3509,58.974,59.2715,415314
2017-12-29,59.2715,59.4798,58.8947,59.0732,497175
2018-01-02,59.1426,59.3608,58.6964,59.0434,885433
2018-01-03,59.1624,59.7971,59.0633,59.7673,655196
2018-01-04,59.7376,59.8516,59.2914,59.7673,1096045
2018-01-05,59.8863,59.9954,59.1228,59.2418,843063
2018-01-08,59.1029,59.8764,58.6765,59.8368,1263414
2018-01-09,60.0252,60.0847,59.2418,59.3509,975029
2018-01-10,59.3409,60.2037,59.1724,59.9657,759032
2018-01-11,59.9558,61.0763,59.9161,60.9078,915813
2018-01-12,60.9573,61.4631,60.8582,61.4433,1483275
2018-01-16,61.6317,62.1176,60.8433,60.9375,1612845
2018-01-17,61.3143,62.5737,61.28,62.5142,1099933
2018-01-18,62.4151,62.8117,62.3457,62.7126,820174
2018-01-19,62.9704,63.377,62.5236,63.3373,1216084
2018-01-22,62.8911,63.5158,62.6119,63.5059,1038236
2018-01-23,63.5555,64.091,63.3175,63.9819,861257
2018-01-24,64.2992,64.4182,63.2382,63.6745,1385391
2018-01-25,63.9026,63.9869,63.0002,63.2183,1248016
2018-01-26,63.5952,64.0612,63.4464,64.0414,912250
2018-01-29,63.4067,63.9819,62.9803,63.1787,1092879
2018-01-30,62.9109,63.02,62.2961,62.544,1185886
2018-01-31,62.6332,63.0101,61.9787,62.4151,3278060
2018-02-01,62.2663,62.6615,61.4631,62.1572,1298502
2018-02-02,62.0878,62.8117,61.7705,61.8895,975208
2018-02-05,61.6019,62.2663,60.2731,60.283,1510144
2018-02-06,59.4996,62.0283,58.6775,61.7903,1589831
2018-02-07,62.8712,63.3175,60.5904,62.5539,1630082
2018-02-08,62.5737,62.8514,60.5904,60.6202,1293636
2018-02-09,61.235,61.6317,59.1129,60.7094,1387414
2018-02-12,61.0466,61.8796,61.0268,61.4532,1170595
2018-02-13,61.5028,62.0581,60.7491,61.9093,1126702
2018-02-14,61.6713,63.6646,61.1789,63.4662,1091790
2018-02-15,63.8728,64.4976,63.3968,64.329,1340697
2018-02-16,64.2497,64.9636,64.0811,64.6661,1156488
2018-02-20,64.6562,65.4099,64.1406,64.3191,2661878
2018-02-21,60.3524,62.663,59.5591,61.349,3992800
2018-02-22,61.7011,62.0977,59.2616,59.8863,2014411
2018-02-23,59.7475,60.2979,59.0732,59.8467,1643892
2018-02-26,60.0053,60.4119,59.5492,60.1442,1415341
2018-02-27,59.9756,60.2533,59.5492,59.7178,1357571
2018-02-28,59.9359,60.1938,58.736,58.7459,861691
2018-03-01,58.6567,59.2963,57.784,58.3691,1362992
2018-03-02,58.1708,59.0236,57.3527,58.9244,936753
2018-03-05,58.5179,59.394,58.3691,59.1029,938102
2018-03-06,59.1327,59.3211,58.6071,59.3112,921268
2018-03-07,58.8749,59.5591,58.7757,59.4897,897168
2018-03-08,59.9954,61.5982,59.0732,59.3905,841023
2018-03-09,59.5393,60.5111,59.4401,60.4813,965091
2018-03-12,60.5508,60.878,60.1442,60.5012,691517
2018-03-13,60.9871,61.2648,60.402,60.64,912073
2018-03-14,61.04,61.15,59.97,60.26,883057
2018-03-15,60.44,60.6,59.56,59.68,871674
2018-03-16,59.72,60.28,59.51,60.11,2888925
2018-03-19,59.78,60.0,59.36,59.84,905382
2018-03-20,59.95,60.14,59.7,59.99,934685
2018-03-21,59.94,60.18,59.48,59.51,704358
2018-03-22,59.13,59.44,58.33,58.34,921767
2018-03-23,58.64,58.81,57.66,57.68,747284
2018-03-26,58.27,58.96,58.06,58.69,788913
2018-03-27,58.71,59.34,57.81,58.14,781611
2018-03-28,58.2,58.86,57.84,58.21,720334
2018-03-29,58.61,59.27,58.2,58.93,736210
2018-04-02,58.79,58.79,57.29,58.06,849729
2018-04-03,58.34,58.91,57.83,58.8,699590
2018-04-04,58.13,59.4,57.87,59.33,1054574
2018-04-05,59.63,59.79,59.2,59.65,1183588
2018-04-06,59.3,59.65,57.88,58.42,748783
2018-04-09,58.69,59.17,58.38,58.51,671214
2018-04-10,59.24,59.68,58.905,59.37,645830
2018-04-11,59.14,59.455,59.02,59.29,678390
2018-04-12,59.45,59.66,59.24,59.3,595489
2018-04-13,59.61,59.61,58.81,59.03,655057
2018-04-16,59.4,59.7,58.9325,59.43,708713
2018-04-17,59.94,60.11,59.65,59.92,918150
2018-04-18,59.96,60.38,59.78,59.98,733181
2018-04-19,59.86,59.86,58.77,59.23,578808
2018-04-20,59.35,59.49,58.58,58.94,573829
2018-04-23,58.96,59.0,57.81,58.09,1066312
2018-04-24,58.25,58.68,57.4,57.66,900756
2018-04-25,57.71,57.98,57.01,57.83,795790
2018-04-26,58.3,58.975,58.16,58.96,973980
2018-04-27,58.64,59.54,58.46,59.26,1082880
2018-04-30,59.17,59.24,58.55,58.67,908607
2018-05-01,58.32,59.1,57.91,58.99,1238515
2018-05-02,60.95,62.46,60.33,61.95,2673048
2018-05-03,62.0,62.0,60.03,60.35,1793977
2018-05-04,60.0,60.28,59.7,59.89,1528258
