date,open,high,low,close,volume
2017-06-20,12.9236,12.9625,12.8555,12.8652,5549087
2017-06-21,12.9041,12.9041,12.6902,12.6999,7800595
2017-06-22,12.6708,12.7097,12.4374,12.5832,7962618
2017-06-23,12.6319,12.6999,12.3304,12.3596,15526066
2017-06-26,12.3693,12.6221,12.3596,12.4374,10510540
2017-06-27,12.5443,12.6902,12.4665,12.5541,10695640
2017-06-28,12.661,12.8555,12.6416,12.7777,8820962
2017-06-29,13.2153,13.4049,12.8652,13.0111,15035768
2017-06-30,13.0986,13.2445,12.9528,13.1472,17302122
2017-07-03,13.2639,13.4292,13.191,13.3709,4809892
2017-07-05,13.3904,13.5362,13.3126,13.4195,11309139
2017-07-06,13.4195,13.5168,13.2639,13.2834,10690870
2017-07-07,13.3223,13.3904,13.2153,13.3126,10691065
2017-07-10,13.2445,13.3806,13.2056,13.3126,8233577
2017-07-11,13.3028,13.439,13.2591,13.332,9747176
2017-07-12,13.2834,13.3806,13.2153,13.3515,11150128
2017-07-13,13.3709,13.4973,13.3126,13.4876,7108678
2017-07-14,13.3515,13.4973,13.1861,13.4098,8334984
2017-07-17,13.4098,13.4487,13.2834,13.4292,5953903
2017-07-18,13.3223,13.3904,13.2348,13.332,7679816
2017-07-19,13.3806,13.4487,13.2542,13.3223,6141545
2017-07-20,13.3223,13.439,13.1861,13.1861,11204144
2017-07-21,13.1181,13.2931,12.5443,12.6124,22572749
2017-07-24,12.6319,12.9139,12.6319,12.8263,11629861
2017-07-25,13.0792,13.1375,12.8263,13.0306,19004054
2017-07-26,13.0597,13.0694,12.768,12.8166,9282884
2017-07-27,12.8069,12.8652,12.6999,12.7583,13071008
2017-07-28,12.7291,12.8555,12.661,12.8069,7231729
2017-07-31,12.8361,13.0014,12.8263,12.8847,7563482
2017-08-01,12.9722,13.0014,12.875,12.9528,8544584
2017-08-02,12.9333,13.0111,12.8263,12.9528,7145596
2017-08-03,12.9041,13.0014,12.7485,12.7972,13027724
2017-08-04,12.9333,13.1181,12.8652,12.9333,9120948
2017-08-07,12.9333,12.9819,12.875,12.9139,5434266
2017-08-08,12.875,13.1861,12.8652,12.9819,8658454
2017-08-09,12.875,12.9139,12.7437,12.8069,8095206
2017-08-10,12.6999,12.7485,12.452,12.4568,8248788
2017-08-11,12.6319,12.6319,12.3158,12.3693,7865786
2017-08-14,12.5054,12.6416,12.4568,12.6027,5664764
2017-08-15,12.6124,12.7777,12.6124,12.6416,5180434
2017-08-16,12.661,12.7194,12.5346,12.6416,8857871
2017-08-17,12.5832,12.627,12.2818,12.2915,10454163
2017-08-18,12.2526,12.4228,12.1943,12.311,7073309
2017-08-21,12.2818,12.3304,12.1943,12.2526,5118092
2017-08-22,12.3012,12.379,12.2818,12.3499,4258174
2017-08-23,12.2429,12.3985,12.2137,12.3207,6006012
2017-08-24,12.3693,12.4082,12.2866,12.3499,4900230
2017-08-25,12.3887,12.4811,12.3596,12.4082,7728253
2017-08-28,12.4374,12.486,12.311,12.3693,5827509
2017-08-29,12.204,12.3061,12.1262,12.2429,6435206
2017-08-30,12.2137,12.3596,12.1943,12.3207,4608222
2017-08-31,12.4082,12.4082,12.2332,12.2429,6058882
2017-09-01,12.2818,12.4665,12.2623,12.3499,6547090
2017-09-05,12.2818,12.3012,12.0387,12.0387,12243933
2017-09-06,12.1067,12.204,12.063,12.1651,8174787
2017-09-07,12.1651,12.1748,11.8053,11.8442,11028174
2017-09-08,11.8345,12.0776,11.815,11.9803,8736458
2017-09-11,12.1359,12.2526,12.1262,12.1943,9042601
2017-09-12,12.1943,12.5249,12.1796,12.4374,9006502
2017-09-13,12.4276,12.5443,12.3596,12.5443,9568735
2017-09-14,12.6416,12.6513,12.3985,12.4471,12740019
2017-09-15,12.4275,12.496,12.3003,12.4862,16063966
2017-09-18,12.5449,12.8777,12.496,12.8092,10664430
2017-09-19,12.7994,13.0146,12.7504,12.9657,7600677
2017-09-20,12.9462,13.0929,12.7896,13.0734,9330781
2017-09-21,13.044,13.1777,13.0342,13.1125,5855817
2017-09-22,13.044,13.1027,12.9853,13.1027,6182969
2017-09-25,13.0538,13.2104,12.9755,13.0929,5371557
2017-09-26,13.1614,13.1908,13.0636,13.1614,6287544
2017-09-27,13.3278,13.6116,13.2691,13.455,11232999
2017-09-28,13.4844,13.6067,13.3767,13.5724,15272894
2017-09-29,13.5822,13.7486,13.4941,13.6605,8818478
2017-10-02,13.7094,13.7388,13.5284,13.7388,9670712
2017-10-03,13.729,13.729,13.455,13.6018,9062995
2017-10-04,13.6018,13.6262,13.455,13.4648,4382813
2017-10-05,13.4941,13.6996,13.4256,13.6605,4557105
2017-10-06,13.6996,13.7975,13.5333,13.6018,6774686
2017-10-09,13.6311,13.6703,13.5333,13.5528,5385371
2017-10-10,13.5528,13.7143,13.5528,13.6801,6637404
2017-10-11,13.6018,13.6311,13.4746,13.5528,8996261
2017-10-12,13.5724,13.6213,13.455,13.4941,5982742
2017-10-13,13.4452,13.6116,13.3082,13.4061,7185561
2017-10-16,13.4354,13.6213,13.4354,13.6213,8487684
2017-10-17,13.6898,13.6898,13.4844,13.5137,5243775
2017-10-18,13.5626,13.6801,13.5137,13.6507,6675780
2017-10-19,13.5235,13.7388,13.455,13.6801,7518016
2017-10-20,13.866,13.9443,13.7926,13.8856,8030500
2017-10-23,13.8953,13.9051,13.7598,13.8073,5684316
