date,open,high,low,close,volume
2017-06-20,21.7301,21.7398,21.2645,21.4197,4525803
2017-06-21,21.41,21.5264,21.2354,21.3809,2847429
2017-06-22,21.4003,21.6428,21.2354,21.5846,2548100
2017-06-23,21.5652,21.9533,21.4585,21.9242,3735839
2017-06-26,21.963,22.1376,21.9387,22.0697,3155586
2017-06-27,22.0697,22.2831,22.0309,22.157,3319100
2017-06-28,22.2637,22.6226,22.1667,22.1667,3246818
2017-06-29,22.2249,22.5111,22.0309,22.3025,6977722
2017-06-30,22.4868,22.5935,22.3704,22.4674,5002496
2017-07-03,22.4674,22.6275,22.3801,22.5644,1593569
2017-07-05,22.5644,22.5838,22.3122,22.4868,4922499
2017-07-06,22.4092,22.4092,21.7107,21.8562,3763801
2017-07-07,21.9339,22.3219,21.7786,22.2443,2756785
2017-07-10,22.1861,22.5062,22.0891,22.2249,4560863
2017-07-11,22.1182,22.1473,21.8465,22.0115,3469490
2017-07-12,22.0988,22.2734,21.9533,22.1764,2655502
2017-07-13,22.2637,22.5353,22.1861,22.3607,2014796
2017-07-14,22.3801,22.4286,21.9242,22.0115,3886637
2017-07-17,22.0697,22.4189,22.0648,22.2346,4933521
2017-07-18,22.1667,22.2734,21.8077,22.1473,3404172
2017-07-19,22.1764,22.4868,22.0697,22.4577,2286118
2017-07-20,22.545,22.7099,22.482,22.5644,3160811
2017-07-21,22.5644,22.8457,22.448,22.8457,2138055
2017-07-24,22.7487,22.7972,22.4868,22.545,1460652
2017-07-25,22.5353,23.0107,22.4092,22.8651,2356045
2017-07-26,22.8651,22.8943,22.6323,22.6905,3117855
2017-07-27,22.7778,22.7971,22.1812,22.4286,3618593
2017-07-28,22.351,22.7245,22.351,22.5741,3744982
2017-07-31,22.5741,22.6905,22.1667,22.2346,6361637
2017-08-01,23.2241,23.6315,23.1465,23.5636,6537460
2017-08-02,23.2629,23.8546,22.6908,22.9428,12215587
2017-08-03,23.0495,23.3308,22.8846,23.1271,4401535
2017-08-04,23.2241,23.6315,23.1465,23.5636,6537460
2017-08-07,23.5636,23.8158,23.4763,23.5636,7655315
2017-08-08,23.8061,24.0535,23.68,23.8837,7161097
2017-08-09,23.7576,23.8643,23.5103,23.583,3747771
2017-08-10,23.389,23.4569,22.9719,23.2338,3972489
2017-08-11,22.9019,23.4876,22.5407,23.3607,3757495
2017-08-14,23.5266,23.7561,23.3412,23.634,2594954
2017-08-15,23.5462,23.6047,23.1557,23.4778,3280608
2017-08-16,23.5266,23.8195,23.3656,23.7316,3206015
2017-08-17,23.5266,23.6536,23.3021,23.3119,2707192
2017-08-18,23.2045,23.2435,22.7262,22.9702,3650001
2017-08-21,22.8921,22.9116,22.6188,22.7457,3627980
2017-08-22,22.8433,22.9604,22.6188,22.8921,2106852
2017-08-23,22.7554,23.0093,22.7457,22.9312,1754697
2017-08-24,23.2045,23.4876,23.0678,23.2826,2631971
2017-08-25,23.3412,23.8195,23.3412,23.6926,2847364
2017-08-28,23.6828,23.9513,23.5852,23.9269,3384974
2017-08-29,23.7414,23.9269,23.5462,23.8097,3131637
2017-08-30,23.7121,23.7512,23.4583,23.5559,3068861
2017-08-31,23.5559,23.8878,23.5169,23.6828,4124152
2017-09-01,23.7512,24.249,23.6828,24.1612,3040400
2017-09-05,24.1124,24.2295,23.8683,24.0928,3843214
2017-09-06,24.0928,24.7274,24.0245,24.6298,5677795
2017-09-07,24.6688,24.8152,24.4833,24.5321,3453213
2017-09-08,24.5517,24.6005,24.1709,24.5321,3255105
2017-09-11,24.5712,24.8396,24.5614,24.825,3237749
2017-09-12,24.7957,25.0398,24.7177,24.991,3131848
2017-09-13,25.0202,25.1179,24.9031,25.0593,2614300
2017-09-14,24.9812,24.9812,24.4394,24.6298,3873791
2017-09-15,24.6005,24.7249,24.5321,24.6688,4230588
2017-09-18,24.7567,24.7567,24.0831,24.1417,3065268
2017-09-19,24.1905,24.3369,23.9757,24.1221,4187609
2017-09-20,24.3174,24.3174,23.9367,24.0538,2712831
2017-09-21,23.6828,24.0099,23.3119,23.9171,5805738
2017-09-22,23.9171,24.0538,23.8302,23.9562,3045782
2017-09-25,23.9171,24.2198,23.5852,23.634,4478623
2017-09-26,23.7024,24.0343,23.6633,23.9952,4688052
2017-09-27,23.9757,24.6395,23.9269,24.5907,6117989
2017-09-28,24.5419,24.5517,23.6487,23.9074,6517237
2017-09-29,23.9562,24.3418,23.9367,24.0538,3278397
2017-10-02,24.0538,24.3955,23.8244,24.3857,2928710
2017-10-03,24.3857,24.4052,23.2338,23.2924,8235399
2017-10-04,23.3021,23.3802,23.0288,23.1557,7478328
2017-10-05,23.185,23.2484,22.7066,23.2045,4353341
2017-10-06,23.1264,23.2338,22.9214,23.185,2983894
2017-10-09,23.185,23.2289,22.6871,22.9604,3412223
2017-10-10,23.0093,23.4095,23.0093,23.224,2588674
2017-10-11,23.1752,23.2924,22.9257,23.0971,1952955
2017-10-12,23.0385,23.1459,22.7945,23.1166,2197179
2017-10-13,23.0874,23.429,23.0385,23.1654,2488985
2017-10-16,23.1264,23.185,22.7066,22.8335,3704982
2017-10-17,22.8335,23.019,22.5212,22.5797,4062155
2017-10-18,22.9409,23.5462,22.365,22.6578,8247045
2017-10-19,22.5016,22.6969,22.4333,22.5992,2675390
2017-10-20,22.7652,23.1362,22.7262,22.9312,3548110
2017-10-23,23.0093,23.2826,22.2283,22.3161,7411281
2017-10-24,22.6383,22.7359,22.3552,22.5602,5427616
2017-10-25,21.994,22.4626,21.8476,22.2478,7896709
2017-10-26,22.2869,22.3357,22.0233,22.2771,4970059
2017-10-27,22.2478,22.2478,21.7597,21.9842,7203551
2017-10-30,21.9061,22.1697,21.7109,22.1209,5307929
2017-10-31,22.0526,22.0526,21.7695,21.9647,6274784
2017-11-01,22.0428,22.0526,21.1642,21.4864,10759028
2017-11-02,20.4028,20.7152,18.814,19.6023,20509841
2017-11-03,19.6023,19.612,18.8018,18.8994,10645985
2017-11-06,18.8994,19.0556,18.7237,18.8799,11385435
2017-11-07,18.9385,19.0361,18.5285,18.6261,8110903
2017-11-08,18.6651,19.4705,18.6114,19.2216,13026754
2017-11-09,19.2216,19.4266,18.9092,19.0068,5842055
2017-11-10,19.0556,19.202,18.8213,18.8311,4610035
2017-11-13,18.8114,18.9393,18.6933,18.9196,4679180
2017-11-14,18.8016,19.0279,18.6441,18.9393,4785118
2017-11-15,18.9393,18.9688,18.595,18.8803,5089813
2017-11-16,18.8704,18.9196,18.595,18.9098,7612025
2017-11-17,19.0377,19.3132,19.018,19.1853,4823974
2017-11-20,19.1656,19.4903,19.1361,19.4312,4366687
2017-11-21,19.382,19.4312,19.1262,19.1951,6068154
2017-11-22,19.1853,19.7657,19.1558,19.5001,6322435
2017-11-24,19.5198,19.6674,19.4312,19.5001,1619696
