date,open,high,low,close,volume
2017-06-08,29.5801,29.6178,28.9292,29.2028,3382042
2017-06-09,29.1084,29.5518,28.9764,29.4103,2416939
2017-06-12,29.4857,29.8253,29.2735,29.8253,4001213
2017-06-13,29.7781,29.8913,29.6036,29.863,3207815
2017-06-14,30.2592,30.6742,30.0611,30.1554,5060416
2017-06-15,29.9385,30.5422,29.9196,30.3441,2560537
2017-06-16,30.429,30.7119,30.2403,30.6648,4214558
2017-06-19,30.6459,30.9761,30.5044,30.9761,3678451
2017-06-20,30.9572,31.2873,30.91,31.2119,2644875
2017-06-21,31.1836,31.3911,30.9949,31.1741,2954121
2017-06-22,31.1647,31.4382,31.0441,31.2968,2175714
2017-06-23,31.3251,31.7165,31.3251,31.4948,3099982
2017-06-26,31.5797,31.7589,31.4382,31.4854,1881246
2017-06-27,31.3628,31.5326,30.8723,30.8912,4143375
2017-06-28,30.8912,30.9666,30.7402,30.8817,3161736
2017-06-29,30.5799,30.6837,30.1083,30.1649,3331117
2017-06-30,30.2781,30.495,29.969,30.146,2813946
2017-07-03,30.2781,30.7497,30.2026,30.7025,1094126
2017-07-05,30.7968,30.7968,30.2026,30.3252,2311130
2017-07-06,30.1837,30.212,29.382,29.382,4374302
2017-07-07,29.4386,29.5423,29.099,29.4386,2197441
2017-07-10,29.4857,29.5423,29.1273,29.1367,2086180
2017-07-11,29.1933,29.3065,28.967,29.1933,1702415
2017-07-12,29.4386,29.8347,29.3725,29.6838,2517328
2017-07-13,29.665,29.797,29.5235,29.5518,2005766
2017-07-14,29.6367,29.9951,29.6367,29.9574,2362530
2017-07-17,29.9857,30.2309,29.8442,30.1932,3126556
2017-07-18,30.1649,30.429,30.0234,30.2403,2249349
2017-07-19,30.2309,30.5044,30.1083,30.3347,2493602
2017-07-20,30.3818,30.429,29.9385,29.9385,3643086
2017-07-21,29.9196,29.9385,29.6367,29.797,3303960
2017-07-24,29.7215,29.863,29.4669,29.5612,4416547
2017-07-25,29.5706,29.9291,29.316,29.9008,3002233
2017-07-26,29.8347,30.2922,29.8159,30.1743,3315420
2017-07-27,30.0045,30.1837,29.6084,30.0988,3082358
2017-07-28,30.1271,30.2498,29.8536,30.0234,3144336
2017-07-31,30.0328,30.2262,29.731,29.8536,9972117
2017-08-01,28.5643,28.6503,28.2873,28.507,2142910
2017-08-02,28.4199,28.5331,28.0331,28.3255,5740591
2017-08-03,28.2491,28.7171,28.125,28.6789,2967174
2017-08-04,28.5643,28.6503,28.2873,28.507,2143210
2017-08-07,28.4783,28.5547,28.1059,28.23,3501049
2017-08-08,28.0868,28.2969,27.934,28.2778,4181082
2017-08-09,28.3351,28.4306,28.0486,28.0581,2901998
2017-08-10,28.0104,28.1727,27.8337,27.8767,2368366
2017-08-11,27.8576,27.9722,27.6284,27.9531,3230845
2017-08-14,28.039,28.5261,27.9722,28.4593,2821085
2017-08-15,28.3351,28.3351,27.6952,27.8385,4051062
2017-08-16,27.9053,28.1345,27.9053,28.0199,3256604
2017-08-17,28.0295,28.0963,27.8624,27.8862,2796264
2017-08-18,27.9244,27.934,27.5138,27.552,2694241
2017-08-21,27.5997,28.1441,27.4947,28.0581,2386815
2017-08-22,28.0772,28.1154,27.4756,27.6475,3134872
2017-08-23,27.7239,28.1632,27.5997,28.1345,2316948
2017-08-24,28.1441,28.3637,28.0104,28.0868,3109627
2017-08-25,28.2014,28.3637,28.0772,28.2109,2389127
2017-08-28,28.23,28.2587,27.8671,27.9626,1639758
2017-08-29,28.039,28.2778,27.9817,28.1823,3439597
2017-08-30,28.1345,28.2587,27.9626,28.2109,2782085
2017-08-31,28.2587,28.5356,28.2491,28.4688,3045571
2017-09-01,28.4783,28.8222,28.4783,28.784,2500890
2017-09-05,28.7553,29.0227,28.612,28.8126,2904655
2017-09-06,28.8508,29.0609,28.7076,28.7649,4136217
2017-09-07,28.8031,28.9272,28.7123,28.7935,2519252
2017-09-08,28.7744,29.2137,28.6789,28.8508,4924277
2017-09-11,28.889,29.1755,28.8126,28.9654,4214371
2017-09-12,28.9177,29.0323,28.3017,28.4593,2545907
2017-09-13,28.4401,28.4975,28.039,28.1441,5297801
2017-09-14,28.2205,28.3733,28.0008,28.1536,8135031
2017-09-15,28.2109,28.4593,28.1154,28.125,7466018
2017-09-18,28.1536,28.3064,27.9746,28.1154,3817499
2017-09-19,28.1536,28.2969,27.743,27.7907,5575821
2017-09-20,27.8958,28.055,27.6523,27.7334,2746270
2017-09-21,27.7812,27.8289,27.2846,27.2846,3170060
2017-09-22,27.17,27.2655,26.5874,26.6161,4057353
2017-09-25,26.788,27.0172,26.6869,26.8739,2964250
2017-09-26,26.8262,26.8548,26.5683,26.7593,4825583
2017-09-27,26.6256,26.7211,26.2341,26.4155,4138427
2017-09-28,26.4155,26.6495,26.3296,26.597,3178842
2017-09-29,26.5206,26.7211,26.4155,26.5779,3756945
2017-10-02,26.0335,26.1959,25.4844,25.5083,6679788
2017-10-03,25.4987,25.833,25.2791,25.7852,4799022
2017-10-04,25.7852,25.8998,25.5369,25.8425,3385752
2017-10-05,25.8425,26.0526,25.8425,25.9189,3901555
2017-10-06,25.8043,25.8425,25.4032,25.7088,3510297
2017-10-09,25.6706,25.833,25.5942,25.6229,2468502
2017-10-10,25.6515,25.8043,25.0976,25.2504,4228781
2017-10-11,25.3077,25.5751,25.2552,25.2695,2293005
2017-10-12,25.2504,25.3746,25.0785,25.2409,3373565
2017-10-13,25.3555,25.4796,25.1692,25.1836,2850190
2017-10-16,25.2313,25.2791,25.0021,25.0403,3152529
2017-10-17,24.9926,25.3459,24.9353,25.2886,3285876
2017-10-18,25.2886,25.4271,25.2122,25.2791,2745444
2017-10-19,25.2791,25.4414,25.1454,25.174,1816059
2017-10-20,25.174,25.2409,24.983,25.174,2047129
2017-10-23,25.2313,25.26,24.7443,24.8111,2229480
2017-10-24,24.8016,24.8398,24.3623,24.4769,3090768
2017-10-25,24.4482,24.5151,23.9994,24.2286,2947129
2017-10-26,24.4387,24.496,24.0376,24.0758,2462910
2017-10-27,24.028,24.5055,23.9564,24.4196,3767007
2017-10-30,24.4387,24.4816,24.305,24.4482,3332582
2017-10-31,24.4578,24.687,24.1713,24.6774,4634488
2017-11-01,24.7061,24.9639,24.601,24.8493,5109705
2017-11-02,25.7566,26.3773,25.5083,25.7375,8229914
2017-11-03,25.6697,26.2894,25.6697,26.2797,4215912
2017-11-06,26.3088,26.4927,25.9892,25.9892,4193310
2017-11-07,25.9505,26.2216,25.9065,26.1442,3548435
2017-11-08,26.057,26.2119,25.9408,26.1345,5084411
2017-11-09,25.9795,26.3572,25.9795,26.1635,3623813
2017-11-10,25.9989,26.4927,25.9118,26.1538,3328422
2017-11-13,26.1926,26.4443,26.1538,26.3669,3267031
2017-11-14,26.3185,26.4734,26.1635,26.1635,3800656
2017-11-15,22.1068,23.0812,22.0797,22.973,4502864
2017-11-16,26.1054,26.1538,25.8149,25.9892,4430451
2017-11-17,25.9021,26.0473,25.8934,25.9505,2769715
2017-11-20,25.9505,26.0134,25.6987,25.9505,3212549
2017-11-21,26.0183,26.0764,25.9118,25.9505,3468473
2017-11-22,25.9118,26.0764,25.8634,25.8634,2552649
2017-11-24,25.873,26.1442,25.873,26.028,880694
2017-11-27,26.0183,26.0764,25.844,25.844,3106585
2017-11-28,25.8537,25.9311,25.5729,25.7084,2566572
2017-11-29,25.6987,26.0957,25.5438,26.0473,3357969
2017-11-30,25.9795,25.9989,25.4663,25.6019,5115148
2017-12-01,25.6987,25.9214,25.6358,25.8149,3453781
2017-12-04,25.8246,25.9408,25.5438,25.5632,3283526
2017-12-05,25.9408,26.1054,25.6939,25.7181,3769840
2017-12-06,25.7859,25.8053,25.5487,25.7665,1935242
2017-12-07,25.7084,25.9989,25.6697,25.9214,2283103
2017-12-08,25.9602,26.1829,25.8343,25.9311,2763703
2017-12-11,25.9311,25.9795,25.844,25.873,3070857
2017-12-12,25.9214,26.4347,25.8537,26.2797,6450496
2017-12-13,26.3669,26.5599,26.0667,26.1151,5779256
2017-12-14,26.2023,26.2216,25.9457,25.9602,3960415
2017-12-15,26.1248,26.3766,25.9699,25.9795,9652946
2017-12-18,26.1635,26.4347,26.057,26.1248,4185871
2017-12-19,26.0957,26.1442,25.1662,25.2727,5205513
2017-12-20,25.2533,25.3889,25.0016,25.0209,4922188
2017-12-21,24.9725,25.079,24.7111,24.7885,4396550
2017-12-22,24.7595,24.895,24.7014,24.8563,2935933
2017-12-26,24.8854,25.2243,24.8176,25.1274,2547343
2017-12-27,25.2146,25.2921,24.9919,25.05,2332169
2017-12-28,25.0403,25.2146,24.8854,25.2049,3186642
2017-12-29,25.1759,25.4179,25.1468,25.2533,3010650
2018-01-02,25.2533,25.3259,24.9725,25.0887,3661700
2018-01-03,25.1565,25.2921,24.9725,25.079,2804287
2018-01-04,25.079,25.1274,24.4206,24.4593,3702824
2018-01-05,24.4109,24.4303,23.9655,24.2172,4060802
2018-01-08,24.2657,24.3818,24.1204,24.2366,3631662
2018-01-09,24.2463,24.2705,23.704,23.7234,4296793
2018-01-10,23.675,23.675,23.4232,23.5878,3465303
2018-01-11,23.6459,23.8299,23.3361,23.4039,5543966
2018-01-12,23.3554,23.3845,22.8616,22.8907,5104205
2018-01-16,22.9972,23.3167,22.9488,22.9681,3902398
2018-01-17,23.1037,23.1037,22.7488,22.9681,3859981
2018-01-18,22.8616,22.91,22.5663,22.5905,4207187
2018-01-19,22.6099,22.697,22.4259,22.6776,3574090
2018-01-22,22.6486,22.9778,22.6195,22.9003,3710279
2018-01-23,22.9584,23.5878,22.9584,23.5104,5175402
