date,open,high,low,close,volume
2017-06-07,151.2907,151.8873,150.9582,151.5548,3158964
2017-06-08,151.7504,151.8223,150.0096,150.1269,4041556
2017-06-09,150.6159,150.6159,149.4227,149.5987,4705349
2017-06-12,149.4423,149.9313,148.3958,148.8359,4473919
2017-06-13,148.963,150.655,148.7185,150.6061,3753767
2017-06-14,151.1049,153.8238,150.5768,153.3152,5999411
2017-06-15,152.6991,153.814,151.5157,153.325,3972260
2017-06-16,152.8164,153.2468,151.9949,153.1979,9105408
2017-06-19,153.4619,155.5354,152.9534,155.3202,5196140
2017-06-20,155.2419,155.7253,154.1368,154.2052,4201226
2017-06-21,154.44,155.0463,152.9925,153.149,4071298
2017-06-22,153.0023,153.6184,152.0536,152.0634,3347363
2017-06-23,151.7504,151.8189,147.5938,147.985,11422231
2017-06-26,148.3371,148.6305,147.809,148.0926,4128535
2017-06-27,147.7405,149.8824,147.4373,148.8946,4567125
2017-06-28,149.3934,150.078,149.0119,149.8628,5087003
2017-06-29,149.4129,149.6379,148.1904,148.8163,2855395
2017-06-30,149.1586,150.6159,148.9239,150.0291,3640851
2017-07-03,150.9973,151.3885,150.3323,150.6257,1658535
2017-07-05,150.6257,150.9044,148.1317,149.3347,4432537
2017-07-06,148.4349,149.1293,147.897,148.7087,3408538
2017-07-07,148.699,149.5107,148.562,148.8848,3775383
2017-07-10,148.875,148.9141,147.6818,147.8579,5081101
2017-07-11,148.1219,148.474,147.1928,147.2906,5642013
2017-07-12,148.1317,149.7748,147.7698,149.2369,4275878
2017-07-13,149.4618,150.743,149.2467,149.9215,3287961
2017-07-14,149.853,150.2931,148.4838,149.5205,3588437
2017-07-17,149.5401,151.1049,149.364,150.5083,4166618
2017-07-18,150.3714,150.479,148.6403,148.8261,3783567
2017-07-19,149.1978,150.6159,149.1978,149.9313,2808385
2017-07-20,149.2075,149.2173,142.4103,143.7991,18264081
2017-07-21,143.7991,144.2196,142.9188,143.4274,9120167
2017-07-24,143.3883,143.4665,141.0801,141.4029,7295913
2017-07-25,142.5374,144.1609,142.0875,143.7404,5002381
2017-07-26,143.6328,144.0093,142.7526,143.4665,2835975
2017-07-27,142.9677,144.6108,142.6841,144.4837,5399029
2017-07-28,144.6499,145.0118,144.0827,144.826,3421081
2017-07-31,144.7477,146.6842,144.2978,146.3126,5253318
2017-08-01,146.6451,147.5449,146.6255,147.1928,3753303
2017-08-02,146.6451,147.5449,146.6255,147.1928,3754192
2017-08-03,147.3884,148.6892,147.1928,147.4764,5146565
2017-08-04,147.6916,149.3934,147.4862,149.3934,3258581
2017-08-07,149.4716,151.0756,149.1195,149.9802,3833620
2017-08-08,149.9508,150.8115,149.7161,149.9802,3218945
2017-08-09,149.9802,152.1514,149.9508,151.8482,3844857
2017-08-10,151.7797,152.5524,150.4985,150.4985,4433653
2017-08-11,150.7235,152.2981,150.5963,151.4766,3650541
2017-08-14,152.6111,152.6208,150.1856,150.8702,6662484
2017-08-15,150.8848,151.3983,145.002,146.8701,13528650
2017-08-16,148.1219,149.589,147.8383,148.9043,6043875
2017-08-17,148.474,148.8065,146.3224,146.381,4460870
2017-08-18,146.3224,146.3224,143.7306,144.2489,6989147
2017-08-21,143.8675,146.5864,143.6621,145.9214,4222473
2017-08-22,146.0094,147.271,146.0094,146.6158,3268114
2017-08-23,145.315,146.1952,144.1874,145.8236,5235444
2017-08-24,146.4397,147.2906,144.7282,144.9922,3736039
2017-08-25,145.2465,147.2221,145.1389,146.3615,3047971
