date,open,high,low,close,volume
2017-06-08,64.7315,64.9696,64.1364,64.4934,8180391
2017-06-09,64.8208,65.3266,63.5015,64.2256,7990937
2017-06-12,65.773,65.9218,64.7216,65.3167,10162849
2017-06-13,65.6044,66.1499,65.4853,65.9119,5087150
2017-06-14,66.0805,66.3185,65.3465,65.7135,7387165
2017-06-15,65.277,66.4475,64.9993,66.3086,4511143
2017-06-16,66.7252,66.7451,65.8623,65.8722,33236368
2017-06-19,66.0507,66.7649,65.7631,66.2987,4390979
2017-06-20,66.4971,66.5268,65.158,65.3465,4031608
2017-06-21,65.7631,65.8127,64.7513,65.0687,3997012
2017-06-22,64.92,64.9398,64.3645,64.672,2623453
2017-06-23,64.5728,65.0291,64.2355,64.8704,3110891
2017-06-26,64.8505,65.0191,64.4538,64.7017,1736249
2017-06-27,64.5232,64.5728,62.9014,62.9362,3272231
2017-06-28,63.2833,63.5511,62.6584,62.8469,2606962
2017-06-29,62.7378,62.827,61.1607,61.7459,3666783
2017-06-30,62.1426,62.4005,61.3194,61.3491,3555997
2017-07-03,61.4781,61.5772,60.7986,60.8135,1967430
2017-07-05,60.8135,61.2995,60.2481,61.0119,3681417
2017-07-06,60.5258,61.0416,60.1291,60.5853,2926199
2017-07-07,60.7143,61.5078,60.5306,61.2598,4443271
2017-07-10,61.2598,61.7856,61.1309,61.6963,4126259
2017-07-11,61.3888,62.103,61.3194,61.9542,5848808
2017-07-12,62.2914,62.46,61.3392,61.4285,2443988
2017-07-13,61.5376,61.8748,61.2797,61.5772,1780177
2017-07-14,61.4582,62.0335,61.2499,61.9443,3466467
2017-07-17,61.8947,62.3708,61.6764,62.1129,1403118
2017-07-18,62.0534,62.3906,61.8252,61.9839,2219642
2017-07-19,61.9343,62.1426,61.5872,61.6169,1810306
2017-07-20,61.607,61.726,61.0119,61.5078,2172107
2017-07-21,61.3789,61.9839,61.3392,61.9641,1871248
2017-07-24,61.9939,62.2815,61.488,61.5078,1923393
2017-07-25,61.8153,62.6187,61.2202,62.5692,3711538
2017-07-26,63.3825,64.1364,61.5277,62.0137,6574685
2017-07-27,62.3212,62.3212,61.2499,62.0534,2882527
