date,open,high,low,close,volume
2017-06-20,132.5802,132.7763,132.09,132.2567,1930099
2017-06-21,132.3841,132.5214,131.2764,131.6097,2532628
2017-06-22,131.9626,131.9626,131.0705,131.4332,1879414
2017-06-23,131.4038,131.6195,131.0215,131.3548,6316465
2017-06-26,131.7567,132.3547,131.4234,131.6195,1255712
2017-06-27,131.7371,131.8547,130.2471,130.3156,1944347
2017-06-28,131.5705,131.7371,130.8744,131.3352,2410574
2017-06-29,131.3352,131.5116,128.8353,129.7176,1833794
2017-06-30,130.796,131.2371,130.0803,130.6685,1767954
2017-07-03,131.296,131.7959,130.9038,131.0803,904012
2017-07-05,130.9725,131.3744,130.6293,131.1685,1871238
2017-07-06,130.698,131.4724,130.5803,130.747,1430570
2017-07-07,131.0705,131.992,130.8842,131.4822,1730510
2017-07-10,131.443,132.8645,131.1881,132.041,2051422
2017-07-11,132.2469,132.2469,130.8646,131.5803,1942201
2017-07-12,132.2665,132.5802,131.8547,132.1194,1692427
2017-07-13,132.1881,132.8743,132.0018,132.6684,2445544
2017-07-14,132.8449,133.2566,132.4724,133.1586,1794589
2017-07-17,133.2468,133.2468,132.3449,132.5998,1428714
2017-07-18,132.4429,132.6782,132.1096,132.5312,1700786
2017-07-19,132.8351,133.4919,132.639,133.4723,2204476
2017-07-20,133.5017,133.7272,132.2077,132.2959,2943764
2017-07-21,131.0705,134.7173,131.0705,133.6684,3548102
2017-07-24,134.1095,135.2173,134.0507,135.0016,3879936
2017-07-25,135.2859,135.2859,133.835,134.5507,3073882
2017-07-26,134.6193,135.9623,134.1683,135.7663,2680240
2017-07-27,135.629,135.9721,133.6684,134.286,3670422
2017-07-28,134.286,134.5801,133.5115,134.0997,1846783
2017-07-31,134.7173,135.3839,133.3449,133.4429,3858925
2017-08-01,136.8152,137.3152,136.3839,137.2858,3494708
2017-08-02,134.6585,136.1584,134.1683,135.9918,4827345
2017-08-03,135.8545,136.8152,135.3006,136.8152,2555286
2017-08-04,136.8152,137.3152,136.3839,137.2858,3494708
2017-08-07,137.4524,137.4524,135.2271,136.227,3542142
2017-08-08,136.1094,136.8937,135.7761,135.9427,2067757
2017-08-09,136.1584,136.5701,135.482,136.2662,1957614
2017-08-10,135.6094,135.7614,134.3448,134.5409,3064117
2017-08-11,134.1389,134.8644,133.884,133.9036,2347107
2017-08-14,134.4526,135.9525,134.3056,135.5506,2321050
2017-08-15,135.6977,135.9133,134.5703,134.7173,1731489
2017-08-16,135.264,136.4856,135.136,136.0226,2001842
2017-08-17,135.5891,135.8255,133.8258,133.8258,3072369
2017-08-18,133.7076,133.875,132.8308,132.9392,2977551
2017-08-21,132.9293,133.747,132.4959,133.55,1512552
