date,open,high,low,close,volume
2017-06-08,17.7869,17.8258,17.6214,17.7966,12264835
2017-06-09,17.8063,17.8453,17.1346,17.3293,16228672
2017-06-12,17.2731,17.5183,17.0965,17.4202,12527594
2017-06-13,17.4791,17.5968,17.3417,17.4006,9036409
2017-06-14,17.3319,17.4104,16.9494,17.0671,8743126
2017-06-15,16.9494,17.0573,16.8317,16.9396,8765889
2017-06-16,16.9102,17.1161,16.8121,17.0181,14634825
2017-06-19,17.0867,17.4104,17.0573,17.3516,10306329
2017-06-20,17.3417,17.6164,17.3025,17.4889,16282808
2017-06-21,17.4889,17.4987,17.2044,17.3712,14704835
2017-06-22,17.3516,17.4496,17.2486,17.3712,11064581
2017-06-23,17.3712,17.5281,17.224,17.4595,14051542
2017-06-26,17.5477,17.8959,17.5477,17.8126,14175294
2017-06-27,17.7537,17.8322,17.43,17.43,8303899
2017-06-28,17.5379,17.7635,17.4496,17.6851,6161108
2017-06-29,17.5772,17.6458,17.0916,17.2339,9018290
2017-06-30,17.3221,17.3712,17.1161,17.1456,8935331
2017-07-03,17.2535,17.4055,17.2044,17.224,4312603
2017-07-05,17.2339,17.381,17.126,17.3123,13992329
2017-07-06,17.2437,17.2829,16.7728,16.8611,11986446
2017-07-07,16.92,17.0475,16.8366,17.0181,8241012
2017-07-10,17.1946,17.5477,17.1161,17.5281,9820057
2017-07-11,17.4889,17.7733,17.4398,17.5968,12040550
2017-07-12,17.7341,17.8772,17.533,17.6949,10146043
2017-07-13,17.6752,17.8126,17.6066,17.7341,9397027
2017-07-14,17.7439,18.1363,17.7439,18.0676,8174808
2017-07-17,18.0676,18.1461,17.9008,18.1166,9070801
2017-07-18,18.097,18.151,17.9205,18.0382,5426139
2017-07-19,18.0676,18.3422,18.0087,18.3422,10808649
2017-07-20,18.5776,18.6953,18.3913,18.5776,11180816
2017-07-21,18.5776,18.867,18.4845,18.7836,9235767
2017-07-24,18.7542,19.019,18.7346,18.8719,8144841
2017-07-25,18.9013,19.2054,18.7395,19.0387,9266648
2017-07-26,19.0681,19.0975,18.813,18.8915,8027772
2017-07-27,18.9602,19.0779,18.4599,18.8425,14731886
2017-07-28,18.7248,18.8425,18.4599,18.8032,5898307
2017-07-31,18.8327,18.9504,18.6806,18.7346,12771589
2017-08-01,18.8229,18.8425,18.509,18.7346,10779771
2017-08-02,18.8229,18.8425,18.509,18.7346,10780658
2017-08-03,18.7346,18.9896,18.6365,18.9896,14994479
2017-08-04,18.9602,19.2054,18.9013,18.9994,9123018
2017-08-07,18.9994,19.0288,18.8817,18.9504,9191767
2017-08-08,18.9308,19.1073,18.8327,18.9504,11560509
2017-08-09,18.8523,18.97,18.7248,18.9504,7843810
2017-08-10,18.8523,18.9013,18.5188,18.5384,13284580
2017-08-11,18.5776,18.7346,18.4894,18.5384,6609939
2017-08-14,18.7052,18.8327,18.6561,18.7346,7615826
2017-08-15,18.6463,18.7542,18.4992,18.6757,9245951
2017-08-16,18.6169,18.7002,18.509,18.6071,9583136
