date,open,high,low,close,volume
2017-06-20,29.456,29.4656,28.925,29.0698,5388111
2017-06-21,29.1866,30.189,29.099,30.0624,5764712
2017-06-22,30.043,30.4323,29.8921,30.3155,2541282
2017-06-23,30.2084,30.5491,30.0916,30.4128,4498934
2017-06-26,30.4225,30.6249,30.3544,30.4809,2251587
2017-06-27,30.5199,30.7632,30.5004,30.5004,2804379
2017-06-28,30.695,30.7145,29.7325,29.9165,6667122
2017-06-29,29.9943,30.3836,29.7024,30.0527,4841565
2017-06-30,30.1695,30.5539,29.9359,30.0819,5212632
2017-07-03,30.2279,30.7875,30.1403,30.2279,1523886
2017-07-05,30.1792,30.8508,29.8289,30.2084,4271230
2017-07-06,29.9943,30.5637,29.9749,30.442,5022762
2017-07-07,30.5296,30.6318,30.1014,30.5296,2886717
2017-07-10,30.5101,30.6366,30.1306,30.4907,2497817
2017-07-11,30.5004,30.6464,30.2328,30.4809,3345830
2017-07-12,30.6464,30.7534,30.5199,30.6658,1887369
2017-07-13,30.6853,30.7437,30.3544,30.4128,2667215
2017-07-14,30.3739,30.3933,29.6537,29.7121,2126298
2017-07-17,29.6829,29.8532,29.4591,29.498,2816642
2017-07-18,29.498,29.7024,29.2839,29.5369,3089752
2017-07-19,29.6634,29.9262,29.3715,29.4688,2932211
2017-07-20,29.4104,29.9651,29.3374,29.7705,2167047
2017-07-21,29.7121,29.7121,28.9363,29.0017,3036928
2017-07-24,28.953,29.206,28.8755,28.9822,2505969
2017-07-25,29.0503,29.6148,28.9822,29.4104,2678444
2017-07-26,29.4883,29.5368,29.06,29.3715,1888005
2017-07-27,29.4396,29.605,29.1963,29.5953,2263091
2017-07-28,29.5369,29.6391,29.4007,29.4201,1687977
2017-07-31,29.4785,29.7024,29.3471,29.6829,1778576
2017-08-01,29.751,29.9019,29.4591,29.7997,2262124
2017-08-02,29.8775,29.8775,29.3325,29.6537,1677241
2017-08-03,29.6926,29.8678,29.5661,29.7218,2207749
2017-08-04,29.79,29.8906,29.2498,29.2839,2800929
2017-08-07,29.3131,29.5807,29.0781,29.4201,2175525
2017-08-08,29.3909,29.5758,29.1574,29.498,1583821
2017-08-09,29.4104,30.15,29.4104,30.0722,2591934
2017-08-10,29.9749,30.0479,29.5612,29.8094,2892182
2017-08-11,29.6245,30.0381,29.4542,29.8775,1618186
2017-08-14,30.0333,30.5199,30.0333,30.4323,1337550
2017-08-15,30.5296,30.9481,30.4031,30.6464,2431418
2017-08-16,30.6561,30.9383,29.897,29.9165,2695111
2017-08-17,29.897,29.9165,29.2644,29.3909,3610474
2017-08-18,29.3617,29.3812,28.9822,28.9822,2392512
2017-08-21,29.0211,29.1476,28.8362,28.9335,2314475
2017-08-22,28.953,29.5564,28.9238,29.4299,2297150
2017-08-23,29.3228,29.7997,29.2644,29.2644,1919242
2017-08-24,29.3033,29.7802,29.3033,29.6245,1969230
2017-08-25,29.6537,29.7413,28.8946,28.9141,1603935
2017-08-28,28.9919,29.1184,28.3204,28.8167,3079498
2017-08-29,28.5734,28.7486,28.3691,28.4469,3646023
2017-08-30,26.2767,26.9968,25.8485,26.0918,8428397
2017-08-31,26.0334,26.2085,25.829,26.0236,6106333
2017-09-01,26.1307,26.2815,25.8679,26.0528,3595577
2017-09-05,25.9263,26.0918,25.5857,25.683,2583489
2017-09-06,25.7122,25.7122,25.2061,25.3035,4429351
2017-09-07,25.3035,25.537,24.7682,25.0018,2852325
2017-09-08,24.9823,25.391,24.8851,25.3813,2120291
2017-09-11,25.3229,25.8095,25.2159,25.391,3018768
2017-09-12,25.4107,26.0884,25.4009,26.0786,2774483
