date,open,high,low,close,volume
2017-06-20,148.231,149.1032,148.0103,148.682,4481843
2017-06-21,149.488,149.488,147.1851,147.5689,3959668
2017-06-22,148.2982,148.7204,147.4729,148.1542,2376819
2017-06-23,148.0966,148.4229,147.5785,147.8759,3282205
2017-06-26,148.4517,149.4496,148.3749,148.9506,2153494
2017-06-27,148.7299,149.0562,148.2502,148.4901,2386491
2017-06-28,148.8739,149.2577,148.5188,149.037,2220954
2017-06-29,149.0658,149.44,147.4058,147.8951,3262159
2017-06-30,148.0391,148.2502,146.9452,147.6073,3571536
2017-07-03,147.3674,149.7135,147.3098,149.2865,2822651
2017-07-05,149.4688,149.5839,147.4154,147.4537,3564354
2017-07-06,147.1563,147.6073,146.072,146.1967,2757522
2017-07-07,146.4462,147.281,145.9856,146.7533,2460060
2017-07-10,146.7245,147.6648,146.4558,147.2139,3206209
2017-07-11,147.0603,147.4346,145.8993,146.9932,3447509
2017-07-12,147.2714,148.0007,146.8588,147.4825,3097850
2017-07-13,147.4825,147.9527,146.9932,147.4154,2476112
2017-07-14,147.78,148.3605,147.1947,148.0007,3256372
2017-07-17,147.377,147.6553,146.0815,146.8204,4762592
2017-07-18,146.1967,148.0487,145.8513,147.7704,7566818
2017-07-19,143.9514,144.1721,140.7753,141.5621,14293610
2017-07-20,141.5621,142.8095,141.0823,141.6869,7212233
2017-07-21,141.6197,141.8884,140.5834,141.1303,6509459
2017-07-24,141.0536,141.0919,139.9021,140.0844,3877593
2017-07-25,140.641,141.5237,140.1228,140.2763,4208895
2017-07-26,140.3531,140.5354,138.6259,139.4799,3932361
2017-07-27,139.1345,139.5135,137.8295,139.2016,6430841
2017-07-28,138.9522,139.1728,138.0214,138.4532,3054834
2017-07-31,138.5395,139.0673,138.338,138.8178,4355718
2017-08-01,139.1345,139.5087,138.5587,139.288,2549397
2017-08-02,139.2496,139.4127,138.386,138.6067,3540949
2017-08-03,138.5875,139.4607,138.5875,139.0769,3035393
2017-08-04,139.1345,139.5087,138.5587,139.288,2549400
2017-08-07,139.1345,139.2208,136.9755,137.6664,4618284
2017-08-08,137.6954,138.4324,137.6954,137.8021,3298718
2017-08-09,137.453,137.7245,136.91,137.4724,2925770
2017-08-10,137.3463,138.1027,136.9488,137.5403,4525378
2017-08-11,138.1318,138.2675,137.23,137.5403,3004360
2017-08-14,137.6954,138.4324,137.6372,138.0057,2248607
2017-08-15,138.2288,138.9948,136.3185,137.7633,4681545
2017-08-16,137.4918,138.5778,137.3173,138.1803,3287821
2017-08-17,138.1997,138.5584,136.4348,136.4348,4422087
2017-08-18,136.5997,136.8712,135.3488,135.4652,4152714
