date,open,high,low,close,volume
2017-06-08,62.5739,63.0257,62.2891,62.6525,3746112
2017-06-09,62.6918,63.4186,62.4266,62.8293,4046918
2017-06-12,62.7605,63.3302,62.5248,63.2811,3243315
2017-06-13,63.3007,63.6347,63.173,63.3105,2327089
2017-06-14,63.0544,63.7933,62.9963,63.7145,2054930
2017-06-15,63.5372,63.7785,63.212,63.6554,1680497
2017-06-16,63.6751,63.7835,63.4386,63.616,2301383
2017-06-19,63.7835,64.0396,63.616,63.813,2575121
2017-06-20,63.547,63.9214,63.5076,63.5667,1751130
2017-06-21,63.4781,63.547,62.9854,63.3401,2323856
2017-06-22,63.1825,63.547,62.951,63.2022,2360665
2017-06-23,63.5175,63.5372,63.148,63.3303,2372721
2017-06-26,63.3795,63.5766,63.2613,63.3992,1602753
2017-06-27,63.8524,64.7391,63.4189,64.414,3946390
2017-06-28,64.8475,65.2909,64.4337,65.1628,3730061
2017-06-29,65.6554,65.7441,64.6702,64.8672,2860397
2017-06-30,64.9362,65.2712,64.7391,64.946,2373418
2017-07-03,65.0938,65.9116,64.9756,65.6948,1906762
2017-07-05,65.6751,65.9017,64.9953,65.2022,2689116
2017-07-06,65.1923,65.7047,64.8672,64.9953,2717479
2017-07-07,65.1529,65.4731,64.6997,64.946,2591887
2017-07-10,64.9362,65.0544,64.5322,64.5322,3111477
2017-07-11,64.6012,65.1234,64.2761,64.4534,3013826
2017-07-12,64.4731,64.8968,64.2268,64.8968,2661923
2017-07-13,65.6357,66.3401,65.1431,65.8919,3162772
2017-07-14,65.3795,65.3795,64.5027,64.5815,2851591
2017-07-17,64.6406,65.4386,64.4437,64.8475,2122108
2017-07-18,64.6308,64.8687,64.3697,64.749,2012836
2017-07-19,64.9756,65.0347,64.4731,64.749,2031668
2017-07-20,64.6899,65.0051,64.5914,64.8672,1975780
2017-07-21,64.8475,65.7736,64.8475,65.5963,2283550
2017-07-24,65.4978,66.2958,65.3303,65.7638,3596353
2017-07-25,66.2662,66.483,65.3894,65.3992,1757034
2017-07-26,65.35,65.951,65.2416,65.3598,1639051
