date,open,high,low,close,volume
2017-06-20,133.6146,134.7133,133.438,133.595,373698
2017-06-21,134.213,134.7525,133.1241,133.4871,454292
2017-06-22,133.8714,133.8714,132.3931,133.1815,310103
2017-06-23,133.2801,134.7387,132.8711,134.1868,402215
2017-06-26,134.4923,136.0101,133.7926,135.0936,398793
2017-06-27,135.0936,135.133,133.3392,133.4181,296351
2017-06-28,134.2854,134.9654,133.7137,133.9503,376922
2017-06-29,134.0784,134.0784,130.481,131.5553,422866
2017-06-30,131.9298,133.9798,131.9298,133.0534,420047
2017-07-03,133.6448,134.0981,132.886,132.9548,149066
2017-07-05,133.0435,133.4575,131.92,132.2748,401880
2017-07-06,131.3582,131.5455,130.1262,130.2544,276339
2017-07-07,130.3036,130.6979,129.5842,129.9784,420286
2017-07-10,129.9291,130.5993,129.2392,129.7911,325684
2017-07-11,129.9193,130.4613,129.0519,130.0769,288790
2017-07-12,130.7964,131.7919,130.5106,131.6342,354366
2017-07-13,131.6243,131.6539,130.1262,130.8161,516568
2017-07-14,131.033,132.4226,130.55,131.8017,392113
2017-07-17,131.8313,132.4621,131.2104,131.9496,385600
2017-07-18,131.8411,133.7335,131.8411,133.1125,303548
2017-07-19,133.4279,134.3051,132.6887,133.2801,370017
2017-07-20,133.1815,133.1815,130.7471,131.4469,396325
2017-07-21,131.2596,131.2596,129.4955,131.0921,406071
2017-07-24,130.964,130.964,129.3772,130.5993,372201
2017-07-25,131.2498,132.9154,130.9344,131.0625,527563
2017-07-26,131.1217,132.0087,130.8457,131.4568,505701
2017-07-27,131.4469,132.3142,131.1709,131.6539,449936
2017-07-28,131.713,131.8806,130.6782,131.2301,340568
2017-07-31,131.437,132.058,130.9443,131.2596,441236
2017-08-01,132.669,133.0633,132.3339,132.8563,354693
2017-08-02,132.4226,133.6546,131.6342,131.9101,636807
2017-08-03,132.0875,132.9006,131.3286,132.3931,672094
2017-08-04,132.669,133.0633,132.3339,132.8563,354693
2017-08-07,132.8169,133.5265,132.5902,132.8661,439721
2017-08-08,132.738,134.0488,132.4325,132.6986,667605
2017-08-09,134.2558,137.9813,132.669,137.6659,1016974
2017-08-10,137.183,137.5181,134.5613,134.8767,729332
2017-08-11,135.2118,135.2118,132.531,133.4279,371990
2017-08-14,134.246,135.4188,133.9306,135.0837,281173
2017-08-15,135.2414,136.0101,134.6599,135.0936,362376
2017-08-16,135.4089,136.7001,134.9457,136.5424,265505
2017-08-17,135.951,136.3255,133.2752,133.3294,251952
2017-08-18,133.1125,133.8813,132.1762,132.8859,352093
2017-08-21,132.9056,133.3491,132.2157,132.9351,271270
2017-08-22,132.9943,134.0784,132.8859,133.901,180107
2017-08-23,132.8464,133.699,132.6789,133.1717,284559
2017-08-24,133.6546,133.9109,133.1618,133.2801,181388
2017-08-25,133.4673,134.6402,133.4673,133.9601,168842
2017-08-28,134.2854,134.5416,133.5166,134.177,170709
2017-08-29,133.2899,134.4431,132.9844,133.9897,224375
2017-08-30,133.7137,135.3892,133.7137,134.2558,256626
2017-08-31,134.6895,135.0837,134.2065,134.8767,282616
2017-09-01,135.1231,136.3945,135.1231,135.951,205360
2017-09-05,135.7637,137.4687,135.5469,137.252,342249
2017-09-06,137.6856,137.7103,135.9816,137.0549,237420
2017-09-07,137.3111,138.7106,137.3111,138.5332,296659
2017-09-08,138.5037,140.327,138.277,139.7849,268127
2017-09-11,140.7212,141.9532,140.051,141.076,318012
2017-09-12,141.3027,142.0419,140.4502,141.145,416916
2017-09-13,141.0267,141.6181,140.6572,141.076,284791
2017-09-14,140.8198,141.8251,140.6128,141.5885,232077
2017-09-15,141.49,142.0518,141.1549,141.7068,394296
2017-09-18,141.9532,142.3573,141.1943,142.0616,192630
2017-09-19,142.3179,142.6332,141.692,142.5347,159387
2017-09-20,142.5544,143.4217,142.0419,142.9191,267456
2017-09-21,142.7515,143.0423,141.3323,141.6969,371687
2017-09-22,141.7464,143.0537,141.38,142.816,381498
2017-09-25,142.5585,143.5884,142.0138,143.4894,257384
2017-09-26,144.0836,144.4797,142.4099,142.4396,221438
2017-09-27,142.6377,142.6377,138.3298,139.6568,667918
2017-09-28,139.4885,141.8653,139.4885,141.2215,255309
2017-09-29,141.2017,141.995,141.0977,141.5285,266892
2017-10-02,141.8851,143.2319,141.5979,143.0735,395315
2017-10-03,143.3607,144.5094,142.8358,144.4995,352367
2017-10-04,144.4401,145.4954,143.9747,145.2324,267157
2017-10-05,145.7573,146.0742,145.0393,145.8266,407818
2017-10-06,145.173,145.4255,143.5587,144.2222,296877
2017-10-09,144.2024,145.6335,144.0836,144.965,436778
2017-10-10,144.9749,146.8961,144.866,146.8268,415493
2017-10-11,146.7773,147.0546,145.6087,146.3019,293672
2017-10-12,145.9949,146.8565,145.8266,146.1633,290784
2017-10-13,146.9655,147.2725,145.9494,146.7476,170967
2017-10-16,146.9754,148.3866,146.401,148.3321,223155
2017-10-17,148.144,148.2182,147.0348,147.1437,208331
2017-10-18,147.0942,147.5498,145.678,145.8563,311280
2017-10-19,145.5394,146.7575,144.7174,146.6882,157805
2017-10-20,147.3418,148.9263,146.8466,148.9065,237238
2017-10-23,149.0551,149.58,148.55,148.7085,264905
2017-10-24,148.8471,148.8471,146.9358,147.6092,218602
2017-10-25,147.629,148.7481,146.7179,147.8271,221981
2017-10-26,148.1836,148.8471,147.2626,148.55,171280
2017-10-27,148.2232,148.7679,146.9655,147.1239,228059
2017-10-30,146.6585,146.944,145.0145,145.3512,214834
2017-10-31,145.4007,146.0544,144.7966,145.9949,259782
2017-11-01,146.3119,147.4953,146.0841,146.8862,266554
2017-11-02,147.2428,147.4903,145.5988,146.7674,299752
2017-11-03,146.5297,147.5795,146.0247,146.8763,280607
2017-11-06,147.1635,147.1635,145.0145,145.0343,342118
2017-11-07,151.521,152.4815,148.0647,148.5401,782848
2017-11-08,148.4015,148.4213,145.8266,146.1039,435163
2017-11-09,145.7771,146.1237,144.8957,145.3215,234112
2017-11-10,144.044,146.2227,144.044,145.3512,282230
2017-11-13,145.1631,148.3519,145.064,148.2727,202199
2017-11-14,147.5102,149.2531,146.9061,149.1937,233805
2017-11-15,148.1638,148.1638,146.4406,146.5198,192006
2017-11-16,147.1932,147.9162,146.5693,147.1536,265167
2017-11-17,146.609,147.5102,146.0841,147.3121,210245
2017-11-20,147.6884,148.55,147.0447,148.4906,245636
2017-11-21,149.263,150.7485,149.0947,150.2435,209605
2017-11-22,150.2633,150.7089,148.9957,149.5205,204252
2017-11-24,149.7582,151.1744,149.7582,150.907,138608
2017-11-27,150.8278,151.7983,149.8176,150.0058,225108
2017-11-28,150.501,153.2244,150.501,152.957,225480
2017-11-29,153.1154,153.9968,152.3529,153.0659,210944
2017-11-30,153.3234,155.1258,152.6005,153.9374,542222
2017-12-01,154.6901,154.6901,151.0853,153.2046,280919
2017-12-04,153.7889,153.7889,152.3925,152.8481,411834
2017-12-05,153.0263,154.3633,151.7983,153.472,255896
2017-12-06,152.9669,153.1303,151.9568,152.3133,262886
2017-12-07,152.7193,152.7193,151.5359,151.7785,203469
2017-12-08,152.3925,152.4123,151.3427,151.5606,238285
2017-12-11,151.5705,151.6597,150.3227,150.8278,253810
2017-12-12,150.8377,151.0555,150.0157,150.7882,186802
2017-12-13,151.0853,151.8478,148.9957,151.5606,361116
2017-12-14,151.4022,151.7686,150.1147,150.1642,211238
2017-12-15,151.2833,152.9075,150.907,152.6797,526020
2017-12-18,153.4323,153.9275,152.5014,152.8481,213189
2017-12-19,152.0756,153.264,151.8676,152.9075,244764
2017-12-20,152.8976,153.259,151.5111,151.5903,205001
2017-12-21,151.6597,151.9964,149.986,150.392,180895
2017-12-22,150.085,151.0952,150.085,151.0357,163036
2017-12-26,151.4121,151.4121,150.501,150.7684,94135
2017-12-27,151.0952,151.9369,150.293,151.4418,175773
2017-12-28,151.8894,153.1131,151.3025,152.9738,227734
2017-12-29,153.3717,153.9984,151.7999,151.8198,189581
2018-01-02,152.2476,153.7597,151.7501,153.7597,264535
2018-01-03,154.1278,155.7792,153.7249,154.9336,244203
2018-01-04,155.4708,156.4059,152.7947,152.9638,371496
2018-01-05,153.6602,156.1174,153.5209,156.0577,259939
2018-01-08,156.0279,156.0279,154.6451,155.0231,208004
2018-01-09,155.1226,155.6797,153.3419,153.4612,214172
2018-01-10,153.501,153.9487,151.5014,152.9837,264598
2018-01-11,153.7,153.7,152.0386,152.735,388762
2018-01-12,153.3717,153.4016,151.4318,152.9041,366703
2018-01-16,153.899,154.6351,151.3224,151.7501,252049
2018-01-17,154.7247,156.585,154.1278,155.7394,789037
2018-01-18,155.431,156.0677,152.3769,154.3267,357367
2018-01-19,155.0231,155.0231,153.6851,154.3864,398308
2018-01-22,154.0183,154.0183,151.9093,152.2675,443697
2018-01-23,152.2078,152.5759,150.5265,152.2177,321992
2018-01-24,152.2277,152.9539,151.1035,152.0685,291539
2018-01-25,152.8146,154.3267,152.29,154.0482,461211
2018-01-26,154.466,154.466,152.4366,152.6952,433764
2018-01-29,152.6057,153.0932,150.0987,150.1186,338342
2018-01-30,149.4521,150.1087,147.8107,149.1338,428081
2018-01-31,149.4621,150.4569,148.2235,149.5217,445548
2018-02-01,148.706,149.7008,146.1592,147.2237,542853
2018-02-02,146.1791,147.0446,145.3136,145.3733,382191
2018-02-05,144.5974,146.0996,140.2102,140.2301,420686
2018-02-06,138.5688,141.792,137.1362,141.6726,578458
2018-02-07,141.2349,144.1099,140.6877,141.9611,352295
2018-02-08,141.3941,141.9213,137.2158,137.2854,370299
2018-02-09,138.6384,140.5385,136.1464,139.673,407502
2018-02-12,140.3097,142.5083,139.8222,141.6825,271004
2018-02-13,140.8966,142.6475,139.4939,142.3192,425208
2018-02-14,141.205,144.3686,140.3495,144.1,680763
2018-02-15,138.2106,144.3387,134.3806,143.2743,761257
2018-02-16,142.8365,143.8413,140.6977,141.0956,447236
2018-02-20,140.628,143.2842,140.3694,141.6428,436796
2018-02-21,141.8318,142.6674,140.6977,140.7076,492165
2018-02-22,141.4935,143.2245,141.1155,141.9213,545767
2018-02-23,142.9261,145.1346,141.7323,145.0649,323744
2018-02-26,145.0053,145.2241,143.136,144.677,232999
