date,open,high,low,close,volume
2017-06-20,54.9279,55.0728,54.7153,54.7733,1736505
2017-06-21,54.841,54.9472,54.1356,54.3095,2009300
2017-06-22,54.3482,54.6381,54.01,54.5318,2376452
2017-06-23,54.5897,55.1984,54.3482,54.9279,9019079
2017-06-26,54.9279,55.0728,54.4448,54.812,1927720
2017-06-27,54.9472,55.3047,54.2806,54.2806,1238898
2017-06-28,54.2129,54.5897,53.5366,54.0873,2913558
2017-06-29,54.1453,54.2645,53.5849,53.7975,1796842
2017-06-30,54.0197,54.9666,54.0004,54.696,1629056
2017-07-03,54.9666,55.2661,54.8603,55.0535,875756
2017-07-05,55.0149,55.2033,54.5594,54.8313,1460949
2017-07-06,54.6381,54.725,54.155,54.2323,1474989
2017-07-07,54.2902,54.725,54.1356,54.4641,1159682
2017-07-10,54.3579,55.5753,54.2129,55.3047,1907398
2017-07-11,55.382,55.4931,54.9569,55.1115,1184599
2017-07-12,55.3627,55.5173,55.1598,55.2757,1429395
2017-07-13,55.8458,56.9569,55.7395,56.184,3013661
2017-07-14,56.155,56.3724,56.0004,56.184,1092402
2017-07-17,56.039,56.4931,55.8555,56.2033,1618468
2017-07-18,55.6719,55.9231,55.4497,55.6815,1458423
2017-07-19,55.7105,55.9521,55.5269,55.5656,1734762
2017-07-20,55.5559,55.7202,54.725,54.9955,2003303
2017-07-21,54.8893,55.0149,54.5221,54.725,2529763
2017-07-24,54.7153,55.0244,54.5221,54.8313,1233027
2017-07-25,55.3627,55.411,54.7202,54.9762,1554533
2017-07-26,55.0342,55.0342,54.3772,54.4835,1817434
2017-07-27,54.0004,55.5753,53.0921,55.5463,2731121
2017-07-28,55.498,55.6139,52.3965,52.8892,6280646
2017-07-31,52.8216,53.3144,52.5897,53.1211,3013545
2017-08-01,52.097,52.4834,51.9231,52.1066,1647921
2017-08-02,53.295,53.4207,52.3289,52.6863,2003290
2017-08-03,52.6574,53.0342,51.6815,51.8458,3034381
2017-08-04,52.097,52.4834,51.9231,52.1066,1647921
2017-08-07,52.1936,52.667,51.981,52.4641,1494665
2017-08-08,52.4641,52.5318,52.097,52.1646,1569325
2017-08-09,51.9327,52.1743,51.2757,51.6042,1850870
2017-08-10,51.5076,51.6042,50.4351,50.4448,2426654
2017-08-11,50.3887,51.3928,49.989,51.2661,2091472
2017-08-14,51.9582,52.5431,51.7632,52.2896,2080915
2017-08-15,52.3091,52.5967,52.0752,52.0849,2119914
2017-08-16,52.5626,53.4009,52.5626,53.0305,2204310
2017-08-17,52.894,53.3912,52.5528,52.5821,2117833
2017-08-18,52.4943,53.167,52.2896,52.9233,2141772
2017-08-21,52.8355,52.894,51.5,51.8412,2274015
2017-08-22,51.9874,52.4066,51.8509,52.3969,1153374
2017-08-23,52.2019,52.3384,51.7632,51.8607,1881171
2017-08-24,52.2409,52.5918,51.9679,52.5333,1635162
2017-08-25,52.7673,53.5082,52.5236,53.2157,2015714
2017-08-28,53.3034,53.3034,52.2116,52.5041,1377933
2017-08-29,52.2019,52.3384,51.7632,51.8607,1882671
2017-08-30,51.9484,52.5626,51.6755,52.5041,1149174
2017-08-31,52.6893,52.9038,52.4358,52.5138,1795231
2017-09-01,52.7868,53.6154,52.7185,53.5276,1612746
2017-09-05,53.2742,53.7129,52.9915,53.4107,2147006
2017-09-06,53.5764,53.8396,53.0695,53.4984,1277828
2017-09-07,53.5959,53.6446,53.0305,53.3132,1129527
2017-09-08,53.2937,53.664,53.128,53.4009,1449721
2017-09-11,53.7129,54.9277,53.3619,54.6877,3453642
2017-09-12,55.1361,55.7113,54.483,54.6097,1948850
2017-09-13,54.5805,54.98,53.8493,54.7364,1965100
2017-09-14,54.5122,55.2238,54.288,54.8437,1463500
2017-09-15,54.6584,55.1605,54.444,54.8144,2198981
2017-09-18,55.0874,55.7113,54.9996,55.6138,2010074
2017-09-19,55.6235,56.0622,55.1166,56.0524,1962830
2017-09-20,55.994,56.5106,55.7405,56.3839,1631527
2017-09-21,56.3936,56.6276,55.721,55.8477,1322475
2017-09-22,55.76,55.8575,54.0443,54.6389,3459253
2017-09-25,54.5902,54.6487,53.9858,54.2685,2436246
2017-09-26,54.444,54.7364,54.2003,54.4927,1771401
2017-09-27,54.7364,55.4237,54.5805,55.2238,2117923
2017-09-28,55.1166,55.6528,55.1166,55.4383,1763186
2017-09-29,55.3408,55.5943,55.0191,55.3896,1436427
2017-10-02,55.4383,56.1637,55.3311,55.9355,2142674
2017-10-03,56.0427,56.0914,55.5748,55.9452,1381236
2017-10-04,56.0427,56.4716,55.8087,56.3254,1369402
2017-10-05,56.2279,56.3156,55.8185,56.2572,1280370
2017-10-06,56.2572,56.4911,55.8087,56.0037,982049
2017-10-09,55.9842,55.994,55.5114,55.5943,1313009
2017-10-10,55.5943,56.2377,55.5943,56.1889,1157453
2017-10-11,56.2377,56.5204,55.7015,55.9452,1555060
2017-10-12,55.838,56.1109,55.6918,55.7892,1676393
2017-10-13,55.8867,56.1402,55.8185,56.0037,1307947
2017-10-16,56.1402,56.2669,55.8087,56.2669,1291484
2017-10-17,56.2474,56.7251,56.2474,56.6763,1374318
2017-10-18,56.8323,56.8616,56.3498,56.5594,1265797
2017-10-19,56.2962,56.4424,55.8282,56.1597,1213808
2017-10-20,56.5106,56.7836,56.1889,56.7446,1181538
2017-10-23,56.959,57.0955,56.4326,56.7836,1253598
2017-10-24,57.1345,57.4757,56.6276,57.193,1845798
2017-10-25,57.4269,57.4659,56.0719,56.5496,1979125
2017-10-26,57.0468,57.076,56.1012,56.5399,2000251
2017-10-27,56.5399,56.5915,54.7267,56.4911,2610352
2017-10-30,56.1694,56.3839,55.5212,55.7503,1420824
2017-10-31,55.7892,56.1987,55.643,55.8282,1276195
2017-11-01,56.1987,56.4716,55.8672,56.2669,1778294
2017-11-02,56.4131,56.9785,55.9403,56.0524,2199208
2017-11-03,56.0037,56.1889,55.501,55.682,1517452
2017-11-06,55.6625,55.7503,54.2588,54.405,2342114
2017-11-07,54.21,54.4245,53.7226,53.8591,2256724
2017-11-08,53.6739,54.0151,53.1572,53.8883,1748763
2017-11-09,53.6349,53.9371,53.4233,53.5471,1497871
2017-11-10,53.3717,53.5569,52.9525,53.4692,1785448
2017-11-13,53.1962,53.3132,52.7663,53.0207,2438462
2017-11-14,52.9076,53.5272,52.855,53.4288,1879334
2017-11-15,51.9793,52.9607,51.9793,52.128,2535048
2017-11-16,53.183,53.5665,52.8388,53.1732,1982726
2017-11-17,53.0355,53.478,52.8093,53.3108,1249699
2017-11-20,53.1043,53.3895,52.9848,53.2518,1204068
2017-11-21,53.5567,54.0779,53.36,53.8025,2018662
2017-11-22,53.9402,54.1566,53.7042,53.8419,1085762
2017-11-24,54.0681,54.5303,53.8222,54.0091,566999
2017-11-27,53.9992,54.2844,53.7239,54.1271,1601096
2017-11-28,54.4221,54.6974,54.0877,54.6581,2306013
2017-11-29,54.6188,54.8455,54.0877,54.5991,2317404
2017-11-30,54.6089,55.9857,54.4614,55.671,2842478
2017-12-01,55.6022,55.612,53.8636,54.7073,2808303
2017-12-04,55.0711,56.3299,54.7958,55.9365,2459525
2017-12-05,56.0152,56.3889,55.4842,55.9759,2295821
2017-12-06,56.0054,56.3004,55.7497,55.8579,1378071
2017-12-07,55.8087,56.1529,55.612,55.8579,1199746
2017-12-08,55.9759,56.2807,55.7202,55.9661,1301835
2017-12-11,55.9169,56.4774,55.7104,56.3692,2633395
2017-12-12,56.4479,56.4479,55.6022,55.6907,2582425
2017-12-13,55.7399,56.2611,55.5333,55.5432,1592358
2017-12-14,55.4399,55.789,54.2647,54.2647,2233159
2017-12-15,55.1203,55.5235,54.845,55.317,4869294
2017-12-18,55.789,56.6151,55.612,56.4578,2903524
2017-12-19,56.5856,57.2445,56.5069,56.802,3100927
2017-12-20,57.0576,57.215,56.8806,57.0085,1839304
2017-12-21,56.9101,57.1363,56.4823,56.5266,1466582
2017-12-22,56.6397,57.1756,56.449,57.0183,1229829
2017-12-26,57.0675,57.2937,56.4479,56.5364,1303251
2017-12-27,56.7134,56.9691,56.5168,56.6938,917911
2017-12-28,56.7528,56.8708,56.3004,56.8708,1013235
2017-12-29,57.0281,57.2838,56.6741,56.979,1569515
2018-01-02,57.7264,58.8433,57.2937,58.7786,3177677
2018-01-03,58.9556,59.821,58.7983,59.5555,2733757
2018-01-04,59.8702,60.8536,59.7227,60.5586,2562282
2018-01-05,60.8438,60.8634,60.4406,60.6766,1732100
2018-01-08,60.7749,61.4043,60.6274,61.0995,2454517
2018-01-09,61.1585,61.3355,60.3226,60.4701,2487897
2018-01-10,60.5094,60.9323,60.2636,60.5979,1341931
2018-01-11,61.0405,61.1978,60.6668,61.1978,1238573
2018-01-12,61.3355,61.3945,60.6864,61.2273,2226559
2018-01-16,61.07,61.2568,59.8702,60.2144,1841004
2018-01-17,60.5684,60.7651,60.3029,60.4701,1547373
2018-01-18,60.2242,61.778,60.1456,61.5813,4445345
2018-01-19,61.8469,62.6502,61.7584,62.4467,3126226
2018-01-22,62.2697,62.4762,61.719,62.4074,1973468
2018-01-23,62.0927,62.5156,61.9452,62.2697,1728720
2018-01-24,62.5648,63.2433,62.3582,62.6041,1776469
2018-01-25,62.7811,63.0073,62.1616,62.3484,1599321
2018-01-26,62.4959,65.6232,62.2009,63.676,3132178
2018-01-29,65.8297,65.8297,63.8727,64.0005,3762933
2018-01-30,63.3515,63.9907,62.6041,63.1351,2431718
2018-01-31,62.2894,62.4369,61.3748,61.8174,4886907
2018-02-01,61.8469,62.2697,60.3422,60.6471,4301047
2018-02-02,60.4701,61.9059,60.2439,61.1388,4226295
2018-02-05,60.8044,61.7879,58.2525,58.4541,3483433
2018-02-06,57.5592,58.7688,56.3323,58.5819,4315790
2018-02-07,58.3459,59.5944,58.1514,58.2672,3871397
2018-02-08,58.1689,58.2377,55.0711,55.1203,3729103
2018-02-09,56.0054,56.7823,54.2156,56.2512,3375334
