date,open,high,low,close,volume
2017-06-08,22.499,22.9619,22.499,22.9137,4521781
2017-06-09,22.9233,23.2126,22.769,23.2126,3527097
2017-06-12,23.2223,23.5694,23.2126,23.473,2643369
2017-06-13,23.473,23.6321,23.4248,23.5791,3053105
2017-06-14,23.5791,23.7913,23.5598,23.6466,3888115
2017-06-15,23.5019,23.6273,23.3862,23.5019,2581304
2017-06-16,23.4248,23.5791,23.3283,23.5405,4328014
2017-06-19,23.6659,24.1577,23.608,23.9648,2909668
2017-06-20,23.9166,23.9938,23.473,23.4923,3083812
2017-06-21,23.4826,23.5936,23.2512,23.338,3335193
2017-06-22,23.3669,23.5453,23.2416,23.2705,2267424
2017-06-23,23.3187,23.4489,23.2223,23.3862,4941066
2017-06-26,23.3959,23.9166,23.2801,23.8202,3393611
2017-06-27,23.772,23.9214,23.7334,23.8202,2937169
2017-06-28,23.9359,24.3409,23.9166,24.1191,2702115
2017-06-29,24.0613,24.1577,23.8009,23.8202,3705457
2017-06-30,23.9359,23.9359,23.5598,23.7237,3611396
2017-07-03,23.8298,24.2927,23.8298,24.1963,2383585
2017-07-05,24.1866,24.2734,24.0275,24.2156,2694072
2017-07-06,24.1481,24.4663,23.9359,23.9456,4406033
2017-07-07,23.9456,23.9456,23.5694,23.8684,3345233
2017-07-10,23.8684,24.042,23.8346,23.9359,2059167
2017-07-11,23.9456,23.9841,23.4826,23.6948,3487055
2017-07-12,23.8395,24.042,23.5791,23.6369,2953472
2017-07-13,23.6369,23.8009,23.5887,23.6948,2178433
2017-07-14,23.7334,23.878,23.6466,23.8105,1969136
2017-07-17,23.8298,24.1191,23.8298,24.0034,2252790
2017-07-18,23.9648,24.1095,23.8202,24.0131,2552435
2017-07-19,24.1674,24.2638,23.8973,23.9456,3201731
2017-07-20,23.7237,24.664,23.7237,24.5338,4189613
2017-07-21,24.476,24.6833,24.476,24.6013,2158524
2017-07-24,24.6399,24.7942,24.4663,24.6592,3278143
2017-07-25,22.6436,22.6533,20.821,21.3707,26954916
2017-07-26,21.1296,21.3803,20.522,20.6763,12762890
2017-07-27,20.3581,20.6088,20.1941,20.5895,16540765
2017-07-28,20.6377,21.0138,20.5992,20.8402,7662620
2017-07-31,20.8788,20.9367,20.6088,20.8402,4864839
2017-08-01,20.8402,21.0428,20.8017,20.9656,4322570
2017-08-02,20.9463,20.9463,20.6859,20.927,3515134
2017-08-03,20.927,21.2356,20.8885,21.0524,5383630
2017-08-04,21.0331,21.1151,20.4545,20.5509,5710998
2017-08-07,20.5027,20.821,20.4449,20.7824,3711988
2017-08-08,20.7149,20.792,20.3677,20.3966,5721369
2017-08-09,20.2713,20.4834,20.1845,20.387,3832748
2017-08-10,20.3002,20.3773,20.0109,20.0398,4532544
2017-08-11,20.0012,20.1941,19.9144,19.9337,4538715
2017-08-14,20.4063,20.6136,20.223,20.3966,3661202
2017-08-15,20.3966,20.4931,20.1652,20.2327,5685894
2017-08-16,20.2906,20.4111,20.2134,20.3098,2628666
2017-08-17,20.3002,20.3147,19.9,19.9144,2680534
2017-08-18,19.8373,20.0302,19.7698,19.7794,2359622
2017-08-21,19.8084,19.9723,19.6444,19.8566,3102541
2017-08-22,19.9434,20.2086,19.7987,20.1555,4839818
2017-08-23,19.384,19.4901,18.8729,18.8826,12612746
2017-08-24,18.979,19.4226,18.9404,19.278,11508934
2017-08-25,19.384,19.5962,19.278,19.4805,6046212
2017-08-28,19.6058,19.7119,19.413,19.548,3292928
2017-08-29,19.4612,19.4805,19.2394,19.278,3986516
2017-08-30,19.2877,19.4142,19.2001,19.2682,5404063
2017-08-31,19.385,19.5991,19.3412,19.5991,6141394
2017-09-01,19.638,19.7061,19.5699,19.6478,2971361
2017-09-05,19.5699,19.8521,19.4823,19.6672,7996761
2017-09-06,19.9008,20.1441,19.7256,19.9981,6822278
2017-09-07,20.037,20.0467,19.5407,19.5796,7727918
2017-09-08,19.5796,19.9105,19.3753,19.8327,5241529
2017-09-11,19.8813,20.1343,19.7061,19.7743,4378711
2017-09-12,19.784,19.784,19.205,19.5115,10019074
2017-09-13,19.5212,19.7645,19.4434,19.677,2841911
2017-09-14,19.6575,19.7353,19.4337,19.6478,3909623
2017-09-15,19.5796,19.677,19.385,19.4726,6187351
2017-09-18,19.5115,19.7256,19.385,19.5018,3431803
2017-09-19,19.6088,19.638,19.2877,19.5115,3539976
2017-09-20,19.5796,20.2608,19.5796,20.2316,7493342
2017-09-21,20.2316,20.6598,20.1538,20.29,7737473
2017-09-22,20.2706,20.7523,20.1441,20.7085,6239521
2017-09-25,20.6112,20.7669,20.5066,20.7474,4687430
2017-09-26,20.7961,20.9907,20.436,20.4749,5827007
2017-09-27,20.5528,20.7474,20.3679,20.689,3375206
2017-09-28,20.6014,20.7086,20.0662,20.1149,7352592
2017-09-29,20.1246,20.2414,19.9494,20.2316,4796829
2017-10-02,20.329,20.762,20.2024,20.6501,4601299
2017-10-03,20.6209,20.6306,20.2608,20.3192,7627773
2017-10-04,20.3971,20.9907,20.3873,20.7279,5138316
2017-10-05,20.6988,20.8545,20.6014,20.7669,2887918
2017-10-06,20.7961,20.8642,20.4749,20.5528,3701195
2017-10-09,20.5722,20.6696,20.3873,20.4749,2332247
2017-10-10,20.5917,20.7669,20.3971,20.4263,3848882
2017-10-11,20.3095,20.3436,19.9008,19.9981,8190204
2017-10-12,19.9202,19.9592,19.7937,19.8035,7866230
2017-10-13,19.8424,20.29,19.784,20.2608,6338739
2017-10-16,20.2122,20.2608,19.784,20.1149,9763562
2017-10-17,20.6404,21.3508,20.4263,20.4749,13540634
2017-10-18,20.4749,20.7863,20.4652,20.6598,3921748
2017-10-19,20.3679,20.4263,19.9592,20.2414,7304557
2017-10-20,20.4263,20.5139,20.1684,20.3192,7258704
2017-10-23,20.3484,20.4068,19.9202,20.0759,9346076
2017-10-24,18.7038,19.3364,18.4994,19.278,19746258
2017-10-25,19.1612,19.2974,18.7622,18.9763,6905351
2017-10-26,19.0249,19.7451,18.9763,19.6283,9746014
2017-10-27,19.4823,19.5602,18.9422,19.1417,8034082
2017-10-30,19.0347,19.0833,18.7817,18.7914,6536022
2017-10-31,18.6941,19.0639,18.5286,18.733,9033998
2017-11-01,18.8303,19.132,18.7427,18.9276,6169382
2017-11-02,18.8984,18.8984,18.4119,18.4216,8363942
2017-11-03,18.4994,18.6454,18.3535,18.4216,8220199
2017-11-06,18.3146,18.5968,18.3048,18.5773,5228660
2017-11-07,18.5773,18.6162,18.0323,18.0421,6333240
2017-11-08,18.0323,18.4313,17.9642,18.1199,7547892
2017-11-09,18.0713,18.4508,18.0031,18.2756,7468948
2017-11-10,18.3048,18.587,18.2464,18.2854,6741409
2017-11-13,18.2172,18.2513,17.974,18.1686,5950349
2017-11-14,18.1394,18.3437,18.1102,18.1394,4777377
2017-11-15,17.9934,18.0713,17.8085,17.9545,5379994
2017-11-16,17.9448,18.2075,17.8085,18.1588,11679407
2017-11-17,18.1588,18.6941,18.1588,18.5384,4970990
2017-11-20,18.4994,18.4994,18.2367,18.4021,4710467
