date,open,high,low,close,volume
2017-06-08,31.4797,31.5829,31.0292,31.3952,2320681
2017-06-09,31.1981,31.4046,31.001,31.2638,1414681
2017-06-12,31.2638,32.1977,31.2638,32.193,1482012
2017-06-13,32.1644,32.8321,32.1453,32.6318,1491740
2017-06-14,32.9084,33.0515,32.5078,32.6127,911771
2017-06-15,32.3742,33.185,32.3647,33.0229,1020661
2017-06-16,33.1373,33.1469,32.4887,32.6318,1900886
2017-06-19,32.6222,33.1278,32.5841,33.1182,742678
2017-06-20,33.1373,33.3376,33.0028,33.2041,1068640
2017-06-21,33.1469,33.1469,32.4124,32.4792,980920
2017-06-22,32.4696,32.6508,32.2645,32.5459,835857
2017-06-23,32.5459,32.9942,32.4982,32.9275,1266860
2017-06-26,32.9942,33.2422,32.9752,33.1469,524623
2017-06-27,32.9656,33.3758,32.6508,32.689,698037
2017-06-28,32.9179,33.3662,32.7176,33.1182,743106
2017-06-29,32.9561,33.185,32.3122,32.6127,920203
2017-06-30,32.6318,32.9179,32.3551,32.7749,1007521
2017-07-03,33.0515,33.4235,33.0229,33.2709,468995
2017-07-05,33.2041,33.2803,32.6222,32.9275,864739
2017-07-06,32.7939,32.9561,32.3265,32.4982,838376
2017-07-07,32.6127,33.0562,32.4839,32.8416,866264
2017-07-10,32.813,32.8512,31.9068,31.9164,1358355
2017-07-11,31.945,31.945,31.4013,31.8019,1121407
2017-07-12,32.0499,32.5745,31.9545,32.4219,935786
2017-07-13,32.4028,32.5555,32.2598,32.3742,965297
2017-07-14,32.6508,33.2709,32.5364,33.1755,943923
2017-07-17,33.0419,33.2136,32.7749,33.1373,853357
2017-07-18,33.1087,33.2422,32.9752,33.0801,598080
2017-07-19,33.0896,33.3806,32.9656,33.3376,477902
2017-07-20,33.3662,33.4998,33.0801,33.0896,821117
2017-07-21,33.0896,33.4426,33.0133,33.3853,606272
2017-07-24,33.3662,33.433,33.0753,33.2804,691783
2017-07-25,33.3853,33.3853,33.0324,33.2518,793798
2017-07-26,33.4235,33.4903,33.1564,33.3472,956572
2017-07-27,33.3376,33.3949,33.0705,33.1564,827667
2017-07-28,33.185,33.805,32.7653,33.5666,1753461
2017-07-31,33.5666,35.026,33.5666,34.7494,2486708
2017-08-01,35.6269,35.8368,35.0738,35.2931,1056657
2017-08-02,35.1309,35.3121,34.8067,35.2167,1049088
2017-08-03,35.2931,36.0178,35.1691,35.6746,1239470
2017-08-04,35.6269,35.8368,35.0738,35.2931,1056657
2017-08-07,35.2072,35.5115,35.0737,35.4075,543705
2017-08-08,35.3598,35.9226,35.3408,35.4648,1015186
2017-08-09,35.6078,36.5999,35.5315,36.5426,1728220
2017-08-10,36.4377,36.4377,35.9989,36.0848,1283091
2017-08-11,35.9703,35.9989,35.3789,35.4171,1066535
2017-08-14,35.6651,36.1134,35.5601,35.894,957952
2017-08-15,35.8177,35.8177,35.3789,35.6651,966386
2017-08-16,35.7795,35.9035,35.274,35.7605,2085100
2017-08-17,35.7414,35.9894,35.3789,35.4171,1332774
2017-08-18,35.4361,35.4934,34.9497,35.1881,835005
2017-08-21,35.2644,36.0562,35.2167,35.8463,838458
2017-08-22,35.8463,36.1754,35.77,35.9894,849175
2017-08-23,35.9131,36.9337,35.8654,36.6189,1312288
2017-08-24,36.5999,37.01,36.4091,36.7525,1276366
2017-08-25,36.9432,36.9909,36.6952,36.6952,947599
2017-08-28,36.6952,37.4679,36.5713,37.258,1781238
2017-08-29,37.2294,37.611,37.1817,37.4297,1368719
2017-08-30,37.3057,37.754,37.1722,37.6873,1358005
2017-08-31,37.7731,37.9067,37.5442,37.6014,1388147
2017-09-01,37.6205,37.735,37.4774,37.6205,901842
2017-09-05,37.7063,38.1451,37.5823,37.735,1303909
2017-09-06,37.8113,37.8971,37.4011,37.4297,1210622
2017-09-07,37.611,38.0927,37.5823,38.0307,905592
2017-09-08,37.9353,38.374,37.9353,38.1928,1379684
2017-09-11,38.2023,38.5267,38.1642,38.5171,937754
2017-09-12,38.5076,38.5744,38.1642,38.2882,1055794
2017-09-13,38.2691,38.3168,37.7636,37.878,1376527
2017-09-14,37.878,37.9651,37.288,37.8683,1411518
2017-09-15,37.849,38.3616,37.849,38.1779,4769784
2017-09-18,38.2166,38.5672,37.9844,38.1295,1045079
2017-09-19,38.1779,38.5358,38.1198,38.5358,1276305
2017-09-20,38.6035,38.7872,38.1295,38.4197,1452226
2017-09-21,38.3713,38.5938,38.1295,38.468,918686
2017-09-22,38.5744,39.3096,38.5744,38.8163,821387
2017-09-25,38.8743,39.1161,38.6905,38.7679,935891
2017-09-26,38.8743,38.884,38.057,38.0715,1038685
2017-09-27,38.0038,38.0908,36.8334,36.8817,1831959
2017-09-28,36.8624,37.5975,36.7173,37.5105,1042441
2017-09-29,37.4621,37.82,37.3364,37.6265,1091322
2017-10-02,37.5588,38.0811,37.3557,37.9651,1018265
2017-10-03,37.8587,37.9941,37.4331,37.6749,809566
2017-10-04,37.6846,37.8587,37.2203,37.7426,1091438
2017-10-05,37.791,38.0811,37.7039,37.7329,890783
2017-10-06,36.8237,37.1042,36.282,36.8721,2530489
2017-10-09,36.8817,37.3557,36.8817,37.0655,976357
2017-10-10,37.1622,37.5637,37.1622,37.5298,636225
2017-10-11,37.5975,37.9941,37.4428,37.6652,1207506
2017-10-12,37.5782,38.5599,37.5105,38.5067,1328994
2017-10-13,38.6905,38.6905,38.1827,38.5551,889279
2017-10-16,38.5551,38.6518,38.323,38.5067,651539
2017-10-17,38.4777,38.8259,38.3036,38.7969,998681
