date,open,high,low,close,volume
2017-06-08,311.6664,312.383,308.833,309.9497,808257
2017-06-09,311.5964,311.7664,302.0714,305.4464,1056237
2017-06-12,303.6664,304.7997,292.1664,301.0964,1955838
2017-06-13,301.7364,305.0964,300.1197,302.743,908733
2017-06-14,305.8897,305.9997,300.973,301.943,955578
2017-06-15,300.2464,300.5579,297.3497,299.6464,979944
2017-06-16,300.3197,305.863,300.1897,304.9464,1724802
2017-06-19,306.303,312.4397,306.1597,312.133,1225398
2017-06-20,312.8997,316.3263,312.7373,313.453,1107678
2017-06-21,314.0897,318.1263,313.673,317.7563,1085781
2017-06-22,318.2663,321.1797,316.833,318.053,815973
2017-06-23,316.963,318.1297,314.6497,316.313,2405859
2017-06-26,317.453,318.263,312.5497,313.4797,925392
2017-06-27,313.7564,314.6433,310.0164,312.003,1152549
2017-06-28,312.923,316.033,310.6597,315.4364,1081248
2017-06-29,314.9064,314.9064,307.8564,310.1664,940317
2017-06-30,311.6164,313.2964,307.4964,311.7897,748941
2017-07-03,313.653,313.8497,306.8564,307.2197,488331
2017-07-05,309.3797,313.4297,309.3797,312.6964,1141572
2017-07-06,310.8264,313.3097,309.6664,311.5997,651735
2017-07-07,312.8097,316.063,312.5414,314.7564,695748
2017-07-10,314.4997,316.9392,312.6664,315.7497,964770
2017-07-11,316.4697,316.4697,312.383,314.163,986862
2017-07-12,316.6664,318.5197,315.7164,316.113,822870
2017-07-13,317.1897,317.7263,312.6164,312.8464,932760
2017-07-14,313.473,318.0263,313.473,317.2497,852873
2017-07-17,318.3063,318.8697,314.6764,316.0297,1223565
2017-07-18,316.0864,316.863,313.4564,315.5497,960816
2017-07-19,317.603,322.483,317.5461,322.263,1465299
2017-07-20,323.0097,324.8849,320.9197,323.9097,1992969
2017-07-21,321.643,322.6563,308.5664,309.1564,3073830
2017-07-24,308.9297,317.7963,308.9297,316.3897,1505544
2017-07-25,317.243,317.8863,313.7164,314.973,1069695
2017-07-26,315.3597,316.723,313.1497,314.6364,798273
2017-07-27,314.6897,315.333,306.9997,310.6164,1317138
2017-07-28,310.1664,314.333,309.0197,313.733,1461003
2017-07-31,314.503,315.3297,311.133,312.753,1141902
2017-08-01,312.9897,314.9997,311.3764,313.6564,814587
2017-08-02,313.133,313.7864,308.9997,310.9897,909753
2017-08-03,309.7764,313.1164,309.3564,311.3864,844956
2017-08-04,312.7397,312.7397,307.893,310.3564,974697
2017-08-07,309.903,312.378,309.2064,312.2097,908079
2017-08-08,311.0497,312.6164,309.833,311.4597,683529
2017-08-09,311.463,315.2497,310.333,314.483,793776
2017-08-10,313.1597,314.363,309.2964,309.793,763101
2017-08-11,310.093,314.6664,310.093,314.083,724716
2017-08-14,316.9997,322.4198,316.9997,321.5197,980133
2017-08-15,322.4063,330.1463,321.6697,328.4563,1763607
2017-08-16,328.6897,330.513,327.002,329.633,841503
2017-08-17,329.2497,330.9997,324.0697,324.3663,970452
2017-08-18,324.5097,330.7663,322.863,328.103,1155480
2017-08-21,327.3497,328.333,324.8046,327.5663,1155864
2017-08-22,327.633,332.6661,327.5663,332.1997,951714
2017-08-23,331.273,331.273,327.733,328.8897,617763
2017-08-24,328.9863,330.5397,327.733,330.193,693438
2017-08-25,330.3497,330.9897,325.4463,326.2097,821181
2017-08-28,327.3263,329.5563,326.8563,328.6663,554226
2017-08-29,327.233,329.6763,325.6697,329.133,822288
2017-08-30,327.3697,332.163,326.9997,332.013,636747
2017-08-31,332.003,335.2197,330.793,334.8897,1382544
2017-09-01,333.9663,336.2063,332.4563,335.583,536148
2017-09-05,335.9797,342.0263,335.6663,340.4797,1039824
2017-09-06,341.2563,342.9997,337.0097,340.7897,660819
2017-09-07,340.7997,345.9497,340.763,345.4897,523317
2017-09-08,344.283,351.5896,341.6663,347.5297,940224
2017-09-11,347.7163,351.333,345.3648,348.493,1111317
