date,open,high,low,close,volume
2017-06-20,33.9932,34.1185,33.81,33.81,1792940
2017-06-21,33.8871,33.9257,33.5111,33.5497,2266215
2017-06-22,33.4918,33.916,33.4629,33.7329,1781091
2017-06-23,33.8775,33.8775,33.5208,33.7136,3361357
2017-06-26,33.9064,34.0896,33.6075,33.7521,2934257
2017-06-27,33.9739,33.9835,33.5015,33.5208,3341659
2017-06-28,33.7907,34.051,33.487,34.0414,3691533
2017-06-29,34.4463,34.6198,33.4436,33.7425,2729034
2017-06-30,34.0317,34.1667,33.8004,33.9257,2361509
2017-07-03,34.186,34.6777,34.186,34.2342,1497301
2017-07-05,34.2824,34.533,34.0317,34.2245,2033895
2017-07-06,34.0606,34.3884,33.8823,33.8968,3101870
2017-07-07,34.2053,34.6969,34.0124,34.6295,3015460
2017-07-10,34.4945,35.3139,34.4897,35.1597,2942829
2017-07-11,35.1693,35.1693,34.3451,34.4366,2847536
2017-07-12,34.5041,34.9669,34.4366,34.8126,2616243
2017-07-13,34.803,34.803,34.2727,34.6102,3907771
2017-07-14,34.3981,34.8994,34.2535,34.8126,2050368
2017-07-17,35.1693,35.1693,34.533,34.8705,1926101
2017-07-18,34.6487,34.8801,34.5234,34.6487,2115363
2017-07-19,34.8126,34.909,34.6295,34.8994,1493901
2017-07-20,35.0054,35.1211,34.803,34.8415,2184507
2017-07-21,34.7837,34.9572,34.5812,34.7548,1749666
2017-07-24,34.7548,35.0295,34.6873,34.9669,1971540
2017-07-25,35.4007,35.5116,35.1308,35.2175,2189341
2017-07-26,35.285,35.4296,34.9862,35.1308,2800029
2017-07-27,35.0344,35.0344,32.6435,33.3569,6188153
2017-07-28,33.0869,33.4822,32.8845,33.1255,4236109
2017-07-31,33.3087,33.9064,33.2026,33.5208,5081024
2017-08-01,33.5304,33.5449,33.1833,33.328,1987365
2017-08-02,33.8486,33.9546,33.3569,33.3858,4404506
2017-08-03,33.3472,33.8486,33.0869,33.2894,2532679
2017-08-04,33.5304,33.5449,33.1833,33.328,1987365
2017-08-07,33.4244,33.5449,33.2055,33.5111,1634779
2017-08-08,33.3954,33.8486,33.2894,33.3665,2101964
2017-08-09,33.1448,33.3376,32.9423,33.328,1902689
2017-08-10,33.058,33.1833,32.3157,32.335,2480065
2017-08-11,32.3253,32.8797,32.1614,32.7688,2768167
2017-08-14,33.058,33.0604,32.7158,32.7784,1799699
2017-08-15,32.9632,33.0507,32.7152,32.8854,1723079
2017-08-16,33.0799,33.2063,32.6812,32.7298,2014164
2017-08-17,32.5742,32.6715,31.8547,31.8644,2517528
2017-08-18,31.7672,32.2679,31.6699,31.9519,2974908
2017-08-21,31.9033,32.02,31.6894,31.9714,1435340
2017-08-22,32.0297,32.3506,31.8061,32.3311,1773322
2017-08-23,32.0686,32.336,31.9422,31.9616,1898634
2017-08-24,32.0394,32.0394,31.4949,31.6796,2279366
2017-08-25,31.8741,32.088,31.6894,31.8644,2035190
2017-08-28,32.02,32.0589,31.4268,31.5532,1798430
2017-08-29,31.1935,31.4657,30.9698,31.3393,2824879
2017-08-30,31.3393,31.6408,31.2129,31.5435,2307370
2017-08-31,31.7477,31.9519,31.5241,31.8741,1991565
2017-09-01,32.0394,32.3791,31.9714,32.2047,1832880
2017-09-05,32.02,32.0297,31.2518,31.3685,2743398
2017-09-06,31.5824,31.6894,31.1254,31.1643,2411799
2017-09-07,31.1935,31.2615,30.7267,30.8726,1945139
2017-09-08,30.7948,30.999,30.7073,30.8142,2158697
2017-09-11,31.2129,31.6602,31.1448,31.2129,1953743
2017-09-12,31.5241,31.7185,31.3977,31.6116,1755540
2017-09-13,31.5824,31.8352,31.4755,31.8255,1995107
2017-09-14,31.738,32.0978,31.6456,31.8838,2331130
2017-09-15,31.8644,32.1756,31.6894,32.1658,3894860
2017-09-18,32.2047,32.6715,32.2047,32.5159,2836290
2017-09-19,32.5159,32.7006,32.3311,32.5839,2551683
2017-09-20,32.6228,32.6715,32.3409,32.5256,2140873
2017-09-21,32.5548,32.7201,32.2631,32.6326,1556539
2017-09-22,32.5645,33.2889,32.4284,33.2549,2657637
2017-09-25,33.1674,33.4639,32.9875,33.2841,1485311
2017-09-26,33.3424,33.4494,33.1285,33.1479,1161131
2017-09-27,33.5174,33.6195,33.1576,33.4494,1735524
2017-09-28,33.0604,33.3424,32.7201,33.3327,2716965
