date,open,high,low,close,volume
2017-06-08,29.0338,29.522,28.9939,29.3825,6488822
2017-06-09,29.3526,29.4921,28.0075,28.5057,5710611
2017-06-12,28.2865,28.7747,27.9079,28.7548,9244460
2017-06-13,28.8544,29.1434,28.695,29.0935,4420514
2017-06-14,29.1434,29.1832,28.3662,28.6053,6204810
2017-06-15,28.3861,28.8843,28.3363,28.7548,4906007
2017-06-16,28.7647,28.8444,28.421,28.5655,4716809
2017-06-19,28.695,29.0836,28.6188,29.0836,2991168
2017-06-20,29.0437,29.1434,28.6253,28.6651,5153956
2017-06-21,28.2965,28.7548,28.2466,28.7548,5115509
2017-06-22,28.7448,28.7946,28.0324,28.2566,6640815
2017-06-23,28.2965,28.3263,28.1271,28.1869,16676752
2017-06-26,28.1968,28.2566,27.8581,28.0075,8258302
2017-06-27,27.868,28.2765,27.6688,27.8381,18018888
2017-06-28,28.0673,28.2068,27.9178,28.0673,3990906
2017-06-29,27.9876,28.0673,27.5193,27.7186,5513296
2017-06-30,27.7584,27.9378,27.6588,27.7783,6127928
2017-07-03,27.9477,28.0474,27.6189,27.6389,1818494
2017-07-05,27.7584,28.137,27.6588,28.0773,3979051
2017-07-06,27.9079,28.0274,27.6488,27.6887,4180933
2017-07-07,27.7584,28.3861,27.7584,28.3463,3434337
2017-07-10,28.7946,29.1732,28.6751,29.0935,10964591
2017-07-11,29.0935,29.1633,28.8046,29.0039,3340983
2017-07-12,29.1633,29.253,28.8743,29.0636,4221276
2017-07-13,29.1334,29.1932,28.964,28.9839,2771070
2017-07-14,29.0039,29.0288,28.7747,28.9042,2615671
2017-07-17,28.8943,29.0537,28.8245,29.0238,3704971
2017-07-18,28.8345,29.0039,28.5157,28.7548,3199447
2017-07-19,28.8943,29.3426,28.7946,29.2629,6228699
2017-07-20,29.2729,29.3725,28.8992,29.1135,3361668
2017-07-21,29.4821,29.5419,29.1434,29.3227,4103278
2017-07-24,29.2729,29.4622,29.1533,29.3526,4279245
2017-07-25,29.4124,30.1796,29.3924,29.8508,8213364
2017-07-26,28.1071,28.954,27.6688,27.9577,13815349
2017-07-27,28.0474,28.0872,27.4396,27.7086,8122346
2017-07-28,27.5691,27.7783,27.5592,27.6688,4950228
2017-07-31,27.7684,27.9228,27.7086,27.8481,5392864
2017-08-01,28.3363,28.3562,27.9178,28.0374,4398662
2017-08-02,28.1869,28.3064,27.863,28.1171,4711897
2017-08-03,28.157,28.3562,28.0673,28.2367,4061435
2017-08-04,28.3363,28.3562,27.9178,28.0374,4398662
2017-08-07,28.0773,28.2466,27.9826,28.1869,3775557
2017-08-08,28.157,28.3662,28.1271,28.147,3203353
2017-08-09,27.9776,28.3463,27.9278,28.2267,4806897
2017-08-10,28.0573,28.2167,27.3001,27.34,8143459
2017-08-11,27.34,27.6289,27.2802,27.3101,5516082
2017-08-14,27.609,27.8581,27.609,27.8182,2827424
2017-08-15,27.9178,27.9577,27.34,27.4296,5623994
