date,open,high,low,close,volume
2017-06-08,106.2432,106.5198,105.2386,106.2432,899181
2017-06-09,106.5553,106.887,98.0797,99.4647,1888164
2017-06-12,98.0602,99.4061,95.7096,98.6454,2494886
2017-06-13,99.4549,100.3717,97.6798,98.9185,1064318
2017-06-14,98.938,100.1718,95.222,96.1193,1590058
2017-06-15,94.8318,95.9437,94.2564,94.6758,1603613
2017-06-16,95.0561,96.3777,94.4848,95.2902,1720718
2017-06-19,96.3143,98.9185,96.0656,98.5283,1604604
2017-06-20,98.3723,98.7068,95.0757,95.1732,1395791
2017-06-21,95.3585,95.8706,94.6172,95.5926,1038042
2017-06-22,95.5341,96.1495,93.9735,94.2856,778734
2017-06-23,94.2954,95.6413,94.2369,95.5341,1595330
2017-06-26,95.8949,96.2753,93.5249,93.6517,1239141
2017-06-27,93.3591,93.5931,91.3889,91.5547,1347091
2017-06-28,92.2472,93.6127,90.6574,93.3786,1593879
2017-06-29,93.0079,93.0079,88.8433,90.2282,1615783
2017-06-30,91.1938,91.1938,89.0091,89.2529,1320074
2017-07-03,90.0234,90.6379,88.5312,89.2919,748064
2017-07-05,89.4772,90.2477,88.4531,90.0137,1660634
2017-07-06,89.5845,90.5696,88.6775,90.199,1222347
2017-07-07,90.911,92.7446,90.6671,92.2374,1181004
2017-07-10,92.3447,93.4273,91.5449,93.2713,1184643
2017-07-11,93.281,95.0269,92.7934,94.5392,1172745
2017-07-12,95.3,96.6687,94.4417,95.2902,753381
2017-07-13,95.5828,96.207,94.705,95.1927,827433
2017-07-14,95.5341,97.2604,95.3097,97.1824,937242
2017-07-17,97.5335,97.6959,95.9047,96.685,791511
2017-07-18,96.6167,97.4165,95.7291,97.3677,709515
2017-07-19,98.1577,99.1574,97.9919,98.8892,1088351
2017-07-20,99.1721,99.2403,97.9928,99.1916,571675
2017-07-21,98.4796,99.0453,96.685,97.4262,978219
2017-07-24,97.4945,98.4211,97.3774,97.7383,776183
2017-07-25,97.514,97.8749,96.4704,96.6752,1108988
2017-07-26,96.0607,98.3918,96.0607,98.3723,854882
2017-07-27,98.4015,98.5869,96.0705,97.4652,1478275
2017-07-28,95.3292,95.4755,91.8766,92.0716,1864670
2017-07-31,92.2472,92.412,90.2087,90.3453,1231182
2017-08-01,90.5599,90.7549,89.5943,90.3453,1757748
2017-08-02,90.8817,90.989,87.7021,87.7899,1549743
2017-08-03,87.6534,88.0923,86.2976,86.7658,1625042
2017-08-04,86.8243,87.6729,86.2196,86.639,1133328
2017-08-07,86.8341,90.4038,86.8341,89.7406,2010096
2017-08-08,89.7211,89.8527,88.1508,88.4434,1319499
2017-08-09,87.8582,89.5845,87.2827,89.2236,929319
2017-08-10,88.5507,88.8435,85.7612,85.966,1165498
2017-08-11,86.5061,88.9609,86.4963,88.7056,1069552
2017-08-14,89.8151,91.0523,89.3536,89.8446,1209029
2017-08-15,89.7857,89.8446,88.8627,89.3733,1123957
2017-08-16,89.3634,90.6399,88.7841,90.2177,769480
2017-08-17,89.8446,90.1097,88.1262,88.1459,925603
2017-08-18,88.4601,89.3438,87.6942,88.627,1127512
2017-08-21,88.303,88.5779,86.8399,87.3996,969306
2017-08-22,88.3128,90.4141,87.8514,90.041,879694
2017-08-23,89.5598,90.1588,89.0787,89.7955,583580
