date,open,high,low,close,volume
2017-06-08,125.6407,125.7178,123.1543,123.6419,1365417
2017-06-09,123.5647,124.3951,123.1591,124.3371,1499908
2017-06-12,124.3757,125.4668,123.9124,124.3854,1222231
2017-06-13,124.5109,125.2834,124.0378,124.9165,855099
2017-06-14,125.3124,126.3648,125.3124,125.882,1203219
2017-06-15,125.5441,126.5772,125.2834,126.3166,994765
2017-06-16,126.1041,126.7607,125.1772,125.7276,1772521
2017-06-19,126.3552,128.2284,125.6503,128.2091,1595669
2017-06-20,128.2091,129.2471,127.147,128.3925,1545560
2017-06-21,128.3539,128.8174,126.9731,127.2918,1403581
2017-06-22,127.2532,127.6587,126.6835,127.2145,957982
2017-06-23,127.2145,128.0739,127.2145,127.7456,1464477
2017-06-26,128.0836,129.6719,127.7649,128.9236,1555416
2017-06-27,128.7112,128.9429,126.9249,126.9345,1199655
2017-06-28,127.6684,127.9967,126.838,126.9731,963428
2017-06-29,126.4807,126.9152,124.3468,124.5592,1381552
2017-06-30,124.8103,125.5731,124.6558,124.6654,1351934
2017-07-03,125.1482,125.5248,123.9895,124.0088,800716
2017-07-05,124.3082,124.7523,123.6709,124.2309,1161131
2017-07-06,123.835,124.0957,121.9621,122.0294,1654697
2017-07-07,122.0777,123.0046,121.4501,122.4349,1694054
2017-07-10,122.6281,123.5357,122.2708,122.6377,1104985
2017-07-11,122.7536,122.8212,121.4211,121.479,1375207
2017-07-12,120.1658,121.2956,119.461,120.4072,2487342
2017-07-13,120.33,120.6873,119.1134,119.6348,1793593
2017-07-14,119.9148,120.5955,119.6927,120.2238,1205911
2017-07-17,120.0789,120.8997,119.4803,120.3976,1186049
2017-07-18,120.5134,121.0349,119.8762,120.2817,1053171
2017-07-19,120.05,120.61,119.4899,119.6831,1745120
2017-07-20,120.0307,120.3686,119.3934,119.4513,1520964
2017-07-21,119.1327,120.9962,118.7658,120.9673,1879018
2017-07-24,120.9769,121.0687,119.4899,119.5479,1728137
2017-07-25,119.2003,120.6003,117.8967,120.3879,2192408
2017-07-26,120.301,120.3493,117.6457,118.0319,2400220
2017-07-27,118.1671,119.9341,116.796,119.9341,2733440
2017-07-28,119.8086,119.8762,117.1436,118.2347,2226822
2017-07-31,118.2637,119.7506,118.2637,118.9202,2303230
2017-08-01,117.1146,117.7133,116.767,117.1436,1046757
2017-08-02,117.2788,117.7809,116.6318,117.1822,1511940
2017-08-03,117.1726,118.1285,116.9408,117.4912,1441541
2017-08-04,117.1146,117.7133,116.767,117.1436,1046757
2017-08-07,117.1436,117.6071,116.6222,117.2401,1063908
