date,open,high,low,close,volume
2017-06-20,43.8451,44.3431,43.8161,44.0965,14920858
2017-06-21,44.1062,44.1642,43.6663,43.7195,9515844
2017-06-22,43.6711,43.7775,43.5358,43.5744,7446300
2017-06-23,43.5551,43.8741,43.5358,43.7485,9544792
2017-06-26,43.8161,43.9998,43.7968,43.9225,7747057
2017-06-27,43.8355,43.8886,43.5068,43.5551,11432191
2017-06-28,43.7485,43.9902,43.7291,43.8161,9218750
2017-06-29,43.6324,43.7388,43.1684,43.3424,9283457
2017-06-30,43.4004,43.6228,43.3617,43.3617,9352785
2017-07-03,43.6131,43.7678,43.2747,43.2747,6434460
2017-07-05,43.3037,43.4971,43.2457,43.3327,6853558
2017-07-06,43.236,43.3617,42.8203,42.9267,13113019
2017-07-07,42.9943,43.0427,42.772,42.917,9566044
2017-07-10,42.975,43.0959,42.7623,42.9073,9671953
2017-07-11,42.8493,43.004,42.685,42.859,10300706
2017-07-12,43.1104,43.2844,42.9653,43.033,7737362
2017-07-13,43.0137,43.0475,42.8977,42.9557,6371855
2017-07-14,43.0427,43.236,43.0185,43.1974,8558718
2017-07-17,43.178,43.2989,43.1297,43.2457,7189214
2017-07-18,43.2941,43.3617,43.1345,43.1877,9037162
2017-07-19,43.1877,43.3521,43.0669,43.3424,6986937
2017-07-20,43.4101,43.4874,43.2651,43.3327,7430262
2017-07-21,43.2941,43.5744,43.1877,43.5358,8545560
2017-07-24,43.5454,43.5503,43.3424,43.3521,9103586
2017-07-25,43.5261,43.7871,43.4439,43.7388,14096307
2017-07-26,43.0717,44.2705,42.8397,44.2222,13608926
2017-07-27,44.2802,44.8845,44.1835,44.5896,15195172
2017-07-28,44.4736,44.5896,44.2125,44.4832,11945270
2017-07-31,44.4736,44.5472,44.2705,44.3189,13622891
2017-08-01,44.0868,44.4736,43.8741,44.0772,9899271
2017-08-02,44.0868,44.4736,43.8741,44.0772,10187921
2017-08-03,44.1352,44.4252,44.1159,44.1545,14261400
2017-08-04,44.1545,44.2415,43.9612,43.9902,9523593
2017-08-07,44.0095,44.2415,43.9902,44.1255,6226315
2017-08-08,44.1255,44.2995,44.0337,44.0868,5747919
2017-08-09,44.0482,44.1459,43.821,44.0772,9635260
2017-08-10,44.0482,44.3189,43.9515,44.2222,8901554
2017-08-11,44.3382,44.3769,44.0578,44.0772,8357607
2017-08-14,44.1545,44.4156,44.1062,44.2802,8421179
2017-08-15,44.2802,44.7153,44.2802,44.6573,9638061
2017-08-16,44.6186,44.8023,44.5896,44.6669,8087313
2017-08-17,44.5896,44.7926,44.3285,44.3382,8476994
2017-08-18,44.2802,44.3769,44.1159,44.1545,10879794
2017-08-21,44.1545,44.2802,44.0483,44.1642,9429736
2017-08-22,44.1835,44.2319,44.0288,44.0868,10536716
2017-08-23,44.1159,44.1449,43.9322,44.0288,6528402
2017-08-24,44.0288,44.0965,43.8065,43.9031,7534364
2017-08-25,44.0868,44.2415,44.0482,44.0578,8807143
2017-08-28,44.1159,44.1739,43.8741,43.9128,8024028
2017-08-29,43.8935,44.0578,43.7485,43.9418,7762162
2017-08-30,43.8548,44.0288,43.7871,43.8838,7134910
2017-08-31,43.8935,44.1352,43.8355,44.0385,14264572
2017-09-01,44.1255,44.2802,44.0288,44.2609,7391249
2017-09-05,44.2319,44.4059,44.1352,44.3962,10463902
2017-09-06,44.4542,44.5122,44.2705,44.4349,9238867
2017-09-07,44.4832,44.783,44.4349,44.7443,9418365
2017-09-08,44.6573,44.8313,44.4929,44.7636,10534915
2017-09-11,44.812,45.044,44.6863,44.9763,10430254
2017-09-12,44.957,45.1987,44.9086,45.1697,8567619
2017-09-13,45.131,45.4211,45.102,45.3147,10217985
2017-09-14,45.2172,45.2806,44.769,44.9346,13768837
2017-09-15,45.1198,45.1783,44.8274,45.0029,16141413
2017-09-18,44.9736,45.0613,44.7397,44.9346,8535331
2017-09-19,44.9639,45.0126,44.7202,44.8079,7297932
2017-09-20,44.5936,44.9687,44.3889,44.613,11026594
2017-09-21,44.5448,44.6228,44.2038,44.2427,7555292
2017-09-22,44.2915,44.4669,44.2135,44.3304,8024827
2017-09-25,44.3402,44.5936,44.194,44.5253,9215326
2017-09-26,44.5253,44.7008,44.3987,44.4084,6480138
2017-09-27,44.3109,44.3402,43.2487,43.5021,14816247
2017-09-28,43.5313,43.8529,43.5119,43.7652,8789517
2017-09-29,43.7165,43.9601,43.6483,43.8627,10082221
2017-10-02,43.9017,44.1112,43.6044,43.658,10707763
2017-10-03,43.7165,44.1063,43.619,44.0381,12038102
2017-10-04,43.9601,44.3987,43.7896,44.3402,14060338
2017-10-05,44.3499,44.5789,44.3402,44.3597,10215323
2017-10-06,44.233,44.3597,44.1258,44.3304,5437871
2017-10-09,44.3889,44.4864,44.1843,44.2525,5268348
2017-10-10,44.4376,44.73,44.3645,44.7008,6310445
2017-10-11,44.7105,45.0223,44.7008,44.9249,6638173
2017-10-12,44.8079,44.9639,44.769,44.9346,7710216
2017-10-13,45.0711,45.1978,44.9736,45.0029,7126020
2017-10-16,44.9444,45.5583,44.9252,45.4316,12708563
2017-10-17,45.3439,45.4414,45.1295,45.3342,7699367
2017-10-18,45.227,45.3488,45.0613,45.2172,6272155
2017-10-19,45.188,45.5973,45.1393,45.4024,7515545
2017-10-20,45.3927,45.4024,45.1003,45.1978,9646790
2017-10-23,45.1978,45.4609,45.0516,45.1393,7153607
2017-10-24,45.0808,45.11,44.7787,45.0029,9539484
2017-10-25,45.188,45.5681,44.7592,44.8762,9480869
2017-10-26,45.1393,45.5583,45.0418,45.0516,10569064
2017-10-27,44.9541,45.149,44.7397,44.8957,9987969
2017-10-30,44.8274,44.8957,44.652,44.691,7201867
2017-10-31,44.7495,44.9931,44.6715,44.8079,6560545
2017-11-01,44.5838,44.9151,44.4669,44.6325,7067635
2017-11-02,44.6423,44.7787,44.5789,44.7105,8317810
2017-11-03,44.7982,44.9785,44.7462,44.7982,4730358
2017-11-06,44.7397,44.7495,44.2622,44.3109,7451311
2017-11-07,44.2525,44.7787,44.155,44.769,9868033
2017-11-08,44.8079,45.0126,44.7008,45.0029,7586867
2017-11-09,44.9444,45.2026,44.8469,45.0516,6501893
2017-11-10,45.0223,45.4511,44.959,45.3537,8022885
2017-11-13,45.4121,45.6217,45.3537,45.5291,7653580
2017-11-14,45.5193,46.2697,45.4316,46.221,17200736
2017-11-15,46.1138,46.2502,45.5876,45.6168,12419146
2017-11-16,45.7532,45.7825,45.3244,45.3634,12506380
2017-11-17,45.1588,45.1978,44.0966,44.5448,19720707
2017-11-20,44.4864,44.7105,44.2622,44.3012,19160872
2017-11-21,44.3987,44.7787,44.3792,44.613,10280791
2017-11-22,44.7202,44.7592,44.3792,44.6715,8434404
2017-11-24,44.7202,44.8713,44.691,44.7105,2996338
2017-11-27,44.7105,44.8177,44.6423,44.73,5649156
2017-11-28,44.8177,44.9736,44.613,44.6618,8432783
2017-11-29,44.6033,44.652,44.0576,44.3402,16502110
2017-11-30,44.35,45.0378,44.2419,44.969,17147588
2017-12-01,44.9985,45.2146,44.4188,45.1655,12468785
2017-12-04,45.1851,45.5663,44.969,45.4209,17523581
2017-12-05,45.4406,45.6273,45.2539,45.4504,13670758
2017-12-06,45.5192,45.6666,45.4516,45.6371,8153957
2017-12-07,45.4799,45.5094,44.9199,44.9788,9106494
2017-12-08,44.9002,44.9297,44.2616,44.517,13238583
2017-12-11,44.3893,44.6153,44.1339,44.5367,9698673
2017-12-12,44.4581,44.7234,44.2714,44.4974,13999340
2017-12-13,44.6546,45.2441,44.6055,45.0967,12418663
2017-12-14,45.0967,45.362,44.9985,45.2244,9028977
2017-12-15,45.4799,45.6076,45.2343,45.3816,21181606
2017-12-18,45.4209,45.5683,45.1065,45.1262,10156757
2017-12-19,45.2736,45.5683,45.1065,45.3227,8253158
2017-12-20,45.3718,45.4897,45.1508,45.2736,7310961
2017-12-21,45.3423,45.4111,44.7627,44.802,9657134
2017-12-22,44.8413,44.9297,44.7528,44.7921,5406307
2017-12-26,44.9002,45.0525,44.8118,45.0083,6100436
2017-12-27,45.0967,45.136,44.915,45.1262,5660633
2017-12-28,45.1065,45.1851,44.8413,44.9199,6538851
2017-12-29,44.9002,45.3718,44.8928,45.0771,8371536
2018-01-02,45.1065,45.136,44.7086,44.743,10872178
2018-01-03,44.6939,44.8904,44.5465,44.6448,12635589
2018-01-04,44.7627,45.4062,44.6546,45.2736,12709370
