date,open,high,low,close,volume
2017-06-20,22.1896,22.219,21.8076,21.9251,21068718
2017-06-21,21.9447,22.1896,21.4255,21.9153,27636989
2017-06-22,21.8761,22.121,21.5724,22.1015,22745092
2017-06-23,22.2582,22.3072,21.9741,22.1406,23367408
2017-06-26,22.219,22.2778,22.0329,22.1504,12221653
2017-06-27,22.2386,22.6991,22.0819,22.3072,23221914
2017-06-28,22.366,23.0223,22.366,22.8754,15721045
2017-06-29,23.0028,23.0713,22.4443,22.7676,15258332
2017-06-30,22.8656,23.0321,22.7872,22.846,10818373
2017-07-03,22.993,23.1203,22.9538,23.0713,5610757
2017-07-05,23.1693,23.1987,22.5031,22.7578,14218197
2017-07-06,22.7284,23.0909,22.5815,22.6599,13637783
2017-07-07,22.7089,22.8656,22.5717,22.6893,9525408
2017-07-10,22.6305,22.6795,22.1406,22.1504,13677211
2017-07-11,22.1504,22.4541,22.0427,22.17,10070256
2017-07-12,22.268,22.4737,22.1896,22.3366,8707592
2017-07-13,22.5227,22.5423,22.1504,22.4541,9081376
2017-07-14,22.5129,22.7284,22.4247,22.5423,7146252
2017-07-17,22.5325,22.6893,22.3562,22.4052,10516826
2017-07-18,22.3856,22.4052,22.0819,22.0917,9997710
2017-07-19,22.1406,22.4933,22.1015,22.4737,8743316
2017-07-20,22.5325,22.913,22.5227,22.7872,8228793
2017-07-21,22.7284,22.8264,22.5325,22.7872,7001199
2017-07-24,22.7774,22.8559,22.7,22.7578,6004885
2017-07-25,22.8852,23.326,22.8558,23.1987,9014708
2017-07-26,23.3358,23.5416,23.1693,23.2379,10980555
2017-07-27,23.2183,23.5906,23.0419,23.4632,8650482
2017-07-28,23.424,23.7865,23.3554,23.7865,10322216
2017-07-31,23.8061,24.0598,23.6689,24.0216,11312413
2017-08-01,23.6689,23.8257,23.5416,23.6395,7953280
2017-08-02,24.0902,24.198,23.9236,24.1294,8694819
2017-08-03,24.0706,24.0804,23.3651,23.571,12425525
2017-08-04,23.6689,23.8257,23.5416,23.6395,7953630
2017-08-07,23.6493,24.0412,23.6395,23.8747,7260047
2017-08-08,23.7669,23.953,23.6004,23.6395,9033347
2017-08-09,23.571,23.6102,23.4044,23.4534,5597645
2017-08-10,23.326,23.4142,23.0615,23.0909,7534496
2017-08-11,22.8792,23.6562,22.692,23.1352,10591133
2017-08-14,23.1845,23.3519,23.1057,23.2239,7671973
2017-08-15,23.2239,23.2239,22.7216,22.761,8189817
2017-08-16,22.958,22.9924,22.6231,22.7413,8193521
2017-08-17,22.5345,23.1549,22.5049,22.5148,15232274
2017-08-18,22.4163,22.7314,22.3916,22.5148,7969409
2017-08-21,22.5049,22.6231,22.2094,22.2685,7690671
2017-08-22,22.3178,22.7216,22.3178,22.5935,6503001
2017-08-23,22.5541,22.7413,22.5049,22.6132,6019666
2017-08-24,22.6526,22.8989,20.7419,20.7813,39085958
2017-08-25,20.998,21.7268,20.9783,21.4117,31786570
2017-08-28,20.9783,21.5594,20.8897,21.392,16487894
2017-08-29,21.3821,21.5988,21.2758,21.4806,8744714
2017-08-30,21.52,21.8647,21.2442,21.8647,10805424
2017-08-31,21.8155,21.8549,21.4806,21.5397,15823714
2017-09-01,21.6382,22.1996,21.6086,22.0814,13862536
2017-09-05,21.9534,22.4557,21.914,22.0912,11804204
2017-09-06,22.0814,22.2685,21.8549,22.2094,14274480
2017-09-07,22.1897,22.5837,21.8746,22.4261,21085220
2017-09-08,21.0276,21.4609,20.1018,20.7419,62444244
2017-09-11,20.6533,21.0276,20.4169,21.0177,21638715
2017-09-12,21.2836,21.4609,21.0571,21.2541,18888761
2017-09-13,21.2738,21.7465,21.2344,21.4018,12381958
2017-09-14,21.4215,21.5397,20.8404,20.9389,11905706
2017-09-15,20.9586,21.2836,20.9192,21.2442,15154036
2017-09-18,21.195,21.3477,21.0128,21.1162,8370498
2017-09-19,21.1654,21.2639,20.7616,20.8109,9687599
2017-09-20,20.7616,20.8232,20.4366,20.4859,13242476
2017-09-21,20.5154,20.5351,19.9146,19.9146,20307646
2017-09-22,19.954,20.1313,19.7373,19.8457,14232972
2017-09-25,19.7472,19.9343,19.5847,19.6389,16857864
2017-09-26,19.6487,20.0525,19.6487,19.8851,22762354
2017-09-27,20.0525,20.2593,19.826,19.9245,12554610
2017-09-28,19.8851,20.2101,19.8457,19.954,12922656
2017-09-29,20.023,20.1018,19.7373,19.757,12285719
2017-10-02,19.7373,19.9245,19.3926,19.6586,18788343
2017-10-03,19.7176,20.4169,19.6979,20.2495,25519351
2017-10-04,20.2495,20.4563,20.1215,20.2199,16921886
2017-10-05,20.1707,20.6385,20.1707,20.3874,18826650
2017-10-06,20.2002,20.4366,20.0821,20.3184,21257570
2017-10-09,20.4366,20.5056,19.9048,19.9836,16952291
2017-10-10,20.0525,20.3677,19.6881,20.2199,20709643
2017-10-11,21.1753,21.6973,20.4218,20.4662,43527917
2017-10-12,20.4563,21.0374,20.2199,20.6828,20201961
2017-10-13,20.8404,21.2344,20.5154,20.9783,16914749
2017-10-16,20.9685,20.9783,20.0821,20.1313,21368438
2017-10-17,20.1018,20.3578,19.9442,20.1707,16759023
2017-10-18,20.2199,20.4465,20.1411,20.3578,11931270
2017-10-19,20.3184,20.6434,20.279,20.5745,10713896
2017-10-20,20.6434,20.7321,20.4021,20.7025,14104769
2017-10-23,20.7222,21.2836,20.6434,21.0276,17999274
2017-10-24,21.0177,21.2442,20.998,21.1457,16429459
2017-10-25,21.1359,21.2245,20.7222,20.8158,12299229
2017-10-26,20.9291,21.0276,20.3234,20.5056,8778048
2017-10-27,20.2889,20.4021,20.0525,20.2593,13210348
2017-10-30,20.1018,20.4563,20.1018,20.3283,7202336
2017-10-31,20.3874,20.4957,20.2495,20.3874,9003941
2017-11-01,20.4465,20.9685,20.4465,20.5844,9975186
2017-11-02,20.9882,21.0374,20.4218,20.8601,13979493
2017-11-03,20.9783,21.4511,20.8995,21.1753,11235313
2017-11-06,21.3723,21.4314,20.9882,21.0079,10996319
2017-11-07,21.0768,21.1162,20.8306,20.9882,8983801
2017-11-08,20.9882,21.5594,20.9488,21.52,8955086
2017-11-09,21.4806,21.7613,21.4412,21.6185,10807645
2017-11-10,21.648,22.0519,21.6185,21.7465,8591395
2017-11-13,21.6677,21.914,21.648,21.8056,8041461
2017-11-14,21.7908,21.8601,21.3252,21.8106,10357969
2017-11-15,25.3802,25.6289,25.3305,25.3902,7951326
2017-11-16,21.6026,22.2266,21.5431,22.0681,15694898
2017-11-17,22.1176,23.2468,22.0582,23.1874,19798675
2017-11-20,22.8605,23.2963,22.702,22.9794,16452965
2017-11-21,23.019,23.0883,22.4841,22.5634,9436295
2017-11-22,22.6525,23.0487,22.604,22.9199,9755628
2017-11-24,23.0289,23.2072,22.7268,22.7615,3379880
2017-11-27,22.7813,23.1081,22.7317,22.9595,9671603
2017-11-28,22.9794,23.3855,22.8209,23.3359,9464631
2017-11-29,23.4251,24.1679,23.3954,24.1481,20966468
2017-11-30,27.0602,27.4366,25.2872,25.6141,64064413
2017-12-01,25.3763,25.7131,24.9603,25.4259,20546412
2017-12-04,25.7527,26.7284,25.7428,26.6244,18123049
2017-12-05,26.6541,26.7432,25.8716,25.9706,11321569
2017-12-06,26.0202,26.3074,25.9805,26.1588,8174251
2017-12-07,26.2084,26.4263,26.1192,26.2777,6903514
2017-12-08,26.2777,26.5485,26.2282,26.4263,6171507
2017-12-11,26.5451,26.7036,26.0994,26.3272,6914764
