date,open,high,low,close,volume
2017-06-20,102.1126,102.1126,99.9914,100.0506,940520
2017-06-21,99.6362,99.7645,98.6694,98.8765,1268865
2017-06-22,98.9061,100.9079,98.4424,100.2972,1159016
2017-06-23,100.0407,101.0175,99.6856,100.4946,1076655
2017-06-26,101.126,102.4283,101.0471,101.4121,577329
2017-06-27,101.2246,101.6045,100.8892,100.9089,551795
2017-06-28,101.6193,102.3395,101.5699,101.9646,454892
2017-06-29,102.2704,102.3069,100.5834,101.1161,584200
2017-06-30,101.6785,103.7404,101.2741,103.2472,1063679
2017-07-03,103.6911,103.9153,102.7983,103.5135,481609
2017-07-05,103.5037,103.5037,102.4776,102.8821,921623
2017-07-06,102.5368,102.6552,101.4812,101.7278,1150499
2017-07-07,101.9547,103.3951,101.7278,102.9413,707940
2017-07-10,102.9512,103.4741,102.5269,103.2669,968997
2017-07-11,103.5037,103.5037,101.7278,102.6157,757140
2017-07-12,103.3853,104.1154,103.0794,103.6714,502282
2017-07-13,103.9476,104.5001,103.4839,103.6714,582933
2017-07-14,103.9279,104.1548,103.1781,103.4346,1066558
2017-07-17,103.6714,103.6714,102.6157,102.8328,880062
2017-07-18,102.892,103.0893,101.9153,102.7933,823649
2017-07-19,102.7144,102.7144,101.6489,102.1816,955595
2017-07-20,102.5861,102.7835,100.5735,102.6749,1869779
2017-07-21,98.9061,104.0858,98.8272,103.8391,1738051
2017-07-24,104.1746,104.9244,103.1386,103.6023,1209605
2017-07-25,104.1351,104.3324,102.7539,102.9512,842802
2017-07-26,103.0498,103.4543,101.8166,102.8032,802928
2017-07-27,102.7736,102.8032,99.6757,100.1492,1142019
2017-07-28,100.1591,101.9745,99.873,101.7377,1166817
2017-07-31,101.935,102.7933,100.8892,101.8067,1159205
2017-08-01,100.6721,101.126,99.8335,101.0569,769261
2017-08-02,100.2874,100.7412,99.6461,100.7412,1917169
2017-08-03,100.7511,101.2937,99.9421,100.682,1242959
2017-08-04,100.6721,101.126,99.8335,101.0569,769261
2017-08-07,101.1852,101.9005,100.9287,101.7771,726430
2017-08-08,101.7278,103.1189,101.4464,102.4875,908469
2017-08-09,102.4973,102.7045,101.935,102.5072,695006
2017-08-10,102.4776,102.7045,100.6721,100.8103,686360
2017-08-11,101.0273,102.9512,100.6327,101.5897,784535
2017-08-14,101.9843,103.9082,101.9137,103.5826,953303
2017-08-15,103.7109,105.0428,103.1395,104.9046,1055663
2017-08-16,105.5657,107.6671,105.5657,106.0491,1496348
2017-08-17,106.059,106.3549,103.9575,104.4508,1300893
2017-08-18,104.2634,105.0345,103.7405,104.3817,944875
2017-08-21,104.8849,106.5621,104.6679,106.1181,997392
2017-08-22,106.1181,107.3218,106.1181,107.1442,923620
2017-08-23,105.7728,106.1971,103.9279,104.3028,1579042
2017-08-24,104.5791,104.8454,102.961,103.1781,1036153
2017-08-25,103.3458,103.7799,102.2408,102.9709,1515201
2017-08-28,102.892,102.892,100.978,102.0731,1909040
2017-08-29,101.6193,102.2606,100.5538,101.5897,1473820
2017-08-30,101.422,101.7081,100.6919,101.3628,2092686
2017-08-31,101.6489,102.3642,101.4713,102.0435,1321400
2017-09-01,102.4776,103.3162,102.2211,102.3691,950466
2017-09-05,102.2408,102.4776,100.8892,101.343,1102863
2017-09-06,101.5601,103.0498,101.422,102.2507,977985
2017-09-07,102.1323,102.8377,101.9547,102.596,847059
2017-09-08,102.4475,103.4276,101.804,103.388,661905
2017-09-11,103.9523,105.1107,103.9127,104.982,939617
2017-09-12,104.9424,105.4473,104.8434,105.0612,499023
2017-09-13,104.8632,105.0414,103.992,104.6454,599133
2017-09-14,109.744,111.3775,109.2688,110.9518,838671
2017-09-15,105.0513,106.1898,104.8731,106.1898,1169503
2017-09-18,106.1898,106.3977,104.9881,105.2196,522768
2017-09-19,105.2295,105.6948,104.9226,105.2988,625604
2017-09-20,105.2889,106.5858,105.2889,106.4472,484954
2017-09-21,106.4571,107.16,105.8532,106.8333,544442
2017-09-22,106.8135,106.9323,106.1898,106.665,392248
2017-09-25,106.6749,107.2739,106.3086,106.5462,722844
2017-09-26,106.764,106.9694,105.8631,106.4373,555809
2017-09-27,106.4373,107.3481,106.1799,107.1402,566621
2017-09-28,107.0115,107.358,106.8234,107.1105,692435
2017-09-29,106.8927,107.7639,106.5759,107.5956,515334
2017-10-02,107.1897,107.4174,105.2394,105.972,1317268
2017-10-03,105.8334,106.2888,105.5859,105.7344,1290035
2017-10-04,105.5562,106.3185,105.0712,105.9522,634176
2017-10-05,105.6453,106.6452,105.4176,106.3383,699807
2017-10-06,105.4572,106.2591,102.1802,102.7049,2136739
2017-10-09,102.7148,103.2989,102.6554,103.1207,533422
2017-10-10,104.9127,104.9325,103.0217,103.7444,695643
2017-10-11,103.6355,104.8038,103.4771,103.8434,905431
2017-10-12,103.8533,104.9226,103.8533,104.4078,1033502
2017-10-13,104.6355,104.7889,102.9524,103.1306,825720
2017-10-16,103.3088,103.5118,100.8041,100.8833,1364937
2017-10-17,100.2398,100.6853,98.7052,100.4576,2083529
2017-10-18,100.7744,102.5069,100.4675,101.7842,1805406
2017-10-19,101.4872,102.7643,100.2992,102.7445,1453935
2017-10-20,105.0612,106.2096,103.388,104.1405,1734623
2017-10-23,105.5067,106.6155,104.4771,104.9523,1304845
2017-10-24,105.2196,105.6948,102.5564,103.0712,1392578
2017-10-25,103.685,103.685,101.012,101.1308,1163334
2017-10-26,101.6456,104.19,100.9823,103.6355,918080
2017-10-27,103.6355,104.19,102.3881,103.2197,775111
2017-10-30,102.893,104.3682,102.7742,103.9226,990441
2017-10-31,104.0019,104.0019,102.2298,103.1801,1086507
2017-11-01,103.7246,104.6652,103.4177,104.4078,952870
2017-11-02,104.6157,105.0711,104.0613,104.6949,870523
2017-11-03,104.6949,105.6799,103.7939,103.8137,1498873
2017-11-06,103.8137,105.081,103.2698,104.9325,943646
2017-11-07,104.8731,105.8334,104.1903,105.0018,787626
2017-11-08,104.8236,105.0513,103.6751,104.685,605991
2017-11-09,104.2098,105.2988,103.2098,104.1999,845422
2017-11-10,103.8236,104.19,102.8039,103.7543,628986
2017-11-13,103.5068,104.1405,102.7841,104.0712,691866
2017-11-14,103.4573,103.7642,102.9623,103.2098,624771
2017-11-15,103.0019,103.0019,101.0912,101.1506,822292
2017-11-16,101.5763,103.0118,101.1506,102.4871,629090
2017-11-17,101.8733,102.497,101.012,101.6456,451427
