date,open,high,low,close,volume
2017-06-08,50.4695,50.6345,49.9747,50.5083,1184816
2017-06-09,50.5957,50.9352,50.3919,50.6151,666994
2017-06-12,50.5471,51.3039,50.5083,51.2166,778586
2017-06-13,51.2654,51.4901,51.1482,51.3533,686220
2017-06-14,51.5682,51.832,51.3338,51.5682,584278
2017-06-15,51.3631,51.4803,51.0114,51.0896,709558
2017-06-16,51.0896,51.5585,50.8258,51.5194,1324575
2017-06-19,51.6464,52.2716,51.5194,52.2325,752618
2017-06-20,52.1934,52.4767,51.7343,51.7441,463918
2017-06-21,51.7441,51.832,51.3435,51.5975,1062367
2017-06-22,51.6561,51.7441,51.2849,51.4412,402495
2017-06-23,51.5096,51.6854,51.2556,51.3924,1189426
2017-06-26,51.4803,51.7636,51.4803,51.705,436870
2017-06-27,51.6952,51.8515,51.1286,51.1286,552111
2017-06-28,51.5194,51.7147,51.3631,51.4412,450698
2017-06-29,51.4315,51.4608,50.5132,50.9137,617041
2017-06-30,51.0212,51.5389,51.0212,51.3142,663786
2017-07-03,51.3338,51.5878,51.2263,51.2263,512996
2017-07-05,51.2556,51.5682,51.2068,51.4901,710176
2017-07-06,51.324,51.3434,50.8258,50.943,546983
2017-07-07,51.2068,51.7538,50.9137,51.6366,845452
2017-07-10,51.6464,51.7734,51.2166,51.2263,640864
2017-07-11,51.1189,51.5194,50.9723,51.324,540431
2017-07-12,51.6659,52.1446,51.6464,51.8906,684580
2017-07-13,51.871,52.1543,51.7343,51.9297,799963
2017-07-14,51.9101,52.125,51.7636,51.9883,317769
2017-07-17,52.0566,52.3497,51.8515,51.871,689791
2017-07-18,51.578,51.705,50.7086,51.0407,1104341
2017-07-19,51.1775,51.4363,51.0896,51.3728,1098162
2017-07-20,51.4705,51.5682,50.7184,51.3533,797988
2017-07-21,51.2849,51.451,50.9919,51.4315,693794
2017-07-24,51.5389,52.4083,51.2849,52.1446,935980
2017-07-25,52.5353,52.7111,51.9785,52.5548,918382
2017-07-26,51.8613,51.9297,50.4839,50.6304,1422843
2017-07-27,50.7086,50.7965,50.3838,50.5914,1098425
2017-07-28,49.1554,49.2921,47.6803,48.4325,2080926
2017-07-31,48.4911,48.5449,47.0454,47.0649,1872491
2017-08-01,46.6742,47.2505,46.6742,47.2212,834437
2017-08-02,46.9477,47.1714,46.4202,46.5179,1210746
2017-08-03,46.6449,46.7914,46.3127,46.6546,1187598
2017-08-04,46.6742,47.2505,46.6742,47.2212,834437
2017-08-07,47.2212,47.2212,46.7132,47.1138,735452
2017-08-08,47.0454,47.1724,46.7328,46.7816,929826
2017-08-09,46.7914,46.8207,46.3958,46.596,655755
2017-08-10,46.2541,46.43,45.8145,45.8927,843546
2017-08-11,45.6778,46.112,45.668,45.8829,657855
2017-08-14,46.2932,46.5081,46.0588,46.3323,701840
2017-08-15,46.43,46.43,45.922,46.0588,688099
2017-08-16,46.1564,46.7035,46.132,46.6546,788079
2017-08-17,46.6644,46.7132,45.4531,45.4531,1071941
2017-08-18,45.375,45.6192,45.1991,45.3456,709191
2017-08-21,45.3359,45.4043,44.8377,45.121,1102568
2017-08-22,45.248,45.4043,45.0428,45.3359,806777
2017-08-23,44.9354,45.1307,44.5642,44.5642,585371
2017-08-24,44.7498,44.7693,44.1637,44.1832,1049792
2017-08-25,44.32,44.4958,44.2418,44.2711,585197
2017-08-28,44.486,44.6619,43.812,43.9194,656626
2017-08-29,43.6752,44.232,43.6166,44.2223,839184
2017-08-30,44.232,45.0868,44.1256,45.0135,1400678
2017-08-31,45.16,45.375,44.8816,44.9061,1017969
2017-09-01,44.9842,45.4531,44.9842,45.3554,606712
2017-09-05,45.2284,45.3847,44.4665,44.6619,986951
2017-09-06,44.7986,45.4971,44.7205,45.4629,1460806
2017-09-07,43.7631,44.0953,42.166,42.4932,2602214
2017-09-08,42.1904,44.4762,42.1904,44.2516,1521099
2017-09-11,44.3883,44.6032,44.1343,44.32,914055
2017-09-12,44.3297,44.6716,44.3297,44.5349,703209
2017-09-13,44.5446,44.7302,44.3493,44.5739,1040188
2017-09-14,44.505,44.9087,44.3967,44.8103,977297
2017-09-15,44.9481,45.3124,44.6921,45.145,1602885
2017-09-18,45.1746,45.4995,45.1253,45.1746,878192
2017-09-19,45.145,45.2041,44.5346,44.8004,861898
2017-09-20,44.83,45.1549,44.7807,45.0466,513926
2017-09-21,45.0269,45.2632,44.9875,45.2337,491486
2017-09-22,45.9327,46.0804,45.4601,46.041,1422705
2017-09-25,46.0017,46.6023,45.9918,46.5038,1265190
2017-09-26,46.5924,47.0749,46.4546,46.7007,968728
2017-09-27,46.8189,47.2324,46.4644,46.5826,981491
2017-09-28,46.5432,47.1635,46.5432,47.0552,722241
2017-09-29,46.9863,47.1635,46.8711,46.9961,671551
2017-10-02,47.0158,47.4589,46.9075,47.4491,797725
2017-10-03,47.6263,47.8134,47.3309,47.8134,719719
2017-10-04,47.8134,48.0595,47.6164,48.0398,560850
2017-10-05,48.0694,48.1088,47.6091,47.7346,742405
2017-10-06,47.6361,47.8429,47.5672,47.7149,626589
2017-10-09,47.8035,47.8823,47.4983,47.5278,301094
2017-10-10,47.6558,47.7346,46.8681,47.2324,937819
2017-10-11,47.2423,47.6952,47.006,47.5968,1053085
2017-10-12,47.4687,47.5574,46.8878,47.1537,1419436
2017-10-13,47.2324,47.3251,46.7401,46.9371,1090026
2017-10-16,46.9567,47.2029,46.8091,47.0552,714544
2017-10-17,47.0257,47.2817,46.878,46.9961,565335
2017-10-18,47.0158,47.5968,47.0158,47.3998,699871
2017-10-19,47.3309,47.6952,47.1044,47.6854,474749
2017-10-20,47.9315,48.2072,47.7838,48.1678,580649
2017-10-23,48.1974,48.5321,48.0989,48.3254,859411
2017-10-24,48.4435,48.5125,47.5968,47.8035,1353920
2017-10-25,47.8232,47.8823,46.7598,47.1734,998188
2017-10-26,47.5968,47.6657,47.0552,47.4884,1365758
2017-10-27,48.9161,51.1906,48.2466,48.6897,2676100
2017-10-30,47.7543,48.03,46.4103,46.4743,2079551
2017-10-31,46.5924,46.75,46.238,46.5334,2797923
2017-11-01,46.425,46.7992,45.2927,45.785,1717092
2017-11-02,45.7752,46.0312,45.0663,45.401,1056341
2017-11-03,45.2927,45.726,45.2041,45.2927,698466
2017-11-06,45.3223,45.5192,45.1057,45.1549,719238
2017-11-07,45.3124,45.3813,44.8989,45.2337,790600
2017-11-08,45.1844,45.3518,44.6823,45.017,796335
2017-11-09,44.633,45.2041,44.5149,45.1746,773761
2017-11-10,45.086,45.4404,45.086,45.2337,688101
2017-11-13,45.2533,45.3912,44.7118,45.1057,741106
2017-11-14,44.8004,45.0663,44.3376,44.8693,1614100
2017-11-15,44.5641,44.8792,44.0718,44.6823,944471
2017-11-16,44.702,45.5192,44.702,45.2829,809239
2017-11-17,45.0367,45.8146,45.0367,45.7358,689515
2017-11-20,45.7949,45.9032,45.5438,45.6275,698267
2017-11-21,45.7358,45.9327,45.3715,45.6866,918321
2017-11-22,45.6866,46.0607,45.5783,45.9327,623721
2017-11-24,46.1297,46.1297,45.7063,45.7752,206632
2017-11-27,45.7949,45.8737,45.5684,45.7358,757189
2017-11-28,45.785,46.6318,45.6866,46.622,736600
2017-11-29,46.75,47.6755,46.5826,47.3604,811053
2017-11-30,47.2915,48.0497,47.2915,47.4983,1447736
2017-12-01,47.646,47.646,46.1494,47.1438,1029847
2017-12-04,47.5278,48.414,47.4047,47.5574,790950
2017-12-05,47.5672,47.6066,46.7007,46.7795,869232
2017-12-06,46.5432,46.5432,45.1155,45.3321,1439534
2017-12-07,45.3124,45.7653,45.2337,45.4601,848375
2017-12-08,45.4897,45.7949,45.214,45.5881,778449
2017-12-11,45.785,46.0903,45.3124,45.4109,841209
2017-12-12,45.2632,45.8441,45.2632,45.6177,638382
2017-12-13,45.6275,46.0017,45.4503,45.5684,890474
2017-12-14,46.0646,46.3127,45.6181,45.6379,1097983
2017-12-15,46.1142,46.8188,45.9058,46.4219,1766188
2017-12-18,47.057,47.434,46.6402,46.7791,801960
2017-12-19,46.8089,47.1463,46.5112,46.5806,673480
2017-12-20,46.8486,46.8883,46.5608,46.6699,398866
2017-12-21,46.789,47.2058,46.6799,47.0272,766133
2017-12-22,46.7493,47.1562,46.5409,46.6997,672221
2017-12-26,46.8188,47.1959,46.7791,47.176,507759
2017-12-27,47.3646,47.3646,46.9776,47.186,402596
2017-12-28,47.2951,47.2951,47.0272,47.1661,478325
2017-12-29,47.3447,47.6325,47.3249,47.3646,803460
2018-01-02,47.563,49.4981,46.7096,47.4936,1082162
2018-01-03,47.5035,47.7913,47.0073,47.2554,781792
2018-01-04,47.4539,47.4737,47.1959,47.3646,516513
2018-01-05,47.6027,47.6524,47.2257,47.5333,525376
2018-01-08,47.5234,48.0294,46.9478,47.9501,1109741
2018-01-09,48.0791,48.1287,47.5531,47.5829,1078130
2018-01-10,47.3348,47.4936,46.9974,47.1165,617817
2018-01-11,47.3943,48.2031,47.1363,48.1981,882121
2018-01-12,48.3668,48.5653,48.0493,48.4264,885310
2018-01-16,48.8432,48.8432,48.0394,48.0691,1045239
2018-01-17,48.218,48.5355,47.9699,48.1287,908637
2018-01-18,48.1684,48.4065,47.7913,47.9898,627843
2018-01-19,48.1684,48.5653,47.5234,47.8806,1271433
2018-01-22,47.8211,47.8905,47.186,47.7218,1643760
2018-01-23,47.9997,47.9997,46.6997,46.9875,1328842
2018-01-24,47.176,47.8508,46.8783,46.9676,1384208
2018-01-25,47.1363,47.8012,46.9577,47.4241,1834547
2018-01-26,47.4142,47.7913,47.2455,47.4638,1170547
2018-01-29,47.4837,47.7913,47.2356,47.2753,1324228
2018-01-30,46.9974,47.057,46.4615,46.6203,1259357
2018-01-31,46.66,46.8982,45.886,46.1539,2491308
2018-02-01,45.9158,46.273,45.1417,45.2906,1996471
2018-02-02,45.2013,45.3104,44.457,44.7051,1512723
2018-02-05,44.457,44.9482,42.9685,43.1173,3727069
2018-02-06,42.2441,45.5486,41.6784,45.231,3666115
2018-02-07,44.9929,46.6799,44.8837,45.4295,2719608
2018-02-08,45.3203,45.4791,43.6532,43.6532,1944400
2018-02-09,44.1295,44.3578,42.7403,43.941,1519795
2018-02-12,44.199,44.973,44.0799,44.5761,1300728
2018-02-13,44.3082,44.5166,43.8021,44.0502,1291154
2018-02-14,43.6631,44.715,43.6631,44.586,1068070
2018-02-15,44.8143,45.1209,44.586,44.8936,1326711
2018-02-16,44.7845,45.4097,44.6952,44.7051,1306072
2018-02-20,44.586,44.7845,43.8914,44.0303,1082498
2018-02-21,44.1792,45.1616,44.1792,44.5364,777256
2018-02-22,44.6356,44.6356,43.8815,44.0204,2061155
2018-02-23,44.3379,44.452,44.0154,44.4272,886058
2018-02-26,44.3776,44.3776,43.9608,43.9807,1742902
2018-02-27,44.1395,44.7447,43.4547,43.4647,1511277
2018-02-28,43.7028,43.8517,43.1273,43.1273,1412918
2018-03-01,43.1868,43.2265,41.7975,41.996,2550553
2018-03-02,41.8571,41.867,40.9342,41.48,1973609
2018-03-05,41.48,43.7921,41.4304,43.5937,3047130
2018-03-06,43.6731,45.231,43.5837,45.1616,2699308
2018-03-07,44.6853,45.3104,44.5761,44.7249,2133177
2018-03-08,44.9036,45.1864,44.5463,44.973,1212454
2018-03-09,45.1517,46.0547,44.8143,46.0547,1922453
2018-03-12,46.1142,46.5707,45.8959,46.5112,2109427
2018-03-13,46.66,46.8783,46.144,46.66,2821487
2018-03-14,46.91,47.41,46.53,47.41,3412343
2018-03-15,47.44,47.44,45.99,46.01,1729578
2018-03-16,46.0,46.63,45.89,46.26,3211103
2018-03-19,46.07,46.22,45.36,45.81,1916941
2018-03-20,46.0,46.19,45.14,45.23,589866
2018-03-21,45.23,45.58,44.95,45.27,792900
2018-03-22,44.95,45.28,44.22,44.23,955332
2018-03-23,44.34,44.52,43.05,43.13,1032808
2018-03-26,43.68,43.915,43.05,43.78,1254135
2018-03-27,43.96,44.29,43.35,43.62,1372564
2018-03-28,43.54,44.08,43.44,43.9,758606
2018-03-29,44.11,44.55,43.84,44.36,609014
2018-04-02,44.21,44.41,42.79,43.3,932183
2018-04-03,43.42,44.22,43.06,44.15,901354
2018-04-04,43.58,45.01,43.43,44.92,1026054
2018-04-05,45.14,45.26,44.86,44.99,810095
2018-04-06,44.73,45.0,43.52,43.93,936207
2018-04-09,44.23,44.6,43.75,43.82,816942
2018-04-10,44.37,44.7445,44.13,44.48,622601
2018-04-11,44.15,44.735,44.1,44.46,760491
2018-04-12,44.59,44.74,44.33,44.41,756999
2018-04-13,44.71,44.71,44.04,44.33,673429
2018-04-16,44.67,45.05,44.36,44.77,867903
2018-04-17,45.1,45.16,44.62,45.04,770936
2018-04-18,45.25,45.391,44.81,44.84,1399965
2018-04-19,44.62,44.67,43.32,43.58,1353016
2018-04-20,43.54,43.64,42.68,42.9,1330480
2018-04-23,42.98,43.19,42.69,42.93,936021
2018-04-24,43.26,43.32,42.22,42.35,1127846
2018-04-25,42.26,42.43,41.71,41.83,2385551
2018-04-26,41.99,42.89,41.795,42.72,1853392
2018-04-27,41.66,43.41,41.05,41.05,3400397
2018-04-30,40.79,41.05,40.31,40.55,2668241
2018-05-01,40.45,40.56,39.57,40.38,1648337
2018-05-02,40.28,41.205,40.08,40.76,1741280
2018-05-03,40.8,40.8,40.09,40.53,1677059
2018-05-04,40.32,41.66,40.13,41.42,1182534
2018-05-07,41.63,41.68,41.36,41.55,1211599
2018-05-08,41.65,42.045,41.371,41.63,1281426
2018-05-09,41.76,42.0703,41.32,41.6,1407150
2018-05-10,41.81,42.16,41.55,41.85,785051
2018-05-11,41.91,42.07,41.71,41.87,566185
2018-05-14,41.9,42.084,41.66,41.75,651682
2018-05-15,41.57,41.64,41.2,41.61,1016521
2018-05-16,41.67,41.98,41.41,41.76,853043
2018-05-17,41.8,42.0,41.55,41.88,1596714
2018-05-18,41.87,42.35,41.71,42.12,851761
2018-05-21,42.49,42.75,42.29,42.58,530754
2018-05-22,42.54,42.63,41.9,41.92,585342
2018-05-23,41.74,42.02,41.33,41.65,751917
2018-05-24,41.51,41.66,41.3,41.63,733703
2018-05-25,41.58,41.9099,41.5,41.63,814764
2018-05-29,41.49,41.77,41.15,41.49,1180914
2018-05-30,41.75,42.24,41.48,42.02,995166
