date,open,high,low,close,volume
2017-06-08,160.029,161.7707,158.4645,161.692,702189
2017-06-09,161.5346,163.8863,161.3574,163.6305,736884
2017-06-12,163.5026,164.3685,162.6908,164.2603,657510
2017-06-13,164.152,167.6256,163.1877,165.1065,725805
2017-06-14,165.3131,166.366,163.7879,165.6772,1133391
2017-06-15,164.8507,165.9429,163.6403,165.2443,412127
2017-06-16,165.1065,165.7953,163.7387,164.2799,1043347
2017-06-19,165.0573,167.1336,164.339,167.0352,497488
2017-06-20,166.2479,169.318,166.2479,167.537,563828
2017-06-21,167.2812,168.3832,166.4054,166.7793,440633
2017-06-22,166.7891,167.9011,166.1003,166.1397,528282
2017-06-23,166.0216,167.2123,164.9491,165.1951,602621
2017-06-26,165.6575,165.7559,163.3058,163.7486,873297
2017-06-27,163.6797,165.2246,163.1778,163.3746,341219
2017-06-28,164.1028,165.9035,163.8863,165.3525,421234
2017-06-29,165.3525,166.0118,161.7117,163.3943,509650
2017-06-30,163.9454,164.9786,163.5616,164.4079,612166
2017-07-03,164.6539,167.8519,164.4472,167.8519,317222
2017-07-05,167.8027,169.2885,167.3796,168.5899,559667
2017-07-06,168.4029,168.7375,166.1594,166.3562,509967
2017-07-07,166.3562,169.9773,166.1102,168.767,651987
2017-07-10,168.7572,168.7572,166.7124,167.3205,461922
2017-07-11,167.3894,167.7043,165.8445,166.9466,415392
2017-07-12,167.6649,167.7112,166.3463,166.7793,377636
2017-07-13,166.9958,168.3537,165.9823,166.2873,336044
2017-07-14,166.7891,169.7018,166.2184,169.3574,508114
2017-07-17,169.4263,170.5874,168.3439,169.2295,430778
2017-07-18,169.0425,169.0425,166.7695,167.1532,540201
2017-07-19,167.6649,169.259,167.5862,169.2098,330268
2017-07-20,172.2012,177.8395,170.735,174.8777,1012982
2017-07-21,173.7166,175.5074,169.9675,173.7953,1106401
2017-07-24,173.7658,176.5013,172.9589,174.8383,479764
2017-07-25,175.4386,175.4828,173.3033,174.4742,528649
2017-07-26,174.7202,174.9761,172.1923,172.7129,1146024
2017-07-27,173.1458,175.7239,171.0696,173.2049,1001316
2017-07-28,173.4509,173.8051,171.965,173.5493,590955
2017-07-31,173.8051,174.7694,172.1126,172.1717,474428
2017-08-01,172.3488,172.4373,169.997,171.5714,608038
2017-08-02,171.3156,172.9097,171.0597,172.1717,485367
2017-08-03,172.1717,172.6538,169.8297,172.5948,515850
2017-08-04,172.9687,173.3033,171.8273,173.1852,315594
2017-08-07,174.1102,174.3463,173.0573,173.7559,411957
2017-08-08,174.7104,175.8125,173.6575,175.3303,551578
2017-08-09,175.3992,179.2368,175.2418,178.8236,987327
2017-08-10,178.7547,182.1593,178.7547,180.3586,1450750
2017-08-11,181.0572,182.0413,180.457,180.6932,657404
2017-08-14,179.5025,180.3192,177.318,180.0732,854862
2017-08-15,180.7154,180.8043,178.7986,179.263,442034
2017-08-16,179.678,180.3992,178.9567,179.2827,522471
2017-08-17,179.1543,179.9645,176.4174,176.4569,537963
2017-08-18,176.2198,177.0695,175.3809,175.953,413960
2017-08-21,175.8739,178.2354,175.5084,177.9686,368624
2017-08-22,178.6701,180.172,177.7809,178.512,432393
2017-08-23,177.7315,178.6701,176.5261,177.1386,295735
2017-08-24,177.6623,178.2848,176.2099,177.9192,267752
2017-08-25,178.6109,178.7294,176.8324,177.0794,240743
2017-08-28,177.7117,177.7117,176.1802,176.7632,957562
2017-08-29,177.356,179.925,177.1189,179.6582,297594
2017-08-30,179.678,179.9348,178.8974,179.4408,343866
