date,open,high,low,close,volume
2017-06-08,161.2755,162.8049,160.3183,162.7852,2319387
2017-06-09,163.1602,164.8377,152.3355,155.6904,3833966
2017-06-12,153.4505,153.7993,146.78,152.4637,5473895
2017-06-13,154.5853,155.8138,150.8751,153.0657,2760776
2017-06-14,153.2926,153.8945,148.418,150.727,2830683
2017-06-15,147.599,148.7599,145.6453,146.5136,4160943
2017-06-16,146.859,148.9706,145.7045,146.2472,4113402
2017-06-19,148.201,149.9376,147.9148,149.0002,3081381
2017-06-20,149.4936,150.9145,147.5448,148.122,2459548
2017-06-21,148.3194,149.2469,147.1747,148.9213,1885767
2017-06-22,149.5035,150.3965,147.5398,148.0529,1581409
2017-06-23,147.826,150.7961,147.5426,149.7699,3074066
2017-06-26,150.4409,151.5757,146.3952,147.0168,2606612
2017-06-27,146.2965,146.6024,142.5271,142.7047,3408941
2017-06-28,143.2474,146.2077,140.9088,145.8722,2910154
2017-06-29,144.1454,144.5588,138.1558,140.4648,3111213
2017-06-30,141.4713,141.6686,138.9649,139.557,2938712
2017-07-03,140.82,141.4811,137.396,137.4453,1569682
2017-07-05,138.5603,140.8101,138.0867,140.6424,2618913
2017-07-06,139.5619,142.8034,138.807,141.9844,2796655
2017-07-07,145.0532,147.6977,144.4974,146.1682,2956290
2017-07-10,146.7603,149.0052,145.9018,148.8423,2278961
2017-07-11,149.3061,152.7696,149.0101,151.6842,2753826
2017-07-12,153.3518,154.2794,150.8948,152.5328,1782748
2017-07-13,152.9966,154.2399,152.1184,152.888,1461096
2017-07-14,153.6281,155.5227,152.9078,155.2168,1459805
2017-07-17,155.6904,156.2134,153.6873,154.901,1658409
2017-07-18,154.9208,157.4741,154.1678,157.2396,1831954
2017-07-19,158.3744,162.3658,158.1228,162.055,2711710
2017-07-20,162.7951,162.9332,159.6769,162.6175,2375913
2017-07-21,161.7442,161.7442,160.1407,161.3643,1848013
2017-07-24,161.3347,162.4991,160.9906,161.9465,1445660
2017-07-25,161.907,162.6372,160.3233,162.282,2082769
2017-07-26,163.2095,166.2093,163.0319,166.1106,3310805
2017-07-27,166.6829,167.7486,159.1352,162.578,5665243
2017-07-28,162.0747,162.7842,158.6547,159.4598,2740045
2017-07-31,160.4466,160.8413,156.6871,157.3482,2444782
2017-08-01,158.3152,158.3645,155.0885,155.3747,2592545
2017-08-02,156.8647,156.8745,147.7865,149.5429,4787213
2017-08-03,147.5201,149.4837,146.2965,146.928,3146112
2017-08-04,147.3721,150.2435,146.3952,148.0628,2154360
2017-08-07,148.4575,153.8353,148.048,153.7761,2751763
2017-08-08,153.786,155.7694,152.0098,153.6873,2753190
2017-08-09,153.4012,154.2892,151.3388,153.1446,1957044
2017-08-10,151.8223,152.148,147.0662,147.4609,2613352
2017-08-11,147.8655,152.3848,147.8359,152.2171,1790856
2017-08-14,154.5261,156.8153,154.1412,156.4502,2127200
2017-08-15,156.4897,158.482,155.6806,158.0883,1817424
2017-08-16,159.3118,163.0023,158.5127,161.0584,5098847
2017-08-17,160.3479,161.4038,156.2035,156.3614,1960468
2017-08-18,158.0784,159.7263,156.2529,158.3645,1924780
2017-08-21,158.9862,159.3217,154.9406,156.3022,1554838
2017-08-22,157.1015,161.9958,157.1015,161.6406,2522343
2017-08-23,160.9794,161.7985,158.6112,159.5585,1815827
2017-08-24,160.0618,160.644,155.9963,156.7167,1473728
2017-08-25,157.1903,157.8514,154.4485,155.7694,1272017
2017-08-28,156.2331,158.9073,155.646,158.5422,1258222
2017-08-29,156.5193,160.6834,156.0062,160.1703,1232082
2017-08-30,160.2789,162.8148,159.6276,162.8049,1571260
2017-08-31,163.4266,165.1041,162.9964,163.7818,1792443
2017-09-01,163.8213,166.9099,163.2454,164.6502,1570735
2017-09-05,163.4957,164.1963,160.3677,161.9267,1538754
2017-09-06,163.0615,163.6536,160.8808,162.8247,1942070
2017-09-07,163.1404,166.4658,162.6569,166.3573,1356989
2017-09-08,165.5185,166.4658,163.1108,163.5549,1729689
2017-09-11,165.2916,168.39,165.1929,167.7091,1882808
2017-09-12,168.4116,170.7268,167.1353,169.8462,1689710
2017-09-13,170.4596,170.6575,168.0753,169.6978,1427120
2017-09-14,169.0251,172.5175,168.4809,170.7466,1942248
2017-09-15,170.7762,172.2801,170.0243,171.1522,2691091
2017-09-18,172.5571,176.2871,172.102,175.4263,2820005
2017-09-19,175.6836,176.1387,174.1302,175.2383,2147120
2017-09-20,175.5253,175.7528,168.5897,171.1819,2341879
2017-09-21,171.3303,171.7008,168.3226,170.4498,2165677
2017-09-22,169.8858,175.08,169.5791,174.8525,1582779
2017-09-25,174.1302,174.1302,168.194,168.3622,2212987
2017-09-26,170.4893,170.8257,165.7403,167.6399,2549772
2017-09-27,173.2398,178.7061,171.2165,177.4842,3040314
2017-09-28,176.6927,180.1446,175.8023,179.8884,2061667
2017-09-29,180.9569,183.2622,179.4927,183.0742,1789347
2017-10-02,183.0742,185.5773,181.4968,183.9745,2101473
2017-10-03,184.5286,184.7166,180.8762,182.906,1482641
2017-10-04,182.0156,183.3018,180.1654,183.0544,2364630
2017-10-05,183.3018,183.5976,178.8713,180.8778,1589801
2017-10-06,180.6403,183.0643,180.4227,182.8664,1016805
2017-10-09,183.0346,183.9745,181.7781,182.6982,1113140
2017-10-10,184.1526,184.3703,180.017,182.9357,1570843
2017-10-11,182.2629,184.2318,181.9958,184.2021,1627862
2017-10-12,184.1328,187.101,184.1328,185.0035,2138747
2017-10-13,186.636,188.2833,185.5278,187.8826,1557143
2017-10-16,188.9709,191.7906,188.3179,190.3164,2836340
2017-10-17,193.0174,193.4132,189.8613,192.4832,3836983
2017-10-18,194.9863,198.7764,191.0684,198.3601,5396264
2017-10-19,196.2824,198.8646,192.8591,198.8449,3019452
