date,open,high,low,close,volume
2017-06-08,76.4148,77.3019,76.2316,76.6366,2386775
2017-06-09,76.7523,79.2882,76.7137,78.9507,3394697
2017-06-12,78.9314,80.0017,78.5457,78.8543,2419191
2017-06-13,78.4011,80.2428,78.169,79.9824,2714718
2017-06-14,80.1946,80.1946,77.7936,78.0347,4056765
2017-06-15,77.3115,77.8611,76.6848,77.273,2326015
2017-06-16,77.2537,78.0058,76.8969,77.9865,3133407
2017-06-19,78.5554,78.9314,78.2275,78.3915,1535477
2017-06-20,77.514,77.7551,76.058,77.2344,2052377
2017-06-21,77.5429,77.7165,76.4177,76.7233,2440123
2017-06-22,77.0319,77.6683,76.733,77.1476,1995355
2017-06-23,77.2344,77.7261,76.7523,77.3019,2426166
2017-06-26,77.6876,78.459,77.3212,77.9961,2879856
2017-06-27,78.4397,79.8708,78.2083,79.1339,2845853
2017-06-28,79.7221,80.9949,79.6217,80.802,2870752
2017-06-29,81.3613,81.7855,80.3199,80.7731,3253021
2017-06-30,81.448,82.0362,80.8936,81.3709,2600642
2017-07-03,82.0073,82.8462,81.8337,82.3062,1428134
2017-07-05,82.5858,82.6823,79.9342,80.3778,2367643
2017-07-06,79.9439,81.2359,79.9246,80.0788,2487550
2017-07-07,80.3103,81.4288,79.5871,80.9274,2257705
2017-07-10,80.5127,81.5734,80.2524,81.1877,1918858
2017-07-11,81.1877,81.718,80.7345,81.4384,2084101
2017-07-12,81.9012,82.904,81.8241,82.6533,3004087
2017-07-13,82.6823,82.9159,81.9591,82.4219,1890202
2017-07-14,82.7112,83.5308,82.5521,82.798,1760503
2017-07-17,82.8751,83.2029,82.4798,82.5858,1442298
2017-07-18,82.5183,83.0004,81.9109,82.2001,1496283
2017-07-19,82.2098,84.2154,82.2098,84.0418,2109419
2017-07-20,84.0611,84.8035,83.7622,83.9068,3158991
2017-07-21,84.0418,84.0418,83.1258,83.7622,2152177
2017-07-24,83.7333,84.3022,83.5886,84.1286,1853531
2017-07-25,84.871,85.4014,84.4275,84.8035,1993230
2017-07-26,85.2471,85.6328,83.8875,84.2154,1806685
2017-07-27,84.4179,84.5818,83.0197,83.4343,2959929
2017-07-28,85.3435,87.4359,84.8903,86.6741,3977320
2017-07-31,87.137,88.0048,86.4138,86.867,2673583
2017-08-01,85.5749,86.1053,84.7071,85.2085,2620570
2017-08-02,85.5749,86.1053,84.7071,85.2085,2620644
2017-08-03,85.3146,86.0763,85.1121,85.5749,4259937
2017-08-04,85.9703,86.192,85.4978,85.6039,1514203
2017-08-07,85.9413,86.2017,85.681,85.9317,1832313
2017-08-08,85.8063,86.2595,85.2085,85.5556,2375219
2017-08-09,85.4399,86.2788,85.2278,86.0088,2593363
2017-08-10,85.411,85.8353,84.4468,84.4661,2176687
2017-08-11,83.849,84.8325,83.849,84.0707,1893185
2017-08-14,84.2539,85.0928,84.1286,84.8807,1607965
2017-08-15,84.9096,85.3435,84.6878,84.8035,1548384
2017-08-16,84.8035,85.1941,84.1768,84.5239,2052900
2017-08-17,84.3793,84.7457,83.1065,83.1451,2470921
2017-08-18,83.0197,84.495,82.2966,84.2154,2683676
2017-08-21,84.2057,85.2374,84.0515,84.9482,2454483
2017-08-22,85.4785,86.1149,85.2278,85.5942,1550294
2017-08-23,85.2278,86.7802,85.1758,86.1631,1410024
2017-08-24,86.2017,86.5584,85.7967,86.3077,1294449
2017-08-25,87.0695,88.1398,86.7706,87.0309,2309431
2017-08-28,87.3298,87.6769,86.4717,87.0888,1392436
2017-08-29,86.462,86.6163,85.7196,86.3945,1803163
2017-08-30,86.221,87.6962,86.1727,87.0984,2194192
2017-08-31,87.6094,87.8119,86.2113,87.3491,2609403
2017-09-01,87.7484,88.6152,87.4806,87.8945,1529134
2017-09-05,88.2159,88.4652,86.4921,87.0569,3642615
2017-09-06,87.4562,89.8715,86.7063,89.3261,2674673
2017-09-07,89.3651,89.8618,88.5957,89.3261,2360115
2017-09-08,89.18,89.6767,88.9463,89.2093,1746982
2017-09-11,89.8813,91.5174,89.7157,91.2155,2426244
2017-09-12,91.0597,92.2284,90.9525,92.1115,2183067
2017-09-13,92.0336,92.2673,91.6245,91.7122,1588606
2017-09-14,91.5466,92.355,91.4882,91.9654,1559518
2017-09-15,91.8291,93.2222,91.5466,92.6861,7251700
2017-09-18,92.9977,93.3873,92.579,93.0854,3637507
2017-09-19,93.3873,94.1664,92.9442,94.0398,1971646
2017-09-20,94.1567,94.5268,93.0172,93.5431,2375573
2017-09-21,93.436,93.7379,93.0464,93.2899,2308976
