date,open,high,low,close,volume
2017-06-08,21.0449,21.5059,20.471,20.4804,18786921
2017-06-09,20.5275,21.4118,20.377,21.3554,13500754
2017-06-12,21.4212,21.948,21.1014,21.3271,12620753
2017-06-13,21.1908,21.6787,21.1621,21.296,8510531
2017-06-14,21.3343,21.8222,20.9708,21.7744,9440460
2017-06-15,21.7074,22.1188,21.5543,21.7457,6371747
2017-06-16,21.6309,21.9418,21.2099,21.937,8967767
2017-06-19,22.0518,22.0518,21.4491,21.7266,8765901
2017-06-20,21.7074,21.7074,21.1238,21.143,6548561
2017-06-21,21.0664,21.1478,20.6024,20.6646,8550265
2017-06-22,20.6933,21.2673,20.5785,21.1334,6466804
2017-06-23,21.1717,21.3534,20.9612,21.3056,6753598
2017-06-26,21.3247,21.6022,21.2147,21.4969,6424220
2017-06-27,21.5161,22.224,21.5161,22.0901,10412950
2017-06-28,22.2049,22.511,22.0327,22.1762,11342201
2017-06-29,22.2719,22.358,21.7361,21.9562,7060666
2017-06-30,22.0805,22.2575,21.784,22.2336,6154709
2017-07-03,22.3197,22.8937,22.291,22.8076,3895411
2017-07-05,23.1233,23.5858,22.4919,22.5015,12113751
2017-07-06,22.2527,22.3867,21.8318,21.8605,5704721
2017-07-07,21.9275,22.0518,21.6213,21.6979,7629963
2017-07-10,21.6979,21.717,20.1528,20.1671,21696311
2017-07-11,20.2341,20.3585,19.9471,20.2532,10020727
2017-07-12,20.3011,20.4168,20.1002,20.3106,7457271
2017-07-13,20.6455,21.4874,20.6264,21.143,14105889
2017-07-14,21.2291,21.5256,21.009,21.3917,8571396
2017-07-17,21.3917,22.3484,21.3534,22.0518,11494864
2017-07-18,22.004,22.1284,21.5256,21.6979,5779982
2017-07-19,21.8414,22.0805,21.6979,21.9944,4045634
2017-07-20,21.8509,22.2814,21.8414,22.071,6034299
2017-07-21,22.1188,22.4058,21.8653,22.3484,4822162
2017-07-24,22.2145,22.3388,21.65,21.7074,5453848
2017-07-25,21.8509,22.6641,21.8031,22.4728,6531017
2017-07-26,22.5302,22.6163,22.1523,22.5206,5482200
2017-07-27,22.5684,23.3147,22.3197,23.152,8594787
2017-07-28,23.1042,23.1425,22.5876,22.8937,5342021
2017-07-31,23.3147,23.3912,22.5302,22.7215,5862623
2017-08-01,22.7215,22.9129,22.0997,22.1666,6529194
2017-08-02,22.7215,22.9129,22.0997,22.1666,6529800
2017-08-03,22.2814,22.999,22.2145,22.5684,6046994
2017-08-04,22.5493,22.6258,22.1714,22.291,8755562
2017-08-07,22.2623,22.6641,22.0423,22.5397,6071493
2017-08-08,23.0659,23.1903,22.4536,22.5015,6386380
2017-08-09,22.3867,22.6354,21.7935,22.0327,9981189
2017-08-10,21.6405,21.8605,19.6601,19.7749,39690281
2017-08-11,19.4975,20.1193,19.287,19.7271,12503939
2017-08-14,19.8706,19.9949,19.4305,19.4688,8824225
2017-08-15,19.5166,19.6505,19.3348,19.4114,7943004
2017-08-16,19.5836,19.8897,19.2391,19.2678,8763103
2017-08-17,19.22,19.2583,18.7608,18.7704,20363448
2017-08-18,18.713,18.7895,18.5121,18.646,10487634
2017-08-21,18.6364,18.8373,18.4872,18.6843,9380781
2017-08-22,19.1435,19.6888,19.0765,19.5357,17550697
2017-08-23,19.4401,19.8132,19.3348,19.6123,8871131
2017-08-24,19.9854,20.3393,19.7127,19.794,12329836
2017-08-25,19.7558,20.3489,19.7558,20.1958,8701564
2017-08-28,20.2819,20.3298,20.0332,20.2437,5801144
2017-08-29,19.9662,20.0619,19.794,20.0332,7143685
2017-08-30,20.0332,20.1384,19.8514,19.928,4482950
2017-08-31,19.928,20.0619,19.7749,19.8706,7947877
2017-09-01,19.9758,20.5307,19.9662,20.4829,6952206
2017-09-05,20.4254,20.4254,19.8897,20.1002,7462954
2017-09-06,20.2341,21.2865,20.2341,21.2099,14297898
2017-09-07,21.3534,21.4711,20.6551,20.7794,6900000
2017-09-08,20.7603,20.8081,20.3441,20.3967,6190938
2017-09-11,20.1384,20.7986,20.1384,20.5498,7883864
2017-09-12,20.6168,21.3534,20.569,21.2578,9068628
2017-09-13,21.6979,21.8796,21.2099,21.6692,12715439
