date,open,high,low,close,volume
2017-06-20,106.2941,106.6989,104.7036,105.9085,618875
2017-06-21,105.8989,106.2555,105.2627,106.217,584076
2017-06-22,106.1302,106.1302,105.0409,105.359,586046
2017-06-23,105.359,106.4097,105.0024,105.2434,1314124
2017-06-26,105.2819,105.8796,104.5493,104.6843,561584
2017-06-27,104.4722,104.7228,102.795,102.8721,1055882
2017-06-28,102.9781,103.2673,102.2455,102.419,662599
2017-06-29,101.5611,102.3805,101.2478,101.7925,446452
2017-06-30,101.6382,102.2648,100.9442,101.5804,683290
2017-07-03,102.0624,102.3033,101.4358,102.0816,348372
2017-07-05,102.0913,102.3901,100.8189,101.5225,753036
2017-07-06,100.4429,101.1948,97.8788,97.8885,938293
2017-07-07,97.9945,99.1223,97.6379,98.6789,682076
2017-07-10,98.6789,98.6789,96.9149,97.0017,682934
2017-07-11,97.098,97.1077,95.7003,95.9992,858152
2017-07-12,96.8938,97.5064,96.5632,97.0786,935740
2017-07-13,97.205,97.3022,96.427,96.9911,570766
2017-07-14,97.3022,98.051,97.1855,97.6426,571413
2017-07-17,97.6912,98.7706,97.3995,98.4497,666205
2017-07-18,98.4497,98.7609,97.7885,98.1385,869020
2017-07-19,98.2163,98.7633,98.0899,98.5081,783353
2017-07-20,98.8095,99.3152,98.1531,98.2261,693635
2017-07-21,98.1872,98.615,97.769,98.4011,901685
2017-07-24,98.6928,99.5291,98.2358,99.2957,804962
2017-07-25,99.4513,99.4513,97.8176,98.615,588343
2017-07-26,98.6053,99.5583,98.3427,99.4222,416077
2017-07-27,98.44,100.6183,96.3298,100.064,968705
2017-07-28,100.1612,101.756,100.0737,100.8516,699633
2017-07-31,100.8905,101.0267,100.239,100.6766,838572
2017-08-01,101.0753,101.7609,100.7641,100.9003,398976
2017-08-02,100.7544,101.1434,100.346,100.9878,469150
2017-08-03,100.9975,101.6782,100.0738,101.0753,409656
2017-08-04,101.0753,101.7609,100.7641,100.9003,398976
2017-08-07,100.9683,101.3524,100.3897,101.1531,374165
2017-08-08,101.0559,101.5226,100.803,101.4837,486114
2017-08-09,101.4837,102.3686,101.2795,102.1936,546180
2017-08-10,101.9991,102.3735,101.5615,101.6004,396031
2017-08-11,101.9116,101.9116,100.9489,101.1531,392659
2017-08-14,101.5907,103.4189,101.2601,103.273,502408
2017-08-15,103.1466,104.2357,102.1547,104.1482,677129
2017-08-16,104.4497,104.8192,103.5647,103.7495,591304
2017-08-17,103.6134,104.1677,103.3022,103.5842,472090
2017-08-18,103.2244,103.2244,102.3589,102.8549,507633
2017-08-21,102.9327,104.7803,102.6361,104.4886,501154
2017-08-22,104.4886,104.7803,103.3022,103.944,412410
2017-08-23,103.8273,104.9748,103.8273,104.6539,311345
2017-08-24,104.7803,105.286,104.4108,104.508,563499
2017-08-25,104.5955,105.1401,103.9732,104.1385,374706
2017-08-28,104.1385,104.2357,102.3978,103.3994,529125
2017-08-29,103.3119,104.1482,102.5826,102.8646,453108
2017-08-30,102.7382,103.6814,102.2131,103.6814,327809
2017-08-31,103.8468,104.2844,103.3605,103.5258,501024
2017-09-01,103.6912,104.2455,103.273,103.2925,311016
2017-09-05,103.2633,103.9294,102.5923,103.555,543745
2017-09-06,103.7495,103.9245,103.166,103.4383,514151
2017-09-07,103.5842,104.508,103.5161,104.0801,558706
2017-09-08,104.3427,105.4513,103.9634,104.9651,845630
2017-09-11,105.1887,106.239,104.8386,106.1028,575365
2017-09-12,105.8597,105.8791,103.6231,104.1093,508020
2017-09-13,103.9537,103.9829,102.9716,103.3216,452437
2017-09-14,103.1174,104.2746,102.4659,104.0607,406199
2017-09-15,104.2455,105.2373,103.8273,105.2373,1412262
2017-09-18,105.2957,105.6652,104.8484,105.2762,753602
2017-09-19,105.2957,105.4318,104.0801,104.7317,963099
