date,open,high,low,close,volume
2017-06-20,54.4553,54.8785,53.9799,54.7501,1407160
2017-06-21,54.7786,55.0068,53.8278,54.037,1018712
2017-06-22,53.8183,54.4553,53.3238,54.3507,1190457
2017-06-23,54.4268,55.197,54.2237,54.6265,1693701
2017-06-26,54.9783,56.2239,54.6835,55.6914,1123794
2017-06-27,55.4727,56.2905,55.4727,55.9387,726625
2017-06-28,56.1954,56.9561,56.0242,56.5187,818474
2017-06-29,56.1669,57.1183,56.0147,56.0528,714320
2017-06-30,56.3761,56.5947,54.9212,55.2065,1365382
2017-07-03,55.6059,56.6043,55.3872,56.5092,612208
2017-07-05,56.4521,56.4521,54.4553,55.1019,1518839
2017-07-06,54.8547,54.964,53.5615,54.1415,1645529
2017-07-07,54.2556,54.7311,53.7897,54.5124,943045
2017-07-10,54.6645,54.7121,54.0892,54.2556,944898
2017-07-11,54.2556,54.2556,53.4474,53.6946,1076546
2017-07-12,54.132,55.2731,54.0655,54.094,1166762
2017-07-13,54.2652,55.0544,54.2652,54.7596,986735
2017-07-14,55.1304,55.8246,54.9022,55.7295,826741
2017-07-17,55.8531,56.5187,55.5203,56.1478,1011939
2017-07-18,56.0528,56.1478,55.2065,55.6059,1169108
2017-07-19,55.6439,56.1669,55.4632,55.7295,1149115
2017-07-20,55.8246,56.1954,55.5773,56.0337,797812
2017-07-21,55.9482,56.2524,55.216,55.9101,794920
2017-07-24,55.9767,56.0623,55.2921,55.4822,805066
2017-07-25,55.6059,56.3761,55.159,56.3285,1206899
2017-07-26,56.4141,57.4505,56.1288,57.384,1402991
2017-07-27,57.2033,58.525,56.7469,58.2207,1095294
2017-07-28,57.983,57.983,54.9117,55.0068,1542301
2017-07-31,55.1304,55.254,54.2271,54.5694,2619123
2017-08-01,55.0829,55.7295,54.2842,55.0639,1360304
2017-08-02,54.6455,54.7026,52.2779,52.8199,2450139
2017-08-03,53.571,55.5583,53.2477,54.1225,2737520
2017-08-04,54.1796,56.6233,54.094,56.4236,1768018
