date,open,high,low,close,volume
2017-06-08,36.6238,36.802,36.4457,36.6634,2238000
2017-06-09,36.7228,36.9802,36.6139,36.8416,1730732
2017-06-12,36.7129,37.0692,36.3764,37.0395,2069654
2017-06-13,37.1088,37.9403,36.9901,37.7522,3282698
2017-06-14,37.9205,38.1383,37.772,38.0294,2264062
2017-06-15,37.7027,38.2867,37.485,38.1977,3272172
2017-06-16,38.0888,38.4748,38.0096,38.1878,3651933
2017-06-19,38.3758,38.8015,38.2768,38.7421,2026187
2017-06-20,38.7223,38.9697,38.5738,38.5738,2644482
2017-06-21,38.5639,38.7074,38.2669,38.3659,1991826
2017-06-22,38.3659,38.6332,38.1581,38.4253,2349315
2017-06-23,38.4451,38.5936,38.1284,38.5144,4187860
2017-06-26,38.5639,38.7421,38.4847,38.5144,1492003
2017-06-27,38.4649,38.5045,37.8166,37.8611,2314506
2017-06-28,38.1185,38.4253,37.8314,38.3659,2288884
2017-06-29,38.2867,38.356,37.3068,37.6137,1906745
2017-06-30,37.6137,38.1432,37.6137,37.8215,1972339
2017-07-03,38.0294,38.1086,37.5642,37.5741,1268644
2017-07-05,37.5642,37.8413,37.2672,37.7621,2750420
2017-07-06,37.5147,37.6631,37.2276,37.2969,1979881
2017-07-07,37.4355,38.2719,37.4355,38.0393,2496600
2017-07-10,38.0393,38.4451,37.7918,38.3461,2051509
2017-07-11,38.2966,38.5144,38.1383,38.4055,1926291
2017-07-12,38.7231,38.8521,38.2467,38.3658,1331596
2017-07-13,38.2963,38.5941,38.2467,38.5444,1388428
2017-07-14,38.5941,38.7826,38.5444,38.6238,1303547
2017-07-17,38.6238,38.6984,38.4303,38.4452,1435874
2017-07-18,38.3857,38.5246,38.0582,38.2765,1229359
2017-07-19,38.465,38.7528,38.4154,38.7231,1223835
2017-07-20,38.5544,38.6635,37.7505,38.0086,3631935
2017-07-21,37.8597,38.2765,37.82,38.0086,1516337
2017-07-24,38.0383,38.0532,37.4131,37.433,2353102
2017-07-25,37.6711,37.7902,37.3635,37.4528,1981264
2017-07-26,37.4727,37.6414,37.2146,37.3536,2976373
2017-07-27,37.7108,38.5444,37.423,37.9986,4423774
2017-07-28,38.0482,38.8025,38.0185,38.2765,3477025
2017-07-31,38.4254,38.4849,37.8398,37.8398,1714371
2017-08-01,37.8101,38.0879,37.7208,38.0383,1115687
2017-08-02,37.9887,38.2963,37.8597,37.9887,1735286
2017-08-03,37.9986,38.1425,37.5421,37.7009,3530010
2017-08-04,37.8101,38.0879,37.7208,38.0383,1115687
2017-08-07,37.9589,38.0731,37.7704,37.9192,1042832
2017-08-08,37.8498,37.8696,37.294,37.3436,2074787
2017-08-09,37.3238,37.3933,36.8673,36.9169,1868496
