date,open,high,low,close,volume
2017-06-20,150.5366,151.5222,150.117,150.3415,3614426
2017-06-21,150.4488,150.683,149.8926,150.0097,2448456
2017-06-22,150.0585,151.1611,149.9609,151.0538,2003838
2017-06-23,151.249,151.6881,150.6927,150.8977,2214734
2017-06-26,151.4246,151.6978,149.8048,150.2341,2360865
2017-06-27,150.2732,151.0686,149.7462,149.9999,2139026
2017-06-28,150.3122,150.9367,150.0194,150.5659,1302825
2017-06-29,150.8391,150.8391,148.4679,149.4242,1975891
2017-06-30,149.5901,150.0487,149.0241,149.4535,2508213
2017-07-03,149.7267,150.1463,148.7851,148.8095,1100668
2017-07-05,149.1217,149.8536,148.3118,149.3657,2497334
2017-07-06,149.0046,149.7462,148.6436,149.3852,2019798
2017-07-07,149.6584,152.7712,149.4437,152.4882,4117750
2017-07-10,152.498,152.7419,151.4051,151.7564,2402682
2017-07-11,151.3368,152.1077,150.2829,151.1611,2008830
2017-07-12,151.649,152.9566,151.5124,152.7907,2094889
2017-07-13,152.7029,152.7517,150.6049,151.288,3169726
2017-07-14,151.2392,151.7369,150.9855,151.5222,2440151
2017-07-17,151.6685,151.6783,150.9562,151.5027,2408743
2017-07-18,151.249,151.5124,149.6584,150.2341,3890738
2017-07-19,150.4,150.722,149.7657,150.1658,3072177
2017-07-20,150.3024,151.4636,149.834,150.4781,2240178
2017-07-21,150.3317,150.9562,149.5803,150.1951,3522350
2017-07-24,150.2732,150.4829,148.0971,148.1752,5307438
2017-07-25,153.9324,156.1084,152.7517,155.2205,9511383
2017-07-26,154.918,155.1522,151.9125,152.7224,4678963
2017-07-27,152.6346,153.6201,151.7759,153.1518,4624114
2017-07-28,152.576,152.8688,151.3173,152.0784,3964456
2017-07-31,152.1467,152.6346,151.1026,151.3856,4280364
2017-08-01,151.2294,152.1272,149.9902,150.3122,4185050
2017-08-02,150.039,152.859,149.9902,152.8005,3325986
2017-08-03,152.7712,152.9761,150.6742,150.9757,3666110
2017-08-04,150.8684,151.075,149.5218,150.0975,4435402
2017-08-07,150.4098,151.6295,150.2732,151.2197,3252104
2017-08-08,150.9269,151.488,150.3707,151.1709,4234291
2017-08-09,151.5417,151.9125,150.6147,151.1709,3006466
2017-08-10,150.5952,153.3957,150.5171,152.8297,3874541
2017-08-11,153.0835,154.5657,152.8395,153.4933,2925044
2017-08-14,153.6397,154.0788,152.6736,153.4543,2809051
2017-08-15,154.0202,154.7423,153.5323,153.8055,2160072
2017-08-16,154.069,155.523,153.7899,155.0546,2921762
2017-08-17,154.9082,155.6693,153.991,154.069,3071602
2017-08-18,154.1666,154.4496,153.221,153.9422,2595695
2017-08-21,154.3422,154.8009,153.7275,154.5276,2195074
2017-08-22,154.6643,156.0694,154.5569,155.7767,2122581
2017-08-23,155.4449,155.5132,154.5472,154.9668,2190674
2017-08-24,155.2595,155.8147,154.5004,154.5764,1634784
2017-08-25,155.0448,155.4839,154.6935,154.9765,2019582
2017-08-28,155.1912,156.0889,154.8204,155.8059,2027283
2017-08-29,155.3473,155.8938,154.8887,155.523,3283371
2017-08-30,155.4837,156.7009,155.4052,156.5929,2236471
2017-08-31,156.8285,157.0543,156.4162,157.0248,2717014
2017-09-01,156.9267,157.2506,156.5635,156.8678,1878291
2017-09-05,156.0727,156.8383,155.1598,156.1708,4005591
2017-09-06,156.2984,156.4359,155.307,155.307,4143348
2017-09-07,155.5524,157.1181,155.415,156.9561,2965378
2017-09-08,156.5929,157.4273,156.2494,156.7696,2984223
2017-09-11,157.0543,158.7426,156.9757,158.5561,2333557
2017-09-12,157.2604,157.761,152.9021,153.4518,10324140
2017-09-13,153.8543,154.8751,153.1279,154.1095,4705601
2017-09-14,154.1095,154.453,153.177,154.1095,3109655
2017-09-15,154.8849,155.0911,153.9917,154.031,7425112
2017-09-18,154.8162,154.8849,153.4715,153.7954,3832243
2017-09-19,154.3745,154.9929,153.4518,154.5316,3554601
2017-09-20,154.9929,156.9463,154.8604,156.9365,3641093
2017-09-21,156.9267,157.1426,155.5917,156.1021,2503437
2017-09-22,155.9549,156.799,155.6408,155.9843,2442658
2017-09-25,155.5524,155.7654,153.2261,153.3831,3661538
2017-09-26,153.3733,153.9524,150.4482,150.5267,6420043
2017-09-27,150.6837,151.842,150.615,151.2138,3915940
2017-09-28,153.285,155.3954,152.6175,154.5905,4210238
2017-09-29,154.6101,155.1303,153.2457,153.7954,3670057
2017-10-02,153.1279,154.2862,152.9325,154.0702,2406969
2017-10-03,153.8641,154.56,153.4813,153.9721,2188429
