date,open,high,low,close,volume
2017-06-20,120.8177,121.1936,119.8976,119.8976,548532
2017-06-21,119.957,119.957,117.3352,117.6716,892888
2017-06-22,117.5034,118.1663,117.0672,117.454,722437
2017-06-23,117.4737,119.3832,117.355,118.7797,1298354
2017-06-26,119.6008,120.2241,119.1556,119.3337,609636
2017-06-27,119.304,119.9669,118.5028,119.1358,548382
2017-06-28,119.957,121.1838,119.1556,120.9166,579426
2017-06-29,121.2431,121.3866,119.6107,120.0757,786660
2017-06-30,120.3428,120.8968,119.9965,120.3824,628633
2017-07-03,120.7682,121.5399,120.3626,120.7188,399195
2017-07-05,120.9463,123.0734,120.234,122.6579,820340
2017-07-06,122.1731,122.3314,120.7484,120.8672,714751
2017-07-07,121.2035,122.3611,120.9661,122.1038,598522
2017-07-10,121.7774,122.1236,121.2233,121.718,515724
2017-07-11,121.8664,122.1434,120.7583,121.3025,587090
2017-07-12,121.8664,123.39,121.807,122.9547,481311
2017-07-13,123.1822,123.5186,121.7774,123.3504,820492
2017-07-14,123.1921,124.2507,122.6183,123.7659,403047
2017-07-17,123.4691,124.2408,123.0635,124.033,492884
2017-07-18,123.568,124.6464,123.291,124.5079,663099
2017-07-19,124.7157,125.2786,123.7362,125.2499,845562
2017-07-20,125.2598,126.2887,124.7256,125.8138,1248488
2017-07-21,129.1083,132.1951,128.7621,131.1563,2559392
2017-07-24,131.7301,133.7582,131.6114,132.1456,1631042
2017-07-25,133.2734,133.4515,130.9188,131.3343,1016479
2017-07-26,131.3739,132.4127,131.3244,131.8587,661363
2017-07-27,132.1654,132.1654,129.2369,130.4835,799289
2017-07-28,130.4835,131.0375,129.8009,130.8001,677659
2017-07-31,131.3047,131.463,130.0383,130.2263,899684
2017-08-01,130.3549,131.0969,130.0681,130.1867,1082632
2017-08-02,129.9097,130.0779,127.1396,127.9904,1200860
2017-08-03,128.0794,128.3465,126.7042,127.3473,1273858
2017-08-04,127.7332,128.208,126.9318,127.9112,878022
2017-08-07,128.3564,128.3861,127.2187,127.6936,772833
2017-08-08,127.288,127.5056,125.987,126.3382,817439
2017-08-09,125.6951,126.6944,124.9333,126.6548,1401066
2017-08-10,126.1205,127.4858,125.5071,125.5566,719653
2017-08-11,126.1205,127.6243,126.0711,126.3976,1159542
2017-08-14,127.2781,129.3557,126.8032,129.138,1214526
2017-08-15,129.5337,130.9584,129.2419,130.7902,827136
2017-08-16,131.1167,131.74,130.2856,130.6814,731981
2017-08-17,129.8207,131.364,128.7917,128.8313,971946
2017-08-18,129.0794,129.8434,128.0276,129.4762,1479131
2017-08-21,129.4564,130.2899,129.0,129.7938,654955
2017-08-22,130.1014,131.8179,130.1014,131.55,555205
2017-08-23,130.9051,131.3466,130.2899,130.9944,422722
2017-08-24,131.5004,131.937,130.4486,131.173,430590
2017-08-25,131.7981,132.0759,131.2077,131.3615,597536
2017-08-28,131.4706,131.7088,130.9745,131.6492,410784
2017-08-29,130.9646,132.2049,130.6471,131.9965,455095
2017-08-30,131.937,133.4102,131.3813,133.3956,467491
2017-08-31,133.6833,133.9909,132.5422,132.9887,1020771
2017-09-01,133.594,133.6337,132.3934,132.7208,672726
2017-09-05,132.066,132.5522,131.2523,132.0263,879351
2017-09-06,132.7605,133.6932,132.2942,133.1971,750194
2017-09-07,133.1475,133.4849,132.6911,133.1773,492596
2017-09-08,133.207,134.7053,132.8101,134.2985,427471
2017-09-11,135.4197,135.7273,134.2985,134.6656,1097754
2017-09-12,134.8938,135.132,133.7726,135.1022,389072
2017-09-13,135.132,135.4495,134.1596,134.3183,489024
