date,open,high,low,close,volume
2017-06-20,86.7536,87.526,86.5874,86.8416,3535017
2017-06-21,86.9882,87.1544,86.5971,86.8122,3549356
2017-06-22,86.9882,87.5944,86.734,87.1056,3549352
2017-06-23,87.4478,87.5064,86.91,87.2131,6707093
2017-06-26,87.2327,87.7215,86.998,87.1642,3491550
2017-06-27,87.1642,87.438,86.8122,86.8122,3149612
2017-06-28,87.1447,87.614,86.9589,87.3109,3339370
2017-06-29,87.3891,87.3989,86.1572,86.734,2887953
2017-06-30,86.7731,87.1838,86.5971,86.7731,3827936
2017-07-03,86.822,87.2131,86.7731,86.8318,2006736
2017-07-05,86.9989,87.5688,86.763,87.3724,2892122
2017-07-06,87.1758,87.451,85.7606,85.7606,3884944
2017-07-07,86.1439,86.5861,85.8982,86.4485,2918090
2017-07-10,86.3502,86.4878,85.5542,85.7016,3062125
2017-07-11,85.5542,85.908,85.1905,85.7606,2792873
2017-07-12,86.2421,86.7335,85.8982,86.3011,2128409
2017-07-13,86.419,86.4878,85.7999,86.3011,2306315
2017-07-14,86.3011,87.2937,86.1537,87.048,2257794
2017-07-17,87.048,87.2643,84.365,84.5812,9555345
2017-07-18,84.5222,84.9448,84.306,84.3748,5505674
2017-07-19,84.5025,84.6598,83.9915,84.1782,4596998
2017-07-20,84.4338,84.6107,84.0357,84.1979,4381530
2017-07-21,84.1979,84.4731,83.4804,83.7065,3523156
2017-07-24,83.7458,83.8441,83.2544,83.6278,4095993
2017-07-25,83.9325,84.532,83.5689,84.4534,5256281
2017-07-26,84.3453,84.7974,83.9227,84.2667,3331550
2017-07-27,84.3846,84.3846,82.8809,83.2249,5244867
2017-07-28,83.1168,83.3513,82.7237,82.8416,4550821
2017-07-31,83.048,83.2249,82.4779,82.5271,5452150
2017-08-01,82.1045,82.5173,81.7998,82.2421,3414725
2017-08-02,82.0848,82.1733,81.5541,81.7703,4909504
2017-08-03,81.5344,82.0553,81.406,81.8588,5944272
2017-08-04,82.1045,82.5173,81.7998,82.2421,3414725
2017-08-07,82.3305,83.0971,82.2617,82.9202,3647613
2017-08-08,82.8416,83.0775,82.2322,82.3895,3825259
2017-08-09,82.3109,82.5762,82.075,82.5074,3519268
2017-08-10,82.1438,82.419,81.5934,81.6131,3495768
2017-08-11,81.8883,82.7875,81.6622,82.2716,4302167
2017-08-14,82.6057,83.6082,82.6057,83.0185,3346750
2017-08-15,83.1266,83.5492,82.9694,83.1364,2765989
2017-08-16,83.3723,83.4608,83.0873,83.1463,4376215
2017-08-17,83.0283,83.392,82.1978,82.2322,3789022
2017-08-18,81.8883,82.3698,81.6917,81.9767,4440985
2017-08-21,81.8981,82.5713,81.5148,82.0848,4691489
2017-08-22,80.0602,80.7384,79.6081,80.3551,9382122
2017-08-23,79.9226,80.1683,78.0847,78.3796,8667498
2017-08-24,78.3206,78.7236,77.7516,77.8784,7364983
2017-08-25,78.0553,78.4779,77.672,77.7015,4231172
2017-08-28,78.2027,78.4975,78.0356,78.2224,4900822
2017-08-29,77.9963,78.5221,77.6621,78.3501,4130854
2017-08-30,78.3305,78.5434,77.9767,78.4877,3725782
2017-08-31,78.6253,79.3329,78.4238,79.2347,5661945
2017-09-01,79.3133,79.3624,78.5025,78.6744,3133488
2017-09-05,78.5074,79.0184,78.2027,78.4484,3258813
2017-09-06,78.5467,78.6995,77.9963,78.4975,3784045
2017-09-07,78.5467,78.9005,78.3403,78.5762,3386960
2017-09-08,78.527,81.0627,78.527,80.6204,7881013
2017-09-11,80.8366,81.0823,79.7949,80.1585,5854120
2017-09-12,80.0995,80.9448,79.6966,80.8858,4073464
2017-09-13,80.7187,81.0332,80.2961,80.5221,4795089
2017-09-14,80.473,80.5221,79.6769,80.3944,4461855
2017-09-15,80.2273,80.7285,79.9816,80.7089,9563374
2017-09-18,80.9546,81.1167,80.3452,80.9841,4162647
2017-09-19,81.2298,81.3182,79.7359,79.7949,5584776
2017-09-20,79.7949,80.1094,77.9767,78.7826,6384361
2017-09-21,78.7629,79.1647,78.1339,78.1634,4821970
2017-09-22,78.1142,78.5172,77.7457,78.3305,4593164
2017-09-25,78.1241,78.2224,76.5614,76.925,7151269
2017-09-26,76.9054,77.5246,76.7285,77.0233,4791028
2017-09-27,77.3182,77.5147,76.1191,76.5024,4801698
2017-09-28,76.8188,77.0264,76.2899,76.8287,5536651
2017-09-29,76.7793,77.1253,76.6705,76.888,6186201
2017-10-02,77.1747,77.3428,76.6211,77.1649,4312895
2017-10-03,77.2934,77.3132,76.6952,77.2242,5866622
2017-10-04,77.3626,78.0052,77.3132,77.7383,5735223
2017-10-05,78.4699,78.9543,78.1041,78.6083,6323198
2017-10-06,78.6676,78.9049,78.3611,78.9049,3248459
2017-10-09,76.9177,77.3725,75.6473,76.0576,12760120
2017-10-10,76.0773,76.5025,76.0378,76.4135,7244828
2017-10-11,76.2059,77.59,76.2059,77.3527,6442301
2017-10-12,76.8386,77.0759,76.2256,77.0363,8427037
2017-10-13,77.0067,77.3395,76.5816,77.1846,5442264
