date,open,high,low,close,volume
2017-06-08,240.69,241.1,237.69,239.21,290511
2017-06-09,239.5,241.43,238.89,240.16,250076
2017-06-12,239.52,240.52,238.02,239.54,290024
2017-06-13,239.75,242.33,239.16,241.95,338254
2017-06-14,243.44,245.9,242.07,243.79,546467
2017-06-15,242.97,243.37,240.94,242.49,332742
2017-06-16,242.94,242.94,238.89,241.93,349636
2017-06-19,242.38,244.5,242.193,243.88,180304
2017-06-20,243.9,244.85,241.86,243.01,228018
2017-06-21,243.2,243.2,241.3,242.92,391254
2017-06-22,242.7,243.18,240.68,242.7,321293
2017-06-23,244.25,246.74,243.11,246.5,1364152
2017-06-26,247.55,248.235,245.93,246.65,297890
2017-06-27,246.53,246.7899,243.44,243.63,239057
2017-06-28,244.88,244.88,243.39,243.94,395088
2017-06-29,243.0,244.02,237.47,239.71,571317
2017-06-30,240.51,242.85,239.83,241.69,325861
2017-07-03,242.37,242.38,240.37,241.07,224363
2017-07-05,241.71,243.955,240.56,243.76,253519
2017-07-06,242.39,244.32,241.04,241.67,274045
2017-07-07,242.77,247.33,242.65,245.75,376739
2017-07-10,245.92,247.27,245.02,246.64,368822
2017-07-11,246.68,246.78,244.89,246.53,350834
2017-07-12,247.72,249.25,246.28,247.86,394554
2017-07-13,247.79,249.61,247.31,248.02,245814
2017-07-14,248.37,249.07,246.77,247.61,319943
2017-07-17,247.68,248.57,246.53,248.19,225809
2017-07-18,248.0,249.3,246.01,246.88,310346
2017-07-19,247.2,249.2,247.2,247.89,429665
2017-07-20,248.54,248.54,241.7,242.58,672161
2017-07-21,242.24,246.79,241.89,245.12,565195
2017-07-24,244.6,245.73,243.865,244.02,456684
2017-07-25,245.0,245.0,240.09,241.27,1112144
2017-07-26,243.74,244.56,239.35,240.13,637542
2017-07-27,240.21,241.08,236.48,238.34,882429
2017-07-28,243.57,251.69,242.28,248.65,1202612
2017-07-31,249.75,249.92,247.5,248.99,588406
2017-08-01,249.9,252.23,249.585,252.07,729499
2017-08-02,251.72,252.89,250.24,251.7,394734
2017-08-03,251.56,251.81,249.02,250.98,323209
2017-08-04,251.18,252.09,249.21,250.88,268475
2017-08-07,250.01,250.14,247.91,249.38,505752
2017-08-08,249.07,250.74,247.3425,248.96,340014
2017-08-09,249.07,250.2,248.19,249.68,372521
2017-08-10,247.91,248.7,246.1,246.41,419969
2017-08-11,246.72,248.5,245.32,245.43,313026
2017-08-14,247.01,249.68,246.11,248.57,443885
2017-08-15,249.68,250.88,248.97,249.94,389375
2017-08-16,250.43,252.76,250.07,252.11,396513
2017-08-17,251.74,252.16,248.06,248.1,493463
2017-08-18,247.52,249.35,246.73,248.97,603288
2017-08-21,248.52,249.16,246.87,246.91,304580
2017-08-22,247.0,250.38,246.72,249.58,310859
2017-08-23,248.6,249.67,245.47,248.06,379926
2017-08-24,248.64,249.29,244.77,245.9,338087
2017-08-25,247.1,248.46,245.425,247.06,310912
2017-08-28,247.58,248.39,246.95,247.12,230042
2017-08-29,245.9,248.63,245.65,248.57,328839
2017-08-30,248.81,251.04,248.09,250.85,316751
2017-08-31,252.45,254.75,252.16,253.12,399548
2017-09-01,253.2,255.535,252.505,254.8,445592
2017-09-05,253.98,255.46,253.98,254.76,466455
2017-09-06,255.04,256.33,253.25,255.56,463539
2017-09-07,255.88,255.88,250.7,252.53,647460
