date,open,high,low,close,volume
2017-06-08,226.2088,233.126,224.1857,230.1856,630524
2017-06-09,231.1773,234.0036,230.1955,232.8731,478409
2017-06-12,231.683,232.7541,227.7162,230.1856,360848
2017-06-13,230.7211,234.4697,230.5624,233.6268,355033
2017-06-14,233.6268,234.8863,227.2402,229.0054,397066
2017-06-15,225.6832,227.9344,225.0832,227.5179,243433
2017-06-16,227.9443,230.8011,226.1295,228.4203,639908
2017-06-19,228.3112,230.4632,227.6468,229.8087,369724
2017-06-20,229.3525,229.7889,225.4551,227.2402,402156
2017-06-21,228.093,228.5987,224.7411,225.2072,358470
2017-06-22,225.1675,227.2798,223.2337,224.513,511206
2017-06-23,224.7609,226.9327,223.9844,226.3774,707966
2017-06-26,228.5988,233.2351,228.4203,230.3046,1053199
2017-06-27,229.8484,229.8484,223.313,223.4221,566996
2017-06-28,225.3063,226.8137,224.1262,225.4154,598674
2017-06-29,224.632,224.632,218.6718,219.5445,717395
2017-06-30,220.199,222.2122,217.1842,220.7346,768423
2017-07-03,221.8056,222.8568,218.9594,221.5081,265222
2017-07-05,221.3693,225.1973,219.9809,224.9592,677748
2017-07-06,223.67,225.4055,222.7279,224.1262,582446
2017-07-07,223.8684,226.7146,222.3312,226.0105,494075
2017-07-10,225.2667,225.4204,222.8667,222.8767,382847
2017-07-11,223.0849,223.0849,217.3826,218.89,490181
2017-07-12,220.9527,223.7494,219.723,223.2238,423502
2017-07-13,223.908,227.1013,222.2618,222.48,534183
2017-07-14,223.1444,224.4138,221.0122,221.4188,326594
2017-07-17,221.1114,223.3724,220.3379,221.9246,312641
2017-07-18,220.1594,220.4271,218.3693,218.771,325005
2017-07-19,218.9197,222.1428,218.4041,222.0932,238321
2017-07-20,222.0734,223.3328,220.2338,222.9163,317174
2017-07-21,222.1725,223.4419,221.6668,222.8072,283713
2017-07-24,222.4701,225.2072,221.4982,225.1179,524618
2017-07-25,226.2088,228.093,225.351,226.2088,583449
2017-07-26,226.06,226.4865,222.5296,225.6634,525643
2017-07-27,225.6534,227.2402,222.2123,223.8783,576364
2017-07-28,222.9659,224.9444,221.1015,224.6221,444926
2017-07-31,224.9394,228.46,224.0122,224.5526,878040
2017-08-01,209.7365,212.7711,208.9332,212.6422,591524
2017-08-02,207.5746,216.3611,207.5746,214.4372,1721754
2017-08-03,214.3678,215.9545,208.7944,209.082,761746
2017-08-04,209.7365,212.7711,208.9332,212.6422,591524
2017-08-07,212.434,215.1116,211.8984,212.2356,462521
2017-08-08,211.4819,212.553,207.6242,208.1299,525390
2017-08-09,208.1101,210.4484,207.8424,209.201,501813
2017-08-10,208.2886,209.0919,203.3499,205.0755,596486
2017-08-11,204.8375,205.525,201.6243,203.0722,523317
2017-08-14,204.8474,206.0374,202.9433,203.7168,637156
2017-08-15,203.9449,205.3928,202.6557,204.659,483117
2017-08-16,205.8887,206.1267,202.7152,203.4094,428512
2017-08-17,202.8541,203.697,198.5996,198.7484,539081
2017-08-18,198.3418,200.5235,194.1865,198.8773,862432
2017-08-21,199.4426,199.4426,196.4674,197.3005,436446
2017-08-22,197.8162,199.8095,197.1418,199.155,509828
2017-08-23,197.8757,202.2888,197.1221,201.7136,824022
2017-08-24,201.6541,201.9764,198.2426,198.3219,623273
2017-08-25,198.8674,198.8674,192.3866,193.9188,943185
2017-08-28,193.9188,199.1946,189.5057,198.6889,1160404
2017-08-29,196.8443,201.2772,196.8046,201.1384,815332
2017-08-30,201.1979,213.2174,200.6723,212.0274,1200309
2017-08-31,213.6571,214.5604,208.748,210.6659,1464619
2017-09-01,210.9939,211.5274,206.83,210.2386,509647
2017-09-05,210.0299,210.0771,205.3841,206.5021,792321
2017-09-06,206.7008,208.3992,204.9826,207.8039,559780
2017-09-07,208.8672,208.8672,205.0512,207.5455,559838
2017-09-08,207.6052,210.8746,206.7008,210.6759,674448
2017-09-11,210.9939,212.1055,202.3581,202.9842,1136092
2017-09-12,203.2128,204.1568,202.6563,203.8686,816070
2017-09-13,203.1531,203.4165,196.9223,202.0203,1558458
2017-09-14,200.8973,202.0401,197.6179,198.1943,956477
2017-09-15,197.3099,198.6117,195.1734,197.9558,879959
2017-09-18,198.6514,203.8786,198.2539,201.1358,836837
2017-09-19,201.6128,202.2856,195.9981,197.9061,982019
2017-09-20,198.7906,202.4192,197.0614,200.8874,643225
2017-09-21,201.8911,202.8053,197.0714,198.5521,558125
2017-09-22,198.3533,198.9197,197.0515,197.449,490679
2017-09-25,197.5186,197.926,194.1994,194.9149,658332
2017-09-26,195.2727,196.4552,193.0665,195.3224,624609
2017-09-27,195.5509,203.183,195.531,201.3246,803602
2017-09-28,201.6724,204.7133,201.6327,203.7196,716028
