date,open,high,low,close,volume
2017-06-07,200.9592,201.096,199.367,200.2559,1885635
2017-06-08,200.0899,201.2523,199.3573,201.1644,2451348
2017-06-09,201.223,202.1705,200.8713,202.1314,1893492
2017-06-12,202.2584,203.5869,200.7346,202.5808,2388199
2017-06-13,202.7663,204.803,202.7458,204.2609,1688785
2017-06-14,204.9153,205.897,204.6711,205.14,1585260
2017-06-15,204.6418,206.4196,204.5832,206.3903,1594060
2017-06-16,206.8201,208.51,206.5368,208.2951,3420608
2017-06-19,209.0375,209.0375,207.7676,208.4123,1667649
2017-06-20,208.5002,209.5943,208.1095,208.4123,1531242
2017-06-21,209.057,209.057,207.1718,207.9239,1812903
2017-06-22,207.7969,208.1779,207.1718,207.2988,1400401
2017-06-23,207.0839,208.2267,206.8006,207.963,1584876
2017-06-26,207.8555,208.5198,207.3867,207.6797,1352092
2017-06-27,207.0839,207.5723,204.5246,204.9153,2240166
2017-06-28,205.8921,206.278,205.2181,205.7359,1542943
2017-06-29,206.1559,206.1559,202.2779,203.0301,1809919
2017-06-30,205.0423,205.0423,203.0301,203.3622,1769958
2017-07-03,204.2902,205.4623,203.9092,204.9642,1040334
2017-07-05,205.1302,205.3647,204.5539,204.8958,1065328
2017-07-06,204.2023,204.8567,203.0692,203.1961,1189853
2017-07-07,203.665,205.2768,203.2206,204.7297,1531004
2017-07-10,204.7395,206.8299,204.1437,205.6089,1308603
2017-07-11,205.5307,206.3024,203.1766,204.7981,1268059
2017-07-12,206.0191,207.8458,205.394,206.4001,1447890
2017-07-13,206.3024,207.0839,205.3061,206.195,1138838
2017-07-14,206.615,207.3183,205.7456,206.8592,1061971
2017-07-17,207.2792,207.2792,205.7065,206.7713,1311262
2017-07-18,205.7945,206.615,205.4233,206.4099,1562553
2017-07-19,206.6052,207.1864,206.2731,207.1815,825309
2017-07-20,207.289,208.4612,207.1425,207.5234,1347433
2017-07-21,206.742,206.9276,204.6223,206.2633,2246238
2017-07-24,206.3024,206.7508,205.1302,205.1302,2165186
2017-07-25,197.9507,199.7578,192.6003,194.7663,6593035
2017-07-26,195.8017,196.4855,193.9458,194.4146,2922097
2017-07-27,194.5221,195.9091,193.0862,195.411,2175148
2017-07-28,196.1338,196.378,194.0825,195.0886,1488022
2017-07-31,195.3621,196.9836,195.1766,196.505,1833625
2017-08-01,203.1278,203.7725,201.3304,202.8347,1522667
2017-08-02,198.4782,200.8323,198.1167,200.6467,2029646
2017-08-03,201.1351,202.825,200.3634,202.8054,2054236
2017-08-04,203.1278,203.7725,201.3304,202.8347,1522668
2017-08-07,203.0789,203.567,201.8872,202.6296,1172563
2017-08-08,202.0337,203.0692,200.9239,201.643,1856282
2017-08-09,201.897,203.0887,200.8225,201.6919,1622213
2017-08-10,200.8518,202.3561,200.422,201.4477,1571545
2017-08-11,202.0533,202.0533,200.8616,201.2035,1452811
2017-08-14,201.8677,202.8152,201.2914,202.5612,1264439
2017-08-15,202.1998,203.0203,201.7212,202.3756,1048508
2017-08-16,202.4049,203.792,201.8237,203.0985,1704265
2017-08-17,202.9715,203.2957,200.5197,200.5881,1396492
2017-08-18,200.5881,200.8616,198.7321,198.8103,1838640
2017-08-21,199.074,200.1485,198.3023,199.8066,1567560
2017-08-22,200.4415,201.0862,199.8848,200.6955,2091246
2017-08-23,200.4647,200.5138,198.7651,199.1089,1267265
2017-08-24,200.3075,200.3075,198.4114,198.5686,1230772
2017-08-25,199.8654,199.8752,198.4998,198.5784,1238228
2017-08-28,199.217,199.6984,198.3033,198.9026,1174724
2017-08-29,198.6472,199.5117,197.7946,199.3545,991291
2017-08-30,199.3545,200.111,198.4507,200.111,1196205
2017-08-31,200.7299,201.0246,199.4528,200.7299,1567911
2017-09-01,201.0148,201.3096,199.6591,199.9833,1413014
2017-09-05,198.6963,198.9714,196.9869,197.4486,1936090
2017-09-06,198.2051,198.6963,197.704,198.4998,2236180
2017-09-07,197.93,201.1131,197.93,200.8675,1701542
2017-09-08,200.7594,202.4983,199.5903,202.0758,1473989
2017-09-11,202.8323,206.0891,202.4688,205.8778,1806743
2017-09-12,206.2217,207.2533,205.5831,205.9564,1441453
2017-09-13,205.4456,206.595,204.9052,205.8091,1129646
2017-09-14,205.4751,208.1866,205.0723,207.715,1984226
2017-09-15,208.8546,210.3528,206.9585,209.6013,3636437
2017-09-18,210.2398,210.2772,208.835,210.0041,1272436
2017-09-19,210.4658,210.8784,209.11,209.8076,1429651
2017-09-20,208.049,208.8644,204.6498,206.8112,2987210
2017-09-21,207.1943,207.9017,206.5459,206.7424,1382444
2017-09-22,205.9564,207.5873,205.6028,207.0568,1493283
2017-09-25,207.2729,207.5087,205.6912,207.0273,1609155
2017-09-26,207.548,209.0904,207.2238,207.322,1224628
2017-09-27,207.381,207.6659,204.5024,205.7993,1865144
2017-09-28,204.64,206.1922,204.5927,205.868,2092803
2017-09-29,205.3866,206.2119,205.0624,206.2119,1632249
2017-10-02,207.0273,209.0511,206.3396,209.0216,1292105
2017-10-03,208.8841,210.8293,207.6659,210.7998,1634888
2017-10-04,211.0749,213.1282,210.7311,212.7156,1636447
2017-10-05,212.6861,213.7864,212.1066,212.5682,1740484
2017-10-06,212.2047,212.7352,211.4875,212.7156,1650834
2017-10-09,212.1654,213.3934,211.9001,212.8727,1054620
2017-10-10,213.5604,213.7766,212.745,212.9415,1171324
2017-10-11,212.9415,213.0496,210.8882,212.7057,2052903
2017-10-12,212.7942,213.8159,212.4896,213.7668,1907960
2017-10-13,214.985,215.8986,212.9906,213.8945,1461703
2017-10-16,213.8748,214.8867,213.3836,214.8769,1185228
2017-10-17,214.6509,214.8769,212.6664,213.9239,2150810
2017-10-18,213.698,214.7983,213.5506,214.4348,1413913
2017-10-19,214.6509,215.3976,213.6489,215.3878,1369000
2017-10-20,216.0853,217.4312,215.3386,217.4312,1647816
2017-10-23,217.8635,218.8656,217.3133,217.6572,2161339
2017-10-24,224.9763,234.7023,224.9664,230.527,6508396
2017-10-25,230.8807,233.7592,229.8295,233.7297,3405547
2017-10-26,234.0736,234.6041,228.2281,228.847,3384956
2017-10-27,230.1144,230.8217,228.4639,230.6154,2000365
2017-10-30,229.5544,229.5544,226.5875,226.9608,2722556
2017-10-31,227.3145,227.5281,225.772,226.1454,1908157
2017-11-01,226.9411,227.6878,225.0843,226.1355,1389916
2017-11-02,226.1945,228.7095,225.5166,228.1495,1609484
2017-11-03,227.4913,228.4934,226.8625,228.1397,1582704
2017-11-06,228.1397,228.5425,226.1061,226.2633,1334883
2017-11-07,226.332,226.7152,225.1138,226.0078,1553571
2017-11-08,225.8015,226.5973,225.3496,225.7917,1510323
2017-11-09,224.5244,225.3692,223.0605,224.377,1568600
2017-11-10,223.4732,224.4261,222.1862,223.4535,1295822
2017-11-13,222.7462,224.4163,222.2844,224.21,1765322
2017-11-14,224.1314,225.9194,222.7658,225.3005,1393185
2017-11-15,224.0626,224.4949,222.0683,223.4044,1512124
2017-11-16,223.7875,225.9489,223.7875,225.3889,1225143
2017-11-17,224.4163,225.8801,223.7384,225.3299,1741844
2017-11-20,225.8605,229.4856,225.5208,227.4225,1699956
2017-11-21,228.1299,231.5684,228.1299,229.9768,2122633
2017-11-22,230.1199,230.9098,228.4808,228.6586,1371820
2017-11-24,229.1029,229.1128,227.8983,228.4611,659116
2017-11-27,228.8264,231.5703,228.2143,231.048,1780831
2017-11-28,231.1665,232.9636,230.4309,232.6575,1871691
2017-11-29,233.0722,235.1852,232.6674,235.0075,1754594
2017-11-30,235.8467,240.3788,234.6915,240.0727,4003388
2017-12-01,240.1221,240.5566,236.1331,238.1079,2232292
2017-12-04,239.9839,241.149,235.5012,236.2417,2468747
2017-12-05,237.1896,237.2291,234.8594,235.2543,1543909
2017-12-06,235.9455,238.0387,233.9806,235.6591,1924077
2017-12-07,235.4419,238.2461,234.9285,237.2686,1367330
2017-12-08,236.9724,237.9696,234.494,235.1259,1999835
2017-12-11,235.8369,237.1797,234.8594,236.2812,1742882
2017-12-12,238.5028,238.6312,233.1413,233.5955,2766340
2017-12-13,233.9213,236.5675,233.6449,236.0936,2707874
2017-12-14,236.8687,237.7623,234.81,235.0766,1984720
2017-12-15,235.985,236.6564,234.652,234.9976,4518734
