date,open,high,low,close,volume
2017-06-20,74.4006,74.5539,74.0747,74.113,3660761
2017-06-21,74.1801,74.4006,73.6434,73.8255,4394959
2017-06-22,73.7776,73.7776,73.2121,73.2984,4232037
2017-06-23,73.2217,73.7297,73.2217,73.308,3876672
2017-06-26,73.3559,73.7968,73.2409,73.3463,3969222
2017-06-27,73.193,73.2601,72.0573,72.2442,5488097
2017-06-28,72.5988,72.8959,72.3496,72.685,3377910
2017-06-29,72.3975,72.6083,71.0366,71.3049,5467695
2017-06-30,71.5733,71.717,71.2714,71.372,5157987
2017-07-03,71.602,71.7937,71.2905,71.4295,2452308
2017-07-05,71.4103,71.8608,71.3145,71.5062,4015194
2017-07-06,71.257,71.4487,71.0816,71.2283,3394213
2017-07-07,71.4966,71.5158,70.8449,71.1612,3933109
2017-07-10,71.2666,71.5637,70.3944,70.6245,4937398
2017-07-11,70.7778,70.8832,70.2315,70.3753,5513168
2017-07-12,70.6532,70.9887,70.6245,70.8161,3698350
2017-07-13,70.7874,70.9216,70.3465,70.4232,4004905
2017-07-14,70.6341,71.0557,70.634,70.8545,3607256
2017-07-17,70.7107,70.8257,70.1644,70.3178,4916447
2017-07-18,70.1932,70.5765,70.1548,70.2794,3725109
2017-07-19,70.3657,70.5316,70.1357,70.4903,4478819
2017-07-20,70.4424,70.8161,70.2219,70.5286,4276526
2017-07-21,70.3849,70.5382,70.174,70.3657,4203422
2017-07-24,70.2794,70.3561,69.6181,69.6181,6336716
2017-07-25,69.9632,70.0303,69.1677,69.2348,7015071
2017-07-26,69.2252,69.3402,68.7077,68.746,10744286
2017-07-27,68.0751,70.9024,68.0464,70.8832,9693493
2017-07-28,70.912,71.0845,57.5136,64.1553,54403894
2017-07-31,62.7272,63.4077,61.6539,62.2672,26663608
2017-08-01,62.4876,63.8582,62.2001,62.7752,16542744
2017-08-02,62.986,63.1777,62.3151,62.8231,19252107
2017-08-03,63.1202,63.3631,62.6602,62.8135,13837063
2017-08-04,63.1202,63.6665,62.5547,62.7943,9554330
2017-08-07,62.7943,63.3262,62.6602,63.2448,5962309
2017-08-08,63.1681,63.3598,62.4943,62.6602,7102369
2017-08-09,62.7081,63.0627,62.4972,62.5931,5599962
2017-08-10,62.4397,62.6602,62.0324,62.0755,6279524
2017-08-11,62.3726,62.4876,61.4526,61.6347,7275652
