date,open,high,low,close,volume
2017-06-08,22.015,22.5493,21.9458,22.3118,2856076
2017-06-09,22.6186,23.3953,22.4405,23.2617,4920943
2017-06-12,23.2617,24.1918,23.0539,23.3013,6525206
2017-06-13,23.3013,23.5585,23.044,23.4497,4460719
2017-06-14,23.4398,23.5486,22.4009,22.4998,4309605
2017-06-15,22.2822,22.5196,21.9952,22.0942,3993525
2017-06-16,22.1239,22.4801,21.9556,22.4702,6020309
2017-06-19,22.5394,22.7076,22.4504,22.6186,3445813
2017-06-20,22.4801,22.4801,21.9655,21.9853,3478261
2017-06-21,22.0249,22.1535,21.5549,21.639,4087409
2017-06-22,21.6489,22.2327,21.5797,22.0843,5839343
2017-06-23,22.1634,22.7967,21.8764,22.7274,4545847
2017-06-26,22.7868,23.0539,22.668,22.9847,3467519
2017-06-27,23.0242,23.0935,22.391,22.391,2518286
2017-06-28,22.5988,22.8165,22.3316,22.3415,2437169
2017-06-29,22.4108,22.7521,22.2624,22.3712,2962734
2017-06-30,22.4899,22.7175,22.3119,22.5889,2562666
2017-07-03,22.7967,23.5882,22.7373,23.519,2389626
2017-07-05,23.5091,23.5585,22.5899,22.6285,4404563
2017-07-06,22.4899,22.6433,22.114,22.1634,3217021
2017-07-07,22.2426,22.4306,21.9359,22.3613,3508788
2017-07-10,22.4009,23.9246,22.2921,23.5486,6812570
2017-07-11,23.5388,23.707,22.8857,23.42,5674876
2017-07-12,23.6278,24.0384,23.2023,23.3211,5307785
2017-07-13,23.2815,23.6476,23.1157,23.5981,3152624
2017-07-14,23.4992,23.6177,23.2716,23.4695,2952526
2017-07-17,23.519,23.984,23.4398,23.707,2768497
2017-07-18,23.6476,23.7366,23.42,23.7169,1966748
2017-07-19,23.796,24.3897,23.7564,24.2808,3778369
2017-07-20,24.449,24.5084,23.8554,24.172,3423499
2017-07-21,24.1819,24.36,23.7861,24.1126,2922021
2017-07-24,24.0038,24.0928,23.7564,23.9048,2239693
2017-07-25,23.9642,24.3006,23.7465,23.9642,3211397
2017-07-26,24.0632,24.1819,23.232,23.3508,3482148
2017-07-27,23.3903,23.9395,23.0946,23.6278,3861412
2017-07-28,23.6278,24.0335,23.6278,23.9147,3015120
2017-07-31,23.9345,24.1126,23.7366,23.8851,3382325
2017-08-01,22.1634,22.3762,21.9606,22.3415,3177651
2017-08-02,22.5592,22.6285,21.8171,22.015,5717720
2017-08-03,21.9161,22.4108,21.827,22.0843,3598602
2017-08-04,22.1634,22.3762,21.9606,22.3415,3177651
2017-08-07,22.3712,22.3811,21.6489,21.738,4366480
2017-08-08,21.7281,21.9556,21.2037,21.3125,5481579
2017-08-09,21.2828,21.3323,20.9167,21.0355,4222496
2017-08-10,20.9662,21.1443,20.1697,20.3923,7105710
2017-08-11,20.5704,20.6298,19.8481,20.1252,5511973
2017-08-14,20.2241,20.422,20.0559,20.0955,4772515
2017-08-15,19.9669,20.0361,19.5612,19.9471,7894433
2017-08-16,20.0065,20.5358,19.9565,20.3528,5607029
2017-08-17,20.3231,20.7287,19.8679,19.8877,3848158
2017-08-18,19.8481,19.8729,19.3831,19.6503,4465639
2017-08-21,19.6602,19.7492,19.4765,19.6503,2588956
2017-08-22,19.7789,20.1054,19.7195,19.7294,3806513
2017-08-23,19.6898,20.0955,19.6898,19.957,2899997
2017-08-24,19.9867,20.2043,19.7888,19.9768,2380246
2017-08-25,20.1252,20.3231,19.9966,20.1549,2300796
2017-08-28,20.1846,20.234,19.6602,19.858,3441699
2017-08-29,19.7096,19.7393,19.5018,19.7294,2898583
2017-08-30,19.6898,19.6898,19.4623,19.6107,2004824
2017-08-31,19.7294,19.9174,19.5068,19.769,3491877
2017-09-01,19.8383,20.046,19.7888,19.8976,2554077
2017-09-05,19.8976,20.0163,19.2149,19.2545,5228268
2017-09-06,19.3442,19.773,19.1857,19.6832,5979686
2017-09-07,19.7231,19.8428,19.429,19.4738,4919744
2017-09-08,19.4539,19.4938,19.1747,19.3342,3871266
2017-09-11,19.4439,20.1569,19.414,19.9525,6104766
2017-09-12,20.0322,20.5009,19.9924,20.2017,4859274
2017-09-13,20.2516,20.3114,19.9425,20.0721,3027132
2017-09-14,20.0621,20.4012,20.0272,20.3812,3810789
2017-09-15,20.4111,20.7103,20.3314,20.6006,6355123
2017-09-18,20.6006,21.7922,20.6006,21.2487,8305325
2017-09-19,21.3086,21.4282,20.6654,20.7801,5015025
2017-09-20,20.8997,21.2886,20.6156,20.81,4718972
2017-09-21,20.7502,21.2288,20.6604,20.8798,4426084
2017-09-22,20.82,20.9396,20.6804,20.8,2187688
2017-09-25,20.82,21.2238,20.7302,21.1989,3885773
2017-09-26,21.2288,21.4482,20.9396,21.3285,3201701
2017-09-27,21.4482,21.488,21.1091,21.3983,3057302
2017-09-28,21.4581,21.842,21.159,21.2388,4312830
2017-09-29,21.2388,21.5379,21.1091,21.5279,2792510
2017-10-02,21.4681,21.857,21.3684,21.6875,3881152
2017-10-03,21.837,21.847,21.5678,21.6974,2959024
2017-10-04,21.6875,21.8769,21.5778,21.6576,2808995
2017-10-05,21.6875,21.7273,21.488,21.5778,4017079
2017-10-06,21.508,21.5379,20.8698,20.9596,4886141
2017-10-09,20.9097,20.9895,20.6604,20.8798,3909130
2017-10-10,20.9695,20.9994,20.7801,20.8599,2088985
2017-10-11,21.0493,21.3086,20.9695,21.0393,2707366
2017-10-12,20.9596,21.2088,20.8848,21.169,2894198
2017-10-13,21.2388,21.9866,21.2088,21.7174,3753176
2017-10-16,21.7473,21.8669,21.6177,21.837,2490971
2017-10-17,21.7074,21.7772,20.8299,20.9994,4800069
2017-10-18,20.9994,21.3584,20.9197,21.0992,3356172
2017-10-19,20.9895,21.1191,20.8698,21.0393,2645531
2017-10-20,21.1889,21.3684,20.9596,21.3484,2353319
2017-10-23,21.3385,21.508,20.9695,20.9695,2228977
2017-10-24,21.0493,21.7373,20.9695,21.5877,3396318
2017-10-25,21.6376,21.6576,21.1989,21.488,2474260
2017-10-26,21.1889,21.2188,20.7701,21.0992,3965439
2017-10-27,20.8499,21.0393,20.8,20.8798,4071030
2017-10-30,20.8898,21.1291,20.6903,20.7901,4731756
2017-10-31,22.2359,22.8342,21.8769,22.2758,11791541
2017-11-01,22.9538,23.0735,22.4353,22.5749,7616480
2017-11-02,22.7743,22.9339,22.3356,22.4054,5403781
2017-11-03,22.4353,22.4852,22.186,22.3157,4462398
2017-11-06,22.3157,22.874,22.3157,22.4253,4851836
