date,open,high,low,close,volume
2017-06-20,61.6694,62.909,61.5678,62.4926,10263025
2017-06-21,62.5217,63.5288,62.5217,63.3932,11145029
2017-06-22,63.4417,64.2745,63.3158,63.9356,13441913
2017-06-23,63.9549,64.2929,63.7612,64.0711,14093453
2017-06-26,64.0615,64.3036,63.7516,63.8387,7576421
2017-06-27,64.1777,64.1777,63.4707,63.4707,8121576
2017-06-28,63.6838,63.8193,63.0833,63.1027,6733271
2017-06-29,62.9574,63.0252,62.0665,62.3086,8350313
2017-06-30,62.4539,62.6863,61.9793,62.0665,8360924
2017-07-03,61.8341,62.5894,61.8341,62.2408,4671419
2017-07-05,62.4345,62.7541,61.9019,62.1343,6507846
2017-07-06,61.7566,61.8922,61.0012,61.1078,11342702
2017-07-07,61.2143,61.3353,60.8269,61.1659,7243397
2017-07-10,61.3886,61.3983,60.6332,60.8463,6713784
2017-07-11,60.8366,60.9915,60.2749,60.3717,6877466
2017-07-12,60.6816,61.1368,60.6816,60.7979,8216033
2017-07-13,60.8075,61.0012,60.3102,60.9044,6799150
2017-07-14,60.9431,61.3934,60.8753,61.069,6020850
2017-07-17,61.1562,61.3111,60.5557,60.6332,7387313
2017-07-18,60.5267,60.6526,60.304,60.4395,6114947
2017-07-19,60.5267,60.8463,60.4637,60.6429,5699122
2017-07-20,60.9238,61.2433,60.8705,60.9528,6655095
2017-07-21,60.8075,61.0109,60.6042,60.6526,6906447
2017-07-24,60.5654,60.9141,60.5267,60.5945,7783692
2017-07-25,60.8656,61.0109,60.2845,60.3911,5955856
2017-07-26,60.3427,60.3717,59.7713,59.8488,9366722
2017-07-27,61.6598,62.512,60.8172,61.6791,21846256
2017-07-28,61.7953,62.328,61.224,62.0859,13342135
2017-07-31,62.2214,62.2795,61.5048,61.8631,11714888
2017-08-01,61.9309,61.9406,61.1755,61.437,7034295
2017-08-02,61.9309,61.9406,61.1755,61.437,7034926
2017-08-03,61.2143,61.7179,61.1852,61.5145,7018782
2017-08-04,61.621,61.6791,60.9528,61.1078,5340999
2017-08-07,60.9625,61.0981,60.6768,60.856,6696792
2017-08-08,60.5654,60.7398,60.2362,60.3524,7680067
2017-08-09,60.4783,60.7398,60.2555,60.517,6552276
2017-08-10,60.4008,60.6042,60.2071,60.2168,7765079
2017-08-11,60.4492,60.9722,60.2943,60.4105,6050985
2017-08-14,60.9238,61.0109,60.6139,60.6913,5507513
2017-08-15,60.7494,61.04,60.517,60.5267,6316031
2017-08-16,60.4589,60.9431,60.3592,60.7204,6061224
2017-08-17,60.7688,61.0303,59.8585,59.8875,9150116
2017-08-18,59.8197,59.8633,59.229,59.5486,8421689
2017-08-21,59.5389,60.0812,59.4905,60.0134,7197199
2017-08-22,60.0134,60.5267,59.965,60.4492,5515238
2017-08-23,60.2846,60.6235,60.1877,60.1877,6434881
2017-08-24,60.2846,60.9238,60.2265,60.7301,7750055
