date,open,high,low,close,volume
2017-06-20,12.0734,12.0734,11.6982,11.9055,18851783
2017-06-21,11.8364,11.9746,11.4021,11.4613,19904441
2017-06-22,11.5699,11.6686,11.3527,11.4416,12304566
2017-06-23,11.4712,11.5854,11.2639,11.3823,14252811
2017-06-26,11.4119,11.5304,11.254,11.3823,9819888
2017-06-27,11.4021,11.4712,11.1701,11.2046,24909384
2017-06-28,11.175,11.4218,11.0566,11.3034,23210374
2017-06-29,11.3626,11.8562,11.3527,11.56,19772484
2017-06-30,11.6291,11.8167,11.4514,11.6982,15088431
2017-07-03,11.8167,12.0704,11.7871,11.9845,8812912
2017-07-05,11.8759,11.8957,11.4219,11.5896,18979809
2017-07-06,11.7377,11.8068,11.3823,11.4416,17909368
2017-07-07,11.3922,11.4021,11.0763,11.3231,15445947
2017-07-10,11.2639,11.4416,11.1948,11.3725,10970423
2017-07-11,11.3823,11.5798,11.2678,11.4416,10410178
2017-07-12,11.5699,11.713,11.2688,11.2836,17744826
2017-07-13,11.2836,11.3428,11.0763,11.3034,18171571
2017-07-14,11.3823,11.5156,11.2787,11.5008,15235661
2017-07-17,11.481,11.718,11.4317,11.4416,14067463
2017-07-18,11.5798,11.6277,11.333,11.5304,14961552
2017-07-19,11.5107,12.1227,11.4514,12.0931,19457909
2017-07-20,12.2511,12.2807,11.9154,11.945,18313409
2017-07-21,11.8957,11.9253,11.6193,11.6982,12368309
2017-07-24,11.718,11.7969,11.6094,11.7278,9086090
2017-07-25,11.9352,12.33,11.9253,12.182,19405743
2017-07-26,12.3596,12.4584,11.9944,12.024,14425313
2017-07-27,12.0141,12.1128,11.8364,12.0734,15910213
2017-07-28,12.0437,12.4979,12.0437,12.2017,15975308
2017-07-31,12.1721,12.2313,11.9154,12.0734,10798345
2017-08-01,12.6163,12.6558,12.1523,12.1869,19044150
2017-08-02,11.6686,12.1227,11.5995,11.8858,23072698
2017-08-03,12.1227,12.9421,12.0141,12.3498,32550204
2017-08-04,12.3498,12.794,12.2905,12.7348,21773594
2017-08-07,12.6163,12.6558,12.1523,12.1918,19967845
2017-08-08,12.1128,12.488,12.0931,12.2116,13121097
2017-08-09,12.2807,12.3893,11.9944,12.0437,13580863
2017-08-10,12.182,12.2412,11.8759,11.8957,12984711
2017-08-11,11.8364,12.0832,11.8068,11.9648,11705821
2017-08-14,11.9747,12.0242,11.5187,11.5286,14230605
2017-08-15,11.4295,11.4989,11.261,11.4295,11987284
2017-08-16,11.4691,11.5286,11.023,11.0924,13837717
2017-08-17,11.023,11.1569,10.7058,10.7257,15778209
2017-08-18,10.7157,10.8149,10.458,10.7752,28729837
2017-08-21,10.7157,10.7356,10.5727,10.6761,11220227
2017-08-22,10.7257,10.8347,10.641,10.7951,10107701
2017-08-23,10.7356,11.0082,10.6563,10.9239,6713538
2017-08-24,10.8744,10.9537,10.7951,10.8942,7748814
2017-08-25,10.9735,11.0032,10.8595,10.9537,7086851
2017-08-28,10.9537,11.0429,10.6959,10.8248,8585247
2017-08-29,10.7455,10.8347,10.5869,10.7851,7702913
2017-08-30,10.7157,10.8347,10.5472,10.805,8904797
2017-08-31,10.8843,11.2411,10.8149,11.023,15377172
2017-09-01,11.0429,11.2907,10.9338,11.1717,7786948
2017-09-05,11.2808,11.3997,11.0577,11.1916,11143780
2017-09-06,11.3006,11.7169,11.2411,11.6277,16719931
2017-09-07,11.598,11.6872,11.4939,11.6773,10872211
2017-09-08,11.6376,11.6376,10.9934,11.2114,18652332
2017-09-11,11.2114,11.4443,11.142,11.3898,8551556
2017-09-12,11.4096,11.6575,11.3403,11.4889,8871420
2017-09-13,11.5484,11.9321,11.5484,11.8062,14818869
2017-09-14,15.4094,15.9514,15.2553,15.9315,14504445
2017-09-15,11.8557,11.9648,11.7368,11.8954,11335041
2017-09-18,11.8359,11.9846,11.7665,11.9152,10070296
2017-09-19,11.9846,12.0128,11.8161,11.8954,7781787
2017-09-20,11.935,12.4208,11.9152,12.3117,15745095
2017-09-21,12.2919,12.6983,12.2027,12.619,18559423
2017-09-22,12.5397,12.8559,12.51,12.6785,11858658
2017-09-25,12.847,13.1345,12.7479,13.075,10769018
2017-09-26,12.9759,13.3278,12.8569,13.2832,14915364
2017-09-27,13.3327,13.6896,13.2138,13.6103,21628011
2017-09-28,13.6499,13.8284,13.2435,13.412,19314285
2017-09-29,13.3327,13.4616,13.184,13.4418,14510249
2017-10-02,13.0849,13.4814,12.966,13.4715,11024592
2017-10-03,13.4418,13.64,13.3922,13.64,9736190
2017-10-04,13.6698,14.0316,13.6599,13.7788,14323322
2017-10-05,13.7887,13.9572,13.6896,13.759,11090661
2017-10-06,13.5112,13.7193,13.3228,13.4319,7784198
2017-10-09,13.4814,13.5558,13.3426,13.4616,6952850
2017-10-10,13.6202,13.7193,13.4715,13.5013,9912484
