date,open,high,low,close,volume
2017-06-20,44.6075,44.8429,44.4114,44.6271,6680509
2017-06-21,44.5781,44.6517,43.9504,44.0485,7257621
2017-06-22,43.8425,44.0092,43.5286,43.7542,7750503
2017-06-23,43.8425,43.8719,42.6753,42.8519,15915082
2017-06-26,43.1167,43.4796,42.6459,43.1559,5780382
2017-06-27,43.4894,43.9013,43.3129,43.3717,8318762
2017-06-28,43.6071,43.9357,43.3521,43.4698,15848563
2017-06-29,44.5683,44.735,43.4207,43.8915,15728164
2017-06-30,44.4604,44.5585,43.5875,43.7052,8379357
2017-07-03,44.1367,45.1372,44.1171,44.735,7486908
2017-07-05,45.0097,45.3628,44.6664,45.2745,9843234
2017-07-06,45.2156,45.7453,44.8948,45.2451,10417339
2017-07-07,45.4314,45.5099,45.0783,45.1666,6441951
2017-07-10,45.0685,45.348,44.9214,45.1077,5321495
2017-07-11,44.9508,45.0489,44.5094,44.6075,8454689
2017-07-12,44.4604,44.4604,43.8719,44.0975,10234418
2017-07-13,44.3035,44.8478,44.1279,44.6468,6204171
2017-07-14,44.019,44.5242,43.4698,44.3329,8220642
2017-07-17,44.2839,44.6566,44.0681,44.4604,5141581
2017-07-18,44.0681,44.3819,43.8327,44.2741,9594086
2017-07-19,46.0493,46.0984,45.0979,45.7257,17586286
2017-07-20,45.4608,46.2846,45.4608,45.6178,10652359
2017-07-21,45.2353,45.8924,45.2156,45.6962,9021263
2017-07-24,45.608,46.0689,45.5687,45.8139,7443591
2017-07-25,46.324,47.1184,46.324,46.6967,11885032
2017-07-26,46.8046,46.9321,46.2161,46.3043,9034543
2017-07-27,46.4818,46.9305,45.98,46.4325,9439318
2017-07-28,46.324,46.541,45.8064,46.0085,7959560
2017-07-31,46.2846,46.4917,45.9493,46.2452,6764635
2017-08-01,46.4818,46.7973,46.1712,46.6692,6011462
2017-08-02,46.4818,46.7973,46.1712,46.6692,6020026
2017-08-03,46.5804,46.8861,46.4522,46.6001,6479288
2017-08-04,47.1227,47.7735,46.8565,47.4087,8906804
2017-08-07,47.527,47.7193,47.2805,47.6355,7761584
2017-08-08,47.5664,48.2156,47.1424,47.2608,7771790
2017-08-09,46.5607,47.0241,46.2846,46.9847,8282866
2017-08-10,46.6297,46.8072,45.5845,45.6535,10099843
2017-08-11,45.7324,45.8803,44.8351,45.0126,13505797
2017-08-14,45.5648,46.2797,45.5352,45.8606,7136346
2017-08-15,46.3536,46.6396,45.7817,45.7817,7663010
2017-08-16,45.9592,46.1663,45.2739,45.3676,8350802
2017-08-17,45.1901,45.338,44.4013,44.4604,9426821
