date,open,high,low,close,volume
2017-06-08,102.6857,103.1701,101.8257,102.409,230265
2017-06-09,102.1223,103.3382,101.5391,102.8241,250687
2017-06-12,102.7055,103.3678,101.6281,102.6264,284173
2017-06-13,103.3876,104.7616,103.108,104.6825,240126
2017-06-14,104.6825,105.4634,103.8126,104.1784,297308
2017-06-15,103.2789,104.5343,103.1701,104.4749,211169
2017-06-16,104.2575,104.6924,103.3777,104.4057,719807
2017-06-19,104.7814,105.5722,104.5145,104.9494,449336
2017-06-20,104.8605,105.0779,101.9444,102.3892,629408
2017-06-21,102.5572,103.6051,100.1848,100.6593,696783
2017-06-22,100.8175,102.3694,100.4715,102.1421,692671
2017-06-23,102.7154,103.7039,101.5391,103.5161,841176
2017-06-26,103.7929,103.9115,102.0284,103.0218,314758
2017-06-27,103.1405,103.1405,101.4304,101.5094,237925
2017-06-28,102.1915,104.1487,102.0021,103.7929,285476
2017-06-29,103.8522,103.8522,102.5869,102.8736,361270
2017-06-30,103.4963,103.5062,101.7664,101.806,305556
2017-07-03,102.2508,102.6264,101.3612,101.6083,193883
2017-07-05,101.8752,102.2212,101.4649,101.8949,388886
2017-07-06,101.3612,102.1569,99.6807,101.1041,684306
2017-07-07,101.5193,102.0284,101.1041,101.3612,428946
2017-07-10,101.5687,102.4979,101.4501,101.806,518296
2017-07-11,102.5375,104.5244,101.974,104.04,737244
2017-07-12,104.5244,105.0483,102.6067,104.1883,369283
2017-07-13,104.2575,105.0285,103.18,104.8802,545723
2017-07-14,104.8901,106.9561,103.9016,106.2147,316541
2017-07-17,106.1159,106.5706,105.5425,105.7501,236690
2017-07-18,105.5722,106.2246,104.6825,105.7501,313660
2017-07-19,106.0664,106.6052,105.671,106.3531,247902
2017-07-20,106.5508,107.0253,105.9577,106.1653,139738
2017-07-21,105.9379,107.134,105.8885,106.9067,148606
2017-07-24,106.8968,107.9644,106.7683,107.7271,276945
2017-07-25,108.34,109.2593,107.994,108.9924,544449
2017-07-26,109.4669,109.4965,108.8491,109.0814,327863
2017-07-27,109.5262,109.5262,107.9446,108.5476,430449
2017-07-28,108.4883,109.3087,107.3709,109.1011,305655
2017-07-31,109.2296,109.3186,107.6876,107.6975,317346
2017-08-01,108.1818,109.7733,107.5887,109.2198,267631
2017-08-02,109.1011,109.368,106.0022,107.4009,356974
2017-08-03,108.4388,110.9942,106.3334,110.4257,391064
2017-08-04,111.2066,112.0765,109.3581,109.8919,505487
2017-08-07,109.8821,110.6333,109.5756,109.9216,462242
2017-08-08,109.8524,109.9018,108.5278,109.1209,358281
2017-08-09,108.9825,109.0913,107.7568,108.4191,387944
2017-08-10,108.1818,108.9924,105.8984,106.0269,396871
2017-08-11,106.1257,106.7782,104.9099,105.8984,529865
2017-08-14,106.9561,109.5262,106.106,109.0122,572841
2017-08-15,109.2198,109.5064,107.8952,108.0138,260937
2017-08-16,108.8371,111.5849,108.5197,111.2873,327774
2017-08-17,111.2278,111.7336,109.3629,109.4522,328841
2017-08-18,109.8886,110.6028,109.1645,110.2259,506417
2017-08-21,110.087,110.9996,109.1258,109.4323,194050
2017-08-22,109.8489,112.4479,109.6605,112.061,384929
2017-08-23,111.4956,111.9221,110.6623,111.317,428809
2017-08-24,111.942,112.0362,110.9351,111.1186,339992
2017-08-25,111.4857,113.8564,111.3468,113.3406,416697
2017-08-28,113.5489,114.4367,112.4975,113.0728,453728
2017-08-29,112.6462,113.9358,112.0114,112.1701,333660
2017-08-30,112.0709,112.6562,111.6047,112.0808,210438
2017-08-31,112.3586,114.2235,111.9618,113.6878,771734
2017-09-01,114.3524,114.8385,113.3109,114.521,333257
2017-09-05,114.2334,114.5458,111.9519,112.2197,314662
2017-09-06,112.557,112.8298,110.5532,111.1881,386211
2017-09-07,111.4658,113.2017,111.2575,113.1025,337334
2017-09-08,112.7058,114.9972,112.5818,113.9655,396339
2017-09-11,114.6798,115.0468,113.9259,114.8385,332941
2017-09-12,115.3146,117.11,114.7492,116.7926,624849
2017-09-13,116.0982,116.1974,113.3505,113.3704,373424
2017-09-14,113.3803,114.5614,110.7615,112.5471,541280
2017-09-15,111.813,112.795,111.4162,112.3883,909298
2017-09-18,112.5371,113.4894,111.209,112.2395,459380
2017-09-19,112.4875,113.2712,112.2098,112.8942,599160
2017-09-20,113.0629,114.0449,112.6661,113.3704,451896
2017-09-21,113.4497,114.3921,113.1025,114.3722,276820
2017-09-22,114.2433,116.7232,114.2433,116.4752,308712
2017-09-25,116.2669,116.2669,113.4795,115.0765,323198
2017-09-26,115.2452,115.9296,114.2631,114.2631,232121
2017-09-27,115.0071,115.4535,113.6314,114.8285,298037
2017-09-28,114.6897,116.0387,114.3226,116.0288,307264
2017-09-29,116.0387,117.6358,115.5923,115.9594,503546
2017-10-02,116.6736,117.2985,115.9594,116.0387,606912
2017-10-03,116.0387,117.8342,116.009,117.5564,420984
2017-10-04,117.725,119.2179,117.1696,119.1733,383344
2017-10-05,119.2328,120.1256,118.7071,120.1256,332840
2017-10-06,120.2248,120.4231,119.3915,120.3041,379273
2017-10-09,120.2843,120.81,119.7982,120.562,342857
2017-10-10,120.562,120.9588,119.5899,120.939,242426
2017-10-11,120.8695,121.2862,120.2992,120.8993,343973
2017-10-12,121.0977,122.1293,120.9191,121.7425,261698
2017-10-13,122.1492,122.1888,121.0283,121.1076,320541
2017-10-16,121.306,123.5081,121.306,122.4864,848972
2017-10-17,122.3575,122.412,121.0779,121.4647,242435
2017-10-18,122.2186,122.4963,121.4994,121.6036,329220
2017-10-19,121.058,121.4846,120.2248,121.0183,371374
2017-10-20,122.0103,122.3922,120.8695,121.0183,308946
2017-10-23,121.673,121.7524,120.6017,120.7207,309682
2017-10-24,121.177,121.177,119.332,119.4808,392998
2017-10-25,119.6594,119.8478,117.3481,117.5465,454196
2017-10-26,118.1516,119.947,117.7746,119.2824,1003307
2017-10-27,120.1553,120.1553,118.3202,119.0344,529719
2017-10-30,118.3103,118.6773,116.4851,116.7033,450496
2017-10-31,116.0189,117.1894,115.7325,116.4157,878037
2017-11-01,117.2588,118.5285,116.3363,116.6438,548388
2017-11-02,115.4733,126.2063,114.24,124.4108,739817
2017-11-03,124.9564,126.0277,121.5341,125.0258,571395
2017-11-06,125.5119,126.7518,124.9861,126.6725,723474
2017-11-07,126.5634,126.9701,124.5894,124.9663,262282
2017-11-08,125.2143,126.608,125.1548,126.0773,228192
2017-11-09,125.4623,126.9155,124.887,126.851,308157
2017-11-10,126.6824,126.6824,123.8652,124.014,312065
2017-11-13,123.5379,124.8572,123.2899,124.4505,350713
2017-11-14,123.9248,125.4524,123.7611,124.1132,452499
2017-11-15,123.2601,124.5894,122.8039,123.2304,293521
2017-11-16,123.5488,126.096,123.5488,124.7528,409941
2017-11-17,124.2155,126.1059,124.2155,125.9468,275289
2017-11-20,126.3945,127.6771,126.1756,126.5537,240405
2017-11-21,127.9268,128.2551,126.2851,126.8622,437278
2017-11-22,127.0512,128.2053,125.7677,126.8622,304574
2017-11-24,127.3795,128.4641,126.8622,128.2551,95633
2017-11-27,128.4442,128.6233,127.7626,128.1059,281378
2017-11-28,128.7725,129.3198,128.0263,128.7029,468814
2017-11-29,129.1307,129.2601,125.7975,127.091,425283
2017-11-30,127.5487,128.5536,126.9418,128.0561,481940
2017-12-01,128.0064,128.4243,125.6989,128.3049,352552
2017-12-04,129.27,129.9267,126.6831,126.9318,597245
2017-12-05,127.0711,128.683,126.7726,127.7178,379189
2017-12-06,127.6681,128.9118,127.1407,127.3596,220519
2017-12-07,127.0114,128.6034,126.6433,127.5686,271428
2017-12-08,127.8472,128.1357,126.8224,127.0711,324821
2017-12-11,126.9815,128.0561,126.8025,127.6979,397289
2017-12-12,127.6482,129.0311,126.9418,127.3596,1082733
2017-12-13,127.5686,128.0552,126.3547,126.6532,734787
2017-12-14,127.3298,127.4293,126.29,126.9119,370862
2017-12-15,127.9367,129.4193,126.6831,127.29,719250
2017-12-18,127.5885,128.2253,125.8274,126.6433,768048
2017-12-19,126.5836,127.7775,125.8075,126.3348,401126
2017-12-20,127.5288,128.8123,126.3945,127.5188,354010
2017-12-21,127.9666,128.7228,127.5089,127.9765,359832
2017-12-22,127.0512,127.877,126.0512,127.688,228708
2017-12-26,127.2701,127.4591,124.5239,124.9717,386562
2017-12-27,125.111,125.8373,124.315,124.8423,568455
2017-12-28,125.1707,125.9965,123.4593,125.7478,478768
2017-12-29,126.096,126.902,125.7279,125.907,315514
2018-01-02,126.8721,127.3995,125.8811,127.0413,562965
2018-01-03,127.4591,129.071,127.4591,128.9715,437410
2018-01-04,129.4491,131.8272,129.4491,131.0013,461855
2018-01-05,131.1307,132.4242,130.8869,132.3645,395854
2018-01-08,132.3545,133.2003,132.1555,132.5436,217256
2018-01-09,132.9117,133.658,132.2252,133.4291,319609
2018-01-10,133.5286,133.5286,132.2252,133.0809,241968
2018-01-11,133.3495,134.5585,133.0908,134.0858,480799
2018-01-12,134.643,136.245,134.3843,135.2102,461287
2018-01-16,135.0609,136.0858,133.5187,133.658,265671
2018-01-17,134.444,136.1057,134.444,135.1206,418822
2018-01-18,135.3992,137.0161,134.643,136.1355,331605
2018-01-19,136.6529,137.6678,136.5335,137.5584,216384
2018-01-22,137.5783,138.618,136.664,138.5733,231989
2018-01-23,138.7325,139.6628,137.3295,139.3991,221559
2018-01-24,139.8568,140.2946,137.3196,137.3793,365507
2018-01-25,138.3544,138.3544,136.5037,137.1703,470043
2018-01-26,137.8071,139.9663,136.4838,139.8668,351470
2018-01-29,139.4489,141.2399,137.3096,137.3594,413429
2018-01-30,136.3047,138.8021,134.842,137.6081,538898
2018-01-31,138.1852,139.1205,136.6032,138.5335,747645
2018-02-01,143.0309,148.4038,141.2896,145.588,1160791
2018-02-02,146.2148,147.7969,141.608,141.817,749882
2018-02-05,140.8518,141.9662,134.8818,135.0012,677690
2018-02-06,132.265,138.9613,131.3297,138.1952,1200813
2018-02-07,137.9962,140.5235,136.5534,139.0608,745827
2018-02-08,139.429,140.0359,133.061,133.1406,1023168
2018-02-09,135.2201,136.7922,130.6033,135.7972,849172
2018-02-12,137.2002,138.832,135.5087,136.842,498741
2018-02-13,136.5534,140.5931,135.7574,139.8867,569113
2018-02-14,139.3593,145.2199,138.6628,144.9214,688736
2018-02-15,146.0586,148.6424,143.7542,147.8742,963844
2018-02-16,147.5351,147.8044,143.9437,144.652,579163
2018-02-20,143.415,145.2206,143.2653,144.0335,380814
2018-02-21,144.0435,146.6372,142.3176,142.4473,508749
2018-02-22,143.4349,144.0784,142.158,142.5271,375204
2018-02-23,143.7143,144.8116,142.6269,144.642,294565
2018-02-26,145.3603,146.1041,143.4649,144.0734,414311
2018-02-27,144.3328,145.071,142.4573,142.4972,465048
2018-02-28,142.6368,145.1608,141.0606,141.1804,532556
2018-03-01,141.5495,143.5347,140.7514,142.3076,504222
2018-03-02,140.8212,143.3751,140.1528,142.976,480703
2018-03-05,141.8487,147.0961,141.8188,145.5798,633298
2018-03-06,146.0087,148.6723,145.2306,148.6324,524849
2018-03-07,146.9764,148.5027,146.1284,147.9441,553212
2018-03-08,148.822,150.2186,147.984,150.2186,443981
2018-03-09,151.5654,153.9895,150.7074,152.7525,664112
2018-03-12,152.972,154.0993,151.8696,153.6803,611406
2018-03-13,154.209,154.648,150.5478,151.2761,586977
2018-03-14,152.2238,154.618,151.2561,154.0594,901238
2018-03-15,154.0793,155.0669,152.534,154.5781,475228
2018-03-16,155.0969,155.5657,153.8998,154.608,1428043
2018-03-19,153.81,155.2465,153.0618,155.0071,821361
