date,open,high,low,close,volume
2017-06-20,31.4,31.575,30.73,30.83,25793318
2017-06-21,31.18,32.15,31.06,32.01,30578970
2017-06-22,32.04,32.4,31.76,31.89,23050843
2017-06-23,31.89,32.08,31.64,31.73,45323751
2017-06-26,32.45,32.96,31.95,32.5,34750713
2017-06-27,32.51,32.665,31.61,31.66,33221485
2017-06-28,32.07,32.28,31.44,32.24,28415907
2017-06-29,32.29,32.39,30.64,31.47,53948379
2017-06-30,32.12,32.15,29.7089,29.86,73308042
2017-07-03,30.09,30.28,28.56,29.14,36830403
2017-07-05,29.55,30.56,29.55,30.51,40444551
2017-07-06,29.94,30.48,29.92,30.1,27143769
2017-07-07,30.22,30.5,29.98,30.2,22023123
2017-07-10,30.16,30.59,29.75,30.5,24907897
2017-07-11,30.55,31.39,30.51,31.37,28530452
2017-07-12,31.77,31.78,31.155,31.45,22258626
2017-07-13,31.55,31.85,30.84,31.13,23772962
2017-07-14,31.35,31.95,31.26,31.79,28887561
2017-07-17,31.67,31.86,31.44,31.72,22320462
2017-07-18,31.64,31.91,31.4,31.9,14044969
2017-07-19,32.05,32.35,31.65,31.82,19984126
2017-07-20,31.93,32.02,31.42,32.0,23179334
2017-07-21,31.9,32.1,31.62,32.01,21146582
2017-07-24,32.0,32.01,31.5,31.67,17415458
2017-07-25,30.8,30.83,29.65,29.9,51216365
2017-07-26,29.85,30.05,29.68,29.81,26387364
2017-07-27,30.27,31.3,29.665,30.24,38966958
2017-07-28,29.96,29.98,28.96,29.28,31854933
2017-07-31,29.43,29.55,27.87,28.12,41112692
2017-08-01,28.22,28.935,27.83,28.34,28221633
2017-08-02,28.96,29.43,28.22,28.63,27225990
2017-08-03,28.39,28.4,27.61,27.83,30288415
2017-08-04,27.86,28.3,27.27,27.92,23947545
2017-08-07,27.93,28.605,27.8,28.59,16589271
2017-08-08,28.61,29.34,28.61,28.84,21903344
2017-08-09,28.51,28.89,28.36,28.58,14181838
2017-08-10,28.3,28.38,27.43,27.49,26147550
2017-08-11,27.44,28.04,26.85,28.01,23375939
2017-08-14,28.82,29.36,28.72,29.24,25254587
2017-08-15,29.5,29.805,29.14,29.68,23973633
2017-08-16,30.02,30.86,29.9608,30.69,37879476
2017-08-17,30.32,30.5299,29.61,29.62,26152486
2017-08-18,29.96,30.6,29.76,30.38,31178131
2017-08-21,30.53,30.6,29.28,29.56,26247654
2017-08-22,29.85,30.54,29.77,30.45,18821168
2017-08-23,29.97,30.74,29.87,30.45,21200433
2017-08-24,30.55,30.6295,30.11,30.22,18056826
2017-08-25,30.3,30.39,30.05,30.29,13929789
2017-08-28,30.43,31.21,30.42,31.08,22530969
2017-08-29,30.75,31.53,30.7,31.48,23151883
2017-08-30,31.65,31.68,31.38,31.61,17467885
2017-08-31,31.61,32.02,31.48,31.97,25693965
2017-09-01,32.13,32.88,32.13,32.6,26034048
2017-09-05,32.45,32.74,31.65,32.07,28957631
2017-09-06,32.07,32.7,32.06,32.25,29290247
2017-09-07,32.47,32.9,32.4466,32.79,25353310
2017-09-08,32.8,33.02,32.31,32.45,19649272
2017-09-11,32.9,33.44,32.81,33.44,31012081
2017-09-12,33.69,34.54,33.56,34.29,38685769
2017-09-13,34.56,34.8,34.02,34.59,41588059
2017-09-14,34.43,34.85,34.3,34.58,23007009
2017-09-15,34.64,35.0,34.38,34.65,37417250
2017-09-18,35.13,35.8,35.02,35.43,41330122
2017-09-19,35.5,36.1,35.5,35.95,26392185
2017-09-20,36.03,36.6,35.34,35.97,42243016
2017-09-21,35.93,36.25,35.4,35.91,22464924
2017-09-22,35.6,36.22,35.6,36.07,21559760
2017-09-25,36.04,36.15,34.54,34.87,35607218
2017-09-26,35.23,35.37,34.09,34.18,55112580
2017-09-27,36.26,37.15,35.92,37.09,84593877
2017-09-28,37.15,38.46,36.82,37.96,52569885
2017-09-29,37.98,39.36,37.81,39.33,48711411
2017-10-02,39.6,40.37,39.36,40.01,54244828
2017-10-03,39.93,40.54,39.85,40.37,27322344
2017-10-04,40.14,40.43,38.91,39.56,37908412
2017-10-05,39.8,39.86,39.25,39.37,22501037
2017-10-06,39.0,39.67,38.81,39.67,25150300
2017-10-09,39.72,40.99,39.62,40.96,27279284
2017-10-10,41.45,42.0,40.455,41.98,48214149
2017-10-11,40.84,42.07,40.8,41.61,53023633
2017-10-12,41.21,41.75,40.29,40.58,66789764
2017-10-13,40.78,41.17,40.32,40.4,35371160
2017-10-16,40.88,41.57,40.5148,41.49,33696798
2017-10-17,41.14,41.4,40.25,40.39,41233739
2017-10-18,41.04,41.95,40.81,41.65,43528014
2017-10-19,41.18,41.5,39.8,41.31,47675961
2017-10-20,42.0,42.17,41.44,41.5,36293718
2017-10-23,41.85,42.1866,41.4,41.56,26844184
2017-10-24,41.74,42.01,41.43,41.6,26299381
2017-10-25,41.31,41.59,40.31,41.06,31061074
2017-10-26,41.17,41.18,40.31,40.6,27453458
2017-10-27,40.59,40.94,40.04,40.85,31094692
2017-10-30,40.73,41.86,40.68,41.65,29119545
2017-10-31,42.25,44.57,42.2,44.31,61972197
2017-11-01,44.79,45.33,43.78,44.38,38842930
2017-11-02,44.08,44.75,43.72,44.34,25812983
2017-11-03,44.77,45.0,43.35,43.71,27694556
2017-11-06,43.85,44.01,42.45,43.25,28840986
2017-11-07,43.58,44.24,43.33,43.95,32422853
2017-11-08,43.85,44.14,43.45,44.09,19519585
2017-11-09,43.69,43.69,42.58,43.5,32283890
2017-11-10,43.76,44.845,43.71,44.78,33840763
2017-11-13,44.5,45.87,44.19,45.6,30522349
2017-11-14,45.58,46.0,44.8001,45.8,29899203
2017-11-15,45.185,45.7401,44.6201,45.36,22434488
2017-11-16,45.73,46.29,45.29,46.18,24192640
2017-11-17,46.54,46.55,45.73,46.16,22613342
2017-11-20,46.51,47.86,46.4,47.64,26974971
2017-11-21,48.36,49.63,48.15,49.4,35756582
2017-11-22,49.85,49.89,48.62,49.14,28711802
2017-11-24,49.32,49.88,49.03,49.68,14203317
