date,open,high,low,close,volume
2017-06-08,39.74,39.96,39.44,39.71,7981115
2017-06-09,39.74,40.67,39.71,40.09,9299326
2017-06-12,39.78,40.04,38.84,38.88,6319977
2017-06-13,38.8,38.92,37.67,37.77,7519479
2017-06-14,37.82,38.045,37.44,37.88,5768232
2017-06-15,37.41,37.53,36.5,36.98,8417135
2017-06-16,36.91,37.06,36.565,36.72,8784868
2017-06-19,36.88,37.58,36.87,37.23,4024543
2017-06-20,37.15,37.79,36.82,37.42,3739015
2017-06-21,37.47,38.295,37.45,38.27,4222955
2017-06-22,38.46,39.2,38.35,39.01,6319879
2017-06-23,39.03,39.29,38.665,39.03,16048933
2017-06-26,39.11,39.31,38.87,39.03,5316240
2017-06-27,39.18,39.22,38.41,38.43,4765334
2017-06-28,38.8,39.27,38.61,39.07,3467250
2017-06-29,39.21,39.4,38.5789,38.76,3118374
2017-06-30,38.86,38.93,38.37,38.82,2418851
2017-07-03,38.93,39.23,38.78,38.81,1854665
2017-07-05,39.04,39.07,38.045,38.47,3803400
2017-07-06,38.22,38.35,37.55,37.65,3202283
2017-07-07,37.7,37.89,37.28,37.61,2806373
2017-07-10,37.6,37.83,37.47,37.72,3136014
2017-07-11,37.58,37.875,37.42,37.65,3208138
2017-07-12,37.91,38.61,37.89,38.58,3249508
2017-07-13,38.95,39.445,38.75,39.05,4804783
2017-07-14,39.37,39.575,39.04,39.21,3397120
2017-07-17,39.2,39.41,38.65,38.75,4496677
2017-07-18,38.59,38.59,37.59,38.11,4664027
2017-07-19,38.06,38.475,37.76,38.34,3751398
2017-07-20,38.69,39.58,38.62,39.49,5349093
2017-07-21,39.8,39.8,39.03,39.17,2991857
2017-07-24,39.04,39.13,38.6301,38.76,3404123
2017-07-25,38.91,39.115,38.7201,38.82,2063453
2017-07-26,38.85,39.46,38.64,39.19,2606773
2017-07-27,39.27,39.35,38.22,38.49,3395574
2017-07-28,38.35,38.87,38.16,38.74,2304230
2017-07-31,38.98,39.39,38.91,38.99,4043432
2017-08-01,39.05,39.05,38.48,38.59,2768529
2017-08-02,38.42,38.43,36.71,36.92,7517149
2017-08-03,35.49,36.53,34.31,34.7,11843291
2017-08-04,34.33,34.34,32.77,32.92,12669007
2017-08-07,31.48,32.71,31.47,32.0,19740836
2017-08-08,32.36,32.68,31.28,31.79,11391234
2017-08-09,29.9,32.69,29.58,32.08,32038119
2017-08-10,32.04,33.48,31.99,32.29,12327439
2017-08-11,32.29,32.4,30.4,30.88,11080764
2017-08-14,31.42,31.5,29.555,29.63,11948301
2017-08-15,29.49,30.595,29.39,30.13,6564933
2017-08-16,31.28,31.33,30.14,30.47,8994741
2017-08-17,30.3,31.18,30.3,30.56,8867793
2017-08-18,30.5,31.23,30.5,30.72,7185271
2017-08-21,30.71,31.05,30.34,30.44,5724002
2017-08-22,30.32,30.83,30.03,30.73,4604346
2017-08-23,30.51,30.8,30.1701,30.32,3893356
2017-08-24,30.14,30.805,30.1,30.21,6235543
2017-08-25,30.27,30.78,30.21,30.53,3856561
2017-08-28,30.77,31.08,30.585,30.83,3920642
2017-08-29,30.56,30.6,30.2,30.5,4719968
2017-08-30,30.4,30.73,29.53,30.59,7085883
2017-08-31,30.81,31.71,30.8,31.48,6685889
2017-09-01,31.51,31.88,31.16,31.57,4180035
2017-09-05,31.76,32.0,31.32,31.59,5659569
2017-09-06,31.95,32.52,31.82,32.24,6244498
2017-09-07,32.5,32.97,31.78,31.91,6359624
2017-09-08,31.88,32.21,31.62,32.1,4187818
2017-09-11,32.54,33.2595,32.46,33.04,5568062
2017-09-12,33.32,33.67,33.21,33.6,5745180
2017-09-13,33.31,33.64,33.28,33.56,4157292
