date,open,high,low,close,volume
2017-06-20,69.607,69.6953,68.8418,68.9399,875517
2017-06-21,69.0675,69.0969,68.2532,68.4396,628271
2017-06-22,68.4396,68.5475,68.1354,68.2139,418886
2017-06-23,68.3513,68.6358,68.263,68.5377,897979
2017-06-26,68.6063,69.0478,68.4886,68.9693,819583
2017-06-27,69.038,69.6267,68.9693,69.3422,582481
2017-06-28,69.5972,70.4802,69.4501,70.2742,691934
2017-06-29,70.6372,70.7745,69.9014,70.1859,764621
2017-06-30,70.2251,70.5979,70.127,70.1368,660247
2017-07-03,70.1564,70.9119,70.1368,70.2938,473332
2017-07-05,70.333,70.7745,70.1859,70.3232,927299
2017-07-06,70.1859,70.3134,69.8133,69.9112,629754
2017-07-07,70.0485,70.4213,69.5972,70.2742,612510
2017-07-10,70.1663,70.4655,69.97,69.9897,462027
2017-07-11,69.9504,70.4311,69.6561,69.8523,980282
2017-07-12,69.8229,70.1663,69.5875,69.9798,556814
2017-07-13,70.1466,70.5194,69.921,70.1859,640920
2017-07-14,69.9602,70.3232,69.3225,69.715,508823
2017-07-17,69.6757,70.4385,69.3912,70.1368,902121
2017-07-18,70.0093,70.4311,69.7248,70.3428,562159
2017-07-19,70.3428,70.5194,70.0485,70.4508,526383
2017-07-20,70.4606,70.7843,70.3527,70.6568,590567
2017-07-21,70.5881,71.4122,70.5881,71.3632,846269
2017-07-24,71.0198,71.3926,71.0198,71.2651,485754
2017-07-25,71.6477,71.9567,71.1964,71.3632,780889
2017-07-26,68.4396,73.1193,68.2041,73.0408,987922
2017-07-27,73.0898,73.806,72.305,72.9231,1268981
2017-07-28,72.9133,73.3253,72.7072,72.9623,518343
2017-07-31,73.0408,73.2331,72.8593,72.9623,646706
2017-08-01,73.0212,73.4038,72.7072,73.3645,708545
2017-08-02,73.3449,73.5019,72.9721,73.2566,388088
2017-08-03,73.1781,73.8453,73.1193,73.6687,558498
2017-08-04,74.0709,74.2475,73.5215,73.6883,771507
2017-08-07,73.8453,74.1298,73.5608,73.5902,483806
2017-08-08,73.6687,73.963,73.551,73.8256,420457
2017-08-09,73.4234,74.8362,73.2664,74.8067,577733
2017-08-10,74.5909,75.3365,74.1592,74.483,750671
2017-08-11,74.7184,74.9343,73.9826,74.0709,673643
2017-08-14,74.5222,75.4542,74.5026,75.3463,706463
2017-08-15,75.6308,75.7387,75.3757,75.5425,782613
2017-08-16,75.8368,76.2783,75.572,75.6603,601729
2017-08-17,75.5916,75.9742,74.7479,74.8362,560085
2017-08-18,74.689,74.7577,73.2076,73.4921,1542030
2017-08-21,73.4823,74.0121,73.2517,73.8649,942456
2017-08-22,74.1494,75.2188,73.9924,74.9931,693772
2017-08-23,74.689,74.689,74.1788,74.2573,690247
2017-08-24,74.4633,74.4633,73.4921,73.5215,854646
2017-08-25,73.8256,74.7086,73.8256,74.3162,560380
2017-08-28,74.5615,74.7086,73.9532,74.1985,546231
2017-08-29,73.7079,73.9532,73.4528,73.7864,766268
2017-08-30,73.7275,74.1004,73.6294,73.6589,585812
2017-08-31,73.7472,74.326,73.7472,73.9532,587548
2017-09-01,74.0513,74.2573,73.7668,73.9434,550552
2017-09-05,73.9434,73.9434,72.305,72.9721,1142483
2017-09-06,73.2272,73.6589,72.7465,72.7857,799534
2017-09-07,72.8151,72.9427,71.9616,72.3246,1098057
2017-09-08,72.354,73.3351,72.354,72.9427,843504
2017-09-11,73.2272,73.7374,72.6582,72.7661,1443731
2017-09-12,72.5012,73.6196,72.3737,73.6098,536376
2017-09-13,73.4921,73.6687,73.0898,73.3253,645010
2017-09-14,73.3056,73.7,73.2661,73.6606,1198266
2017-09-15,73.6901,74.1536,73.3746,73.7099,1423259
2017-09-18,73.769,74.2325,73.5718,74.0451,973816
2017-09-19,74.2325,75.3763,74.2226,75.258,882382
2017-09-20,74.834,75.8201,74.6072,75.6722,1076551
2017-09-21,75.7609,75.7609,74.3311,75.0411,846265
2017-09-22,75.0213,75.6031,74.8493,75.3566,473753
2017-09-25,75.3665,76.0764,74.8391,76.0469,886310
2017-09-26,76.392,76.4215,75.2679,75.3073,519618
2017-09-27,75.7905,76.3821,75.6327,76.0567,577827
2017-09-28,76.0272,77.2203,75.9088,76.5498,700083
2017-09-29,76.4906,76.747,75.9384,76.4906,572704
2017-10-02,76.5892,76.7371,76.0765,76.7076,693200
2017-10-03,76.5399,76.9146,76.0765,76.6681,856933
2017-10-04,76.461,76.5695,76.037,76.4906,678660
2017-10-05,76.6484,76.9837,76.3427,76.5695,708325
2017-10-06,76.6484,76.7621,72.6843,72.8717,2600772
2017-10-09,72.4772,74.2522,72.4082,73.4633,2026358
2017-10-10,73.3056,73.7493,72.6153,73.5225,1245262
2017-10-11,73.6211,74.6368,73.345,74.5776,1368454
2017-10-12,74.6565,74.6959,73.6803,73.8676,1308339
2017-10-13,73.7592,73.9071,73.0689,73.3056,1148782
2017-10-16,73.3056,73.4633,72.7238,73.0788,912380
2017-10-17,73.1576,73.8676,72.9506,73.6704,981618
2017-10-18,73.6408,73.8775,73.1626,73.5619,1691949
2017-10-19,72.9013,73.0048,71.4024,71.925,1995171
2017-10-20,72.0039,72.4477,71.1953,71.9053,1934448
2017-10-23,71.8659,72.5561,71.6194,72.4674,1300540
2017-10-24,72.7238,72.9111,72.2209,72.4279,1325538
2017-10-25,71.6982,72.5956,71.3432,71.432,1951051
2017-10-26,71.5996,71.856,71.008,71.2841,1464443
2017-10-27,71.6489,71.6489,70.7713,71.3334,1321508
2017-10-30,71.2841,72.1124,71.0573,71.3926,1894939
2017-10-31,71.3926,71.8264,70.9488,71.6391,1027557
2017-11-01,72.0039,72.0039,71.3531,71.4024,725117
2017-11-02,71.3334,72.4082,71.0671,72.1518,1064648
2017-11-03,72.073,72.1173,71.3235,71.3926,686543
2017-11-06,71.2151,71.4517,70.8305,70.9685,627327
2017-11-07,70.8009,71.7574,70.653,71.0178,1211322
