date,open,high,low,close,volume
2017-06-08,138.8091,138.8091,136.9107,137.709,1694077
2017-06-09,137.3682,137.9913,136.2486,136.531,1793257
2017-06-12,136.8717,137.1346,134.4962,135.7327,2236564
2017-06-13,135.7327,136.6381,135.2848,136.2486,1736212
2017-06-14,137.4169,138.4294,136.8814,137.4169,1422783
2017-06-15,137.4753,138.3515,136.9399,138.1179,2766392
2017-06-16,138.4294,139.3835,138.1665,139.0622,2602217
2017-06-19,139.2666,139.4028,138.371,138.6241,2317059
2017-06-20,138.6728,139.0525,138.1665,138.2055,2153230
2017-06-21,138.3612,138.5949,136.7062,137.3293,1630163
2017-06-22,137.1638,138.4489,136.9593,137.8453,1921405
2017-06-23,137.8453,140.5128,137.6311,139.3543,2751863
2017-06-26,139.5977,141.0385,139.3348,140.4154,1977814
2017-06-27,139.7729,140.5323,138.2639,138.5073,2415829
2017-06-28,139.1401,139.4419,137.0275,137.2903,2090891
2017-06-29,136.4823,136.6673,135.2848,136.2681,2895955
2017-06-30,136.5212,137.8745,136.3655,136.4239,2132892
2017-07-03,137.1248,138.0497,135.9274,135.9274,1030279
2017-07-05,135.8884,136.0929,134.5936,135.1485,1926448
2017-07-06,134.8759,136.1123,134.3502,135.8787,1741127
2017-07-07,135.9663,137.4266,135.6937,136.7646,1378549
2017-07-10,136.9107,138.0594,136.5611,137.3001,1687601
2017-07-11,137.7771,137.7771,135.8397,137.0275,1899159
2017-07-12,138.1081,138.4781,136.9399,137.0567,1692862
2017-07-13,137.485,137.5921,136.4823,136.862,1389257
2017-07-14,137.9037,138.371,137.5824,137.9134,1263237
2017-07-17,137.67,137.9816,137.0275,137.2417,2811140
2017-07-18,137.5337,138.3612,137.2611,137.7479,1367858
2017-07-19,138.186,138.3028,137.5922,138.0497,943410
2017-07-20,138.556,140.0601,138.2444,139.6853,1570007
2017-07-21,139.3737,140.6102,138.7993,140.5517,1353415
2017-07-24,140.5907,140.5907,139.3348,139.364,2102584
2017-07-25,139.5782,139.6561,138.3612,139.3251,1350344
2017-07-26,138.848,141.7297,138.5267,141.6421,1760391
2017-07-27,141.1164,141.5058,140.1526,140.8243,1420002
2017-07-28,140.7757,141.905,140.6296,141.2819,1156288
2017-07-31,141.4863,142.9954,141.4182,142.2262,1695142
2017-08-01,143.0635,143.4335,142.2165,142.8688,1478948
2017-08-02,142.2944,143.0927,141.535,142.8591,1671958
2017-08-03,142.6741,143.93,142.4696,143.6379,1418606
2017-08-04,143.0635,143.4335,142.2165,142.8688,1478948
2017-08-07,142.9467,143.5892,142.6157,143.1998,1204847
2017-08-08,143.1122,143.6807,142.8201,143.4529,1188502
2017-08-09,143.9689,144.2707,143.0635,143.3458,2760485
2017-08-10,142.9856,144.3778,142.9369,143.8131,1341867
2017-08-11,143.7353,144.1344,142.7714,143.2874,1271479
2017-08-14,143.706,144.4459,143.4821,144.1441,976969
2017-08-15,143.5892,145.3903,143.5892,145.108,1194270
2017-08-16,145.0495,146.2081,144.8498,146.0134,1353793
2017-08-17,145.4779,146.3444,144.4167,144.6796,1362692
2017-08-18,144.5725,146.617,144.1345,145.9647,1438701
2017-08-21,146.0328,146.8506,145.7213,146.4709,974480
2017-08-22,146.5878,147.1914,146.0523,146.8506,1350588
2017-08-23,146.6278,147.3333,145.7654,146.6376,1445328
2017-08-24,146.9903,146.9947,145.9516,146.3142,1291115
2017-08-25,146.6572,147.4313,146.0104,147.0883,1259107
2017-08-28,147.2843,147.8723,147.0246,147.8527,874935
2017-08-29,147.9997,148.2446,147.1275,147.6959,1399251
2017-08-30,147.4019,147.8135,147.1569,147.5979,1061563
2017-08-31,147.9703,147.9899,147.1912,147.4901,1706515
2017-09-01,147.9703,148.2642,146.6572,147.1471,1071762
2017-09-05,147.1667,147.4313,146.3044,147.2451,1075172
2017-09-06,147.5783,147.6861,145.2754,145.2754,2284585
2017-09-07,145.4714,147.8723,145.4616,146.4906,1935563
2017-09-08,146.2162,146.4808,144.1093,145.2852,2949171
2017-09-11,145.2852,148.5582,145.0403,148.3622,2279450
2017-09-12,148.0487,148.3132,144.9619,146.1378,1929268
2017-09-13,146.0594,146.1966,145.0795,145.2068,1456189
2017-09-14,154.4391,154.8139,151.9048,151.9639,1564857
2017-09-15,147.0981,147.3627,146.2064,147.0785,2266371
2017-09-18,146.9903,146.9903,144.4229,145.3244,1640494
2017-09-19,145.4812,145.9418,144.7561,144.9521,1756703
2017-09-20,145.4322,145.6282,142.9726,143.7957,1372432
2017-09-21,143.7957,144.8661,143.5312,143.8349,1411862
2017-09-22,144.0897,144.3053,143.2666,143.4234,1226178
2017-09-25,143.2764,144.3543,142.904,143.8741,1506247
2017-09-26,143.9623,145.2607,143.9623,144.7365,1390542
2017-09-27,143.9035,144.4425,142.7864,143.3156,1722179
2017-09-28,142.5708,144.4229,141.7967,144.0407,1349647
2017-09-29,144.0015,144.2808,143.394,143.6096,1316760
2017-10-02,144.4131,144.7169,143.4185,143.7957,1145332
2017-10-03,143.4332,144.0211,142.6982,143.9427,1002528
2017-10-04,144.0505,145.6282,143.6585,145.589,1098166
2017-10-05,145.5596,145.589,144.1093,144.7953,1704396
2017-10-06,144.2465,144.7071,143.3352,144.5111,1278028
2017-10-09,144.9913,145.4126,144.7267,144.9325,1099464
2017-10-10,144.9325,146.1427,144.4817,146.0398,877966
2017-10-11,145.6478,147.7253,145.6478,146.8629,1329854
2017-10-12,147.0981,147.9115,146.3984,147.6763,1305370
2017-10-13,148.3524,149.2148,147.4215,147.5293,1115805
2017-10-16,148.2055,148.7542,146.8924,148.4798,1349063
2017-10-17,148.4602,149.7929,147.9997,149.6068,1291075
2017-10-18,149.1756,149.7146,148.6268,149.4794,1074661
2017-10-19,149.6068,150.8611,149.1462,150.7827,1312436
2017-10-20,150.6553,151.1453,149.9105,151.0669,1437737
2017-10-23,150.8905,151.596,150.2535,151.2824,1218286
2017-10-24,151.0277,151.302,150.1163,151.1257,1429554
2017-10-25,150.8513,151.0963,148.323,150.7729,1649007
2017-10-26,151.694,152.8699,150.2829,150.3123,1473478
2017-10-27,150.3123,153.6539,150.3025,152.7132,1451836
2017-10-30,152.1938,153.0561,151.7822,152.2428,1353974
2017-10-31,151.9782,152.4388,151.2139,151.9586,1327652
2017-11-01,152.5466,152.5956,150.0183,150.3025,1436898
2017-11-02,150.4103,151.645,145.393,146.8531,3979313
2017-11-03,146.7355,150.0771,146.5004,149.5872,3085051
2017-11-06,149.8321,150.0575,148.6072,148.813,1407880
2017-11-07,149.2736,152.6936,148.8718,152.3702,1968036
2017-11-08,151.8802,152.6152,150.8219,151.8116,1992742
2017-11-09,151.2433,152.4878,151.0084,152.135,1193377
2017-11-10,151.4784,152.3016,150.7631,152.0468,1285824
2017-11-13,152.2232,153.8499,151.7332,153.6343,1000007
2017-11-14,153.3697,155.3688,153.1149,155.2218,1513750
2017-11-15,155.6628,156.0841,153.8793,154.2027,1330019
2017-11-16,154.2419,154.5456,153.2129,154.1341,1364736
2017-11-17,153.8499,154.1292,152.7638,152.9091,1077979
2017-11-20,153.0757,153.5265,152.1938,152.7915,1447429
2017-11-21,153.3501,153.7421,152.6348,153.0757,1332134
2017-11-22,153.0783,153.7883,152.4175,153.0289,1943421
2017-11-24,153.4431,154.232,153.3248,153.8672,636127
2017-11-27,154.0841,155.376,153.7488,154.8237,1517672
2017-11-28,155.3168,156.1994,154.8928,155.6028,1237271
2017-11-29,155.1196,156.0958,154.3307,155.583,2088575
2017-11-30,155.8986,156.6777,155.1886,155.8493,3403680
2017-12-01,156.1945,156.9834,154.2616,155.2872,1428100
2017-12-04,155.4647,155.7704,153.3642,153.808,1400931
2017-12-05,154.2616,154.6561,152.3091,153.4826,1702522
2017-12-06,154.3504,156.1747,153.6305,155.5929,1983880
2017-12-07,155.1689,155.9874,154.8336,155.9874,1452106
2017-12-08,155.6028,156.8256,155.2083,156.8256,1311953
2017-12-11,156.8354,157.1411,155.2576,157.0425,1608884
2017-12-12,156.6382,157.1905,154.6462,154.8928,1988733
2017-12-13,155.445,155.8493,153.6405,154.3011,3603005
2017-12-14,154.6413,157.0327,153.4135,155.7901,2226969
2017-12-15,155.7704,156.8354,155.0505,156.2339,3493009
2017-12-18,156.6086,156.9587,153.9461,154.1827,1940796
2017-12-19,154.4391,154.8139,151.9048,151.9639,1564969
2017-12-20,152.0329,153.1867,151.3624,151.5103,2210488
2017-12-21,151.2736,153.1177,150.5636,152.3387,1787163
2017-12-22,152.812,153.2163,152.1611,152.3978,1078767
2017-12-26,152.5556,153.1966,151.8554,151.8653,723501
2017-12-27,152.4866,153.1966,151.9836,153.1374,1076323
2017-12-28,153.0487,154.2518,152.9994,154.1827,856725
2017-12-29,154.6758,155.0998,153.8474,154.0249,1186595
2018-01-02,154.2616,154.4983,152.2795,152.9402,1191639
2018-01-03,151.9541,153.6699,149.6761,149.6958,2752031
2018-01-04,149.4098,150.9088,148.542,148.9266,3407328
2018-01-05,149.2816,149.8339,148.5124,149.607,2579542
2018-01-08,149.607,151.1158,149.4098,150.8397,1806263
2018-01-09,151.4215,151.4215,149.2077,149.7352,1631894
2018-01-10,148.7984,149.5084,148.0785,148.5026,1760655
