date,open,high,low,close,volume
2017-06-20,33.0567,33.0567,32.0025,32.9871,4500518
2017-06-21,32.7782,32.7782,31.7539,31.9528,3753860
2017-06-22,32.0523,32.1368,31.6445,31.6644,5369108
2017-06-23,31.744,31.9031,31.2119,31.4655,3738174
2017-06-26,31.4755,31.8335,31.2616,31.6147,2848820
2017-06-27,31.7738,32.102,31.4954,31.5252,2880609
2017-06-28,31.6047,32.1169,31.5351,31.5948,2504517
2017-06-29,31.8235,32.5097,31.7847,32.2611,3517482
2017-06-30,32.4799,33.0965,32.1815,32.7584,3507623
2017-07-03,32.9871,33.902,32.9572,33.7131,1638596
2017-07-05,33.3948,33.534,32.2711,32.5495,2616153
2017-07-06,32.7882,33.007,32.0622,32.102,2494210
2017-07-07,31.8733,31.9876,31.4357,31.8335,3490235
2017-07-10,31.6445,32.7086,31.5152,32.4202,2353563
2017-07-11,32.3506,33.3103,32.2014,33.007,2176732
2017-07-12,33.4843,33.5012,32.7385,32.9672,1995238
2017-07-13,32.8876,33.2456,32.3705,33.2357,2483214
2017-07-14,33.3351,33.7329,33.0965,33.6037,2373389
2017-07-17,33.5241,34.2202,33.4445,33.7926,2904283
2017-07-18,34.0512,34.1506,33.3153,33.6932,1689535
2017-07-19,33.6236,35.0357,33.4943,34.9562,4611440
2017-07-20,34.9562,35.0059,33.7628,33.8125,2341016
2017-07-21,33.7131,33.9824,33.1512,33.2655,3166764
2017-07-24,33.4644,33.5294,32.9025,32.997,2067376
2017-07-25,33.365,33.9517,33.3451,33.3948,2946261
2017-07-26,33.6832,33.723,33.007,33.1561,2208842
2017-07-27,33.2655,33.5241,32.9075,33.5241,3538363
2017-07-28,33.5142,35.1451,32.6589,32.9274,4686302
2017-07-31,32.8876,33.0666,31.913,32.5296,3141479
2017-08-01,32.3506,32.3506,31.3462,31.7042,3862878
2017-08-02,31.4755,32.639,31.1871,32.4302,3659706
2017-08-03,32.4202,32.8081,32.2412,32.4401,2817589
2017-08-04,32.4699,33.0269,32.3804,32.997,2567595
2017-08-07,32.1219,32.6092,31.5948,31.6147,3216863
2017-08-08,31.4257,31.5401,31.018,31.1174,2923702
2017-08-09,31.197,31.376,30.123,30.6401,4427268
2017-08-10,30.7992,30.8191,30.1279,30.1826,3661864
2017-08-11,30.0533,30.4412,29.9738,30.123,3419290
2017-08-14,30.2125,30.6998,30.0931,30.4511,2565812
2017-08-15,30.3219,30.4114,29.9738,30.2224,3304257
2017-08-16,30.2721,30.3616,29.7351,29.7749,3272318
2017-08-17,29.7451,30.3616,29.7351,29.9241,4159672
2017-08-18,29.8445,30.3715,29.7351,30.2125,3656682
2017-08-21,30.0533,30.302,30.0036,30.123,3961274
2017-08-22,30.2423,30.3517,29.9539,30.0335,2455210
2017-08-23,29.9042,30.4313,29.8445,30.2025,3315382
2017-08-24,30.0931,30.1429,29.8893,29.9141,2080366
2017-08-25,30.0434,30.576,30.0235,30.3517,2024457
2017-08-28,30.4313,30.48,29.8942,30.1727,3049095
2017-08-29,29.9738,30.2423,29.8793,30.1926,1958623
2017-08-30,30.113,30.302,29.7649,30.2821,2068258
2017-08-31,30.481,30.655,30.1627,30.5009,2686158
2017-09-01,30.5307,30.5904,30.3219,30.5108,1994099
2017-09-05,30.7495,31.3263,30.7495,31.1572,3082479
2017-09-06,31.3462,31.9926,31.2467,31.6545,4035868
2017-09-07,31.7042,31.8733,31.3909,31.7042,3039819
2017-09-08,31.6744,31.6843,31.3661,31.5749,2635345
2017-09-11,31.6644,32.1269,31.5451,32.0821,2429496
2017-09-12,32.2014,33.3948,31.9528,33.1959,4127725
2017-09-13,33.2556,34.1506,33.1363,33.6534,4251087
2017-09-14,33.8626,34.1912,33.5538,33.8128,2911747
2017-09-15,33.5837,34.3207,33.5239,34.3107,4704635
2017-09-18,34.2311,34.8884,34.1016,34.6294,2575253
2017-09-19,34.7888,35.1175,34.5217,35.0378,2238255
2017-09-20,35.1872,35.7549,35.1274,35.3664,4436113
2017-09-21,35.1872,35.2718,34.909,35.0577,2025668
2017-09-22,34.8585,35.4561,34.8585,35.3963,2264191
2017-09-25,35.6852,36.1035,35.6105,35.715,4682038
2017-09-26,35.4561,36.2977,35.4362,36.1533,2401835
2017-09-27,36.2329,36.3126,35.5059,35.9939,3151133
2017-09-28,36.2529,36.3311,35.242,35.3864,3096401
2017-09-29,35.486,35.6951,35.1175,35.5856,3008253
2017-10-02,35.1971,35.426,34.9481,35.2071,2653358
2017-10-03,35.3067,35.3565,34.4933,34.988,2780918
2017-10-04,34.988,35.237,34.8286,35.0876,3844351
2017-10-05,35.0975,36.0736,35.0278,35.8843,3470452
2017-10-06,35.3366,35.6354,34.8087,34.8884,2937191
2017-10-09,35.0378,35.3067,34.8436,35.0975,1233859
2017-10-10,35.3664,35.5457,34.739,34.7888,1754120
2017-10-11,34.7091,34.8884,34.236,34.8386,2145644
2017-10-12,34.4302,34.5099,34.1713,34.241,2404550
2017-10-13,34.5498,34.729,34.4601,34.5099,1615087
2017-10-16,34.7589,35.0378,34.6693,34.8486,2846699
2017-10-17,34.7988,34.8486,34.1514,34.7788,3477803
2017-10-18,34.8585,35.0079,34.3705,34.3805,2117049
2017-10-19,34.0617,34.4302,33.8128,33.9422,2694434
2017-10-20,33.9821,34.0319,33.4741,33.9522,2477212
2017-10-23,33.9124,34.0319,33.5837,33.6634,2216061
2017-10-24,33.9024,34.0717,33.6434,33.6733,2632320
2017-10-25,33.6136,33.8327,33.3247,33.504,2578973
2017-10-26,33.4343,34.0269,33.2749,33.7231,4463584
2017-10-27,32.5678,33.8128,31.8806,33.0957,7146312
2017-10-30,33.0558,34.241,32.8268,34.1414,4961319
2017-10-31,33.7729,34.4701,33.5837,34.0518,3755954
2017-11-01,34.3506,34.8486,33.7231,33.9223,4365762
2017-11-02,34.002,34.1315,33.0558,33.2251,3616686
2017-11-03,33.1255,33.4393,33.0359,33.2849,2456272
2017-11-06,33.4741,35.3864,33.3845,35.3565,4005577
2017-11-07,35.5557,35.6852,34.8486,34.9581,2397803
