date,open,high,low,close,volume
2017-06-20,117.2794,117.2794,115.3777,115.4071,1428274
2017-06-21,115.9365,115.9365,114.77,115.1523,1494848
2017-06-22,115.1327,115.5248,114.0053,115.0836,1145010
2017-06-23,114.917,117.6323,114.5348,116.9363,2369307
2017-06-26,117.5735,118.3675,116.5246,117.1226,939416
2017-06-27,117.152,117.9852,116.1619,116.6913,1167999
2017-06-28,117.7696,118.6322,117.1324,118.3381,947746
2017-06-29,118.7302,118.8577,116.5638,117.1618,1001757
2017-06-30,117.7598,119.8821,117.3579,119.2988,1374286
2017-07-03,119.9066,121.2593,119.0047,120.8476,972012
2017-07-05,120.6908,120.9849,119.7987,120.2497,1241975
2017-07-06,118.9067,119.5439,117.9068,118.8479,1680027
2017-07-07,119.2204,120.1712,118.8087,119.9262,960333
2017-07-10,119.8576,121.3868,119.4654,120.5731,1178994
2017-07-11,120.7398,120.7398,118.7351,120.083,1168180
2017-07-12,120.7692,121.7887,120.083,120.8476,984811
2017-07-13,120.8966,121.5632,120.1124,120.1712,809670
2017-07-14,120.4163,121.6318,120.1614,121.5534,818781
2017-07-17,121.377,121.573,120.3477,121.0633,1006042
2017-07-18,121.0633,121.4358,120.3575,120.828,1497771
2017-07-19,119.8379,119.8379,117.103,118.2891,2416933
2017-07-20,118.8773,118.9214,115.7502,116.1815,2917779
2017-07-21,115.4463,116.0443,114.3877,115.5248,1979192
2017-07-24,115.6032,116.6521,114.8092,115.1817,1494245
2017-07-25,115.9953,116.9069,115.6718,116.6423,2188897
2017-07-26,117.5245,118.6126,112.2605,114.1132,3613520
2017-07-27,113.6328,113.8093,110.0353,110.7803,3376839
2017-07-28,110.6724,112.1134,110.6724,111.9762,1656332
2017-07-31,111.4861,112.2703,110.2509,110.3587,1791577
2017-08-01,111.887,113.3457,111.6603,112.9613,2321684
2017-08-02,109.9666,110.692,109.2412,110.2607,2227692
2017-08-03,110.9999,113.0007,110.8816,111.7983,3286597
2017-08-04,111.887,113.3457,111.6603,112.9613,2376481
2017-08-07,113.4935,114.8142,113.4738,114.2229,2473893
2017-08-08,113.8779,116.6573,113.7202,115.5239,1887149
2017-08-09,115.1592,115.9575,114.6467,115.7703,1484503
2017-08-10,115.5239,116.2039,113.7498,113.7793,1415792
2017-08-11,113.2372,115.5633,113.2372,114.8832,1101405
2017-08-14,115.6126,118.0372,115.3268,117.8302,2021668
2017-08-15,117.5444,118.5497,117.092,118.3132,1360881
2017-08-16,118.2737,119.5747,118.0677,118.6976,1180341
2017-08-17,118.3427,118.4267,115.7309,115.8097,1320166
2017-08-18,115.6816,117.8992,115.0902,116.9234,1448245
2017-08-21,117.0417,117.436,115.5534,115.9773,1745500
2017-08-22,116.4799,118.8158,116.1842,118.668,1316530
2017-08-23,118.0668,118.4709,117.0516,117.229,951246
2017-08-24,117.3473,117.9046,115.4155,116.0463,959825
2017-08-25,116.8249,117.8105,116.1645,116.5095,989767
2017-08-28,116.8742,116.8742,115.5337,116.066,2370991
2017-08-29,115.2183,117.8302,115.2183,117.6824,1047942
2017-08-30,117.6627,119.555,117.4458,119.0524,1195754
2017-08-31,119.7127,120.1661,118.4906,118.7863,1427567
2017-09-01,119.4368,120.6589,119.2741,119.4171,1051421
2017-09-05,119.4565,120.1267,118.4019,119.3678,2588321
2017-09-06,120.0084,122.2063,119.4368,120.6786,2601043
2017-09-07,121.1419,122.5612,120.5491,122.1472,1373367
2017-09-08,122.0191,122.4527,121.2306,122.1373,1050399
2017-09-11,122.9948,124.6014,122.2556,124.6014,1349783
2017-09-12,124.4338,125.1533,124.4338,124.7591,1576112
2017-09-13,124.6802,124.9661,123.6897,124.9365,1173478
2017-09-14,143.0982,143.2121,141.1525,142.311,1433082
2017-09-15,125.3012,126.2474,124.7295,126.1981,1656038
2017-09-18,126.5726,126.5726,125.3603,125.518,1083868
2017-09-19,125.863,126.2375,125.0449,125.9615,1142689
2017-09-20,126.0798,129.1352,125.8925,129.0958,1044638
2017-09-21,128.7213,129.426,128.2087,128.8297,1200612
2017-09-22,128.6424,129.2633,127.9919,129.1056,1232348
2017-09-25,129.1155,129.5196,127.6272,128.4847,1222334
2017-09-26,128.8001,129.5689,128.1299,129.1155,1122688
2017-09-27,129.4802,130.6432,129.0958,130.6038,1161988
2017-09-28,130.4264,131.8851,130.4264,130.8797,1140190
2017-09-29,130.6531,131.3923,130.1898,130.3377,1438609
2017-10-02,130.7418,130.8896,129.0071,129.7463,1699678
2017-10-03,129.1648,130.0913,128.7213,129.6773,3011490
2017-10-04,129.0859,129.7956,128.2827,128.6227,2298082
2017-10-05,128.672,129.4506,128.0018,129.2338,1790823
2017-10-06,129.0465,129.49,127.913,128.5833,1281748
2017-10-09,128.6227,129.1451,128.4946,128.9085,764076
2017-10-10,129.5295,129.5886,127.6469,128.1299,1237115
2017-10-11,128.1989,129.6674,127.982,129.5984,1192489
2017-10-12,129.7857,132.0428,129.7857,131.7668,1311918
2017-10-13,132.1709,132.5849,129.6783,129.7561,896777
2017-10-16,128.9677,129.4802,127.4597,127.9328,1696206
2017-10-17,126.9176,128.7213,126.7894,127.6174,1894331
2017-10-18,128.2974,129.559,128.1693,128.6424,1220584
2017-10-19,128.0412,128.465,127.026,128.3664,1845069
2017-10-20,128.9381,130.9685,128.6227,130.8403,1831387
2017-10-23,131.0966,131.8457,129.8744,129.973,1275547
2017-10-24,130.7319,132.4764,130.1405,130.4067,2062960
2017-10-25,127.8441,129.3422,123.9903,126.9866,3317794
2017-10-26,129.1155,131.7077,128.4231,131.3331,2320257
2017-10-27,131.1262,132.4863,130.6333,131.7274,1688892
2017-10-30,130.998,131.9836,130.5545,130.8896,1240682
