date,open,high,low,close,volume
2017-06-08,51.6332,51.8565,51.0703,51.4682,3274998
2017-06-09,51.4682,51.8565,51.3032,51.672,2602751
2017-06-12,51.6332,51.9147,51.0121,51.1965,3429693
2017-06-13,51.3421,52.2059,51.2207,52.1961,2230319
2017-06-14,52.4097,53.4336,52.2156,53.1667,4718799
2017-06-15,52.9435,53.3414,52.4582,52.9823,6286155
2017-06-16,52.8755,53.4384,52.6513,53.2346,4564369
2017-06-19,53.2929,53.4579,52.7591,52.9338,3667452
2017-06-20,52.8464,52.9435,51.6429,51.7788,4112363
2017-06-21,51.6041,51.9147,50.8422,51.0218,3327923
2017-06-22,51.0703,51.0703,50.4783,50.653,3441915
2017-06-23,50.7597,51.5653,50.4686,51.5362,13304156
2017-06-26,51.5556,52.1476,51.5556,51.7691,2525995
2017-06-27,51.8273,52.4873,51.41,51.5362,2814534
2017-06-28,51.8759,52.0214,51.4391,51.7982,3645649
2017-06-29,51.6332,51.672,50.9344,51.4585,2660274
2017-06-30,51.7012,52.5164,51.6915,52.0409,2673058
2017-07-03,52.2738,52.4679,51.8759,51.8759,1021695
2017-07-05,51.8467,52.2641,51.6526,52.1185,1681574
2017-07-06,51.9244,52.1864,51.4294,51.4876,2708300
2017-07-07,51.7303,52.167,51.6332,51.7012,2538062
2017-07-10,51.7012,52.0214,51.6818,51.8273,2699739
2017-07-11,51.7885,51.7885,51.3615,51.4197,1569754
2017-07-12,51.6526,52.0409,51.41,51.4585,2162434
2017-07-13,51.5168,51.9826,51.4391,51.8759,2615153
2017-07-14,51.9341,52.2544,51.8489,52.2253,2098050
2017-07-17,52.3708,52.5941,52.2836,52.3126,2352923
2017-07-18,52.2738,52.5116,52.167,52.2641,1551283
2017-07-19,52.3417,52.4679,52.1476,52.1767,2605107
2017-07-20,52.3029,52.3223,51.4294,51.5362,2133284
2017-07-21,51.4391,51.6381,51.2644,51.3421,2587656
2017-07-24,51.3129,51.3906,50.9441,51.0509,3167866
2017-07-25,51.2741,51.541,51.0606,51.3906,2741114
2017-07-26,51.5168,51.5265,51.1382,51.1965,1671476
2017-07-27,51.1771,51.2838,50.4589,50.6044,3061316
2017-07-28,50.4686,50.915,50.3812,50.5365,2010606
2017-07-31,50.75,51.3615,50.6044,51.1674,2108797
2017-08-01,49.5757,50.2453,48.6731,49.1971,8935741
2017-08-02,51.0994,51.4197,50.6821,50.915,2322136
2017-08-03,50.8083,51.5265,50.6433,51.0121,4496600
2017-08-04,49.5757,50.2453,48.6731,49.1971,8935741
2017-08-07,49.3039,50.0512,49.1583,49.7989,5173661
2017-08-08,49.5271,49.8862,48.8672,49.2651,4680248
2017-08-09,49.003,49.2651,48.7798,49.2457,3010472
2017-08-10,49.003,49.003,48.3139,48.7216,3594162
2017-08-11,48.4886,48.8963,48.4789,48.5275,2333041
2017-08-14,48.9157,49.0322,48.4692,48.6245,2198999
