date,open,high,low,close,volume
2017-06-08,13.1501,13.3474,13.0022,13.3277,2104832
2017-06-09,13.3672,13.4954,13.2488,13.4658,1701187
2017-06-12,13.4658,13.6483,13.4461,13.4856,1603163
2017-06-13,13.4658,13.5152,13.3474,13.377,1946259
2017-06-14,13.4066,13.4461,13.3129,13.3968,2748352
2017-06-15,13.4066,13.5349,13.2587,13.4264,1281268
2017-06-16,13.456,13.5891,13.3376,13.5447,2200096
2017-06-19,13.5645,13.6631,13.4461,13.5941,827350
2017-06-20,13.5645,13.5645,13.2981,13.308,914539
2017-06-21,13.3573,13.4264,13.2587,13.3474,1436338
2017-06-22,13.3474,13.3672,13.1156,13.2685,1379695
2017-06-23,13.2587,13.4362,13.1945,13.4066,1415768
2017-06-26,13.4264,13.4954,13.3474,13.4757,1030105
2017-06-27,13.4264,13.6039,13.3968,13.4757,1180933
2017-06-28,13.5349,13.7322,13.5152,13.6631,1760581
2017-06-29,13.6631,13.7322,13.2093,13.4165,1757814
2017-06-30,13.4461,13.5694,13.1699,13.5152,1754157
2017-07-03,13.5546,13.7322,13.4658,13.7026,1107965
2017-07-05,13.7026,13.7026,13.4954,13.5447,1874979
2017-07-06,13.4856,13.4954,13.0466,13.0614,2048195
2017-07-07,13.1008,13.1896,12.9972,13.1403,1692089
2017-07-10,13.1008,13.2291,12.9627,12.9726,1744773
2017-07-11,12.9627,13.1551,12.8936,13.091,1618717
2017-07-12,13.1403,13.2488,13.0022,13.0219,2725035
2017-07-13,13.0515,13.1403,13.0022,13.0515,1252752
2017-07-14,13.1205,13.4362,13.0564,13.3869,1542016
2017-07-17,13.3869,13.5743,13.3376,13.4954,1289216
2017-07-18,13.4658,13.4954,13.3376,13.4461,1105934
2017-07-19,13.4954,13.7914,13.4954,13.742,1339574
2017-07-20,13.7223,13.89,13.6927,13.7716,1174793
2017-07-21,13.7125,13.8703,13.7125,13.742,2521018
2017-07-24,13.7618,13.8506,13.7322,13.7914,1026682
2017-07-25,13.8604,13.9788,13.6434,13.9295,1271402
2017-07-26,13.9295,14.1465,13.9295,14.038,1171177
2017-07-27,14.0183,14.1564,14.0183,14.0775,1157928
2017-07-28,14.0676,14.2896,14.0577,14.1958,1117659
2017-07-31,14.2353,14.2353,14.0676,14.1169,1051762
2017-08-01,14.186,14.26,14.0775,14.2353,972307
2017-08-02,14.2057,14.2057,13.9985,14.0775,1526063
2017-08-03,14.0873,14.2008,13.9837,14.0577,931069
2017-08-04,14.0873,14.0873,13.9098,13.9295,1779330
2017-08-07,13.9295,14.2353,13.9295,14.1465,954041
2017-08-08,14.1268,14.1268,13.8999,14.0479,993535
2017-08-09,13.9788,14.0232,13.8506,13.9788,896833
2017-08-10,13.9393,13.9887,13.4066,13.4954,2989524
2017-08-11,13.5743,13.8506,13.2143,13.2488,3491029
2017-08-14,13.3573,13.4264,13.1205,13.1896,2291743
2017-08-15,13.2291,13.2587,13.1008,13.1304,1063828
2017-08-16,13.2291,13.2981,13.0318,13.0712,1535895
2017-08-17,13.0219,13.2685,13.0219,13.0515,2230617
2017-08-18,13.0712,13.2883,12.869,13.091,2004745
2017-08-21,13.0318,13.1699,13.012,13.1304,1631873
2017-08-22,13.1008,13.2587,13.1008,13.2093,1197632
2017-08-23,13.1107,13.16,12.938,13.0022,1586702
2017-08-24,13.0318,13.0515,12.9134,13.0219,1161440
2017-08-25,13.1008,13.2883,12.8932,13.2389,1492854
2017-08-28,13.1896,13.2883,13.1107,13.2488,1557919
2017-08-29,13.1797,13.2093,13.0564,13.1797,2164742
2017-08-30,13.1797,13.1797,12.9824,13.1205,1641848
2017-08-31,13.1403,13.2241,13.091,13.1896,1226563
2017-09-01,13.2192,13.3376,13.1995,13.2685,924264
2017-09-05,13.2685,13.2784,13.012,13.1008,1341967
2017-09-06,13.1501,13.3031,13.091,13.2093,3573742
2017-09-07,13.2488,13.3968,13.2093,13.3474,1844464
2017-09-08,13.3474,13.3573,12.9331,12.9627,2109525
2017-09-11,13.0515,13.2241,13.017,13.16,2575530
2017-09-12,13.2196,13.2693,13.1103,13.1799,1808793
2017-09-13,13.1302,13.1302,12.7624,12.9215,2003627
2017-09-14,12.9215,13.0109,12.8817,12.9712,1776824
2017-09-15,12.9712,13.0805,12.8618,13.0109,2914374
2017-09-18,13.0606,13.1401,12.9016,13.0109,1811618
2017-09-19,13.0208,13.0805,12.8817,12.9712,1779236
2017-09-20,13.0208,13.1302,12.9513,13.0904,1475723
2017-09-21,13.0805,13.1103,12.9413,13.001,1730042
2017-09-22,12.9413,13.0407,12.9065,12.9513,1098022
2017-09-25,12.9712,13.1451,12.9314,13.1202,1404823
2017-09-26,13.1501,13.1501,12.991,13.0308,1158262
2017-09-27,13.0507,13.2196,12.991,13.1799,1325724
2017-09-28,13.1302,13.2693,13.0407,13.1799,2190078
2017-09-29,13.1401,13.1799,13.0805,13.1799,939760
2017-10-02,13.2097,13.2892,13.1103,13.1998,1641062
2017-10-03,13.2097,13.3489,13.16,13.2892,1592901
2017-10-04,13.2992,13.3389,13.2196,13.2793,903145
2017-10-05,13.329,13.3787,13.2495,13.3489,1174869
2017-10-06,13.329,13.3588,13.1501,13.2097,1654619
2017-10-09,13.1898,13.2097,13.0606,13.1004,817035
2017-10-10,13.1799,13.4681,13.1699,13.4184,2190169
2017-10-11,13.3787,13.4184,13.2693,13.3986,1167236
2017-10-12,13.3787,13.493,13.2892,13.4582,1768869
2017-10-13,13.5278,13.657,13.4383,13.5973,1440919
2017-10-16,13.5973,13.6769,13.5278,13.5973,1704615
2017-10-17,13.5576,13.6073,13.488,13.5377,1285096
2017-10-18,13.5377,13.6868,13.5278,13.647,1219200
2017-10-19,13.5675,13.6272,13.4681,13.5377,1846326
2017-10-20,13.6073,13.6967,13.5775,13.6272,1318229
2017-10-23,13.6371,13.6818,13.5824,13.6669,1012706
2017-10-24,13.6669,13.6967,13.488,13.5476,1497139
2017-10-25,13.5377,13.6272,13.4383,13.5775,1272026
2017-10-26,13.6073,13.7365,13.5377,13.5973,1756657
2017-10-27,13.5775,13.647,13.4085,13.6073,1577961
2017-10-30,13.5973,13.7464,13.5576,13.7266,1394458
2017-10-31,13.7464,13.7464,13.5427,13.5775,1665480
2017-11-01,13.647,13.7814,13.5278,13.6272,1900437
2017-11-02,13.5874,13.7464,13.4979,13.7166,1696441
2017-11-03,13.6769,13.7862,13.6172,13.7862,2278455
2017-11-06,13.8061,14.1937,13.7564,14.1937,4244384
2017-11-07,14.1241,14.4372,14.0049,14.0645,2639621
2017-11-08,13.9949,14.0645,13.9278,14.0546,1389368
2017-11-09,14.0446,14.472,13.985,14.2732,2507126
2017-11-10,14.5714,15.6946,14.5018,15.0088,5305841
2017-11-13,15.0088,15.3169,14.9094,15.138,2704202
2017-11-14,15.0783,15.4063,15.0187,15.1777,3283552
2017-11-15,15.138,15.1877,15.0089,15.0982,1929390
2017-11-16,15.0883,15.635,15.0585,15.625,2648250
2017-11-17,15.5952,15.8338,15.4958,15.7443,2524668
2017-11-20,15.7344,15.7344,15.5256,15.5753,2456257
2017-11-21,15.6449,15.7244,15.5753,15.6946,2537961
2017-11-22,15.7244,15.7741,15.6598,15.6747,2121244
2017-11-24,15.7244,15.7244,15.6051,15.6747,845567
2017-11-27,15.6648,15.7145,15.5554,15.6449,2445495
2017-11-28,15.7045,16.0624,15.635,16.0524,3296335
2017-11-29,16.0027,16.3307,16.0027,16.2512,2313983
2017-11-30,16.3009,16.3208,16.0027,16.0624,3442140
