date,open,high,low,close,volume
2017-06-08,45.9827,46.4815,45.8689,45.9542,3029220
2017-06-09,46.0111,46.9019,46.0111,46.864,1670181
2017-06-12,47.3284,47.8117,47.0346,47.3758,1998226
2017-06-13,47.2431,47.8117,47.1768,47.5843,1674370
2017-06-14,47.6885,48.333,46.9114,47.1863,3739348
2017-06-15,46.8546,47.4042,46.3144,46.4186,2667196
2017-06-16,46.6935,48.3235,46.6176,48.3046,3277993
2017-06-19,48.333,48.513,47.4327,47.5843,2127243
2017-06-20,46.9967,47.1578,44.6748,45.016,3463819
2017-06-21,45.5562,46.0869,44.6843,44.9307,4225857
2017-06-22,45.2435,46.0822,44.8928,45.2908,3438682
2017-06-23,45.4141,46.665,45.1676,46.6176,2562855
2017-06-26,46.7408,48.5225,46.7408,47.897,5206240
2017-06-27,47.9634,48.6742,47.8876,48.0297,3299392
2017-06-28,48.0771,48.7595,47.7833,48.2382,3315662
2017-06-29,48.4088,49.6977,48.2098,48.8258,5415961
2017-06-30,49.2902,49.6692,48.8921,49.4323,42639866
2017-07-03,49.4797,49.7072,48.8068,49.3091,4810202
2017-07-05,49.2902,49.8209,47.8591,48.0961,31997180
2017-07-06,48.5889,49.9346,48.4088,49.8493,17186960
2017-07-07,49.7545,49.982,48.7689,48.9869,10667323
2017-07-10,48.7879,48.8068,48.0866,48.333,7057316
2017-07-11,48.3614,48.6173,47.8876,48.2193,4107252
2017-07-12,48.7974,49.6598,48.5983,49.3281,3737489
2017-07-13,49.4608,50.0104,49.2617,49.7166,2813174
2017-07-14,49.9251,50.598,49.7261,50.38,2081959
2017-07-17,50.38,50.8539,50.3137,50.7686,4586343
2017-07-18,51.1287,51.1571,50.3042,50.7686,3650850
2017-07-19,50.8539,51.5647,50.6075,51.5457,4453585
2017-07-20,51.9437,52.465,51.6026,51.9248,4916600
2017-07-21,51.8395,52.0764,51.4604,51.6026,2554581
2017-07-24,51.6689,52.1807,51.5836,52.0101,2637262
2017-07-25,52.7303,53.0526,52.645,52.863,2912240
2017-07-26,53.062,53.4601,52.6579,52.683,2474490
2017-07-27,52.683,53.6591,52.683,53.6591,2237582
2017-07-28,53.6496,54.2561,53.498,53.5075,2403800
2017-07-31,53.5169,53.6212,52.9673,53.6117,2841836
2017-08-01,51.8261,52.2488,51.3458,51.4227,2804981
2017-08-02,52.9388,53.2705,52.1248,52.465,3010164
2017-08-03,52.3545,52.6139,51.6724,51.7301,2803609
2017-08-04,51.8261,52.2488,51.3458,51.4227,2804981
2017-08-07,51.1057,51.2017,50.4044,50.9808,3561503
2017-08-08,50.7214,51.317,50.1931,50.4813,2568571
2017-08-09,50.6157,50.9135,50.4044,50.683,2455034
2017-08-10,50.9135,51.0192,50.0586,50.1546,2783311
2017-08-11,50.0105,50.3756,49.8568,50.3468,2238052
2017-08-14,50.6542,51.0961,50.2219,50.2603,2690356
2017-08-15,50.2603,50.3179,48.6945,48.9442,5037046
2017-08-16,49.0499,49.2228,48.3006,48.6176,2645214
2017-08-17,48.3871,48.9058,48.339,48.3775,2090473
2017-08-18,48.3679,49.0787,48.1277,48.925,2213523
2017-08-21,48.877,49.0691,48.5696,48.9635,2216326
2017-08-22,49.1268,50.8943,49.0595,50.8079,3455518
2017-08-23,50.4044,51.7013,50.4044,51.2402,3060587
2017-08-24,51.1633,51.7349,51.1633,51.365,2814892
2017-08-25,51.5379,51.7205,51.3746,51.5476,1893018
2017-08-28,51.5572,51.7301,50.366,50.8655,2083201
2017-08-29,50.5773,51.2882,50.414,51.1249,2118075
2017-08-30,50.7983,52.1143,50.7214,51.8838,3410206
2017-08-31,52.2584,52.2584,51.6052,52.0279,3619636
2017-09-01,52.2584,52.6523,51.9414,52.4794,2077848
2017-09-05,52.8348,53.5072,52.1864,52.6907,3561340
2017-09-06,53.0461,54.1797,52.758,54.1221,5613345
2017-09-07,53.9299,54.6984,53.9011,54.2469,3299197
2017-09-08,54.0836,54.5351,53.7474,54.0068,3295839
2017-09-11,54.3334,54.7561,53.9539,54.295,2986672
2017-09-12,54.295,54.3718,53.7186,53.8819,3041507
2017-09-13,54.0356,54.3526,53.757,54.2565,5403519
2017-09-14,54.2854,54.8425,54.1605,54.6408,5226380
2017-09-15,54.7176,54.7561,53.978,53.9876,13014886
2017-09-18,53.8819,54.3718,53.709,53.8915,5500284
2017-09-19,53.9395,54.0548,53.1134,53.9011,4691883
2017-09-20,53.9299,54.1124,53.6821,53.8819,2637373
2017-09-21,53.6129,53.8243,52.489,52.8924,3548134
2017-09-22,52.8732,52.8876,52.0663,52.5466,2765698
2017-09-25,52.9789,53.6994,52.9117,53.3151,3165355
2017-09-26,53.0365,53.2671,52.6907,53.0461,2551163
2017-09-27,53.075,53.392,52.7387,53.3632,2524426
2017-09-28,53.075,53.2863,52.6043,53.2383,3381773
2017-09-29,53.0461,53.4208,52.9405,53.2287,2496227
2017-10-02,52.8156,53.6802,52.5562,53.6417,2627264
2017-10-03,53.6513,54.1509,53.2287,53.978,2758659
2017-10-04,54.074,54.3718,53.8915,54.0836,2113207
