date,open,high,low,close,volume
2017-06-20,81.0174,81.1724,79.7094,79.8451,1873963
2017-06-21,79.69,80.3683,79.5641,80.0582,1345370
2017-06-22,80.0485,80.6395,79.6803,79.69,1134722
2017-06-23,79.8354,80.4942,79.5447,79.8063,1472883
2017-06-26,79.9032,80.2617,79.3897,80.1551,1401917
2017-06-27,80.1357,80.7461,80.1357,80.4651,1191710
2017-06-28,80.8139,81.3371,80.7461,81.1434,1142531
2017-06-29,81.124,81.2887,80.407,80.7364,1496040
2017-06-30,81.0852,81.0852,79.8451,80.3198,1753975
2017-07-03,80.1163,81.0368,79.6803,80.5523,1096910
2017-07-05,80.8236,80.969,80.3392,80.6492,1543687
2017-07-06,80.3586,80.7655,78.7793,79.0021,2521523
2017-07-07,78.9634,79.2056,78.1301,78.9634,1660079
2017-07-10,78.8471,79.1862,78.353,78.5758,1474149
2017-07-11,78.5565,78.7405,77.607,78.1786,2605950
2017-07-12,78.634,79.0603,77.7814,77.8976,2239314
2017-07-13,77.8782,78.5468,77.6845,78.353,1426259
2017-07-14,78.4111,78.8568,78.1011,78.7502,1428444
2017-07-17,78.3627,79.2056,78.3627,78.9828,1609810
2017-07-18,78.9343,78.9731,78.1011,78.5661,1555914
2017-07-19,79.0409,79.3218,77.9364,78.227,2563871
2017-07-20,76.8512,80.6298,76.7253,80.126,3819946
2017-07-21,79.5253,80.2423,79.3025,80.1551,2126652
2017-07-24,80.0291,80.3779,79.225,79.5641,1694248
2017-07-25,78.4014,78.7502,76.3038,77.0256,4808581
2017-07-26,77.2388,77.4422,76.2602,76.3765,2174921
2017-07-27,76.1343,76.7253,75.0879,76.4152,3836018
2017-07-28,76.3474,76.7543,76.2069,76.4443,1273634
2017-07-31,76.5703,76.825,75.9114,76.2893,1525866
2017-08-01,76.5703,76.7059,75.7758,76.3668,1285393
2017-08-02,76.5703,76.7059,75.7758,76.3668,1285446
2017-08-03,76.5606,77.762,76.1731,77.1322,2081624
2017-08-04,77.1322,77.3357,76.5896,76.735,1404363
2017-08-07,76.7156,76.8706,76.0568,76.5993,1163641
2017-08-08,76.5218,76.7834,76.018,76.144,1436217
2017-08-09,75.8436,76.4491,75.6062,76.3668,1426503
2017-08-10,76.2215,76.3765,75.427,75.5045,1714335
2017-08-11,75.7176,76.0374,75.301,75.3301,1020568
2017-08-14,75.7176,76.2021,75.4755,75.9599,796661
2017-08-15,75.9114,76.0374,75.6014,75.8533,895710
2017-08-16,76.0277,76.5703,75.7952,76.2118,1090050
2017-08-17,76.0858,76.4249,75.2138,75.2332,1204026
2017-08-18,75.1169,75.3107,74.3515,74.3709,1402601
2017-08-21,74.5066,74.9232,74.274,74.5162,1533809
2017-08-22,74.6809,75.8339,74.5259,75.6983,1360401
2017-08-23,71.3965,73.0193,70.3791,70.3985,6994031
2017-08-24,70.6311,71.503,70.4857,70.7376,2574737
2017-08-25,70.8926,71.8421,70.7667,70.8539,2677071
2017-08-28,71.1446,71.4013,70.7376,70.912,1373471
2017-08-29,70.7279,70.883,70.3501,70.5632,2101336
2017-08-30,70.5439,70.601,69.7591,70.0594,1613196
2017-08-31,70.0594,70.2629,69.5653,70.1272,3040023
2017-09-01,70.1272,70.3598,69.4878,69.7009,1476064
2017-09-05,69.73,70.0885,69.4006,69.4975,1451561
2017-09-06,70.4276,71.0138,70.0497,70.8248,2657091
2017-09-07,70.9023,71.0089,70.0497,70.2144,2380749
2017-09-08,70.1757,71.067,69.449,70.5632,1331920
2017-09-11,70.8151,71.5709,70.7182,71.0574,1347677
2017-09-12,71.319,71.3383,70.2435,70.6698,1526366
2017-09-13,70.6311,71.7259,70.5923,71.3577,1633312
2017-09-14,72.3754,72.8378,71.7948,72.6902,1937860
2017-09-15,71.0089,71.1736,69.8559,70.7667,2918201
2017-09-18,70.7764,71.2414,70.1175,70.4373,1754326
2017-09-19,70.4663,70.5923,70.0836,70.4857,1251288
2017-09-20,70.6698,72.1134,70.6698,72.0456,2297225
2017-09-21,71.9089,73.4121,71.9089,72.4555,2043537
2017-09-22,72.5336,73.295,72.3189,73.2071,1482939
2017-09-25,73.1095,74.0856,73.0021,74.0563,2427077
2017-09-26,74.1344,74.8372,73.2462,73.334,1734162
2017-09-27,73.4707,73.8318,72.6996,73.6269,1737220
2017-09-28,73.2267,73.4316,72.2701,72.4653,2019578
2017-09-29,72.4653,72.5141,71.5087,72.2994,2541482
2017-10-02,72.436,73.783,71.7235,73.7342,1836388
2017-10-03,73.5976,73.6757,72.6996,72.9143,1993187
2017-10-04,73.5195,74.6615,73.2755,74.0075,1816004
2017-10-05,73.8904,74.6233,73.7928,74.5444,1638810
2017-10-06,74.3687,74.6664,73.4414,73.6171,1571625
2017-10-09,73.6366,73.8318,72.7484,72.885,1142965
2017-10-10,73.1095,73.6269,72.5629,72.6703,1307729
2017-10-11,72.4848,72.7484,72.1334,72.5727,2758500
2017-10-12,72.5239,73.051,72.1725,72.5824,2138099
2017-10-13,72.8557,73.7537,72.2798,73.3438,1637316
2017-10-16,72.397,73.1778,71.2549,72.1627,3901466
2017-10-17,74.5824,76.8187,73.1681,73.783,5737431
2017-10-18,73.9978,74.4956,72.8655,73.6464,2558482
2017-10-19,72.7679,72.9241,70.6888,71.2159,3467306
2017-10-20,71.4697,72.4751,70.9816,71.9284,3496302
2017-10-23,72.1627,72.4555,71.0988,71.2647,1891679
2017-10-24,69.0978,70.2788,68.7757,69.2247,3699682
